	TCGA.LP.A5U2.01A.11R.A28H.07	TCGA.G4.6304.01A.11R.1928.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.O5YV.1026.SM.3LK72	GTEX.14DAQ.1426.SM.5RQJD	GTEX.13O1R.1326.SM.5IJF5	GTEX.13NYS.1626.SM.5J2MU	GTEX.131XW.1126.SM.5EGK4	GTEX.N7MT.0126.SM.2D7VT	GTEX.117YW.0526.SM.5H11C	GTEX.Q2AG.1026.SM.33HBW	TCGA.D1.A2G0.01A.11R.A32Y.07
ALKBH2	2468.49	1059.11	406.31	432.53	529.06	511.0	373.81	525.39	555.41	356.05	185.11	283.05	872.1	117.6	132.44	226.54	135.24	85.82	995.0
ATAD3A	2351.53	1594.73	698.41	884.29	1159.07	669.92	460.44	759.08	967.76	497.0	460.44	438.59	1313.23	159.9	151.22	186.4	148.09	97.36	1081.39
BRIX1	2573.36	954.43	629.35	651.58	733.19	1529.73	486.75	693.58	684.02	460.44	329.84	334.46	854.13	264.03	316.37	277.2	147.06	234.57	1127.35
C16orf91	647.07	733.19	376.41	616.37	607.87	392.44	297.17	397.93	466.88	389.72	264.03	279.14	444.72	228.13	146.03	159.9	169.07	77.25	830.75
C1orf35	830.75	854.13	620.67	1135.2	633.73	647.07	575.03	579.04	521.76	579.04	518.15	620.67	718.08	366.09	414.87	190.34	373.81	211.31	813.63
C8orf33	723.08	967.76	656.11	947.83	718.08	728.11	454.09	651.58	674.59	529.06	438.59	500.46	915.51	232.94	460.44	358.54	403.5	255.0	1286.18
CACTIN	551.56	466.88	507.46	521.76	575.03	392.44	366.09	497.0	503.95	403.5	273.37	392.44	470.14	305.55	251.48	260.38	189.02	158.79	599.49
CCDC86	1304.15	1225.22	738.29	1135.2	941.27	848.22	450.94	679.29	860.08	447.82	281.09	320.8	679.29	103.69	234.57	158.79	162.14	128.79	1407.55
CPNE7	961.07	1617.0	53.57	239.52	56.28	58.71	44.25	126.12	101.54	14.24	123.5	67.59	133.36	31.0	30.12	11.82	55.49	1.95	348.71
CSTB	5041.77	2555.58	1432396.03	153724.82	701458.36	783730.52	2805836.45	389157.95	469249.9	5931640.6	94628.34	118949.35	66912.05	5183.54	995.0	1277.29	4736.79	1909.85	2855.44
CTU2	656.11	866.07	275.28	529.06	441.64	334.46	189.02	334.46	332.14	232.94	195.72	181.28	463.65	166.73	101.54	121.79	149.12	64.34	718.08
DDX10	1407.55	1030.12	397.93	759.08	397.93	571.05	329.84	450.94	441.64	285.03	218.79	273.37	420.68	102.97	167.9	151.22	183.82	178.77	909.17
DDX41	1794.29	2018.8	1628.26	4066.71	1883.54	1295.13	1529.73	1639.59	1369.04	1397.83	1037.29	1359.57	1963.57	728.11	500.46	1498.22	780.44	406.31	3060.45
DDX51	392.44	796.86	379.04	532.74	493.56	361.04	208.38	353.59	417.77	271.48	271.48	384.34	620.67	301.33	142.01	232.94	236.21	102.97	473.41
DDX54	2664.15	3018.3	1216.75	1437.15	1378.57	1388.16	830.75	1322.37	1427.22	1081.39	934.76	1008.9	1594.73	473.41	872.1	848.22	543.96	323.03	3540.14
DKC1	2573.36	2178.83	866.07	5479.15	1159.07	1662.49	480.04	848.22	1467.37	612.11	693.58	785.88	2119.22	599.49	698.41	353.59	629.35	854.13	1617.0
DNAJB11	3564.78	2255.7	1277.29	1697.45	1447.15	1447.15	967.76	1896.65	1508.65	941.27	1519.15	1066.48	1529.73	1008.9	1143.1	860.08	1216.75	1286.18	3257.52
DUS1L	6207.38	9025.81	2645.74	3614.55	3794.3	2739.08	2104.58	2915.45	3235.01	2178.83	2417.67	2627.46	6294.04	1233.75	1844.76	842.36	2255.7	525.39	7695.57
EARS2	327.56	387.02	334.46	403.5	244.57	251.48	220.32	231.32	228.13	244.57	186.4	275.28	368.65	124.37	109.66	124.37	186.4	148.09	934.76
EMG1	1583.71	1277.29	890.44	1757.34	1594.73	1183.45	723.08	1175.27	947.83	624.99	595.34	514.56	1259.69	289.02	361.04	387.02	334.46	376.41	2875.3
EXOSC6	236.21	450.94	258.57	323.03	414.87	316.37	199.85	220.32	339.14	214.27	182.55	244.57	353.59	124.37	204.07	195.72	156.59	94.67	599.49
FAM207A	1551.09	2075.59	669.92	1159.07	1167.14	651.58	327.56	555.41	909.17	497.0	341.51	392.44	507.46	320.8	154.42	214.27	223.41	84.04	2075.59
FLAD1	2319.15	1073.91	1030.12	1259.69	1111.82	1023.0	733.19	1111.82	884.29	698.41	476.71	551.56	1135.2	397.93	348.71	329.84	346.29	249.73	1508.65
GAR1	1143.1	1175.27	417.77	620.67	397.93	612.11	400.71	620.67	796.86	392.44	381.68	420.68	723.08	194.36	169.07	283.05	182.55	167.9	1447.15
GPATCH4	1183.45	1540.37	629.35	2351.53	651.58	825.0	323.03	802.41	890.44	307.69	426.57	460.44	1044.52	173.85	256.78	236.21	182.55	176.29	1268.46
GTF3C6	1857.6	2417.67	1277.29	2240.11	1628.26	1498.22	1175.27	1583.71	1529.73	1135.2	995.0	830.75	1561.89	796.86	423.61	854.13	547.75	483.38	2271.4
HARS	1651.0	2018.8	1295.13	1662.49	1498.22	1119.56	1199.98	1313.23	1819.35	1295.13	878.17	1051.79	1733.13	638.15	684.02	836.53	703.28	346.29	2178.83
HNRNPAB	5913.33	5112.16	3235.01	10512.82	3467.27	2682.69	2047.0	3280.18	3955.48	2895.31	2090.03	2287.2	5255.91	981.29	1745.2	733.19	1662.49	1447.15	7433.4
IPO4	1594.73	1651.0	780.44	1008.9	1191.69	759.08	483.38	842.36	967.76	688.78	392.44	307.69	995.0	126.12	166.73	186.4	164.42	166.73	2133.97
KIAA0020	2875.3	1963.57	665.29	1199.98	995.0	1721.16	723.08	780.44	974.5	583.07	651.58	551.56	1397.83	189.02	341.51	236.21	329.84	368.65	1081.39
KLHDC4	457.25	1259.69	387.02	591.22	454.09	307.69	295.11	339.14	426.57	307.69	183.82	295.11	748.61	84.63	202.66	480.04	223.41	122.64	764.36
LANCL2	275.28	353.59	353.59	301.33	316.37	191.67	226.54	246.28	248.0	185.11	115.16	182.55	500.46	43.94	88.88	214.27	70.01	50.63	262.2
LRPPRC	1709.26	1963.57	878.17	1508.65	693.58	988.12	698.41	808.0	759.08	567.1	500.46	518.15	1437.15	361.04	447.82	559.28	435.55	397.93	2573.36
LSM12	1639.59	854.13	703.28	669.92	842.36	830.75	743.43	854.13	780.44	603.67	642.59	647.07	836.53	447.82	387.02	409.15	295.11	420.68	1651.0
LTV1	854.13	872.1	607.87	607.87	620.67	728.11	409.15	540.19	684.02	435.55	234.57	318.57	860.08	205.5	231.32	248.0	232.94	215.77	624.99
LYAR	902.89	1088.92	406.31	1096.5	547.75	764.36	277.2	728.11	583.07	262.2	251.48	277.2	830.75	271.48	154.42	275.28	239.52	170.25	1096.5
MARS	6745.86	2720.15	1909.85	1781.89	2335.28	2148.82	1529.73	2018.8	2104.58	1572.76	1096.5	1572.76	5711.87	1001.93	1572.76	728.11	1909.85	1437.15	2664.15
MECR	1001.93	718.08	480.04	624.99	595.34	551.56	363.56	384.34	480.04	460.44	295.11	387.02	884.29	139.07	170.25	361.04	363.56	185.11	679.29
MED19	409.15	463.65	423.61	1427.22	575.03	718.08	392.44	660.68	395.18	351.14	358.54	348.71	514.56	273.37	260.38	318.57	197.09	173.85	651.58
METTL1	1397.83	1119.56	595.34	872.1	1008.9	1096.5	212.78	780.44	620.67	371.22	265.87	438.59	698.41	111.21	229.72	111.99	316.37	154.42	1477.58
MKI67IP	2935.74	2816.11	1208.34	1487.87	1457.23	1457.23	902.89	1322.37	1572.76	1059.11	723.08	647.07	1709.26	759.08	303.44	575.03	406.31	511.0	2485.67
MPV17L2	409.15	395.18	248.0	381.68	351.14	177.53	140.04	336.79	384.34	285.03	122.64	154.42	312.0	126.12	183.82	83.45	155.5	171.45	748.61
MRPL4	3982.99	3349.13	2255.7	2758.13	2875.3	1313.23	1674.06	2502.97	2417.67	1685.71	1378.57	1183.45	2417.67	791.35	563.18	518.15	486.75	237.86	4066.71
MRPS12	2976.74	2367.9	1001.93	2075.59	1806.78	1378.57	698.41	1151.06	1159.07	830.75	775.05	693.58	1250.98	384.34	285.03	314.17	224.97	134.3	3395.89
MRTO4	2367.9	1259.69	587.13	1051.79	819.3	830.75	450.94	728.11	981.29	379.04	457.25	389.72	1096.5	209.84	212.78	202.66	199.85	127.89	1721.16
MYBBP1A	2417.67	2520.38	1286.18	1044.52	1498.22	1167.14	961.07	1313.23	1350.18	947.83	808.0	825.0	1721.16	186.4	312.0	237.86	334.46	161.02	1733.13
NAA10	5403.7	7130.55	2855.44	4769.75	4937.99	3372.43	2255.7	2976.74	3168.41	2645.74	1844.76	1870.53	2997.45	3303.0	2090.03	909.17	1844.76	1037.29	4903.87
