	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.FD.A3N6.01A.11R.A21D.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88W.01A.11R.A354.31	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.CV.7235.01A.11R.2016.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.BA.A6DG.01A.21R.A30B.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.6942.01A.21R.2016.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CR.7383.01A.11R.2132.07	TCGA.CN.5358.01A.01R.1514.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.CN.6018.01A.11R.1686.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7425.11A.01R.2081.07
ACVRL1	256.78	99.43	36.27	36.53	76.17	85.82	85.82	159.9	92.7	128.79	53.95	72.01	131.51	117.6	126.12	133.36	251.48	121.79	74.58	97.36	329.84	612.11	87.03	301.33	198.47	420.68	75.64	59.13	60.39	82.87	143.01	447.82	189.02	277.2	30.56	217.27	438.59	111.99	299.25	130.6	176.29	318.57	339.14	616.37	74.06	361.04	86.43	343.89	70.01	102.25	236.21	309.83	88.26	279.14	83.45	273.37	105.15	27.25	224.97	299.25	435.55	98.73	129.69	120.94	81.14	381.68	151.22	159.9	63.89	53.57	124.37	121.79	149.12	78.34	88.88
ADRA2A	19.39	0.61	0.69	0.99	1.46	3.99	2.43	9.63	267.73	2.86	7.06	1.5	8.45	34.51	17.64	13.93	96.01	1.08	1.95	6.73	18.56	180.02	1.68	66.65	27.84	40.93	12.27	5.11	1.75	5.92	8.45	112.77	74.58	24.99	1.43	87.65	68.07	4.43	53.95	14.14	13.32	116.78	72.01	275.28	0.93	75.11	3.29	41.22	2.12	5.87	11.82	16.03	23.25	173.85	11.47	111.99	2.12	0.0	59.55	125.24	212.78	3.53	16.75	21.16	5.77	215.77	19.53	50.63	19.97	3.96	51.35	34.51	12.64	1.1	37.32
ANGPTL2	387.02	167.9	79.45	37.85	120.94	154.42	103.69	277.2	152.28	93.35	152.28	25.91	214.27	348.71	463.65	287.01	1233.75	279.14	329.84	163.28	896.64	3540.14	206.94	665.29	473.41	1529.73	255.0	202.66	95.34	135.24	307.69	1417.35	713.11	1030.12	170.25	884.29	1044.52	199.85	1794.29	559.28	802.41	961.07	1059.11	3303.0	197.09	1127.35	182.55	1030.12	262.2	253.23	429.54	381.68	281.09	780.44	199.85	819.3	239.52	78.34	1769.57	1407.55	2004.85	241.19	412.0	579.04	121.79	2502.97	483.38	830.75	239.52	264.03	693.58	232.94	297.17	155.5	153.34
APLNR	454.09	29.06	14.67	8.19	14.89	56.68	12.74	211.31	503.95	21.63	12.74	5.32	26.28	47.84	134.3	121.79	381.68	111.99	69.03	35.5	92.05	320.8	20.11	327.56	186.4	237.86	43.32	49.91	43.32	42.11	30.56	297.17	120.1	122.64	10.71	96.01	447.82	45.53	438.59	20.26	93.35	346.29	334.46	1066.48	8.71	327.56	35.0	146.03	13.42	94.01	234.57	82.29	7.06	392.44	13.22	470.14	50.98	4.9	157.68	232.94	414.87	50.63	47.5	88.88	30.12	309.83	82.29	58.71	4.86	10.96	83.45	111.21	85.22	12.55	75.64
ARHGAP6	20.86	2.07	1.36	1.31	2.53	4.31	2.73	10.08	6.16	0.67	5.32	1.0	9.34	4.06	4.31	5.19	21.32	4.54	4.94	4.31	24.11	48.52	2.41	15.68	12.74	37.59	3.76	5.11	1.75	4.35	8.92	45.85	10.79	10.96	1.83	14.45	21.32	3.99	25.35	10.39	3.66	38.95	14.89	49.91	3.08	13.52	5.54	23.42	9.06	4.58	12.36	6.89	4.54	14.03	2.46	12.27	2.51	2.03	16.63	17.51	59.55	6.01	7.51	7.0	3.03	20.71	5.96	17.13	2.27	3.96	6.67	5.36	9.27	7.17	6.01
ARHGEF15	79.45	12.18	11.55	11.73	19.82	23.76	16.39	47.17	66.65	15.91	21.01	10.16	53.95	33.78	56.68	69.52	133.36	39.22	45.21	22.75	110.43	99.43	25.54	78.89	72.01	208.38	56.68	48.87	24.99	40.07	31.22	194.36	100.83	102.97	30.56	75.64	215.77	23.42	182.55	49.91	57.08	191.67	115.16	309.83	14.67	69.52	19.82	98.04	23.76	140.04	103.69	44.57	19.82	109.66	25.17	116.78	19.68	18.56	71.5	118.43	193.01	26.1	87.03	64.8	40.07	163.28	42.41	35.76	4.35	23.25	40.07	102.97	31.67	19.53	40.07
ASPN	389.72	60.82	24.28	36.53	49.56	30.78	19.97	332.14	18.97	23.76	10.55	15.0	78.89	205.5	140.04	137.14	2645.74	120.1	84.63	57.89	406.31	1950.0	32.82	1991.0	224.97	438.59	114.36	55.1	77.25	209.84	70.01	3690.52	176.29	563.18	11.82	1447.15	842.36	81.71	1757.34	165.57	136.19	2400.97	753.83	2609.3	40.36	3103.19	127.0	780.44	98.04	64.34	77.25	253.23	51.35	220.32	18.97	435.55	33.78	10.0	1417.35	860.08	1467.37	38.12	140.04	684.02	33.06	2997.45	102.25	1135.2	57.08	30.34	825.0	183.82	156.59	45.21	47.5
CD200	127.0	19.39	8.92	3.53	25.54	34.75	22.92	85.22	21.47	18.84	22.59	5.77	24.28	45.85	34.02	54.72	381.68	43.63	42.11	26.86	105.15	124.37	33.78	191.67	121.79	212.78	34.02	43.94	47.5	40.36	40.93	249.73	163.28	143.01	15.22	147.06	90.77	33.78	117.6	65.72	75.64	954.43	228.13	551.56	10.79	193.01	36.79	92.7	26.86	54.72	125.24	111.99	27.84	166.73	48.87	312.0	31.22	13.12	96.68	87.03	435.55	51.35	38.4	52.45	25.35	221.86	67.59	141.02	5.54	26.1	74.06	77.25	40.36	32.82	55.49
CD34	583.07	127.89	74.06	57.89	214.27	201.25	101.54	279.14	329.84	142.01	86.43	52.08	226.54	181.28	395.18	244.57	603.67	258.57	182.55	133.36	387.02	551.56	98.73	587.13	563.18	796.86	228.13	139.07	118.43	148.09	267.73	1378.57	397.93	525.39	92.7	414.87	802.41	134.3	607.87	191.67	291.04	830.75	753.83	1277.29	82.87	514.56	164.42	521.76	126.12	215.77	575.03	490.14	105.89	583.07	137.14	457.25	201.25	74.58	412.0	373.81	791.35	208.38	186.4	269.6	138.1	579.04	325.29	264.03	40.07	76.17	293.07	309.83	242.88	140.04	197.09
CD93	389.72	55.1	38.4	31.0	70.01	77.79	57.49	242.88	100.83	48.18	53.95	21.16	120.94	110.43	199.85	159.9	607.87	152.28	103.69	89.51	595.34	412.0	130.6	242.88	366.09	532.74	108.14	61.68	82.87	96.68	139.07	480.04	507.46	406.31	47.5	229.72	500.46	85.82	460.44	137.14	153.34	563.18	438.59	1088.92	54.33	218.79	137.14	571.05	163.28	119.26	376.41	262.2	108.14	529.06	87.03	607.87	121.79	25.54	199.85	314.17	1096.5	116.78	123.5	186.4	82.87	470.14	177.53	212.78	26.28	46.18	169.07	205.5	183.82	87.03	105.89
CDH5	336.79	40.36	25.72	20.41	57.89	58.3	38.95	127.0	73.03	52.08	57.49	23.93	115.16	90.77	189.02	145.02	358.54	121.79	101.54	75.11	389.72	348.71	71.0	234.57	299.25	414.87	107.38	62.56	72.52	77.79	134.3	629.35	305.55	339.14	40.36	169.07	397.93	67.59	389.72	136.19	159.9	503.95	320.8	825.0	32.59	205.5	87.65	438.59	121.79	112.77	353.59	229.72	70.51	423.61	59.55	368.65	93.35	31.0	229.72	224.97	665.29	92.05	97.36	130.6	74.58	406.31	127.89	136.19	18.84	49.91	151.22	175.07	133.36	65.72	102.25
CDH6	32.82	5.23	7.51	12.0	22.1	3.08	9.48	22.92	1.87	3.41	9.48	1.99	35.76	23.25	20.71	20.11	12.55	27.44	13.12	12.93	55.49	91.41	17.9	14.24	69.52	59.97	13.83	10.96	8.78	11.04	22.43	46.18	45.21	47.5	5.45	31.45	105.15	10.88	108.9	10.71	22.26	26.28	40.07	93.35	6.26	21.01	12.74	85.82	13.83	15.8	52.82	43.32	10.39	47.84	8.92	28.86	10.88	4.94	44.89	45.85	73.03	10.31	41.22	29.7	15.56	54.72	28.24	40.64	7.88	5.32	32.82	22.26	16.63	21.01	5.45
CHRD	12.09	7.0	1.69	4.5	4.31	15.0	4.54	13.52	1.57	11.73	15.45	6.31	26.47	26.86	16.75	30.12	76.17	11.91	13.32	10.08	71.5	255.0	7.0	113.56	29.91	59.13	16.03	15.8	8.92	9.2	28.24	136.19	66.65	63.89	2.23	65.26	85.82	13.03	93.35	38.95	42.41	133.36	89.51	215.77	10.0	141.02	11.55	52.08	12.45	22.59	20.56	46.5	6.31	45.53	9.13	53.95	9.78	3.29	108.14	99.43	157.68	16.51	15.11	31.0	9.41	136.19	18.03	90.77	24.46	10.63	35.5	15.22	17.51	27.64	9.27
