	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.GM.A3NW.01A.21R.A22K.07	TCGA.BH.A0E7.01A.11R.A034.07	TCGA.AC.A2FB.01A.11R.A17B.07	TCGA.BH.AB28.01A.31R.A41B.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.A8.A083.01A.21R.A00Z.07	TCGA.AR.A1AX.01A.11R.A12P.07	TCGA.AR.A0TP.01A.11R.A084.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.EW.A1J1.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.A7.A13D.01A.13R.A12P.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A8.A0AB.01A.11R.A034.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.A2.A04Q.01A.21R.A034.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.B6.A3ZX.01A.11R.A239.07	TCGA.AR.A0U3.01A.11R.A109.07	TCGA.D8.A27I.01A.11R.A16F.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.EW.A1P7.01A.21R.A144.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.BH.A0BR.01A.21R.A115.07	TCGA.AR.A1AP.01A.11R.A12P.07	TCGA.MS.A51U.01A.31R.A266.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.BH.A18J.01A.11R.A12D.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.BH.A0W4.01A.11R.A109.07	TCGA.BH.A0EB.01A.11R.A034.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.AC.A2FO.01A.11R.A180.07	TCGA.AN.A0AR.01A.11R.A00Z.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.C8.A26V.01A.11R.A16F.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.BH.A1F5.01A.12R.A13Q.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AC.A2BK.01A.11R.A21T.07	TCGA.AQ.A04J.01A.02R.A034.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.E9.A1N8.01A.11R.A144.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.BH.A1EY.01A.11R.A13Q.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.AO.A0J7.01A.11R.A034.07	TCGA.A7.A0CG.01A.12R.A056.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.A2.A0EU.01A.22R.A056.07	TCGA.A1.A0SB.01A.11R.A144.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.1313W.0826.SM.5EQ4T	GTEX.Q2AG.0326.SM.48U1O	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.117YW.0526.SM.5H11C
AMICA1	603.67	32.13	84.63	127.0	138.1	15.0	802.41	251.48	603.67	178.77	56.68	540.19	37.85	30.12	100.83	256.78	13.62	63.45	212.78	144.01	20.56	130.6	115.97	262.2	521.76	579.04	80.01	47.5	103.69	101.54	356.05	221.86	7.57	555.41	100.13	480.04	346.29	915.51	48.18	30.56	303.44	91.41	58.3	72.52	31.9	69.03	217.27	29.91	332.14	111.21	144.01	178.77	33.3	1594.73	14.89	343.89	708.18	84.04	336.79	66.18	136.19	80.01	567.1	33.06	141.02	13.32	33.54	361.04	128.79	327.56	463.65	59.97	201.25	163.28	85.22	291.04	34.26	229.72	22.92	470.14	612.11	293.07	279.14	26.28	29.06	122.64	329.84	152.28	10.08	22.92	34.02	23.42	381.68	77.25	55.89	47.84	136.19	854.13	87.65	52.82	113.56	470.14	115.16	198.47	115.16	162.14	158.79	93.35	142.01	224.97	320.8	104.42	595.34	183.82	718.08	460.44	285.03	379.04	130.6	149.12	267.73	209.84	656.11	221.86	150.17	56.68	130.6	71.5	120.94	236.21	82.29	591.22	543.96	190.34	928.3	1477.58
ARHGAP15	373.81	56.68	84.04	106.63	95.34	47.84	543.96	186.4	339.14	171.45	58.3	470.14	53.95	84.63	159.9	132.44	32.36	128.79	256.78	149.12	29.27	167.9	92.05	232.94	463.65	457.25	62.56	58.3	60.82	89.51	193.01	208.38	21.63	723.08	98.73	236.21	473.41	902.89	56.28	161.02	199.85	104.42	61.68	119.26	38.95	100.83	132.44	75.11	366.09	94.67	115.16	149.12	80.57	2664.15	35.5	267.73	289.02	80.01	253.23	53.57	229.72	121.79	379.04	63.45	183.82	57.08	54.33	312.0	108.14	244.57	629.35	84.63	161.02	148.09	60.39	287.01	92.05	199.85	32.82	447.82	329.84	275.28	256.78	31.0	59.55	127.89	248.0	173.85	17.9	74.06	94.01	39.22	246.28	70.51	84.63	21.63	164.42	679.29	147.06	178.77	153.34	429.54	191.67	137.14	113.56	206.94	211.31	134.3	297.17	206.94	182.55	146.03	226.54	140.04	718.08	231.32	285.03	55.49	199.85	50.27	170.25	409.15	503.95	142.01	127.0	307.69	232.94	237.86	242.88	202.66	181.28	189.02	244.57	599.49	497.0	896.64
ARHGAP30	587.13	105.15	183.82	202.66	112.77	78.89	571.05	316.37	595.34	249.73	59.13	825.0	93.35	64.8	180.02	316.37	291.04	86.43	332.14	215.77	97.36	224.97	187.71	412.0	733.19	638.15	186.4	70.51	127.89	119.26	217.27	277.2	141.02	1268.46	108.9	368.65	514.56	1183.45	172.65	201.25	361.04	138.1	100.83	206.94	140.04	87.65	205.5	58.71	521.76	239.52	256.78	251.48	48.52	1733.13	55.49	463.65	563.18	136.19	373.81	80.57	361.04	110.43	470.14	130.6	356.05	50.98	81.14	616.37	256.78	185.11	743.43	148.09	303.44	211.31	82.87	301.33	68.55	162.14	45.53	514.56	493.56	356.05	395.18	132.44	53.57	194.36	325.29	406.31	47.17	41.81	63.45	58.71	373.81	79.45	80.57	90.77	173.85	1059.11	170.25	138.1	110.43	348.71	146.03	208.38	117.6	239.52	220.32	96.01	165.57	231.32	348.71	214.27	316.37	551.56	417.77	500.46	229.72	182.55	967.76	260.38	460.44	57.49	450.94	185.11	201.25	101.54	111.99	267.73	45.21	173.85	148.09	395.18	473.41	242.88	587.13	808.0
ARHGAP9	638.15	140.04	172.65	176.29	145.02	75.11	723.08	301.33	624.99	341.51	76.17	1059.11	63.0	114.36	195.72	258.57	34.26	119.26	376.41	166.73	38.67	281.09	244.57	532.74	796.86	1242.34	107.38	48.52	167.9	140.04	285.03	255.0	54.72	1583.71	94.67	376.41	583.07	1540.37	163.28	343.89	420.68	178.77	58.3	185.11	70.01	89.51	155.5	62.12	698.41	170.25	180.02	303.44	61.25	4607.24	75.11	624.99	607.87	153.34	432.53	110.43	432.53	166.73	432.53	102.97	283.05	38.67	155.5	723.08	341.51	368.65	928.3	176.29	323.03	255.0	119.26	361.04	121.79	211.31	52.82	669.92	540.19	457.25	825.0	76.17	105.15	150.17	373.81	397.93	37.85	78.89	76.17	53.19	392.44	104.42	105.15	50.63	223.41	1286.18	140.04	218.79	96.01	679.29	211.31	275.28	123.5	241.19	303.44	119.26	205.5	267.73	265.87	204.07	158.79	107.38	466.88	444.72	358.54	198.47	318.57	226.54	297.17	156.59	595.34	246.28	93.35	131.51	287.01	91.41	358.54	125.24	258.57	1277.29	275.28	269.6	420.68	1216.75
BIN2	353.59	58.71	87.65	111.21	81.71	46.18	417.77	126.12	318.57	128.79	56.68	514.56	38.67	50.27	148.09	115.16	59.13	64.34	242.88	142.01	22.92	171.45	103.69	242.88	457.25	490.14	66.65	37.05	40.36	57.08	115.97	180.02	28.04	693.58	76.71	218.79	384.34	674.59	72.52	182.55	195.72	100.13	39.79	119.26	71.0	170.25	97.36	38.95	336.79	139.07	138.1	114.36	44.89	1806.78	31.22	214.27	289.02	62.12	260.38	61.25	255.0	97.36	251.48	49.56	215.77	12.45	61.68	368.65	136.19	132.44	438.59	99.43	169.07	138.1	51.71	267.73	48.18	115.97	27.25	309.83	356.05	299.25	387.02	139.07	24.63	76.17	217.27	229.72	20.86	29.48	41.22	30.78	226.54	64.34	40.93	33.06	106.63	718.08	107.38	120.94	59.55	249.73	118.43	115.16	68.07	135.24	145.02	80.57	126.12	148.09	332.14	38.12	325.29	98.73	366.09	220.32	128.79	158.79	47.84	167.9	199.85	49.56	169.07	162.14	61.68	57.89	236.21	112.77	30.34	109.66	170.25	473.41	414.87	148.09	293.07	217.27
C11orf21	33.78	10.55	14.35	14.14	9.93	2.07	24.99	24.99	67.59	43.32	2.25	80.01	1.22	10.55	10.08	24.81	0.46	7.4	17.0	4.98	1.41	35.25	18.84	31.9	54.33	44.25	15.11	4.39	8.71	7.4	7.75	13.12	1.1	242.88	2.73	23.42	19.82	73.54	2.53	7.75	46.5	4.94	1.45	4.24	2.39	0.8	10.31	1.57	41.22	9.06	14.67	19.82	0.78	264.03	1.57	72.52	57.89	1.87	13.42	7.17	16.63	12.18	41.52	2.89	27.05	1.79	5.41	21.32	20.11	14.78	35.25	1.85	37.32	4.94	6.52	24.28	8.65	10.55	2.01	32.82	50.63	24.28	19.53	2.16	2.41	9.13	26.86	8.19	0.97	0.75	2.05	0.44	22.43	3.86	5.23	2.48	17.13	157.68	5.02	14.45	5.96	21.32	7.57	18.43	6.94	3.35	24.11	8.38	7.34	16.27	31.67	12.36	37.05	36.01	46.84	28.65	12.74	25.35	18.97	3.76	24.63	4.13	24.11	58.3	13.62	4.43	20.71	9.56	4.17	20.86	5.45	61.25	37.85	21.16	22.1	76.71
C16orf54	158.79	9.7	18.7	19.25	31.0	4.06	181.28	61.25	116.78	63.0	6.52	211.31	2.66	10.0	38.95	36.01	5.19	10.39	66.18	26.47	3.76	31.0	29.48	100.13	220.32	161.02	37.59	9.93	15.0	10.63	30.78	50.63	1.77	392.44	18.16	92.05	100.13	373.81	17.25	11.21	74.58	24.46	9.7	16.27	12.0	8.58	44.57	6.16	92.05	28.45	31.67	55.49	3.89	718.08	4.13	98.73	107.38	6.21	74.06	4.78	47.17	18.16	129.69	9.48	59.13	2.71	9.48	85.22	22.75	44.25	289.02	7.69	62.12	34.02	12.0	53.95	13.12	57.08	6.21	90.77	136.19	92.05	36.01	9.93	5.87	42.11	58.71	29.48	1.3	3.79	6.89	5.11	115.16	14.14	14.67	4.58	39.5	258.57	37.85	32.36	16.27	78.34	35.25	71.0	36.01	63.45	47.17	29.48	78.89	52.82	152.28	2.58	135.24	51.35	92.05	49.91	36.79	56.68	128.79	98.04	72.52	13.22	24.63	53.19	13.12	12.93	138.1	12.27	17.64	35.76	102.97	115.16	147.06	50.98	72.52	43.94
CARD11	99.43	26.67	63.89	53.19	49.21	23.25	244.57	110.43	150.17	98.04	12.27	305.55	8.71	14.78	67.12	87.65	7.57	21.32	130.6	43.94	15.22	77.79	61.25	167.9	244.57	181.28	34.51	13.93	25.54	38.67	46.5	88.88	7.46	521.76	28.86	96.68	172.65	423.61	39.5	137.14	134.3	32.36	13.32	81.71	29.48	17.64	55.89	17.64	161.02	45.53	64.8	78.89	14.35	961.07	14.78	162.14	182.55	34.02	130.6	16.63	117.6	46.84	147.06	23.08	101.54	4.74	32.36	121.79	66.65	40.36	279.14	52.08	80.57	42.41	24.28	74.58	6.21	72.52	6.94	176.29	147.06	111.21	248.0	12.09	15.11	57.49	67.12	87.03	4.66	19.25	19.25	13.52	98.73	24.46	23.08	27.05	37.85	353.59	39.5	33.78	22.92	46.18	25.35	56.28	41.81	47.84	80.01	43.63	18.29	80.01	104.42	42.41	140.04	49.56	96.01	62.56	92.7	116.78	72.01	34.75	78.34	12.83	103.69	87.65	67.12	18.56	46.84	29.91	13.42	68.55	88.88	224.97	74.58	53.95	191.67	204.07
CCR4	176.29	1.95	11.55	30.56	22.43	4.98	256.78	43.63	102.97	14.03	2.66	217.27	1.1	12.27	26.86	43.32	4.5	12.09	77.25	29.91	16.39	49.21	30.12	148.09	258.57	93.35	3.82	8.78	9.2	6.06	52.82	42.71	14.78	223.41	59.55	74.06	111.21	178.77	13.93	1.0	55.1	38.67	9.41	21.94	4.35	3.35	26.1	6.89	82.87	52.45	43.02	43.32	8.25	379.04	0.59	87.65	45.53	6.94	94.01	14.67	65.72	16.63	123.5	9.48	32.13	2.61	5.11	50.98	58.3	29.91	221.86	7.57	28.45	33.78	2.43	25.72	17.51	40.93	1.25	155.5	181.28	43.94	7.69	4.24	2.25	33.78	115.16	26.86	0.87	3.44	4.35	6.73	133.36	10.96	18.29	1.93	17.25	291.04	5.96	4.78	6.46	37.05	4.5	8.99	10.96	6.67	21.47	3.41	18.84	8.13	4.78	4.74	43.02	2.01	11.73	42.71	3.79	30.78	4.58	6.52	96.68	19.53	16.63	3.76	6.06	5.36	43.63	14.35	3.0	2.89	7.88	22.43	66.18	18.56	126.12	13.93
CCR5	277.2	23.59	37.59	64.34	39.22	13.12	521.76	78.34	336.79	59.97	19.68	412.0	10.96	37.59	111.21	80.57	22.59	25.35	316.37	129.69	8.78	81.14	73.54	206.94	305.55	429.54	43.94	19.82	33.78	24.81	93.35	166.73	17.0	265.87	61.25	133.36	260.38	253.23	41.81	33.3	124.37	80.57	20.41	64.8	23.42	71.5	54.72	23.25	318.57	87.65	80.01	69.03	10.88	490.14	11.21	90.14	161.02	27.64	241.19	22.59	175.07	56.28	206.94	31.45	305.55	5.19	49.56	281.09	137.14	62.12	201.25	62.12	67.59	126.12	39.22	146.03	29.7	87.03	16.75	148.09	202.66	334.46	258.57	31.0	18.03	47.5	141.02	140.04	7.57	14.89	27.05	17.25	206.94	53.95	49.91	12.09	48.52	460.44	29.27	51.71	28.45	185.11	65.72	55.1	53.19	53.19	74.06	46.5	47.84	78.34	133.36	9.27	316.37	26.28	132.44	65.26	84.04	66.65	38.12	53.19	102.25	58.3	88.88	42.71	16.63	16.39	170.25	38.12	36.79	70.51	117.6	132.44	316.37	75.64	199.85	265.87
