	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13S86.0826.SM.5SI6J	GTEX.11ONC.1526.SM.5GU6S	GTEX.ZZPT.1426.SM.5N9C5	GTEX.R45C.1226.SM.48FEE	GTEX.XK95.1026.SM.4GIDV	GTEX.WVLH.1426.SM.4MVNX	GTEX.139TU.1226.SM.5J2NL	GTEX.Y5V6.1026.SM.4VBS2	GTEX.UPK5.1226.SM.4IHL8	GTEX.QDVN.1026.SM.48TZA	GTEX.11DZ1.2026.SM.5A5KG	GTEX.RN64.1026.SM.48FDX	GTEX.ZPCL.1426.SM.57WEC	GTEX.U3ZH.1026.SM.4DXUZ	GTEX.S33H.0826.SM.4AD5Y	TCGA.CV.7261.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7424.11A.01R.2081.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.6935.11A.01R.1915.07	GTEX.12WSM.1826.SM.5BC64	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.8462.11A.01R.2343.13	GTEX.11NUK.2426.SM.5BC4U
AC093157.1	9.13	11.47	7.11	4.5	4.62	8.45	3.66	19.25	11.13	52.45	43.94	34.26	16.03	25.17	10.96	29.91	11.13	42.41	25.91	7.51	22.1	26.86	0.74	0.78	0.77	2.73	3.66	1.28	1.11	0.0	0.71	0.87	0.17	0.57	2.32	0.93
ACIN1	1605.83	1806.78	2224.63	2855.44	2240.11	2335.28	2224.63	3349.13	2148.82	4543.8	3742.05	3515.68	2434.5	3349.13	2645.74	4575.41	2682.69	4358.66	2555.58	2976.74	2997.45	3794.3	1572.76	1313.23	651.58	1909.85	1457.23	1268.46	1015.93	435.55	1051.79	1051.79	1233.75	791.35	1498.22	995.0
ACRBP	83.45	14.24	39.22	20.71	22.92	49.56	14.89	79.45	36.01	140.04	54.72	72.52	23.25	48.87	65.26	92.05	31.67	144.01	47.5	32.13	70.51	117.6	9.56	14.03	10.79	26.28	9.63	16.15	1.43	12.83	12.36	4.24	7.88	10.24	13.42	30.34
AGAP6	49.21	178.77	239.52	236.21	239.52	251.48	215.77	285.03	327.56	802.41	595.34	486.75	211.31	397.93	186.4	438.59	293.07	559.28	283.05	466.88	325.29	323.03	54.72	34.51	18.7	108.14	81.71	29.48	42.71	7.46	20.11	31.67	31.67	27.84	121.79	21.94
ANKHD1-EIF4EBP3	460.44	356.05	201.25	62.12	211.31	152.28	255.0	616.37	316.37	209.84	305.55	480.04	329.84	348.71	400.71	327.56	277.2	348.71	316.37	241.19	336.79	486.75	309.83	307.69	111.99	343.89	218.79	341.51	106.63	122.64	162.14	291.04	173.85	334.46	248.0	16.88
ANKRD13D	1427.22	1001.93	2018.8	2417.67	2090.03	2032.85	2075.59	1407.55	2701.35	2915.45	2796.65	2875.3	2645.74	2739.08	1023.0	2417.67	1119.56	2701.35	2645.74	1388.16	1605.83	2133.97	703.28	688.78	454.09	651.58	603.67	521.76	334.46	211.31	785.88	759.08	414.87	551.56	796.86	327.56
ANKS3	183.82	316.37	334.46	323.03	228.13	409.15	293.07	334.46	414.87	780.44	674.59	497.0	400.71	575.03	234.57	521.76	283.05	642.59	387.02	414.87	285.03	457.25	170.25	147.06	55.1	198.47	162.14	76.71	77.25	40.36	77.79	111.21	54.33	50.63	170.25	38.95
ARHGEF19	974.5	954.43	497.0	624.99	447.82	536.45	583.07	511.0	848.22	1143.1	884.29	669.92	748.61	1081.39	656.11	1225.22	551.56	995.0	529.06	612.11	967.76	890.44	555.41	796.86	327.56	629.35	603.67	457.25	432.53	236.21	417.77	902.89	483.38	329.84	470.14	35.5
ATAD3C	35.0	33.3	51.71	72.52	67.59	102.97	31.9	128.79	36.79	87.03	121.79	57.08	13.22	56.68	24.28	55.89	36.53	146.03	26.47	33.3	23.25	161.02	6.84	35.0	31.9	76.17	23.93	60.39	34.51	26.28	3.66	30.56	1.03	20.71	30.56	7.46
ATG4B	647.07	651.58	1508.65	1427.22	1322.37	1936.53	1583.71	2032.85	1605.83	2573.36	1883.54	1923.14	1674.06	2075.59	1191.69	2573.36	1397.83	2032.85	1437.15	1685.71	1427.22	2240.11	1096.5	1015.93	902.89	995.0	1001.93	884.29	698.41	473.41	764.36	808.0	638.15	521.76	921.88	775.05
ATHL1	83.45	343.89	995.0	1037.29	457.25	595.34	384.34	1167.14	381.68	2255.7	1467.37	616.37	486.75	872.1	218.79	1487.87	432.53	1073.91	271.48	476.71	384.34	579.04	92.7	112.77	28.04	185.11	158.79	52.82	43.02	8.71	31.45	47.5	23.08	30.12	117.6	187.71
ATXN7L2	53.19	115.16	121.79	159.9	111.99	175.07	116.78	153.34	157.68	265.87	291.04	136.19	125.24	190.34	83.45	178.77	119.26	217.27	167.9	114.36	102.25	139.07	60.82	82.87	50.63	97.36	69.03	59.55	37.59	59.13	77.79	68.07	63.45	66.65	63.0	14.14
AUP1	1844.76	2384.37	2956.17	3018.3	2537.92	4123.49	2777.33	4095.0	3540.14	7485.11	5255.91	4671.57	3467.27	4010.71	3060.45	4481.23	3168.41	6792.79	2976.74	3303.0	3146.52	4095.0	2400.97	2209.26	3491.39	2520.38	2119.22	2502.97	1857.6	2004.85	1909.85	1857.6	1909.85	1991.0	2119.22	1806.78
AVIL	96.01	61.25	62.12	77.25	68.07	51.71	43.94	264.03	47.84	232.94	264.03	182.55	57.89	109.66	128.79	79.45	111.99	130.6	74.06	201.25	169.07	228.13	43.32	25.54	10.16	64.8	88.88	14.89	14.14	9.78	6.94	15.8	12.09	21.78	61.68	11.64
B3GAT3	406.31	684.02	490.14	603.67	473.41	379.04	435.55	575.03	647.07	941.27	1081.39	753.83	679.29	743.43	392.44	848.22	454.09	785.88	624.99	426.57	551.56	595.34	336.79	438.59	226.54	371.22	435.55	329.84	323.03	281.09	182.55	228.13	223.41	193.01	291.04	220.32
BCO2	191.67	193.01	202.66	381.68	309.83	183.82	151.22	409.15	221.86	361.04	128.79	314.17	318.57	258.57	289.02	563.18	158.79	134.3	151.22	395.18	90.14	563.18	253.23	109.66	260.38	189.02	94.67	177.53	102.25	40.93	76.17	61.68	135.24	35.76	148.09	5.15
C19orf66	921.88	457.25	769.69	674.59	884.29	872.1	507.46	507.46	551.56	1427.22	974.5	753.83	587.13	921.88	432.53	819.3	500.46	1437.15	409.15	684.02	571.05	718.08	283.05	387.02	224.97	429.54	406.31	239.52	104.42	101.54	224.97	239.52	182.55	202.66	325.29	521.76
C9orf114	500.46	967.76	1023.0	1340.84	693.58	1059.11	872.1	1044.52	890.44	1467.37	1487.87	1143.1	954.43	1183.45	1081.39	1745.2	878.17	1583.71	848.22	915.51	981.29	1250.98	808.0	974.5	728.11	830.75	878.17	1143.1	507.46	1037.29	909.17	595.34	679.29	769.69	759.08	215.77
C9orf37	110.43	150.17	204.07	166.73	151.22	293.07	167.9	181.28	316.37	339.14	376.41	285.03	277.2	277.2	131.51	316.37	204.07	332.14	236.21	221.86	201.25	271.48	101.54	118.43	80.01	136.19	111.99	98.04	124.37	78.34	48.18	77.25	90.77	40.93	137.14	94.67
CCDC154	2.81	28.65	18.7	28.04	12.83	23.76	7.94	50.98	47.17	78.89	60.39	39.79	63.0	48.18	21.94	52.08	15.11	81.14	30.34	45.85	46.84	70.01	3.23	0.83	0.0	6.21	2.76	0.0	1.17	0.14	4.54	0.0	0.96	1.97	6.62	0.04
CCDC88C	638.15	791.35	186.4	226.54	134.3	176.29	256.78	665.29	769.69	616.37	674.59	785.88	802.41	947.83	591.22	718.08	376.41	723.08	603.67	457.25	575.03	656.11	414.87	348.71	135.24	476.71	262.2	299.25	251.48	142.01	295.11	395.18	277.2	151.22	525.39	255.0
CDAN1	117.6	186.4	221.86	212.78	190.34	220.32	202.66	237.86	241.19	420.68	381.68	281.09	201.25	297.17	202.66	373.81	183.82	353.59	226.54	231.32	271.48	301.33	146.03	138.1	63.89	165.57	102.97	135.24	88.26	39.79	92.05	100.83	67.59	67.12	127.89	47.17
CDH24	180.02	109.66	242.88	571.05	291.04	346.29	162.14	137.14	246.28	511.0	599.49	183.82	253.23	366.09	175.07	356.05	139.07	285.03	236.21	217.27	218.79	236.21	73.03	42.71	19.82	59.13	50.27	43.63	21.16	16.63	63.0	64.8	47.17	62.12	115.16	54.33
CDK10	684.02	915.51	1268.46	1477.58	1159.07	1259.69	1088.92	2047.0	1909.85	3716.2	2956.17	2591.27	1883.54	2627.46	1583.71	2485.67	1457.23	3443.31	1936.53	2384.37	1721.16	2573.36	532.74	540.19	438.59	759.08	633.73	567.1	346.29	195.72	612.11	389.72	403.5	251.48	819.3	447.82
CDK18	303.44	115.16	133.36	172.65	111.99	125.24	101.54	450.94	435.55	1628.26	848.22	417.77	607.87	638.15	229.72	656.11	212.78	1594.73	193.01	392.44	397.93	559.28	133.36	163.28	45.85	211.31	214.27	95.34	140.04	22.43	118.43	103.69	93.35	30.12	158.79	312.0
CHD3	674.59	1159.07	1617.0	1594.73	1286.18	1127.35	1561.89	2816.11	1685.71	3168.41	3443.31	2209.26	1923.14	3124.78	2090.03	2976.74	1794.29	3349.13	1628.26	2104.58	1844.76	2468.49	928.3	1183.45	269.6	1674.06	1001.93	890.44	909.17	299.25	713.11	791.35	540.19	703.28	1208.34	412.0
CHKB-CPT1B	241.19	57.49	97.36	151.22	91.41	126.12	181.28	258.57	223.41	967.76	289.02	251.48	202.66	392.44	137.14	441.64	209.84	555.41	134.3	279.14	237.86	429.54	79.45	23.25	24.81	105.15	57.08	14.67	10.0	8.78	20.86	6.26	17.51	18.97	180.02	11.82
CLASRP	693.58	1037.29	1477.58	1977.24	1191.69	2047.0	1397.83	2075.59	2104.58	6516.03	3794.3	2855.44	2816.11	2997.45	1313.23	3039.3	1477.58	4181.07	2119.22	2777.33	1794.29	2384.37	587.13	454.09	269.6	764.36	583.07	373.81	406.31	84.63	376.41	305.55	253.23	271.48	995.0	346.29
CLDN15	71.0	173.85	248.0	223.41	201.25	441.64	149.12	450.94	130.6	1242.34	1059.11	470.14	175.07	371.22	161.02	376.41	201.25	718.08	121.79	279.14	234.57	450.94	51.35	44.89	19.11	69.03	27.64	37.32	16.15	19.53	28.86	36.01	28.24	59.13	65.72	33.3
CLEC16A	368.65	277.2	363.56	384.34	373.81	332.14	417.77	476.71	555.41	392.44	414.87	543.96	511.0	473.41	366.09	466.88	361.04	463.65	490.14	409.15	503.95	543.96	400.71	351.14	138.1	400.71	353.59	379.04	241.19	260.38	470.14	551.56	460.44	363.56	368.65	157.68
CNOT3	483.38	733.19	1037.29	1250.98	941.27	1175.27	866.07	1340.84	896.64	1359.57	1322.37	1322.37	836.53	1037.29	842.36	1268.46	791.35	1322.37	941.27	988.12	1059.11	1340.84	674.59	743.43	318.57	713.11	591.22	679.29	466.88	241.19	620.67	567.1	497.0	323.03	563.18	185.11
CNTROB	571.05	575.03	698.41	647.07	647.07	723.08	555.41	674.59	961.07	1151.06	1295.13	836.53	902.89	934.76	684.02	1044.52	518.15	1350.18	656.11	748.61	748.61	753.83	490.14	486.75	148.09	486.75	412.0	466.88	221.86	236.21	435.55	316.37	287.01	262.2	376.41	193.01
COPS7B	327.56	480.04	808.0	723.08	651.58	769.69	547.75	819.3	728.11	1529.73	1437.15	995.0	775.05	1225.22	669.92	1199.98	693.58	1250.98	819.3	947.83	854.13	1044.52	381.68	356.05	239.52	473.41	470.14	351.14	384.34	175.07	314.17	287.01	305.55	264.03	521.76	215.77
CPT1B	603.67	293.07	463.65	493.56	400.71	555.41	470.14	1183.45	1044.52	4671.57	1870.53	1159.07	1250.98	1583.71	575.03	2047.0	825.0	2816.11	660.68	884.29	802.41	1870.53	215.77	29.48	48.87	381.68	171.45	48.87	133.36	90.77	215.77	40.36	157.68	137.14	242.88	53.19
CRNN	971597.0	706337.4	2171106.91	1221310.69	2805836.45	951601.81	4107985.47	74760.09	148488.36	7749.1	6561.36	77934.88	102125.66	26614.89	29531.18	53601.03	49666.0	1819.35	142439.51	144427.91	41188.81	38697.77	95949.32	94628.34	116501.39	59474.18	133825.1	109455.64	1508.65	3336720.86	4851500.88	6183532.28	4558095.38	5534416.31	46986.85	30.78
CTD-2369P2.10	1.41	10.24	17.13	10.96	6.89	13.93	14.89	13.52	11.47	31.9	17.77	13.62	6.73	10.55	7.28	24.28	6.52	32.36	6.11	15.22	9.2	17.51	5.32	5.23	12.09	6.73	7.94	2.89	4.31	2.27	3.11	2.78	7.88	1.51	5.11	0.96
DDX51	135.24	277.2	379.04	361.04	208.38	353.59	271.48	356.05	444.72	633.73	493.56	567.1	281.09	470.14	246.28	543.96	371.22	928.3	379.04	397.93	271.48	376.41	221.86	157.68	57.89	206.94	166.73	229.72	111.21	108.9	151.22	139.07	132.44	100.13	205.5	59.97
DENND4B	226.54	241.19	780.44	633.73	420.68	915.51	603.67	830.75	607.87	1605.83	961.07	819.3	612.11	802.41	483.38	1073.91	591.22	1529.73	500.46	595.34	624.99	738.29	260.38	204.07	76.17	327.56	212.78	195.72	133.36	122.64	273.37	150.17	171.45	120.1	346.29	189.02
DMRTA2	0.0	3.06	21.94	52.82	18.56	39.22	32.59	38.95	37.32	11.73	17.0	64.8	14.56	88.88	57.49	36.27	15.68	16.63	27.64	16.75	104.42	75.11	0.0	0.0	0.0	2.29	0.0	0.0	2.41	0.0	7.69	0.88	0.93	64.34	14.24	0.0
E4F1	463.65	514.56	493.56	447.82	409.15	432.53	476.71	490.14	500.46	878.17	808.0	624.99	693.58	769.69	379.04	638.15	406.31	620.67	555.41	543.96	547.75	612.11	275.28	248.0	155.5	289.02	241.19	285.03	239.52	114.36	221.86	193.01	209.84	258.57	320.8	77.79
ENGASE	108.14	236.21	444.72	616.37	214.27	480.04	287.01	802.41	438.59	2178.83	1066.48	713.11	454.09	723.08	429.54	896.64	483.38	1498.22	486.75	753.83	518.15	507.46	111.99	77.25	26.28	231.32	100.83	82.29	76.71	31.0	49.91	50.98	44.89	42.11	171.45	183.82
ENTHD2	218.79	503.95	796.86	825.0	684.02	802.41	780.44	902.89	571.05	1909.85	1295.13	915.51	708.18	1233.75	775.05	1369.04	703.28	1225.22	825.0	1044.52	748.61	1088.92	205.5	208.38	108.9	339.14	232.94	214.27	165.57	62.12	149.12	155.5	118.43	120.1	358.54	94.01
