	GTEX.WRHU.0326.SM.3MJFY	GTEX.WZTO.1726.SM.4PQYV	TCGA.A3.3378.01A.02R.1325.07	GTEX.11WQC.0626.SM.5EQMF	GTEX.131XW.1126.SM.5EGK4	GTEX.Q2AG.1026.SM.33HBW	GTEX.QEG4.0526.SM.48TZD	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.A7NG.01A.31R.A33R.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.5501.01A.01R.1580.07	TCGA.EJ.5512.01A.01R.1580.07	TCGA.VP.A872.01A.11R.A352.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.HC.7209.01A.11R.2118.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.HC.7736.01A.11R.2118.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WH7G.1726.SM.4LVKY	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.13FTW.1226.SM.5LZZ1	GTEX.YF7O.1926.SM.4W1YQ	GTEX.ZY6K.1526.SM.5GZXE	GTEX.X5EB.1826.SM.4E3K8	GTEX.11NSD.0826.SM.5986S	GTEX.REY6.2126.SM.48FD9	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.SJXC.2026.SM.4DM6N	GTEX.1399R.0526.SM.5IJEF	GTEX.11TUW.2126.SM.5GU7B	GTEX.QV31.1026.SM.4R1K3	GTEX.11O72.2726.SM.5HL6K	GTEX.ZTX8.1026.SM.5EGHD	TCGA.IN.AB1V.11A.11R.A414.31
ABT1	267.73	194.36	281.09	297.17	220.32	185.11	297.17	420.68	258.57	395.18	381.68	323.03	412.0	412.0	366.09	389.72	239.52	395.18	400.71	307.69	297.17	341.51	400.71	361.04	381.68	376.41	314.17	432.53	341.51	423.61	406.31	307.69	334.46	253.23	463.65	403.5	379.04	432.53	381.68	356.05	277.2	316.37	381.68	376.41	426.57	356.05	373.81	441.64	414.87	363.56	356.05	409.15	447.82	450.94	332.14	447.82	463.65	497.0	373.81	511.0	450.94	389.72	612.11	371.22	325.29	327.56	392.44	423.61	389.72	400.71	392.44	332.14	389.72	336.79	432.53	371.22	441.64	629.35	420.68	444.72	438.59	291.04	466.88	395.18	376.41	414.87	208.38	389.72	403.5	466.88	251.48	493.56	301.33
ADRM1	1259.69	1388.16	1437.15	1427.22	1417.35	743.43	1662.49	3467.27	1991.0	1540.37	2816.11	1551.09	2682.69	2895.31	2133.97	2777.33	1583.71	2351.53	2777.33	2018.8	2004.85	2119.22	2701.35	2609.3	2319.15	2701.35	2739.08	1781.89	3491.39	2664.15	2384.37	1844.76	2255.7	1832.01	3820.7	3018.3	2502.97	2384.37	2367.9	1923.14	1508.65	2061.24	2537.92	2573.36	2720.15	1857.6	1883.54	2163.77	3146.52	2502.97	3212.66	2104.58	1909.85	2335.28	1857.6	1950.0	2319.15	2224.63	2451.44	1674.06	2104.58	2720.15	2133.97	1883.54	2178.83	2555.58	2351.53	1977.24	1832.01	2032.85	2555.58	2537.92	2520.38	2061.24	2997.45	2468.49	2777.33	2915.45	3018.3	2609.3	1963.57	1628.26	2915.45	2645.74	2434.5	2855.44	1769.57	1936.53	3081.75	2701.35	1709.26	3146.52	1909.85
ANAPC11	1457.23	2255.7	1551.09	1551.09	1447.15	1073.91	1628.26	5041.77	3235.01	2573.36	4181.07	3349.13	5112.16	6337.83	4038.61	4704.07	2502.97	4038.61	5041.77	3235.01	3491.39	3060.45	4836.35	5672.41	4836.35	4512.4	3982.99	3794.3	5995.9	4268.94	3564.78	3768.09	3372.43	2835.7	9540.5	5366.37	4575.41	4802.93	5112.16	3515.68	3235.01	3103.19	5255.91	5913.33	6516.03	2935.74	2758.13	4358.66	6207.38	4512.4	5791.62	4481.23	2701.35	4481.23	2609.3	3395.89	5517.27	4671.57	5006.93	7537.18	3665.02	6207.38	5831.91	2777.33	4123.49	3690.52	4210.15	2720.15	2976.74	5006.93	6792.79	4152.18	5672.41	4095.0	5329.3	4937.99	5255.91	5329.3	4010.71	5954.47	4181.07	4769.75	5403.7	5441.3	2915.45	6699.25	5112.16	4268.94	5292.48	4543.8	3639.7	5479.15	2032.85
ATP5G1	2591.27	2240.11	2875.3	713.11	1697.45	934.76	1909.85	6381.92	3564.78	3467.27	4268.94	4388.98	5255.91	5791.62	4575.41	5292.48	3257.52	4937.99	6381.92	3614.55	3081.75	3847.29	4210.15	6983.79	4836.35	4736.79	4388.98	4671.57	6381.92	5517.27	4123.49	4802.93	4450.27	3467.27	8305.36	4704.07	5183.54	4972.34	4481.23	4639.29	3716.2	3146.52	5041.77	5954.47	6294.04	3467.27	3716.2	4210.15	6079.61	4328.55	5006.93	4419.52	3103.19	4388.98	2895.31	3419.52	4639.29	4388.98	5041.77	6381.92	3540.14	4903.87	5112.16	3325.99	3665.02	3955.48	3564.78	3419.52	4210.15	5147.73	6381.92	3820.7	5112.16	4038.61	5555.65	4095.0	6652.97	8134.41	7331.05	6294.04	4152.18	4736.79	6164.49	6337.83	2468.49	5329.3	4543.8	3928.15	5255.91	4802.93	3419.52	4769.75	2367.9
AURKAIP1	1104.13	1757.34	1250.98	769.69	802.41	500.46	1096.5	5006.93	2255.7	1651.0	3103.19	1896.65	3794.3	3614.55	3103.19	3794.3	1733.13	2895.31	3168.41	2032.85	2303.12	2451.44	3103.19	4010.71	2645.74	3325.99	2816.11	2777.33	4671.57	3103.19	2796.65	2417.67	2627.46	1896.65	4704.07	4181.07	3081.75	2915.45	3103.19	2573.36	1844.76	2032.85	3901.01	5791.62	4575.41	2032.85	2061.24	3146.52	4543.8	2682.69	4066.71	2627.46	1991.0	3280.18	1819.35	2075.59	2875.3	2645.74	2875.3	4010.71	2468.49	4095.0	2895.31	1806.78	2303.12	2796.65	2468.49	1896.65	1991.0	3060.45	4181.07	2303.12	3419.52	2855.44	3081.75	2855.44	3303.0	3742.05	3280.18	3928.15	2351.53	3018.3	3564.78	3257.52	2209.26	4152.18	2573.36	1991.0	3716.2	3690.52	2271.4	4152.18	1662.49
BCAP31	4836.35	2163.77	4239.45	3018.3	3614.55	4095.0	3928.15	6426.31	5403.7	4836.35	6652.97	4704.07	5672.41	8840.04	5555.65	6471.02	5292.48	6121.9	6840.04	4704.07	5517.27	6037.61	6516.03	8134.41	6561.36	6381.92	5517.27	6121.9	6699.25	6887.62	4972.34	6337.83	5995.9	4419.52	8901.53	8658.09	5913.33	6294.04	6121.9	4704.07	6079.61	5329.3	7433.4	6207.38	7331.05	5292.48	5479.15	7032.37	7433.4	7589.61	7537.18	6561.36	4836.35	6840.04	4450.27	5555.65	7280.4	5479.15	7803.01	7382.04	5711.87	9673.69	6121.9	3955.48	6426.31	5517.27	6250.56	4358.66	5711.87	7382.04	9876.98	5672.41	6652.97	6887.62	9088.59	6887.62	8718.32	7803.01	5255.91	7485.11	7857.29	6037.61	10225.32	8901.53	6471.02	7803.01	5831.91	6294.04	7230.1	8134.41	4937.99	10733.74	3039.3
BRMS1	466.88	435.55	620.67	397.93	483.38	271.48	559.28	1487.87	660.68	684.02	1331.57	603.67	1151.06	1529.73	1242.34	1259.69	669.92	988.12	1199.98	769.69	825.0	866.07	1605.83	1388.16	1295.13	995.0	1104.13	981.29	1745.2	1388.16	1143.1	954.43	813.63	660.68	1477.58	1639.59	954.43	1250.98	1030.12	830.75	836.53	896.64	1340.84	1369.04	1733.13	718.08	723.08	1540.37	1605.83	1111.82	1268.46	941.27	866.07	1295.13	616.37	1008.9	1135.2	941.27	1457.23	1208.34	1135.2	2047.0	995.0	693.58	1051.79	825.0	1191.69	718.08	1008.9	1340.84	1477.58	934.76	1467.37	1111.82	1369.04	1242.34	1286.18	1397.83	1322.37	1388.16	1135.2	651.58	1508.65	1242.34	1225.22	1651.0	1051.79	1066.48	1208.34	1359.57	947.83	1487.87	480.04
BUD31	1685.71	1467.37	1437.15	1001.93	842.36	1286.18	1015.93	2485.67	1498.22	2004.85	1950.0	1781.89	2004.85	2520.38	2090.03	2537.92	1819.35	2090.03	2133.97	1794.29	1832.01	1745.2	2209.26	2573.36	2645.74	2255.7	2018.8	2209.26	3039.3	2417.67	1794.29	1909.85	1757.34	1936.53	2976.74	2520.38	1977.24	2400.97	2645.74	1794.29	2148.82	1844.76	2451.44	2875.3	2720.15	1628.26	1757.34	2032.85	2915.45	1883.54	2468.49	2367.9	1832.01	1936.53	1583.71	2004.85	2485.67	2434.5	2591.27	4298.64	2400.97	2384.37	3190.46	1529.73	1909.85	2018.8	2193.99	1757.34	1909.85	3081.75	2664.15	1721.16	2935.74	2018.8	1936.53	2520.38	2224.63	2855.44	4543.8	3235.01	1936.53	2417.67	1806.78	2701.35	1806.78	2485.67	2591.27	1870.53	2627.46	2303.12	2468.49	3190.46	1242.34
C16orf91	287.01	163.28	251.48	146.03	146.03	77.25	190.34	669.92	236.21	221.86	450.94	305.55	358.54	368.65	312.0	332.14	291.04	414.87	329.84	303.44	368.65	426.57	332.14	384.34	438.59	343.89	368.65	305.55	669.92	417.77	497.0	275.28	346.29	307.69	426.57	409.15	325.29	379.04	454.09	295.11	244.57	329.84	414.87	406.31	423.61	267.73	363.56	343.89	497.0	332.14	368.65	376.41	269.6	409.15	241.19	309.83	389.72	429.54	392.44	551.56	384.34	429.54	551.56	307.69	295.11	279.14	327.56	303.44	334.46	400.71	423.61	301.33	346.29	232.94	444.72	358.54	473.41	651.58	571.05	607.87	289.02	232.94	403.5	409.15	258.57	363.56	218.79	297.17	476.71	441.64	241.19	447.82	208.38
CHCHD5	463.65	432.53	547.75	187.71	341.51	279.14	633.73	1322.37	884.29	483.38	1008.9	656.11	1322.37	1487.87	1199.98	1088.92	591.22	947.83	1304.15	764.36	909.17	941.27	1111.82	1806.78	1023.0	1111.82	1104.13	1111.82	1628.26	1135.2	878.17	1191.69	1104.13	738.29	2209.26	1583.71	1199.98	909.17	1331.57	921.88	688.78	723.08	1359.57	1551.09	1662.49	665.29	819.3	1081.39	1111.82	1322.37	1313.23	1104.13	791.35	1051.79	780.44	743.43	1397.83	1191.69	1037.29	1832.01	947.83	1350.18	1417.35	748.61	1015.93	915.51	1037.29	764.36	802.41	1216.75	1508.65	896.64	1487.87	941.27	1104.13	1175.27	1721.16	1498.22	1051.79	1250.98	1030.12	1268.46	1268.46	1529.73	974.5	1794.29	1208.34	825.0	1487.87	1437.15	738.29	1819.35	785.88
