	TCGA.DK.A6AV.01A.12R.A30C.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.EK.A2R8.01A.21R.A18M.07	TCGA.MU.A8JM.01A.11R.A36F.07	TCGA.C5.A7UC.01A.11R.A352.07	TCGA.C5.A2LT.01A.11R.A18M.07	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.AD.A5EJ.01A.11R.A28H.07	TCGA.NH.A6GB.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.11I78.0126.SM.5HL6F	GTEX.WOFM.0126.SM.3MJFE	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.145LS.1226.SM.5Q5D9	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.QEG5.1126.SM.33HC2	TCGA.34.5240.01A.01R.1443.07	TCGA.39.5035.01A.01R.1443.07	TCGA.60.2723.01A.01R.0851.07	TCGA.52.7622.01A.11R.2125.07	TCGA.66.2769.01A.02R.0851.07	TCGA.37.3783.01A.01R.1201.07
AAMDC	358.54	206.94	988.12	791.35	397.93	656.11	624.99	579.04	656.11	441.64	0.0	0.39	1295.13	1963.57	688.78	1745.2	507.46	1417.35	1561.89	1268.46	1304.15	395.18	1059.11	808.0	1936.53	2075.59	1001.93	825.0	1175.27	1066.48	1191.69	1159.07	1286.18	1477.58	563.18	1216.75	1639.59	808.0	547.75	1477.58	1540.37	1447.15	1923.14	633.73	1936.53	813.63	1143.1	1286.18	1617.0	417.77	1037.29	1572.76	961.07	1378.57	291.04	1950.0	1304.15	1369.04	921.88	796.86	583.07	647.07	409.15	497.0	743.43	733.19
ACACB	12.36	4.54	8.65	35.76	34.26	17.64	25.91	40.64	95.34	19.82	0.0	0.27	161.02	400.71	47.17	336.79	187.71	289.02	348.71	289.02	173.85	19.68	116.78	187.71	248.0	423.61	115.97	90.14	387.02	242.88	376.41	197.09	165.57	536.45	162.14	214.27	275.28	90.77	248.0	438.59	334.46	273.37	406.31	44.57	248.0	123.5	140.04	334.46	149.12	44.89	100.13	490.14	156.59	170.25	41.81	438.59	287.01	435.55	301.33	201.25	19.97	32.59	16.27	58.71	25.72	8.45
ACADL	13.72	0.0	1.62	2.36	3.14	0.73	0.47	2.89	1.28	0.0	0.0	0.1	1477.58	1909.85	567.1	2555.58	299.25	1832.01	1963.57	947.83	1015.93	86.43	1135.2	493.56	2075.59	3168.41	759.08	343.89	921.88	785.88	2555.58	1208.34	351.14	1388.16	872.1	703.28	1508.65	186.4	708.18	3589.58	1757.34	2627.46	4181.07	258.57	2502.97	518.15	1183.45	1950.0	1457.23	220.32	708.18	2555.58	934.76	2193.99	320.8	1883.54	896.64	3103.19	1498.22	921.88	14.24	5.11	10.63	82.29	52.82	3.82
ADHFE1	27.84	19.82	27.84	21.01	69.52	23.25	43.32	63.45	16.51	14.89	0.0	0.46	412.0	348.71	72.01	395.18	98.04	748.61	381.68	366.09	406.31	35.0	316.37	158.79	547.75	612.11	165.57	71.0	511.0	255.0	759.08	204.07	97.36	733.19	223.41	256.78	583.07	78.89	218.79	514.56	607.87	595.34	532.74	63.0	688.78	95.34	336.79	320.8	343.89	33.78	223.41	764.36	269.6	684.02	74.58	909.17	264.03	703.28	228.13	223.41	77.25	58.71	10.96	139.07	53.57	55.49
ALDH3B1	96.01	19.82	37.59	384.34	22.92	84.63	158.79	234.57	248.0	361.04	148.09	463.65	3235.01	6337.83	2956.17	11035.54	476.71	7589.61	6294.04	4095.0	2935.74	764.36	1295.13	1697.45	5791.62	10154.69	2434.5	2997.45	3168.41	1977.24	8778.97	5006.93	507.46	8247.98	1369.04	6337.83	13123.73	830.75	1467.37	7130.55	6983.79	3257.52	9279.58	1733.13	4802.93	2796.65	7485.11	8134.41	5403.7	890.44	2664.15	8840.04	3235.01	3639.7	3419.52	10512.82	3982.99	8963.45	3614.55	2319.15	70.01	83.45	87.03	214.27	139.07	66.18
ALDH6A1	71.5	73.03	92.7	99.43	87.65	59.55	71.0	45.85	163.28	45.53	120.94	314.17	447.82	808.0	201.25	595.34	128.79	547.75	493.56	460.44	540.19	108.9	256.78	301.33	665.29	638.15	373.81	285.03	651.58	170.25	848.22	575.03	269.6	616.37	493.56	417.77	540.19	108.9	483.38	591.22	426.57	660.68	612.11	139.07	629.35	480.04	500.46	441.64	743.43	361.04	336.79	825.0	551.56	529.06	353.59	813.63	397.93	607.87	536.45	454.09	166.73	34.26	81.14	131.51	74.58	63.0
ANKRD29	3.96	178.77	76.17	11.21	142.01	166.73	93.35	35.0	18.97	116.78	0.0	0.44	642.59	2032.85	921.88	3235.01	444.72	2664.15	1397.83	2119.22	1350.18	532.74	1923.14	738.29	2777.33	2075.59	1127.35	297.17	813.63	684.02	1769.57	1331.57	518.15	5112.16	967.76	1378.57	2104.58	808.0	660.68	1561.89	2609.3	2178.83	2915.45	1175.27	3820.7	1191.69	1733.13	2627.46	1175.27	137.14	981.29	3491.39	842.36	2855.44	728.11	4450.27	1819.35	2384.37	1806.78	902.89	361.04	204.07	186.4	283.05	158.79	267.73
ANKS1A	536.45	191.67	145.02	153.34	190.34	224.97	159.9	157.68	265.87	237.86	0.0	0.27	540.19	785.88	381.68	1167.14	603.67	947.83	674.59	1059.11	620.67	314.17	540.19	486.75	941.27	1015.93	435.55	511.0	688.78	490.14	1037.29	497.0	638.15	796.86	571.05	808.0	902.89	454.09	909.17	1008.9	1081.39	559.28	1427.22	397.93	1127.35	379.04	723.08	753.83	532.74	316.37	518.15	954.43	759.08	665.29	450.94	921.88	723.08	967.76	624.99	555.41	72.01	348.71	108.14	239.52	94.67	89.51
ARFGAP2	967.76	1388.16	1081.39	1295.13	1268.46	1143.1	819.3	1378.57	1268.46	1733.13	1487.87	669.92	1733.13	1950.0	2047.0	2018.8	1883.54	1662.49	1870.53	2400.97	1781.89	1551.09	1883.54	2193.99	1883.54	2573.36	1721.16	1832.01	1832.01	1991.0	2319.15	1757.34	1119.56	2335.28	1617.0	2075.59	2119.22	1617.0	2319.15	2351.53	1883.54	2351.53	2451.44	1242.34	2163.77	1662.49	2104.58	2384.37	1844.76	2090.03	1697.45	2417.67	1794.29	1697.45	1359.57	3081.75	2163.77	2400.97	1819.35	1923.14	718.08	1697.45	1268.46	1617.0	1225.22	974.5
ATOH8	152.28	3.96	5.82	406.31	4.31	21.01	55.89	12.45	86.43	21.78	0.0	0.44	1331.57	14765.09	995.0	11035.54	1388.16	3103.19	4328.55	8778.97	2133.97	536.45	543.96	2400.97	6607.01	4543.8	1340.84	3540.14	5183.54	1794.29	6471.02	3124.78	2664.15	7695.57	1286.18	1417.35	1769.57	718.08	4123.49	5292.48	5791.62	2935.74	16045.82	131.51	8421.31	1066.48	3190.46	6607.01	2319.15	567.1	3794.3	9151.82	2004.85	3257.52	325.29	14361.31	1295.13	5872.48	1909.85	1369.04	16.63	72.52	62.12	146.03	133.36	15.45
