	TCGA.D6.6824.01A.11R.1915.07	TCGA.22.5472.11A.11R.1635.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.KC.A7FA.01A.21R.A33R.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7330.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.11TT1.2026.SM.5EQM8	GTEX.139T6.1526.SM.5P9G6	GTEX.YJ8A.1126.SM.5IFJU	GTEX.11NSD.0826.SM.5986S	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.13O61.1726.SM.5KM46	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.14E6E.1126.SM.5S2R4	GTEX.QLQ7.1326.SM.4R1JY	GTEX.WFG8.1826.SM.4LVM4
ABHD4	633.73	708.18	460.44	698.41	651.58	320.8	483.38	483.38	503.95	571.05	417.77	579.04	486.75	599.49	563.18	514.56	366.09	583.07	373.81	389.72	555.41	587.13	371.22	490.14	583.07	514.56	473.41	518.15	346.29	642.59	412.0	842.36	884.29	738.29	718.08	551.56	603.67	796.86	607.87	480.04	890.44	688.78	753.83	830.75	536.45	665.29	698.41	1059.11	743.43	836.53	791.35	647.07	642.59	1059.11	860.08	555.41	633.73	429.54	1127.35	1030.12	1051.79
ABHD5	551.56	633.73	156.59	175.07	193.01	173.85	214.27	202.66	190.34	218.79	159.9	198.47	110.43	177.53	138.1	283.05	197.09	155.5	181.28	206.94	258.57	193.01	159.9	96.68	195.72	132.44	193.01	165.57	158.79	166.73	136.19	358.54	373.81	320.8	253.23	218.79	332.14	314.17	226.54	348.71	291.04	246.28	194.36	361.04	295.11	171.45	273.37	301.33	271.48	361.04	248.0	154.42	215.77	454.09	198.47	186.4	144.01	185.11	463.65	429.54	341.51
AC104809.3	32.13	78.89	4.21	2.05	0.56	0.0	0.0	1.89	2.16	0.95	0.0	0.0	0.0	4.58	0.0	0.0	14.89	3.99	0.0	0.0	0.0	0.0	1.57	2.16	3.47	0.0	0.97	1.45	3.14	1.35	1.36	3.96	3.14	3.5	0.0	3.17	0.0	0.0	0.0	0.95	3.29	0.0	0.96	6.11	1.51	0.0	0.0	5.5	3.17	3.69	6.78	1.87	0.77	9.48	3.56	0.46	1.28	0.0	4.98	7.57	9.06
ADAM17	412.0	476.71	78.89	40.36	134.3	70.01	98.04	140.04	125.24	96.68	72.52	116.78	46.5	143.01	73.03	113.56	127.0	91.41	77.79	124.37	153.34	111.21	86.43	60.39	103.69	83.45	63.89	123.5	68.55	82.29	77.25	228.13	198.47	171.45	144.01	140.04	108.9	166.73	75.64	187.71	208.38	123.5	111.21	241.19	177.53	105.89	151.22	204.07	166.73	229.72	175.07	84.63	159.9	228.13	135.24	96.01	59.97	96.68	208.38	277.2	137.14
ADCY9	234.57	587.13	51.71	26.28	105.15	14.56	50.98	94.01	81.14	61.68	34.75	76.17	42.41	110.43	75.11	20.86	77.25	41.22	48.18	75.64	69.52	53.57	76.17	37.32	57.49	73.54	42.71	113.56	47.84	58.71	34.02	244.57	191.67	163.28	87.03	147.06	23.25	156.59	80.01	56.68	169.07	96.68	116.78	166.73	155.5	80.57	117.6	191.67	171.45	151.22	197.09	57.49	100.83	198.47	63.0	73.54	70.01	69.52	201.25	156.59	224.97
ANP32E	708.18	638.15	150.17	46.5	255.0	26.47	166.73	241.19	194.36	176.29	96.68	312.0	13.42	297.17	236.21	58.3	249.73	94.01	133.36	316.37	307.69	214.27	167.9	182.55	226.54	178.77	90.77	289.02	112.77	140.04	152.28	607.87	571.05	480.04	269.6	301.33	246.28	420.68	271.48	379.04	563.18	253.23	275.28	660.68	426.57	283.05	417.77	503.95	343.89	587.13	346.29	146.03	253.23	540.19	435.55	165.57	161.02	239.52	358.54	624.99	353.59
ANTXR1	1709.26	2351.53	414.87	163.28	1015.93	67.12	429.54	660.68	603.67	381.68	182.55	607.87	23.76	934.76	525.39	190.34	780.44	226.54	368.65	567.1	521.76	607.87	409.15	320.8	476.71	414.87	271.48	785.88	299.25	329.84	234.57	1870.53	1651.0	1477.58	974.5	825.0	587.13	1721.16	941.27	808.0	2075.59	713.11	1135.2	2400.97	764.36	629.35	954.43	1037.29	1963.57	2224.63	1340.84	521.76	718.08	1457.23	395.18	253.23	651.58	796.86	3303.0	1167.14	1769.57
ARHGAP23	1073.91	743.43	116.78	46.84	303.44	22.92	147.06	267.73	277.2	199.85	70.01	327.56	27.05	518.15	295.11	20.41	236.21	120.94	126.12	193.01	283.05	195.72	159.9	197.09	299.25	202.66	84.63	341.51	100.13	173.85	105.89	981.29	583.07	698.41	348.71	785.88	103.69	607.87	295.11	346.29	669.92	323.03	432.53	607.87	854.13	323.03	703.28	1059.11	769.69	1359.57	392.44	105.89	339.14	693.58	325.29	163.28	195.72	167.9	559.28	514.56	1295.13
ARL4C	1529.73	438.59	144.01	55.89	291.04	217.27	215.77	258.57	309.83	193.01	44.89	281.09	26.28	251.48	177.53	32.13	221.86	82.87	147.06	265.87	277.2	267.73	173.85	314.17	190.34	218.79	115.16	409.15	84.04	138.1	118.43	450.94	503.95	518.15	293.07	389.72	167.9	376.41	379.04	339.14	454.09	221.86	329.84	587.13	518.15	279.14	218.79	303.44	356.05	297.17	199.85	234.57	215.77	665.29	185.11	215.77	197.09	178.77	967.76	693.58	693.58
ATP11C	332.14	279.14	214.27	148.09	209.84	234.57	183.82	229.72	251.48	204.07	277.2	181.28	96.01	323.03	236.21	142.01	334.46	199.85	211.31	381.68	312.0	226.54	267.73	187.71	242.88	208.38	136.19	283.05	187.71	172.65	157.68	490.14	599.49	351.14	231.32	260.38	173.85	397.93	234.57	217.27	384.34	305.55	239.52	463.65	283.05	314.17	327.56	373.81	348.71	500.46	363.56	195.72	234.57	633.73	273.37	229.72	170.25	220.32	466.88	624.99	307.69
