	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.DK.A3IT.01A.31R.A20F.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.FD.A6TK.01A.42R.A33J.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.ZF.AA5N.01A.11R.A42T.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.UY.A9PH.01A.11R.A38B.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A9SZ.01A.11R.A39I.07	TCGA.DK.A3IL.01A.11R.A20F.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.OOBK.0526.SM.2HMJJ	GTEX.Y5LM.0726.SM.4VBRP	GTEX.11EQ9.0226.SM.5A5JX	GTEX.145LT.0326.SM.5LUAD	GTEX.S4Z8.0426.SM.3K2AH	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.139YR.0926.SM.5LZYB	GTEX.QDVJ.0926.SM.2I5FU	GTEX.RWSA.1126.SM.2XCAZ	GTEX.WFON.0426.SM.3GIL4	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.QESD.0626.SM.2I5G4	GTEX.132QS.0726.SM.5IJE9	GTEX.ZTPG.0926.SM.5O99H	GTEX.11TT1.1626.SM.5EQL7	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1211K.0826.SM.5FQUP	GTEX.RUSQ.0626.SM.2TF5V	GTEX.11LCK.0426.SM.5A5M8	GTEX.WRHU.0926.SM.4E3IG	GTEX.1399T.0126.SM.5KM15	GTEX.12584.0826.SM.5FQSK	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZVT3.0726.SM.5GICN	GTEX.RU72.0126.SM.2TF6Z	GTEX.WVLH.0626.SM.3MJG7	GTEX.117YW.0126.SM.5EGGN	GTEX.WYVS.0326.SM.3NM9V	GTEX.12WSD.0926.SM.5GCNL	GTEX.1212Z.0426.SM.5FQT6	GTEX.13O1R.0826.SM.5J2MB
ADCY7	74.06	115.97	25.72	78.34	57.49	68.07	36.79	19.25	31.9	251.48	19.68	121.79	128.79	74.06	64.8	18.03	27.44	91.41	20.41	70.51	28.86	138.1	43.63	59.97	83.45	14.89	39.5	30.78	26.1	87.65	88.88	113.56	155.5	8.58	11.04	26.28	22.43	114.36	486.75	141.02	293.07	159.9	309.83	470.14	376.41	332.14	954.43	307.69	212.78	361.04	356.05	490.14	226.54	332.14	454.09	571.05	197.09	187.71	193.01	718.08	409.15	81.14	48.18	88.88	93.35	403.5	161.02	93.35	211.31	131.51	44.25	139.07
ADD3	414.87	616.37	325.29	275.28	107.38	441.64	198.47	193.01	447.82	224.97	540.19	241.19	688.78	236.21	878.17	273.37	279.14	599.49	120.94	373.81	199.85	215.77	423.61	193.01	279.14	389.72	567.1	199.85	327.56	305.55	389.72	2537.92	2664.15	89.51	38.12	87.03	71.5	214.27	366.09	341.51	438.59	450.94	387.02	466.88	555.41	320.8	301.33	336.79	587.13	988.12	819.3	473.41	180.02	361.04	470.14	277.2	246.28	239.52	218.79	555.41	3212.66	2555.58	2148.82	1757.34	1963.57	2468.49	2976.74	3018.3	2956.17	3901.01	2367.9	1096.5
AKAP11	100.13	150.17	45.21	102.97	35.76	98.73	127.0	86.43	99.43	98.73	96.68	86.43	88.88	41.22	145.02	78.89	77.25	139.07	41.22	151.22	125.24	83.45	54.72	132.44	107.38	114.36	119.26	87.65	78.89	85.22	116.78	312.0	603.67	30.12	22.75	15.34	38.67	85.22	128.79	273.37	277.2	231.32	346.29	197.09	429.54	275.28	201.25	141.02	303.44	351.14	145.02	183.82	239.52	202.66	285.03	277.2	209.84	190.34	204.07	283.05	267.73	312.0	381.68	281.09	220.32	318.57	255.0	341.51	371.22	361.04	262.2	165.57
ANKRD12	91.41	162.14	141.02	80.01	46.5	69.03	106.63	93.35	104.42	90.14	117.6	39.79	113.56	44.89	140.04	125.24	72.52	115.16	26.28	88.88	214.27	76.71	262.2	106.63	124.37	151.22	132.44	58.71	93.35	76.71	223.41	182.55	262.2	45.53	33.3	47.5	26.47	56.28	78.89	96.68	237.86	139.07	106.63	195.72	334.46	206.94	208.38	164.42	353.59	287.01	152.28	163.28	181.28	167.9	234.57	197.09	91.41	193.01	579.04	169.07	400.71	381.68	309.83	320.8	295.11	466.88	248.0	301.33	332.14	329.84	348.71	231.32
ANKRD20A1	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.65	0.0	1.57	1.58	0.0	3.29	0.0	0.0	1.38	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.68	1.71	0.0	1.46	0.0	0.0	8.58	0.0	0.57	0.0	0.0	0.61	1.35	2.46	6.67	2.97	0.0	1.16	4.06	3.89	6.16	4.24	9.48	3.66	2.12	9.48	3.82	6.52	8.85	6.84	3.47	5.19	7.51	1.81	14.67	20.86	47.17	15.11	24.63	9.78	11.73	30.56	23.93	32.59	8.13	3.5
ANKRD20A2	0.0	0.0	0.0	0.0	0.0	1.66	0.89	0.0	0.0	1.27	0.31	0.0	0.32	0.0	0.0	0.0	0.33	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.62	0.89	0.0	0.85	0.0	1.46	0.0	2.89	3.53	0.0	1.69	0.0	0.0	1.62	4.03	1.66	4.1	8.38	1.97	5.96	8.71	7.94	4.35	5.54	8.38	8.85	4.24	16.15	0.67	6.57	3.32	19.68	3.14	3.72	3.29	4.9	10.47	9.63	22.92	14.56	9.41	3.47	3.59	15.8	16.88	11.38	10.08	5.45
ANKRD20A3	2.34	0.0	0.0	0.0	0.0	4.66	8.0	0.96	3.35	2.23	0.93	1.57	0.64	0.0	7.82	0.0	1.62	0.36	1.3	0.39	0.0	1.0	1.11	0.0	0.0	1.5	3.99	1.14	0.0	0.88	0.0	3.38	6.94	0.53	0.0	0.0	0.0	1.43	1.07	6.36	2.94	8.38	0.08	5.59	14.03	12.18	5.87	8.58	22.59	17.25	0.74	7.57	2.63	3.86	10.55	7.17	5.5	3.82	5.82	4.39	16.39	59.55	39.5	37.32	27.64	12.64	39.79	46.18	33.06	18.97	25.54	9.48
ANKRD20A4	0.68	0.0	1.46	0.0	0.58	0.0	2.68	0.64	0.0	0.96	0.32	1.89	0.32	0.0	0.0	0.0	0.0	0.0	1.3	0.78	0.0	0.0	1.85	0.0	0.64	2.1	0.68	4.28	0.0	0.0	1.01	1.17	2.71	0.0	0.0	0.0	0.0	0.23	0.0	1.62	1.03	2.23	0.0	0.29	2.56	1.57	17.38	0.95	8.06	17.77	0.78	18.29	1.06	3.69	1.48	22.75	0.88	2.56	0.71	0.54	3.0	31.22	17.9	18.43	3.59	19.53	17.9	15.0	1.27	4.82	11.91	5.23
AP001468.1	4.13	17.25	0.0	6.41	0.0	2.76	8.19	0.0	6.84	5.87	0.0	5.41	9.27	3.17	0.0	2.71	2.01	6.31	3.99	3.53	0.0	0.0	8.99	0.0	7.0	2.78	0.0	4.7	4.24	0.0	24.46	11.73	4.43	12.18	7.94	3.14	0.0	5.54	20.11	15.91	36.27	26.1	92.05	56.68	57.08	117.6	15.91	52.45	5.63	153.34	30.34	63.45	11.91	91.41	17.9	32.59	19.39	75.11	72.52	87.65	35.25	12.55	26.86	12.83	20.86	19.11	13.22	41.22	36.01	12.55	13.03	11.73
ARHGAP21	171.45	260.38	170.25	262.2	525.39	187.71	145.02	129.69	202.66	642.59	165.57	348.71	234.57	275.28	265.87	134.3	123.5	156.59	180.02	358.54	466.88	190.34	226.54	183.82	102.25	241.19	172.65	204.07	152.28	92.05	127.0	896.64	620.67	88.88	91.41	71.5	82.29	171.45	368.65	426.57	476.71	511.0	429.54	371.22	713.11	490.14	417.77	358.54	738.29	612.11	665.29	559.28	381.68	454.09	473.41	414.87	329.84	521.76	470.14	518.15	703.28	497.0	780.44	563.18	483.38	633.73	693.58	599.49	603.67	738.29	532.74	379.04
ARHGAP26	102.25	145.02	92.05	42.41	111.99	19.25	82.29	86.43	128.79	136.19	67.59	92.7	38.95	35.5	80.01	159.9	47.5	104.42	16.03	63.45	59.13	104.42	70.01	57.49	43.63	62.56	59.55	76.71	64.8	50.63	42.11	309.83	470.14	78.89	35.76	127.0	51.71	215.77	82.29	67.12	73.54	166.73	62.56	145.02	153.34	323.03	194.36	142.01	738.29	69.52	256.78	146.03	336.79	175.07	199.85	151.22	91.41	163.28	241.19	142.01	150.17	121.79	147.06	158.79	189.02	232.94	156.59	117.6	201.25	159.9	161.02	175.07
ARID4A	131.51	191.67	85.22	102.25	24.99	76.17	105.89	82.87	110.43	74.06	94.67	59.13	66.18	32.59	167.9	98.73	64.34	249.73	50.63	128.79	54.72	48.52	151.22	85.82	53.95	116.78	124.37	72.01	71.0	26.47	114.36	241.19	277.2	66.65	88.26	26.67	29.91	52.82	90.77	158.79	194.36	157.68	201.25	115.16	255.0	198.47	136.19	92.7	271.48	273.37	293.07	166.73	79.45	122.64	126.12	162.14	143.01	151.22	112.77	277.2	258.57	258.57	389.72	251.48	283.05	316.37	172.65	341.51	325.29	299.25	248.0	206.94
ASAP2	50.98	264.03	25.35	70.01	217.27	115.16	53.95	30.78	59.55	353.59	47.17	69.03	193.01	120.94	244.57	102.97	84.63	211.31	35.0	112.77	91.41	59.13	353.59	77.79	92.7	167.9	334.46	102.97	42.11	37.85	255.0	182.55	242.88	2.81	10.08	8.51	10.39	18.84	84.04	161.02	197.09	223.41	166.73	214.27	368.65	201.25	95.34	201.25	473.41	186.4	47.17	392.44	93.35	183.82	147.06	151.22	80.57	211.31	156.59	171.45	438.59	412.0	591.22	791.35	348.71	633.73	463.65	872.1	791.35	1250.98	698.41	224.97
ATG2B	81.14	127.0	29.91	82.29	27.05	51.71	57.49	49.21	84.04	48.18	66.65	46.5	78.34	30.12	76.71	94.01	47.17	119.26	44.89	66.65	67.59	39.79	109.66	43.02	27.44	69.03	88.88	64.34	42.11	24.46	73.03	131.51	120.94	55.49	46.18	38.67	53.57	33.78	68.07	87.03	193.01	126.12	133.36	102.25	201.25	151.22	98.04	57.49	341.51	197.09	197.09	154.42	97.36	106.63	84.63	93.35	83.45	121.79	93.35	159.9	299.25	220.32	660.68	368.65	318.57	287.01	190.34	336.79	312.0	336.79	305.55	248.0
ATM	108.14	275.28	120.94	75.64	46.18	172.65	98.73	51.35	105.89	120.1	71.5	90.77	108.14	50.98	81.14	84.63	108.14	236.21	102.25	150.17	164.42	87.65	211.31	120.1	165.57	126.12	148.09	97.36	47.84	105.15	201.25	223.41	379.04	45.85	40.07	64.8	66.18	83.45	87.03	120.94	249.73	229.72	204.07	275.28	220.32	329.84	389.72	155.5	171.45	348.71	148.09	172.65	98.73	132.44	214.27	283.05	135.24	150.17	285.03	312.0	473.41	500.46	688.78	599.49	567.1	848.22	334.46	629.35	638.15	563.18	551.56	221.86
ATXN1	97.36	92.05	107.38	47.5	13.72	89.51	36.79	77.79	98.04	209.84	73.03	23.76	80.57	58.3	67.12	15.34	20.86	117.6	30.12	102.97	76.71	135.24	102.97	79.45	55.1	20.56	83.45	21.94	54.72	95.34	44.57	483.38	373.81	63.89	94.67	82.87	59.55	127.0	189.02	147.06	187.71	162.14	199.85	181.28	231.32	189.02	307.69	185.11	318.57	228.13	262.2	186.4	102.97	185.11	218.79	177.53	119.26	153.34	262.2	193.01	336.79	403.5	444.72	379.04	540.19	514.56	271.48	529.06	384.34	379.04	392.44	150.17
ATXN7	112.77	119.26	75.11	108.14	50.98	48.52	74.06	70.51	96.68	88.88	102.25	48.87	108.14	49.91	108.9	45.53	72.52	102.25	26.1	108.9	69.52	92.05	127.0	73.54	127.0	76.71	104.42	60.39	87.65	69.52	99.43	129.69	228.13	59.13	40.64	34.75	52.82	55.49	180.02	127.89	212.78	121.79	151.22	142.01	256.78	236.21	299.25	131.51	392.44	181.28	277.2	191.67	241.19	190.34	297.17	189.02	141.02	157.68	218.79	218.79	363.56	281.09	400.71	473.41	248.0	387.02	309.83	547.75	275.28	423.61	363.56	346.29
BAZ2B	191.67	186.4	108.9	195.72	43.02	76.71	162.14	178.77	159.9	115.97	163.28	93.35	135.24	15.68	305.55	112.77	113.56	256.78	91.41	234.57	231.32	63.89	78.34	162.14	104.42	132.44	118.43	146.03	164.42	65.26	96.01	406.31	343.89	40.36	19.82	50.63	22.92	65.72	182.55	271.48	379.04	297.17	376.41	293.07	575.03	363.56	267.73	195.72	473.41	476.71	406.31	356.05	186.4	271.48	258.57	329.84	248.0	297.17	183.82	591.22	476.71	493.56	813.63	567.1	612.11	684.02	392.44	830.75	718.08	688.78	599.49	301.33
