	TCGA.EW.A1P1.01A.31R.A14D.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1F6.11B.94R.A13Q.07	GTEX.WI4N.1426.SM.3LK7H	TCGA.CR.7376.01A.11R.2132.07	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	TCGA.60.2704.01A.11R.2045.07	TCGA.85.6175.01A.11R.1820.07	TCGA.43.6773.11A.01R.1949.07	TCGA.34.7107.11A.01R.1949.07	TCGA.77.8008.11A.01R.2187.07	TCGA.RD.A7BW.01A.11R.A32D.31	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.XXEK.1326.SM.4BRV1	GTEX.ZVP2.0426.SM.57WC2	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.S4Z8.0326.SM.3K2AU	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.Q2AI.0326.SM.2I3EK	GTEX.11NSD.0126.SM.5987F	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QMRM.0726.SM.2I5G8	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13CF3.0926.SM.5LZZC	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.ZVZP.1026.SM.5GICI	GTEX.ZDYS.0626.SM.5J2N5	GTEX.11O72.2326.SM.5BC7H	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
ABL2	497.0	197.09	343.89	256.78	384.34	169.07	187.71	392.44	273.37	281.09	279.14	323.03	195.72	61.68	75.11	75.64	68.55	61.68	130.6	93.35	131.51	91.41	92.7	108.14	86.43	97.36	64.8	58.71	58.71	77.79	61.68	127.89	56.68	94.01	106.63	61.25	112.77	134.3	89.51	59.13	71.0	73.54	118.43	54.33	44.25	52.45	66.18	40.64	55.1	65.72	93.35	125.24	103.69	171.45	80.01	47.84	51.71	182.55	66.18	69.52	71.0	95.34	295.11	72.01	55.1	68.07	62.56
AC096677.1	63.89	27.44	24.46	134.3	104.42	42.41	41.22	59.55	81.71	34.26	68.55	59.55	53.95	3.32	13.62	9.78	7.06	12.45	44.89	24.11	16.03	3.63	13.22	10.39	26.28	15.11	22.59	13.42	21.63	7.69	8.19	44.57	2.81	23.25	16.75	14.03	11.73	24.99	20.71	10.96	4.54	9.7	18.43	18.16	10.63	13.32	10.39	2.03	12.27	13.93	4.31	19.11	33.06	12.55	13.22	0.0	3.23	40.93	1.43	14.45	11.47	21.78	41.22	1.62	5.28	11.91	29.7
AC145676.2	23.76	10.08	5.96	20.86	2.58	2.48	4.24	3.72	3.76	2.73	0.0	4.62	11.38	1.3	0.47	0.12	0.29	0.3	4.98	0.68	0.48	1.48	0.27	0.49	3.53	0.97	0.64	0.95	0.0	0.0	1.83	4.13	1.43	1.81	0.99	0.64	1.58	0.0	0.97	0.95	0.66	0.32	2.43	0.0	0.53	0.0	0.47	0.12	0.64	0.3	2.1	1.93	0.99	2.14	0.79	0.1	0.67	4.35	0.0	0.3	0.66	1.57	3.08	2.03	0.0	0.0	0.61
ACTN1	7032.37	4736.79	5041.77	13033.07	6207.38	2816.11	7081.29	4298.64	8963.45	4152.18	4450.27	3928.15	16727.26	607.87	624.99	470.14	656.11	620.67	981.29	1295.13	543.96	587.13	718.08	1015.93	836.53	961.07	684.02	371.22	669.92	525.39	825.0	1551.09	579.04	1295.13	1417.35	420.68	890.44	1044.52	559.28	536.45	866.07	543.96	1037.29	693.58	432.53	267.73	490.14	339.14	633.73	540.19	974.5	866.07	743.43	947.83	307.69	426.57	301.33	1397.83	575.03	563.18	684.02	1104.13	1757.34	718.08	389.72	571.05	387.02
ACTR3	4607.24	2976.74	2816.11	3928.15	6079.61	3515.68	2104.58	5403.7	4450.27	3589.58	3515.68	2935.74	2209.26	2047.0	1883.54	1487.87	2303.12	1950.0	1757.34	2367.9	1662.49	1628.26	1066.48	2591.27	2224.63	1662.49	1447.15	2193.99	1388.16	1991.0	1745.2	2895.31	1628.26	3103.19	3146.52	1561.89	1111.82	1583.71	2193.99	1143.1	2061.24	1709.26	2555.58	1437.15	1674.06	1159.07	1844.76	1639.59	2047.0	1662.49	1733.13	1832.01	1674.06	2682.69	2090.03	1151.06	1844.76	2720.15	1540.37	1605.83	1697.45	2148.82	3257.52	1331.57	909.17	1662.49	1096.5
AK4	651.58	1096.5	1096.5	3372.43	325.29	139.07	124.37	591.22	441.64	111.99	77.25	143.01	642.59	64.8	69.03	27.44	29.91	27.44	84.63	78.89	46.18	52.82	116.78	141.02	81.14	68.55	31.67	29.91	49.21	56.28	73.03	208.38	54.33	110.43	132.44	23.59	49.91	57.49	48.87	72.52	56.68	59.13	151.22	41.52	24.81	18.03	40.36	41.22	59.97	44.57	66.18	48.87	46.18	107.38	38.67	40.07	43.94	111.99	29.48	32.59	63.89	55.49	529.06	78.34	49.56	55.1	56.28
APOL1	1662.49	819.3	1001.93	1617.0	6561.36	2255.7	2032.85	1909.85	4066.71	3419.52	2591.27	3018.3	2555.58	202.66	389.72	202.66	371.22	323.03	432.53	656.11	540.19	351.14	31.67	525.39	890.44	164.42	323.03	244.57	195.72	420.68	684.02	1359.57	221.86	872.1	1378.57	395.18	269.6	432.53	669.92	239.52	409.15	334.46	988.12	299.25	277.2	161.02	256.78	155.5	285.03	287.01	334.46	629.35	529.06	693.58	127.0	136.19	166.73	1167.14	215.77	293.07	185.11	656.11	1909.85	155.5	271.48	420.68	209.84
AQP9	289.02	32.59	44.25	102.25	258.57	154.42	819.3	473.41	65.72	1242.34	521.76	497.0	14.03	16.27	11.47	8.25	4.5	7.34	4.35	10.08	2.46	29.91	8.0	4.66	12.09	5.92	1.58	2.36	8.71	7.28	6.94	90.14	4.13	10.55	42.11	2.34	24.81	40.36	7.69	11.38	41.52	1.1	57.49	3.47	3.72	0.09	24.28	11.04	3.89	3.79	6.73	10.24	3.14	11.73	3.41	1.23	4.94	45.21	0.67	4.62	33.54	4.28	12.55	22.26	0.26	2.07	0.1
AREG	3325.99	1088.92	486.75	848.22	796.86	4450.27	1242.34	1572.76	450.94	3081.75	2935.74	559.28	81.14	32.82	35.0	3.66	11.82	34.75	16.27	23.93	25.72	93.35	113.56	65.72	36.27	54.33	93.35	0.0	0.0	64.8	5.02	95.34	59.55	32.59	133.36	0.0	148.09	208.38	8.38	13.62	193.01	34.02	62.56	1.06	12.09	3.99	61.25	18.7	14.67	67.12	55.1	17.64	32.36	339.14	15.91	0.97	4.13	358.54	22.75	42.71	50.63	444.72	121.79	94.01	2.81	100.83	12.18
ARID5B	1096.5	1508.65	1216.75	1844.76	802.41	450.94	429.54	1044.52	698.41	633.73	981.29	547.75	500.46	63.89	131.51	86.43	69.03	41.22	146.03	241.19	232.94	82.29	50.98	187.71	98.73	126.12	119.26	48.18	108.9	100.83	70.51	194.36	75.11	117.6	176.29	29.27	244.57	277.2	85.82	103.69	86.43	176.29	264.03	23.42	32.59	25.72	63.89	14.35	22.59	96.01	137.14	151.22	209.84	193.01	54.72	42.41	40.64	255.0	38.4	50.98	123.5	148.09	314.17	178.77	23.93	122.64	30.34
