	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.BH.A1F5.01A.12R.A13Q.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11NUK.2426.SM.5BC4U
ACAA1	283.05	346.29	361.04	2485.67	2163.77	1030.12	1015.93	1950.0	1806.78	1437.15	1950.0	2061.24	525.39	1508.65	1397.83	3235.01	679.29	2664.15	1437.15	698.41	1030.12	1487.87	780.44	0.0	0.89	1015.93
AL591479.1	4.82	4.94	15.34	57.49	81.14	19.82	16.03	60.39	51.35	26.86	55.1	45.21	15.91	50.98	27.44	31.0	43.02	50.98	49.91	27.64	49.56	16.63	27.44	0.0	0.01	9.78
ANKRD35	2.05	2.63	1.85	177.53	141.02	50.27	49.56	115.16	113.56	87.65	90.14	87.65	33.78	53.19	25.35	141.02	26.1	4.21	39.22	46.5	64.34	40.36	22.43	0.0	0.38	14.35
AP006621.5	34.75	21.63	60.82	305.55	231.32	111.99	108.14	143.01	264.03	138.1	167.9	163.28	45.53	543.96	136.19	221.86	120.94	81.14	156.59	146.03	98.04	62.56	49.21	0.0	0.42	24.99
ARL16	301.33	307.69	414.87	988.12	995.0	543.96	536.45	679.29	860.08	647.07	808.0	808.0	384.34	518.15	612.11	848.22	536.45	563.18	536.45	444.72	532.74	493.56	309.83	0.0	0.71	363.56
ASB1	164.42	108.14	159.9	507.46	599.49	423.61	397.93	500.46	438.59	356.05	426.57	426.57	312.0	356.05	273.37	642.59	351.14	281.09	441.64	460.44	551.56	285.03	291.04	0.0	0.71	718.08
BTBD6	258.57	291.04	441.64	3794.3	1819.35	2032.85	1447.15	2796.65	2417.67	2061.24	2816.11	4010.71	525.39	2319.15	1832.01	2796.65	1104.13	2627.46	1447.15	1143.1	1350.18	1199.98	397.93	0.0	0.59	587.13
C1orf123	738.29	743.43	785.88	2417.67	2004.85	1896.65	1721.16	2090.03	2335.28	1651.0	2119.22	1844.76	1096.5	2119.22	1561.89	1572.76	1183.45	1322.37	1721.16	1857.6	1477.58	1397.83	878.17	0.0	0.47	540.19
C22orf46	40.64	28.86	51.71	198.47	265.87	228.13	191.67	361.04	303.44	343.89	389.72	351.14	128.79	466.88	197.09	285.03	224.97	283.05	305.55	262.2	224.97	137.14	135.24	0.0	0.17	24.63
C7orf26	258.57	218.79	381.68	532.74	603.67	414.87	420.68	476.71	457.25	473.41	444.72	480.04	403.5	579.04	503.95	703.28	346.29	329.84	563.18	473.41	460.44	507.46	234.57	0.0	0.54	163.28
CARS2	356.05	493.56	890.44	1437.15	1250.98	679.29	669.92	808.0	836.53	769.69	848.22	981.29	587.13	728.11	366.09	961.07	366.09	738.29	854.13	409.15	400.71	728.11	423.61	0.0	0.71	379.04
CBY1	332.14	297.17	316.37	1388.16	1225.22	890.44	748.61	1096.5	1233.75	825.0	1175.27	988.12	656.11	967.76	579.04	743.43	961.07	624.99	819.3	629.35	825.0	836.53	665.29	0.0	0.34	237.86
CDIPT	2104.58	1794.29	3190.46	3742.05	3257.52	2209.26	2133.97	2591.27	2367.9	2451.44	2319.15	2384.37	1540.37	2935.74	2193.99	3190.46	1583.71	2148.82	4543.8	2193.99	2384.37	2502.97	1397.83	0.0	0.74	470.14
CHMP7	392.44	327.56	221.86	591.22	638.15	555.41	507.46	638.15	547.75	607.87	624.99	595.34	497.0	1044.52	563.18	1015.93	400.71	406.31	1119.56	728.11	486.75	299.25	591.22	0.0	0.6	178.77
CIZ1	656.11	878.17	1388.16	1322.37	1963.57	1685.71	1417.35	1950.0	1529.73	1963.57	1617.0	1733.13	1561.89	2090.03	1037.29	2090.03	1030.12	967.76	1044.52	1936.53	1487.87	1331.57	796.86	0.0	0.85	638.15
COPRS	1950.0	669.92	1259.69	3690.52	2032.85	1936.53	1883.54	2351.53	1870.53	1794.29	2271.4	2664.15	1183.45	2935.74	1331.57	3614.55	1151.06	1066.48	1757.34	1447.15	967.76	775.05	688.78	0.0	0.58	389.72
CRELD1	185.11	146.03	264.03	1313.23	872.1	728.11	547.75	1096.5	830.75	860.08	1001.93	878.17	209.84	1225.22	624.99	647.07	688.78	575.03	579.04	688.78	540.19	612.11	620.67	0.0	0.47	281.09
CTDSP1	866.07	521.76	941.27	3928.15	3372.43	2133.97	2287.2	3190.46	2875.3	3103.19	2796.65	3081.75	1313.23	3847.29	2835.7	5112.16	1806.78	3325.99	3212.66	3060.45	2777.33	3419.52	1551.09	0.0	0.47	981.29
CTSF	1540.37	941.27	1685.71	3491.39	3257.52	2895.31	1832.01	2627.46	2835.7	2417.67	2468.49	2555.58	2335.28	3280.18	1350.18	3081.75	1628.26	860.08	2224.63	759.08	1639.59	830.75	808.0	0.0	0.04	57.08
CYB561A3	460.44	624.99	723.08	1096.5	1167.14	1208.34	848.22	1051.79	872.1	738.29	961.07	890.44	785.88	1397.83	571.05	1340.84	503.95	728.11	688.78	603.67	624.99	1119.56	476.71	0.0	0.53	166.73
DDAH2	1295.13	559.28	708.18	6207.38	5517.27	2255.7	2090.03	4704.07	2720.15	4543.8	3325.99	3419.52	1127.35	5711.87	1819.35	4543.8	1313.23	3060.45	3124.78	3372.43	1662.49	2816.11	1183.45	0.0	0.82	688.78
DRG2	323.03	239.52	293.07	753.83	819.3	536.45	426.57	612.11	633.73	603.67	612.11	665.29	381.68	476.71	289.02	915.51	381.68	283.05	660.68	941.27	575.03	507.46	414.87	0.0	0.57	169.07
EXOC3	450.94	325.29	323.03	1175.27	1037.29	759.08	665.29	988.12	1015.93	896.64	981.29	995.0	511.0	703.28	547.75	981.29	723.08	551.56	620.67	909.17	928.3	842.36	507.46	483.38	947.83	651.58
FABP4	9.06	7.46	265.87	365622.68	211455.3	322736.12	386469.83	253213.41	348306.01	327241.36	358098.26	292889.12	43537.38	716197.51	602247.76	360589.03	187950.38	906531.99	1078054.48	1838374.44	394590.4	636586.81	441.64	0.0	0.15	96.68
FAHD2A	283.05	117.6	131.51	1023.0	872.1	368.65	441.64	848.22	674.59	551.56	728.11	674.59	251.48	647.07	928.3	420.68	269.6	819.3	571.05	441.64	532.74	497.0	332.14	0.0	0.65	262.2
