	TCGA.BH.A1FU.11A.23R.A14D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.YFC4.1426.SM.5IFJG	TCGA.W5.AA33.01A.11R.A41I.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11GSP.0626.SM.5986T	GTEX.ZYT6.0626.SM.5E45V	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.BR.8367.01A.11R.2343.13	TCGA.BR.8683.01A.11R.2402.13
ACTR1B	1397.83	954.43	1250.98	1572.76	1159.07	1015.93	1111.82	1286.18	1322.37	1066.48	1295.13	961.07	486.75	728.11	743.43	872.1	703.28	928.3	629.35	995.0	842.36	723.08	624.99	733.19	743.43	842.36	571.05	665.29	941.27	1143.1	1037.29
ADAM10	1073.91	1208.34	1572.76	1191.69	693.58	343.89	1259.69	1023.0	769.69	947.83	1487.87	157.68	420.68	215.77	460.44	221.86	536.45	249.73	172.65	293.07	392.44	256.78	291.04	346.29	403.5	299.25	212.78	209.84	1081.39	1073.91	2075.59
AMMECR1L	368.65	403.5	366.09	392.44	255.0	187.71	285.03	265.87	198.47	339.14	395.18	98.04	141.02	155.5	108.14	102.97	80.57	100.13	147.06	150.17	122.64	98.73	128.79	115.97	147.06	144.01	126.12	116.78	341.51	325.29	358.54
APOE	7230.1	12329.98	14971.21	15392.14	139508.13	687022.54	102125.66	102125.66	212926.09	286861.53	87681.42	273275.14	863596.77	440870.9	1078054.48	696613.03	726195.27	731246.37	1290947.48	589853.66	783730.52	951601.81	828417.36	783730.52	2636147.11	964885.69	1442359.14	619179.28	7749.1	6337.83	2875.3
ARID2	299.25	307.69	246.28	231.32	148.09	120.1	193.01	186.4	116.78	121.79	214.27	32.59	173.85	68.55	88.88	47.84	55.49	90.77	54.33	69.03	85.22	86.43	42.11	45.53	84.63	70.51	97.36	37.05	371.22	334.46	226.54
ARID3B	84.63	84.04	152.28	215.77	202.66	66.65	101.54	166.73	115.97	170.25	164.42	24.99	64.8	39.5	31.9	39.22	37.85	48.52	45.85	68.07	52.08	78.89	23.08	64.34	21.94	29.7	58.71	10.63	236.21	152.28	229.72
ASH1L	660.68	764.36	748.61	400.71	279.14	120.1	435.55	435.55	180.02	224.97	441.64	24.11	283.05	108.14	81.71	54.72	134.3	115.97	92.7	134.3	132.44	150.17	94.67	149.12	81.14	232.94	204.07	35.25	603.67	638.15	660.68
BAHD1	392.44	463.65	432.53	246.28	412.0	323.03	307.69	363.56	285.03	167.9	346.29	136.19	191.67	239.52	122.64	150.17	220.32	166.73	211.31	178.77	164.42	271.48	176.29	248.0	97.36	140.04	158.79	178.77	441.64	420.68	473.41
BAZ2A	1331.57	1151.06	1870.53	915.51	532.74	414.87	599.49	599.49	525.39	647.07	521.76	95.34	480.04	132.44	136.19	114.36	214.27	226.54	158.79	295.11	281.09	218.79	262.2	305.55	149.12	291.04	387.02	55.89	1447.15	941.27	1467.37
BCL9	353.59	511.0	389.72	256.78	571.05	99.43	723.08	693.58	400.71	224.97	1015.93	65.72	37.85	43.32	28.65	16.75	193.01	53.95	101.54	37.85	17.51	74.58	142.01	73.03	27.44	24.46	18.43	11.47	470.14	500.46	579.04
BCOR	420.68	497.0	241.19	466.88	275.28	146.03	490.14	559.28	457.25	514.56	571.05	147.06	202.66	193.01	194.36	123.5	155.5	194.36	112.77	237.86	163.28	231.32	122.64	187.71	118.43	193.01	156.59	301.33	514.56	432.53	476.71
BMS1	325.29	363.56	228.13	275.28	185.11	159.9	211.31	197.09	176.29	172.65	242.88	66.18	149.12	96.68	88.88	65.26	119.26	119.26	98.73	96.01	117.6	98.04	103.69	120.1	75.11	102.97	136.19	49.21	320.8	320.8	395.18
BRF1	470.14	493.56	595.34	490.14	368.65	414.87	397.93	500.46	423.61	346.29	490.14	273.37	332.14	242.88	241.19	208.38	191.67	320.8	271.48	314.17	299.25	281.09	214.27	248.0	277.2	236.21	299.25	309.83	540.19	543.96	616.37
C19orf55	368.65	275.28	441.64	660.68	120.94	82.29	157.68	198.47	94.01	96.01	112.77	29.7	48.87	23.59	42.41	21.63	39.22	63.89	27.25	49.21	48.87	38.12	30.78	78.34	25.91	41.81	47.17	18.84	665.29	543.96	620.67
CASKIN2	660.68	381.68	246.28	343.89	450.94	291.04	583.07	595.34	279.14	273.37	356.05	205.5	255.0	186.4	182.55	84.63	234.57	120.94	116.78	132.44	162.14	215.77	190.34	334.46	229.72	256.78	175.07	82.29	525.39	435.55	457.25
CDC42BPB	1359.57	1191.69	1487.87	1216.75	819.3	708.18	1044.52	1175.27	981.29	791.35	1151.06	379.04	947.83	483.38	244.57	389.72	567.1	555.41	591.22	409.15	503.95	444.72	579.04	633.73	341.51	379.04	444.72	169.07	2018.8	1857.6	2335.28
CEP170B	417.77	320.8	567.1	748.61	232.94	301.33	301.33	426.57	414.87	363.56	299.25	150.17	297.17	156.59	116.78	73.54	89.51	129.69	158.79	165.57	92.7	55.49	108.9	123.5	111.99	111.21	156.59	41.81	854.13	1088.92	1963.57
CHML	154.42	211.31	201.25	115.97	98.04	43.94	299.25	190.34	62.12	127.0	189.02	2.68	61.25	13.83	27.84	4.94	9.93	25.35	24.46	18.84	18.84	26.28	7.82	15.45	24.11	20.71	24.63	6.31	118.43	137.14	124.37
CRTC3	603.67	500.46	293.07	466.88	246.28	346.29	511.0	486.75	279.14	332.14	466.88	132.44	166.73	94.67	98.73	78.34	87.03	92.7	143.01	178.77	154.42	130.6	118.43	162.14	105.15	138.1	132.44	136.19	1104.13	708.18	860.08
CTBP1	2271.4	2664.15	3039.3	2997.45	3081.75	3190.46	2502.97	4388.98	2758.13	2178.83	3690.52	1674.06	2119.22	1794.29	1769.57	1268.46	1674.06	2502.97	1806.78	2104.58	2209.26	1977.24	1639.59	1963.57	2335.28	2075.59	2209.26	1286.18	3168.41	3515.68	4239.45
DGKH	101.54	87.65	82.29	17.9	26.28	11.04	47.17	36.01	21.63	32.82	44.57	1.99	17.0	4.74	7.82	4.21	5.23	13.42	2.58	8.13	12.36	8.19	3.99	12.0	5.23	5.77	10.55	3.0	120.94	132.44	202.66
