	GTEX.QLQW.1626.SM.4R1K1	TCGA.CJ.5686.01A.11R.1672.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.CJ.5680.11A.01R.1541.07	TCGA.CJ.5679.11A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.2Z.A9J7.01A.11R.A38C.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.A4.A5Y1.01A.11R.A28H.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.2Z.A9J3.01A.12R.A38C.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.GL.7966.11A.01R.2204.07
ADIPOR1	2271.4	2224.63	1529.73	2485.67	1639.59	1844.76	2061.24	2032.85	1806.78	1832.01	1819.35	1508.65	1199.98	1369.04	1359.57	1277.29	1819.35	1572.76	1896.65	1685.71	1397.83	1508.65	1427.22	1639.59	1857.6	1870.53	1572.76	1427.22	1127.35	2720.15	1304.15	1427.22	1991.0	1857.6	995.0	1883.54	2047.0	1427.22	1870.53	1331.57	1540.37
APC	151.22	242.88	68.55	132.44	251.48	242.88	205.5	285.03	165.57	229.72	55.89	79.45	41.52	58.71	39.79	115.16	84.63	58.3	94.67	71.0	120.1	94.01	44.25	97.36	146.03	147.06	50.27	84.04	56.68	157.68	85.82	60.39	97.36	129.69	57.89	583.07	120.1	42.71	147.06	31.22	159.9
API5	1561.89	1073.91	733.19	1250.98	1487.87	1233.75	1447.15	2303.12	1313.23	1605.83	1059.11	872.1	656.11	669.92	579.04	791.35	642.59	624.99	941.27	825.0	854.13	703.28	532.74	872.1	890.44	1088.92	660.68	842.36	476.71	1167.14	884.29	633.73	1023.0	1378.57	476.71	1467.37	1104.13	587.13	954.43	567.1	1340.84
C1orf112	87.65	56.68	38.95	45.53	55.89	72.01	41.52	155.5	50.27	45.53	33.3	52.45	39.22	43.63	33.06	42.71	20.71	43.02	36.79	41.81	32.36	41.22	35.5	45.53	41.52	64.8	37.85	52.82	41.22	98.73	35.5	46.18	31.22	78.89	27.25	154.42	29.91	28.24	54.33	19.39	58.3
CAT	3103.19	3639.7	1498.22	2367.9	4298.64	3716.2	4152.18	6250.56	3124.78	4358.66	1498.22	4298.64	2061.24	1159.07	1322.37	1991.0	1233.75	1417.35	2468.49	1059.11	2075.59	2240.11	1143.1	1685.71	1359.57	1540.37	1407.55	2271.4	1617.0	4736.79	4038.61	872.1	2701.35	988.12	866.07	7589.61	3168.41	1674.06	1044.52	2627.46	2855.44
CENPL	109.66	55.1	41.22	76.71	82.29	72.01	59.97	115.97	67.12	80.57	34.51	57.89	40.64	34.51	27.05	43.63	35.0	34.75	62.56	52.45	39.5	46.18	43.32	41.22	36.53	79.45	26.28	38.4	32.36	115.97	55.49	72.01	46.84	53.57	31.9	149.12	57.49	33.3	44.57	21.16	57.89
CHIC1	113.56	170.25	69.03	127.0	231.32	186.4	218.79	387.02	163.28	187.71	81.71	119.26	56.68	66.18	53.95	71.0	74.06	64.8	77.25	57.89	95.34	94.01	48.18	88.26	73.54	85.82	49.56	90.14	71.5	180.02	120.94	56.68	94.01	137.14	49.91	291.04	122.64	56.68	122.64	36.79	149.12
CHM	363.56	466.88	169.07	244.57	376.41	387.02	389.72	651.58	312.0	429.54	232.94	197.09	155.5	204.07	142.01	186.4	183.82	152.28	267.73	185.11	224.97	201.25	127.0	251.48	267.73	264.03	176.29	212.78	137.14	303.44	234.57	130.6	220.32	500.46	151.22	412.0	289.02	153.34	256.78	143.01	371.22
CLCN3	1111.82	967.76	571.05	780.44	1167.14	947.83	995.0	1806.78	928.3	1088.92	518.15	848.22	447.82	389.72	244.57	612.11	493.56	511.0	595.34	447.82	616.37	603.67	275.28	567.1	607.87	647.07	361.04	616.37	379.04	1233.75	476.71	403.5	708.18	718.08	444.72	1477.58	884.29	444.72	780.44	379.04	981.29
COPA	2434.5	2701.35	1651.0	1819.35	2400.97	2224.63	1745.2	1857.6	1883.54	2255.7	1806.78	1794.29	896.64	1135.2	866.07	1551.09	1540.37	1225.22	1259.69	1487.87	1313.23	2004.85	1167.14	1388.16	2032.85	2193.99	1044.52	1447.15	1066.48	3018.3	1540.37	1127.35	1304.15	1697.45	1023.0	2351.53	1745.2	890.44	1923.14	915.51	1806.78
