	GTEX.SE5C.1026.SM.4BRUG	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.117XS.2226.SM.5GIE1	GTEX.ZF28.2526.SM.57WFH	GTEX.ZDTS.2726.SM.5L3E2	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13PVQ.1926.SM.5L3GN	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.148VI.1226.SM.5RQJR	GTEX.12696.1526.SM.5EGL6	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.ZYW4.1426.SM.5SIAX	GTEX.13YAN.2026.SM.5Q5EY	GTEX.146FQ.1126.SM.5NQBM	GTEX.13PVQ.1826.SM.5L3GU	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.ZYT6.1226.SM.5E44Q	GTEX.12696.1426.SM.5EGJ6	GTEX.148VJ.1126.SM.5NQBZ	GTEX.RWSA.1326.SM.47JX9	TCGA.38.4625.01A.01R.1206.07	GTEX.NPJ8.2426.SM.3MJHL	GTEX.WK11.2626.SM.4OOSK	TCGA.FP.7735.11A.01R.2055.13	TCGA.AX.A2HC.11A.11R.A32Y.07	GTEX.R55G.1626.SM.48FF4
ALKBH1	159.9	146.03	171.45	148.09	193.01	164.42	223.41	139.07	234.57	224.97	208.38	186.4	175.07	312.0	212.78	289.02	241.19	248.0	177.53	248.0	232.94	183.82	258.57	182.55	327.56	287.01	246.28	246.28	251.48	155.5	218.79	226.54	186.4	231.32	295.11	363.56	275.28	0.0	182.55	353.59	229.72	149.12	133.36
ANKHD1	656.11	890.44	1081.39	1359.57	1250.98	902.89	559.28	616.37	1233.75	1572.76	1397.83	1127.35	1498.22	1757.34	974.5	2075.59	2075.59	2178.83	1127.35	1199.98	830.75	941.27	1540.37	1359.57	1769.57	1991.0	896.64	1733.13	1685.71	1359.57	1088.92	1594.73	1030.12	1183.45	1794.29	1769.57	1447.15	0.0	830.75	974.5	1044.52	728.11	536.45
ANKRD11	703.28	941.27	1127.35	1001.93	1015.93	723.08	775.05	599.49	1437.15	1135.2	1447.15	1388.16	1519.15	1508.65	1199.98	1529.73	1216.75	1540.37	1191.69	1183.45	830.75	988.12	1259.69	2400.97	1250.98	1127.35	1059.11	1487.87	902.89	1250.98	1159.07	1135.2	1199.98	1127.35	1508.65	1407.55	1304.15	0.0	791.35	759.08	1159.07	848.22	708.18
ARMC8	660.68	728.11	529.06	532.74	813.63	412.0	426.57	389.72	1104.13	954.43	981.29	981.29	866.07	769.69	785.88	988.12	1059.11	961.07	507.46	514.56	575.03	500.46	587.13	728.11	961.07	769.69	688.78	836.53	713.11	748.61	571.05	591.22	543.96	748.61	909.17	1015.93	921.88	444.72	409.15	500.46	571.05	406.31	438.59
ATG14	116.78	267.73	246.28	218.79	303.44	154.42	145.02	88.88	397.93	260.38	285.03	239.52	237.86	291.04	241.19	341.51	400.71	303.44	140.04	305.55	197.09	185.11	334.46	279.14	339.14	336.79	167.9	301.33	327.56	271.48	176.29	281.09	209.84	198.47	318.57	373.81	351.14	0.0	119.26	199.85	158.79	158.79	138.1
BBS5	87.03	144.01	137.14	140.04	201.25	122.64	86.43	100.83	248.0	171.45	334.46	239.52	237.86	395.18	275.28	387.02	277.2	387.02	242.88	395.18	212.78	236.21	303.44	281.09	318.57	301.33	166.73	463.65	299.25	234.57	265.87	316.37	212.78	249.73	303.44	392.44	264.03	0.0	103.69	191.67	198.47	117.6	98.73
BRWD3	26.47	37.32	55.1	72.52	51.71	44.25	61.25	36.53	155.5	102.25	102.25	57.08	108.14	144.01	60.82	181.28	176.29	148.09	40.36	52.45	31.22	56.28	79.45	67.12	136.19	134.3	35.0	117.6	97.36	73.54	46.5	70.51	47.17	66.18	141.02	234.57	88.88	0.0	33.06	36.27	35.25	24.46	25.54
BTAF1	303.44	191.67	291.04	327.56	348.71	258.57	169.07	198.47	607.87	599.49	813.63	473.41	819.3	1191.69	397.93	2047.0	1794.29	1378.57	579.04	511.0	291.04	599.49	688.78	656.11	1674.06	961.07	343.89	1096.5	1304.15	1030.12	665.29	854.13	226.54	547.75	1457.23	1551.09	830.75	0.0	143.01	164.42	236.21	156.59	108.9
C12orf79	13.42	36.27	23.59	9.85	1.69	0.2	1.04	1.27	24.46	19.97	3.69	3.08	10.79	27.44	11.21	21.16	24.81	38.12	4.1	10.39	4.28	4.78	4.74	8.25	6.84	31.22	19.82	48.87	14.89	23.59	2.71	24.28	3.08	1.14	28.04	34.26	22.26	0.0	1.11	2.48	6.11	18.43	10.16
C7orf55-LUC7L2	599.49	1044.52	1216.75	1259.69	1551.09	902.89	718.08	743.43	1870.53	1407.55	1605.83	1259.69	1594.73	2104.58	1561.89	2075.59	2664.15	1950.0	1073.91	1781.89	1259.69	1183.45	1457.23	1733.13	1896.65	2061.24	890.44	2400.97	1628.26	1674.06	974.5	1806.78	1322.37	1427.22	1662.49	2209.26	1819.35	1044.52	708.18	1081.39	981.29	860.08	753.83
