	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.ZF.AA4W.01A.12R.A38B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.CV.7101.01A.11R.2016.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.5360.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CR.7370.01A.11R.2132.07	TCGA.CQ.5323.01A.01R.1686.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.5435.01A.01R.1686.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.6962.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7177.01A.11R.2016.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.63.5128.01A.01R.1443.07	TCGA.33.4589.01A.01R.1443.07	TCGA.85.7696.01A.11R.2125.07	TCGA.56.7582.01A.11R.2045.07
AHCTF1	343.89	242.88	164.42	343.89	189.02	612.11	738.29	796.86	500.46	785.88	638.15	314.17	748.61	361.04	214.27	285.03	470.14	426.57	361.04	346.29	693.58	607.87	366.09	258.57	214.27	466.88	303.44	785.88	366.09	1023.0	555.41	320.8	341.51	490.14	397.93	409.15	265.87	514.56	660.68	220.32	368.65	567.1	329.84	802.41	351.14	314.17	669.92	423.61	358.54	291.04	647.07	262.2	591.22	460.44	318.57	397.93	334.46	620.67	116.78	1088.92	802.41
ANGEL2	143.01	166.73	170.25	217.27	118.43	336.79	450.94	633.73	473.41	514.56	297.17	363.56	444.72	122.64	152.28	134.3	226.54	191.67	145.02	206.94	454.09	249.73	177.53	169.07	108.14	159.9	234.57	417.77	171.45	486.75	199.85	185.11	182.55	277.2	111.99	253.23	153.34	223.41	381.68	100.83	189.02	172.65	253.23	463.65	144.01	182.55	271.48	221.86	146.03	154.42	334.46	100.13	299.25	190.34	152.28	209.84	135.24	493.56	152.28	1037.29	500.46
ARID4B	96.01	147.06	193.01	156.59	89.51	271.48	381.68	414.87	303.44	429.54	314.17	220.32	447.82	146.03	117.6	158.79	193.01	201.25	120.1	165.57	457.25	297.17	223.41	153.34	242.88	220.32	150.17	387.02	169.07	486.75	162.14	260.38	181.28	197.09	128.79	283.05	167.9	325.29	381.68	138.1	208.38	318.57	181.28	624.99	183.82	123.5	264.03	264.03	115.97	85.82	297.17	170.25	202.66	170.25	182.55	301.33	135.24	275.28	63.89	642.59	480.04
ARNT	153.34	223.41	279.14	397.93	242.88	571.05	665.29	595.34	395.18	536.45	389.72	341.51	514.56	178.77	165.57	309.83	223.41	318.57	256.78	226.54	878.17	384.34	327.56	223.41	241.19	191.67	518.15	368.65	239.52	490.14	234.57	414.87	249.73	397.93	171.45	348.71	156.59	555.41	579.04	217.27	497.0	429.54	287.01	518.15	271.48	249.73	460.44	353.59	205.5	165.57	397.93	325.29	483.38	305.55	287.01	429.54	256.78	629.35	148.09	934.76	493.56
ASH1L	40.07	67.12	152.28	155.5	66.18	392.44	373.81	529.06	205.5	514.56	314.17	145.02	409.15	96.68	61.25	149.12	169.07	169.07	92.7	130.6	351.14	287.01	208.38	113.56	143.01	149.12	164.42	323.03	120.1	341.51	86.43	194.36	142.01	175.07	67.59	177.53	66.18	244.57	281.09	114.36	220.32	285.03	183.82	669.92	130.6	83.45	231.32	155.5	98.04	68.55	221.86	151.22	297.17	133.36	139.07	253.23	98.04	353.59	16.03	759.08	376.41
B3GALNT2	88.88	100.83	246.28	221.86	57.08	346.29	412.0	511.0	248.0	309.83	353.59	368.65	514.56	131.51	117.6	242.88	186.4	295.11	112.77	190.34	518.15	303.44	275.28	172.65	161.02	209.84	379.04	543.96	181.28	579.04	158.79	291.04	242.88	283.05	177.53	256.78	98.04	332.14	575.03	118.43	285.03	503.95	287.01	429.54	197.09	141.02	423.61	277.2	158.79	156.59	514.56	151.22	555.41	187.71	167.9	289.02	148.09	483.38	77.79	314.17	486.75
BAZ2B	43.02	82.29	151.22	155.5	61.68	341.51	395.18	642.59	253.23	336.79	395.18	187.71	579.04	78.89	77.79	157.68	96.68	154.42	73.54	113.56	703.28	287.01	190.34	154.42	186.4	119.26	181.28	376.41	144.01	514.56	69.03	299.25	177.53	387.02	94.67	232.94	142.01	381.68	358.54	194.36	242.88	327.56	180.02	909.17	118.43	100.83	232.94	189.02	69.03	88.26	228.13	224.97	208.38	119.26	154.42	384.34	114.36	204.07	40.07	329.84	463.65
BCL6	153.34	423.61	403.5	872.1	432.53	2104.58	1745.2	2434.5	2816.11	2777.33	2004.85	791.35	3467.27	371.22	265.87	693.58	866.07	500.46	366.09	890.44	2303.12	1498.22	1151.06	529.06	669.92	669.92	638.15	2319.15	353.59	1059.11	285.03	656.11	476.71	406.31	305.55	460.44	323.03	769.69	1322.37	660.68	616.37	1340.84	921.88	1963.57	540.19	285.03	1909.85	480.04	470.14	269.6	928.3	830.75	1051.79	356.05	579.04	848.22	450.94	1397.83	167.9	1628.26	2555.58
BCL9	38.67	44.89	49.91	96.68	49.56	291.04	232.94	403.5	255.0	299.25	253.23	114.36	329.84	60.82	46.18	83.45	80.01	116.78	50.63	80.01	267.73	164.42	112.77	56.68	50.63	94.67	217.27	175.07	55.49	201.25	71.5	122.64	88.88	144.01	50.63	132.44	66.18	182.55	279.14	85.82	125.24	212.78	73.03	332.14	105.15	127.0	293.07	74.06	75.64	71.5	134.3	105.15	181.28	102.97	135.24	191.67	49.56	297.17	15.45	397.93	262.2
BPTF	275.28	353.59	521.76	647.07	312.0	603.67	753.83	1175.27	748.61	941.27	775.05	480.04	961.07	532.74	309.83	511.0	743.43	595.34	500.46	490.14	921.88	688.78	612.11	703.28	460.44	547.75	536.45	890.44	420.68	688.78	507.46	547.75	587.13	638.15	356.05	836.53	447.82	743.43	603.67	688.78	703.28	688.78	454.09	2047.0	414.87	620.67	426.57	638.15	368.65	316.37	921.88	429.54	500.46	463.65	651.58	684.02	490.14	642.59	78.89	791.35	808.0
