	TCGA.AK.3447.01A.01R.1766.07	TCGA.B2.3923.01A.02R.A277.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WWYW.0926.SM.3NB2Z	GTEX.SNOS.0426.SM.32PMH	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13S86.0626.SM.5Q5E7	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.ZTPG.0926.SM.5O99H	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.OIZH.0526.SM.2HMKV	GTEX.11ZTT.0626.SM.5EQLM	GTEX.ZYWO.0826.SM.5E45W	GTEX.X4EP.0526.SM.3P5YW	GTEX.12WSD.2826.SM.59HKT
AATF	105.15	480.04	0.0	0.77	540.19	796.86	684.02	409.15	1417.35	647.07	1059.11	748.61	1044.52	571.05	860.08	961.07	941.27	819.3	460.44	836.53	490.14	2119.22	872.1	775.05	460.44	638.15	1001.93	1088.92	860.08	1529.73	1250.98	738.29
ACRBP	11.38	14.03	0.0	0.12	116.78	38.12	175.07	38.95	212.78	111.99	493.56	46.18	195.72	95.34	320.8	309.83	141.02	58.71	78.34	258.57	31.9	236.21	249.73	16.88	38.4	85.22	221.86	285.03	255.0	366.09	647.07	61.68
ALOX12	1.97	8.13	0.0	0.66	1.75	2.2	17.9	0.83	21.16	16.63	283.05	4.9	147.06	13.72	39.79	109.66	16.27	2.56	4.06	101.54	8.25	165.57	181.28	3.23	0.8	13.93	28.86	75.11	21.78	37.85	223.41	12.27
AQP1	866.07	902.89	0.0	0.93	23330.64	7180.15	17558.94	6887.62	11584.24	12076.21	27174.14	3146.52	23986.58	19082.0	20451.65	52135.28	67846.12	27553.49	1781.89	36864.92	3874.05	25005.23	14561.8	2178.83	2997.45	15285.81	35609.13	72213.45	26248.46	7589.61	55491.3	2335.28
AQP10	0.0	0.89	0.0	0.1	2.01	4.13	30.34	5.54	30.12	14.67	120.94	16.88	18.56	6.89	34.75	38.4	31.22	3.47	20.86	30.56	8.13	72.01	81.14	17.0	4.86	15.91	14.24	58.3	27.44	31.0	67.12	5.19
ASGR2	3.08	2.71	0.0	0.24	43.32	11.73	84.63	12.18	57.89	66.65	61.25	12.45	142.01	22.1	29.91	57.49	43.02	18.97	63.45	17.25	22.92	165.57	22.92	11.47	21.01	8.99	26.86	68.55	41.81	64.8	133.36	2.03
BIN2	38.67	85.22	0.0	0.59	202.66	172.65	1572.76	59.13	161.02	307.69	1159.07	1088.92	1051.79	153.34	860.08	1487.87	529.06	218.79	273.37	647.07	74.06	1151.06	928.3	187.71	124.37	214.27	872.1	1023.0	769.69	1175.27	1417.35	62.56
C15orf39	13.22	42.11	0.0	0.54	165.57	283.05	339.14	191.67	281.09	175.07	753.83	285.03	620.67	154.42	567.1	780.44	656.11	543.96	486.75	575.03	173.85	583.07	532.74	251.48	271.48	336.79	559.28	665.29	420.68	525.39	808.0	246.28
C19orf38	19.25	12.93	0.0	0.14	140.04	111.21	332.14	25.17	159.9	140.04	432.53	66.18	334.46	63.45	146.03	387.02	223.41	164.42	87.65	194.36	61.25	571.05	173.85	76.71	37.59	29.91	215.77	414.87	255.0	490.14	400.71	7.28
C6orf25	0.0	0.0	0.0	0.27	12.64	10.31	31.9	11.73	81.71	39.22	98.04	4.28	91.41	85.22	80.01	211.31	45.53	13.12	21.63	84.04	19.97	206.94	153.34	10.96	21.94	14.45	62.56	83.45	100.83	69.03	267.73	11.91
