	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.13OVI.1126.SM.5KLZF	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4969.01A.01R.1334.07	TCGA.CJ.4918.01A.01R.1426.07	TCGA.BP.4962.01A.01R.1334.07	TCGA.B0.5402.01A.01R.1503.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	GTEX.OIZI.0726.SM.2XCEI	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1399U.0326.SM.5P9G5	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.YB5E.0626.SM.4VDSE	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	TCGA.A5.A3LP.01A.11R.A22K.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07
AKAP11	86.43	41.52	41.22	80.57	85.22	287.01	211.31	142.01	229.72	147.06	267.73	166.73	178.77	212.78	309.83	656.11	366.09	353.59	116.78	159.9	285.03	248.0	283.05	127.89	142.01	435.55	121.79	305.55	361.04	376.41	329.84	441.64	341.51	366.09	336.79	303.44	435.55	295.11	260.38	373.81	255.0	457.25	314.17	327.56	384.34	361.04	283.05	283.05	356.05	387.02	325.29	297.17	366.09	368.65	173.85	88.88	38.4	151.22	63.89	76.17	155.5	208.38	297.17	262.2	223.41	285.03	271.48	249.73	277.2	339.14	224.97	325.29	269.6	251.48	30.12	34.51	38.67	85.22	108.14	470.14	384.34	309.83	285.03	358.54	229.72	316.37	265.87	134.3	251.48	376.41	258.57	129.69	45.21	37.59
APPL1	107.38	125.24	93.35	165.57	287.01	432.53	336.79	206.94	332.14	279.14	329.84	199.85	312.0	283.05	353.59	703.28	563.18	423.61	154.42	159.9	384.34	228.13	346.29	156.59	255.0	258.57	104.42	339.14	493.56	483.38	423.61	532.74	412.0	470.14	466.88	373.81	529.06	381.68	379.04	503.95	320.8	532.74	480.04	483.38	470.14	444.72	412.0	332.14	463.65	483.38	403.5	400.71	457.25	460.44	267.73	151.22	58.3	136.19	127.89	145.02	285.03	312.0	373.81	318.57	318.57	397.93	329.84	316.37	336.79	361.04	327.56	423.61	305.55	348.71	70.01	125.24	44.25	166.73	127.0	665.29	432.53	435.55	536.45	348.71	295.11	384.34	403.5	229.72	341.51	412.0	389.72	309.83	104.42	134.3
ATG2B	49.21	40.36	44.89	75.11	35.76	215.77	165.57	75.64	158.79	88.26	92.7	116.78	204.07	130.6	187.71	412.0	251.48	197.09	64.8	127.0	175.07	63.0	204.07	48.18	110.43	76.17	135.24	147.06	228.13	202.66	159.9	248.0	228.13	208.38	206.94	190.34	237.86	194.36	147.06	241.19	148.09	293.07	201.25	215.77	221.86	256.78	193.01	166.73	223.41	150.17	151.22	185.11	187.71	262.2	56.28	67.12	44.25	109.66	53.95	32.59	87.65	136.19	170.25	151.22	156.59	221.86	161.02	175.07	172.65	206.94	201.25	189.02	181.28	176.29	55.49	73.03	53.57	33.78	126.12	441.64	441.64	285.03	497.0	384.34	265.87	156.59	332.14	144.01	336.79	237.86	205.5	191.67	37.59	32.36
ATRX	94.67	78.34	47.17	143.01	146.03	327.56	262.2	140.04	293.07	161.02	248.0	176.29	271.48	262.2	312.0	902.89	412.0	325.29	119.26	182.55	389.72	195.72	447.82	148.09	173.85	353.59	152.28	264.03	412.0	463.65	417.77	567.1	318.57	395.18	397.93	320.8	493.56	336.79	299.25	483.38	279.14	438.59	392.44	395.18	444.72	447.82	368.65	242.88	381.68	297.17	366.09	387.02	381.68	450.94	127.89	114.36	25.35	33.3	50.63	100.13	185.11	264.03	376.41	279.14	305.55	316.37	309.83	269.6	279.14	348.71	241.19	309.83	289.02	316.37	57.89	33.54	27.25	60.82	116.78	698.41	507.46	412.0	339.14	297.17	305.55	381.68	320.8	176.29	381.68	470.14	332.14	275.28	91.41	85.22
BBX	121.79	101.54	68.07	111.99	237.86	674.59	400.71	307.69	500.46	389.72	551.56	242.88	403.5	466.88	514.56	1781.89	1051.79	698.41	98.73	277.2	493.56	269.6	353.59	212.78	211.31	483.38	221.86	525.39	896.64	842.36	612.11	1044.52	660.68	703.28	633.73	567.1	743.43	624.99	473.41	785.88	466.88	785.88	748.61	738.29	791.35	693.58	629.35	551.56	718.08	616.37	587.13	616.37	723.08	764.36	299.25	120.1	46.5	212.78	87.65	115.16	242.88	447.82	567.1	420.68	435.55	571.05	490.14	575.03	521.76	660.68	493.56	656.11	525.39	536.45	31.45	34.75	25.17	53.19	111.21	808.0	629.35	483.38	575.03	571.05	351.14	642.59	444.72	214.27	381.68	559.28	447.82	432.53	75.11	100.83
BMPR2	173.85	90.77	131.51	155.5	133.36	438.59	299.25	149.12	384.34	229.72	256.78	202.66	305.55	242.88	363.56	825.0	414.87	323.03	255.0	283.05	796.86	392.44	511.0	221.86	234.57	389.72	239.52	305.55	414.87	647.07	463.65	656.11	497.0	638.15	616.37	403.5	543.96	417.77	414.87	476.71	366.09	511.0	438.59	444.72	543.96	559.28	429.54	291.04	447.82	708.18	435.55	679.29	616.37	555.41	149.12	144.01	59.13	92.7	108.9	102.25	255.0	289.02	420.68	332.14	323.03	387.02	358.54	327.56	341.51	392.44	314.17	480.04	318.57	363.56	61.25	35.76	52.08	131.51	60.39	400.71	307.69	353.59	379.04	267.73	209.84	353.59	260.38	212.78	332.14	423.61	249.73	325.29	70.51	66.18
BTRC	88.88	46.18	86.43	111.99	84.04	209.84	193.01	85.82	171.45	129.69	166.73	187.71	253.23	224.97	277.2	175.07	224.97	208.38	111.21	127.89	217.27	88.88	111.21	127.89	117.6	264.03	84.04	198.47	277.2	293.07	198.47	303.44	198.47	202.66	221.86	206.94	264.03	248.0	204.07	260.38	155.5	299.25	242.88	323.03	228.13	249.73	242.88	186.4	241.19	191.67	214.27	189.02	242.88	246.28	151.22	74.06	114.36	159.9	135.24	60.39	120.94	167.9	221.86	171.45	170.25	187.71	190.34	171.45	183.82	248.0	167.9	220.32	163.28	214.27	53.19	66.18	52.82	80.57	82.87	255.0	138.1	197.09	206.94	195.72	146.03	384.34	193.01	153.34	124.37	249.73	194.36	150.17	57.08	63.89
C4orf29	56.28	57.08	29.7	62.12	98.73	154.42	124.37	149.12	115.97	169.07	157.68	125.24	104.42	94.67	122.64	202.66	111.99	129.69	59.55	139.07	110.43	63.45	115.97	95.34	118.43	106.63	43.94	151.22	177.53	146.03	142.01	161.02	153.34	136.19	135.24	120.94	199.85	167.9	134.3	163.28	159.9	197.09	143.01	147.06	136.19	153.34	180.02	171.45	141.02	114.36	138.1	115.97	127.89	173.85	100.83	40.93	31.22	53.19	33.06	56.68	133.36	134.3	120.1	162.14	110.43	137.14	140.04	146.03	121.79	165.57	153.34	112.77	102.97	128.79	68.07	63.89	71.5	88.88	126.12	215.77	289.02	128.79	205.5	178.77	152.28	150.17	166.73	125.24	223.41	150.17	158.79	108.14	58.3	59.55
CCSER2	135.24	165.57	148.09	141.02	114.36	426.57	329.84	234.57	346.29	275.28	595.34	181.28	325.29	248.0	303.44	638.15	323.03	698.41	206.94	255.0	543.96	356.05	353.59	303.44	327.56	571.05	170.25	343.89	514.56	555.41	400.71	603.67	507.46	567.1	507.46	389.72	563.18	417.77	397.93	521.76	414.87	567.1	470.14	486.75	529.06	603.67	497.0	318.57	441.64	435.55	490.14	532.74	438.59	480.04	237.86	202.66	86.43	167.9	87.03	119.26	220.32	346.29	435.55	412.0	384.34	371.22	371.22	389.72	327.56	414.87	341.51	441.64	346.29	384.34	107.38	109.66	54.72	131.51	170.25	1001.93	483.38	470.14	775.05	624.99	497.0	559.28	432.53	457.25	454.09	723.08	301.33	279.14	87.65	72.01
CHIC1	37.59	4.31	22.75	45.21	40.07	149.12	115.97	106.63	157.68	100.83	312.0	74.06	104.42	87.03	144.01	251.48	189.02	236.21	74.58	78.34	155.5	118.43	173.85	82.29	89.51	201.25	62.56	161.02	194.36	205.5	170.25	214.27	217.27	201.25	212.78	186.4	218.79	176.29	141.02	185.11	185.11	221.86	187.71	202.66	187.71	185.11	172.65	170.25	173.85	307.69	162.14	167.9	194.36	204.07	66.18	87.03	38.12	60.82	30.12	36.79	106.63	125.24	158.79	162.14	141.02	152.28	127.0	155.5	151.22	173.85	138.1	163.28	139.07	163.28	28.86	1.46	6.52	8.25	15.68	279.14	248.0	128.79	180.02	175.07	150.17	166.73	105.15	101.54	137.14	153.34	126.12	87.65	32.13	22.75
CLASP2	104.42	68.55	74.06	99.43	301.33	435.55	348.71	323.03	379.04	336.79	341.51	281.09	258.57	356.05	476.71	884.29	438.59	764.36	116.78	132.44	420.68	228.13	457.25	187.71	332.14	231.32	181.28	423.61	500.46	536.45	447.82	540.19	507.46	525.39	444.72	444.72	507.46	441.64	373.81	551.56	387.02	540.19	438.59	450.94	511.0	466.88	507.46	426.57	470.14	551.56	417.77	503.95	441.64	507.46	353.59	142.01	112.77	199.85	110.43	99.43	265.87	373.81	395.18	417.77	341.51	341.51	358.54	363.56	371.22	454.09	376.41	395.18	363.56	406.31	63.0	90.14	65.72	100.13	43.94	409.15	336.79	295.11	329.84	323.03	323.03	363.56	339.14	206.94	334.46	316.37	279.14	155.5	50.98	88.88
CREBRF	82.87	26.86	55.1	60.39	73.54	325.29	241.19	182.55	214.27	185.11	162.14	148.09	224.97	165.57	265.87	860.08	309.83	307.69	124.37	332.14	307.69	287.01	525.39	264.03	159.9	532.74	218.79	281.09	483.38	417.77	255.0	470.14	343.89	417.77	397.93	327.56	483.38	334.46	267.73	414.87	258.57	483.38	356.05	332.14	400.71	336.79	329.84	307.69	387.02	397.93	356.05	339.14	409.15	414.87	120.94	127.0	40.93	125.24	88.26	90.14	169.07	273.37	295.11	224.97	221.86	256.78	291.04	215.77	241.19	309.83	281.09	305.55	241.19	262.2	54.33	86.43	28.04	74.06	126.12	854.13	529.06	490.14	612.11	463.65	336.79	483.38	409.15	281.09	571.05	547.75	339.14	94.01	36.01	36.27
DNAJB14	127.0	135.24	60.39	167.9	119.26	334.46	273.37	283.05	283.05	285.03	251.48	191.67	237.86	175.07	293.07	688.78	454.09	400.71	133.36	198.47	384.34	273.37	305.55	190.34	195.72	420.68	158.79	361.04	414.87	438.59	325.29	438.59	406.31	366.09	409.15	316.37	356.05	309.83	285.03	435.55	361.04	435.55	366.09	356.05	358.54	363.56	343.89	412.0	316.37	429.54	363.56	307.69	381.68	341.51	164.42	126.12	27.84	70.51	65.72	119.26	237.86	293.07	241.19	255.0	239.52	253.23	271.48	239.52	242.88	283.05	275.28	303.44	242.88	289.02	58.3	63.45	26.47	102.25	88.88	591.22	503.95	305.55	447.82	368.65	379.04	414.87	426.57	260.38	406.31	423.61	376.41	215.77	102.97	78.34
