	TCGA.AZ.6605.11A.01R.1839.07	GTEX.1399U.1926.SM.5IFH7	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.ZPIC.2226.SM.57WDX	GTEX.ZT9W.1826.SM.51MQX	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.OXRL.0726.SM.3NM9A	GTEX.12WSJ.0726.SM.5GCN6	GTEX.1122O.1626.SM.5N9CX	GTEX.13OVG.0926.SM.5J2OJ	GTEX.RM2N.0626.SM.48FD6	GTEX.131XF.0926.SM.5BC69	GTEX.TKQ2.1226.SM.4DXSV	GTEX.WRHK.0426.SM.4MVOG	GTEX.PLZ6.0626.SM.3P61B	GTEX.YF7O.0826.SM.4W21F	GTEX.11EQ9.0826.SM.5986Y	GTEX.ZPCL.1226.SM.4WWFF	GTEX.XBEW.1426.SM.4AT4J	GTEX.13111.0926.SM.5DUVQ	GTEX.PWCY.0826.SM.48TCR	TCGA.BC.A110.11A.11R.A131.07	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4Z8.1226.SM.4AD6W	GTEX.146FR.2026.SM.5NQAI	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.11EQ9.1226.SM.5987E	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.OIZH.1526.SM.3NB1J	GTEX.TKQ1.0526.SM.4DXTG	GTEX.XPVG.1526.SM.4B66C
ABI2	1457.23	87.03	134.3	123.5	100.83	73.03	872.1	435.55	579.04	529.06	647.07	579.04	679.29	780.44	595.34	629.35	497.0	591.22	583.07	521.76	638.15	684.02	106.63	212.78	314.17	64.8	1059.11	780.44	1447.15	1242.34	1674.06	780.44	896.64	1051.79	1001.93	813.63	698.41	651.58	995.0	896.64	819.3	1322.37	713.11	759.08	854.13	775.05	884.29	981.29	896.64
ADM5	38.12	15.22	15.0	27.84	23.76	19.82	51.71	32.82	37.59	39.5	65.26	30.34	25.72	99.43	21.94	22.1	27.44	31.22	15.91	46.5	29.06	27.84	10.71	11.13	0.0	0.35	49.21	142.01	53.57	46.5	36.79	134.3	62.56	54.72	165.57	23.76	81.14	51.35	19.11	34.02	38.67	73.54	61.68	43.94	48.87	27.05	34.51	44.57	52.08
AEBP1	4123.49	356.05	728.11	403.5	214.27	454.09	7382.04	2855.44	1721.16	2104.58	2956.17	2004.85	1628.26	4704.07	2537.92	2451.44	2555.58	2935.74	2104.58	1781.89	3303.0	2835.7	323.03	1304.15	0.0	1.17	4481.23	7857.29	3081.75	2739.08	2209.26	6294.04	10084.54	3589.58	8963.45	6207.38	10084.54	7433.4	3847.29	5995.9	5751.61	10225.32	4481.23	3081.75	3395.89	4575.41	6164.49	3564.78	2271.4
AFAP1L2	384.34	96.68	124.37	142.01	102.97	77.79	423.61	163.28	309.83	194.36	150.17	246.28	146.03	503.95	176.29	162.14	132.44	249.73	249.73	253.23	253.23	214.27	20.56	13.52	0.0	0.47	417.77	688.78	571.05	733.19	571.05	395.18	547.75	733.19	1001.93	497.0	412.0	466.88	1268.46	575.03	638.15	1008.9	371.22	470.14	591.22	412.0	656.11	339.14	438.59
ANGPTL7	381.68	4.78	6.41	11.55	9.41	9.56	2224.63	66.65	44.89	66.65	40.07	127.0	26.67	239.52	44.89	37.32	38.67	60.82	65.72	36.53	84.04	35.0	2.48	0.0	0.0	0.0	214.27	251.48	423.61	236.21	366.09	518.15	221.86	281.09	403.5	101.54	262.2	115.97	48.52	82.29	279.14	226.54	61.25	105.15	131.51	180.02	111.99	66.18	162.14
ANXA6	15075.35	728.11	995.0	961.07	733.19	624.99	18178.19	5751.61	4298.64	3874.05	4038.61	5329.3	4123.49	5791.62	5711.87	4639.29	3874.05	4210.15	5711.87	5041.77	5219.6	4239.45	2319.15	1540.37	1331.57	559.28	6607.01	8658.09	6607.01	6652.97	6652.97	9344.14	6887.62	6250.56	5555.65	7032.37	6471.02	6037.61	8421.31	5954.47	7749.1	6516.03	3716.2	5555.65	5147.73	5872.48	6792.79	6935.54	5954.47
ARHGAP1	2468.49	928.3	1037.29	1225.22	1081.39	728.11	2956.17	1896.65	1369.04	1709.26	1991.0	2178.83	2047.0	2047.0	1950.0	1685.71	1745.2	2090.03	1674.06	1709.26	2417.67	1963.57	612.11	454.09	1030.12	127.0	3742.05	4181.07	2468.49	2351.53	2591.27	6935.54	2384.37	1617.0	2178.83	1721.16	4010.71	1806.78	1896.65	1936.53	2335.28	2664.15	1844.76	2502.97	2485.67	2032.85	2555.58	2591.27	2163.77
ATP1B2	244.57	12.93	16.27	17.38	14.03	18.56	511.0	96.68	102.97	78.89	75.64	78.34	61.25	291.04	55.1	120.1	63.45	80.01	61.68	69.52	132.44	98.04	21.78	11.47	0.0	0.01	260.38	258.57	406.31	480.04	346.29	130.6	400.71	444.72	470.14	221.86	214.27	336.79	305.55	156.59	206.94	1286.18	108.14	120.1	890.44	162.14	242.88	149.12	120.94
ATXN1	493.56	122.64	156.59	118.43	113.56	73.03	267.73	177.53	303.44	202.66	183.82	215.77	248.0	371.22	232.94	195.72	197.09	285.03	295.11	256.78	303.44	285.03	120.1	89.51	87.03	74.58	438.59	363.56	466.88	395.18	444.72	327.56	406.31	521.76	579.04	429.54	265.87	409.15	490.14	361.04	379.04	651.58	336.79	303.44	376.41	293.07	466.88	318.57	301.33
B3GALTL	96.68	46.18	44.25	45.21	51.35	40.93	47.17	95.34	90.77	68.07	52.45	67.59	57.89	63.0	68.07	70.01	94.67	53.57	94.01	70.51	62.56	49.21	57.89	25.91	0.0	0.32	94.67	63.0	139.07	166.73	131.51	37.59	130.6	187.71	195.72	133.36	84.63	88.26	193.01	172.65	104.42	139.07	99.43	75.64	82.29	139.07	131.51	80.01	111.21
