	TCGA.A7.A13E.11A.61R.A12P.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11P81.1926.SM.5BC53	GTEX.WRHU.0326.SM.3MJFY	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.YJ8O.2226.SM.5IFHW	GTEX.ZQG8.0726.SM.5P9H9	GTEX.TML8.1226.SM.32QON	GTEX.12WSB.0626.SM.59HJO	GTEX.13OVG.1426.SM.5K7VP	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.ZYT6.0626.SM.5E45V	GTEX.P78B.1326.SM.3P611	GTEX.XMD2.1026.SM.4WWE8
ADAM17	327.56	130.6	189.02	236.21	271.48	169.07	242.88	287.01	265.87	264.03	320.8	323.03	229.72	228.13	283.05	262.2	384.34	426.57	397.93	346.29	215.77	336.79	312.0	283.05	62.12	37.85	23.59	34.51	39.5	47.17	37.05	43.02	435.55
AP1G1	866.07	293.07	620.67	728.11	775.05	397.93	669.92	718.08	595.34	629.35	656.11	769.69	693.58	616.37	620.67	358.54	674.59	1119.56	753.83	713.11	361.04	830.75	718.08	651.58	256.78	297.17	293.07	299.25	397.93	420.68	275.28	314.17	1037.29
C10orf118	197.09	68.55	137.14	159.9	279.14	100.13	166.73	248.0	157.68	242.88	206.94	314.17	194.36	147.06	166.73	126.12	356.05	559.28	392.44	267.73	96.68	361.04	303.44	202.66	51.71	51.71	14.35	42.11	47.17	43.63	40.64	30.34	466.88
C4orf33	211.31	120.1	194.36	392.44	221.86	176.29	211.31	229.72	275.28	201.25	258.57	220.32	202.66	156.59	279.14	197.09	540.19	381.68	343.89	470.14	117.6	693.58	265.87	435.55	102.25	82.87	37.32	104.42	137.14	69.03	113.56	128.79	490.14
CD36	91404.92	52135.28	98646.85	118127.7	80683.28	68793.23	75280.1	82951.62	92040.7	98646.85	79572.48	76861.91	127486.83	92040.7	163620.18	87075.75	62431.08	64632.75	105727.15	124863.17	162489.97	29327.18	139508.13	147462.67	334.46	162.14	563.18	414.87	518.15	647.07	1208.34	303.44	3018.3
CWF19L1	376.41	248.0	269.6	242.88	371.22	297.17	334.46	409.15	258.57	361.04	295.11	343.89	343.89	305.55	264.03	234.57	420.68	629.35	457.25	281.09	242.88	642.59	547.75	327.56	212.78	149.12	155.5	172.65	193.01	173.85	193.01	190.34	633.73
DENND6A	256.78	152.28	223.41	297.17	267.73	191.67	256.78	323.03	206.94	353.59	256.78	303.44	251.48	199.85	264.03	217.27	363.56	447.82	595.34	358.54	199.85	384.34	525.39	251.48	95.34	72.52	48.52	75.11	70.01	64.34	48.52	66.18	400.71
DIP2A	289.02	181.28	271.48	269.6	314.17	265.87	271.48	332.14	277.2	327.56	329.84	346.29	312.0	291.04	420.68	199.85	500.46	503.95	356.05	343.89	211.31	599.49	514.56	351.14	81.14	111.21	75.64	88.88	71.5	75.11	77.25	104.42	486.75
DYRK1A	669.92	314.17	571.05	647.07	684.02	457.25	567.1	748.61	567.1	679.29	642.59	665.29	660.68	525.39	753.83	514.56	934.76	769.69	1081.39	928.3	420.68	825.0	775.05	688.78	316.37	193.01	106.63	185.11	206.94	204.07	232.94	212.78	733.19
EPC1	457.25	218.79	454.09	438.59	551.56	314.17	414.87	583.07	412.0	555.41	503.95	521.76	473.41	346.29	432.53	463.65	802.41	785.88	836.53	642.59	299.25	813.63	764.36	579.04	325.29	185.11	84.63	166.73	156.59	136.19	167.9	156.59	607.87
FAM122C	46.84	70.01	62.12	57.08	71.5	47.84	49.91	55.49	50.63	66.18	47.84	65.72	66.65	47.84	69.52	32.82	58.71	111.99	98.73	123.5	43.02	146.03	114.36	105.89	38.67	28.04	17.64	20.26	24.46	32.59	18.56	20.11	143.01
FNBP1L	612.11	341.51	493.56	660.68	532.74	392.44	684.02	866.07	497.0	890.44	684.02	769.69	723.08	414.87	848.22	674.59	1427.22	1023.0	1407.55	684.02	785.88	909.17	1066.48	688.78	97.36	120.94	96.01	120.1	159.9	144.01	130.6	143.01	1051.79
FRYL	525.39	339.14	497.0	575.03	624.99	346.29	511.0	559.28	529.06	629.35	575.03	688.78	571.05	616.37	902.89	830.75	775.05	848.22	909.17	1081.39	373.81	1277.29	1088.92	1030.12	120.1	139.07	46.18	146.03	105.89	125.24	112.77	94.67	500.46
GABPB1	253.23	167.9	194.36	218.79	226.54	194.36	209.84	218.79	193.01	264.03	234.57	231.32	253.23	173.85	325.29	236.21	267.73	381.68	441.64	327.56	178.77	287.01	381.68	220.32	177.53	103.69	80.01	99.43	121.79	139.07	121.79	147.06	277.2
GCSAM	22.92	4.17	3.76	7.0	10.31	4.98	10.88	36.01	9.34	17.0	25.35	25.17	6.21	14.03	24.81	11.04	82.87	47.5	37.85	17.9	6.78	62.12	6.26	30.56	5.5	1.75	4.13	8.32	2.05	5.23	0.88	7.63	73.03
GLMN	115.16	102.97	109.66	142.01	125.24	120.1	100.13	124.37	98.73	137.14	132.44	158.79	120.94	76.71	110.43	121.79	167.9	295.11	158.79	128.79	39.79	236.21	133.36	92.05	48.52	73.03	8.65	42.11	36.53	40.07	46.18	36.79	239.52
HECTD2	118.43	50.27	97.36	115.16	142.01	74.58	117.6	151.22	91.41	166.73	132.44	162.14	134.3	99.43	116.78	65.26	262.2	212.78	215.77	226.54	40.64	423.61	147.06	135.24	26.86	27.44	6.52	20.41	14.14	16.27	22.1	28.86	194.36
LRRC37B	151.22	79.45	122.64	116.78	132.44	85.22	138.1	185.11	94.67	152.28	176.29	173.85	125.24	94.01	206.94	77.79	332.14	193.01	221.86	163.28	69.52	287.01	211.31	130.6	45.85	47.17	13.83	37.59	32.59	37.32	25.72	50.63	532.74
LRRC57	417.77	195.72	309.83	299.25	332.14	303.44	293.07	346.29	293.07	389.72	339.14	297.17	297.17	260.38	348.71	309.83	500.46	490.14	420.68	358.54	212.78	403.5	325.29	346.29	102.97	72.01	59.55	90.14	85.82	84.04	117.6	86.43	674.59
MIER1	403.5	299.25	403.5	587.13	490.14	314.17	480.04	457.25	387.02	536.45	473.41	629.35	429.54	403.5	656.11	493.56	532.74	612.11	830.75	607.87	297.17	738.29	612.11	693.58	217.27	234.57	81.71	218.79	180.02	205.5	194.36	127.89	660.68
MYO10	264.03	141.02	158.79	209.84	156.59	141.02	146.03	316.37	180.02	190.34	218.79	215.77	251.48	255.0	836.53	132.44	285.03	559.28	679.29	426.57	223.41	450.94	1175.27	638.15	104.42	38.67	62.56	46.84	86.43	55.89	53.57	47.17	476.71
NCOA3	293.07	115.16	214.27	341.51	395.18	161.02	281.09	299.25	281.09	316.37	289.02	423.61	341.51	229.72	323.03	336.79	438.59	532.74	529.06	769.69	532.74	432.53	723.08	684.02	77.25	79.45	74.06	76.71	100.83	104.42	94.67	73.54	587.13
NEK3	226.54	244.57	229.72	175.07	258.57	202.66	212.78	234.57	215.77	287.01	309.83	281.09	332.14	271.48	285.03	208.38	325.29	454.09	351.14	325.29	249.73	748.61	684.02	718.08	95.34	163.28	68.07	137.14	71.0	122.64	92.05	69.03	651.58
NLRP1	356.05	329.84	366.09	389.72	497.0	295.11	450.94	339.14	379.04	366.09	470.14	507.46	490.14	323.03	775.05	341.51	532.74	1044.52	1051.79	575.03	395.18	547.75	2061.24	995.0	82.87	67.59	41.81	41.22	34.26	69.03	66.65	46.5	748.61
NR2C1	559.28	457.25	583.07	679.29	693.58	543.96	633.73	629.35	532.74	638.15	679.29	759.08	656.11	514.56	547.75	463.65	591.22	941.27	624.99	463.65	320.8	941.27	769.69	490.14	395.18	483.38	158.79	309.83	295.11	244.57	417.77	348.71	934.76
