	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OHPM.2626.SM.33HC5	GTEX.1122O.0226.SM.5N9DA	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
ADAM10	366.09	314.17	400.71	406.31	463.65	406.31	521.76	529.06	435.55	339.14	1378.57	1111.82	1437.15	540.19	718.08	825.0	1233.75	1044.52	981.29	1295.13	698.41	529.06	753.83	642.59	684.02	753.83	954.43	890.44	764.36	1477.58	521.76	587.13	603.67	915.51	941.27	1104.13	540.19	866.07	620.67	1023.0	796.86	693.58	775.05	1059.11
AKAP11	63.89	73.54	120.94	113.56	122.64	92.7	175.07	123.5	142.01	67.59	381.68	432.53	343.89	111.99	170.25	209.84	277.2	291.04	281.09	454.09	145.02	145.02	236.21	217.27	194.36	145.02	236.21	221.86	178.77	532.74	111.99	162.14	181.28	217.27	264.03	283.05	134.3	190.34	130.6	301.33	223.41	137.14	248.0	299.25
ASH1L	59.55	136.19	170.25	135.24	159.9	145.02	215.77	163.28	187.71	94.01	629.35	638.15	563.18	111.99	343.89	444.72	387.02	536.45	384.34	463.65	209.84	258.57	348.71	343.89	334.46	249.73	403.5	303.44	339.14	521.76	180.02	175.07	295.11	373.81	454.09	435.55	150.17	358.54	234.57	480.04	400.71	234.57	303.44	426.57
ASXL2	39.79	71.5	62.56	57.89	69.52	56.28	102.25	52.08	74.58	42.41	209.84	273.37	244.57	61.25	119.26	164.42	197.09	220.32	195.72	204.07	82.87	91.41	132.44	176.29	129.69	92.05	202.66	152.28	148.09	262.2	75.64	72.52	124.37	130.6	262.2	167.9	59.55	195.72	120.1	189.02	173.85	85.82	116.78	217.27
BBX	52.08	202.66	232.94	155.5	199.85	181.28	271.48	189.02	211.31	152.28	532.74	426.57	693.58	147.06	283.05	358.54	624.99	698.41	633.73	708.18	275.28	305.55	497.0	381.68	353.59	323.03	748.61	358.54	353.59	1001.93	281.09	218.79	251.48	409.15	543.96	532.74	214.27	547.75	279.14	1066.48	414.87	312.0	490.14	563.18
CSNK2A1	320.8	536.45	514.56	435.55	514.56	514.56	612.11	507.46	514.56	417.77	1104.13	878.17	1096.5	559.28	723.08	785.88	878.17	1250.98	934.76	941.27	624.99	708.18	802.41	842.36	791.35	780.44	941.27	660.68	928.3	1015.93	599.49	555.41	796.86	896.64	866.07	915.51	551.56	738.29	679.29	1233.75	854.13	684.02	854.13	860.08
CTDSPL2	67.12	62.12	108.9	109.66	123.5	75.64	177.53	100.83	115.16	80.01	373.81	551.56	376.41	139.07	191.67	217.27	193.01	307.69	264.03	325.29	172.65	153.34	190.34	177.53	172.65	224.97	237.86	193.01	195.72	473.41	151.22	166.73	191.67	204.07	283.05	258.57	140.04	209.84	145.02	289.02	208.38	140.04	241.19	299.25
EFCAB14	457.25	660.68	693.58	567.1	669.92	579.04	866.07	536.45	708.18	503.95	1457.23	1498.22	1745.2	769.69	1111.82	1051.79	1477.58	1540.37	1733.13	2119.22	866.07	785.88	1277.29	1119.56	1037.29	954.43	1540.37	1277.29	1081.39	2224.63	708.18	796.86	915.51	1359.57	1697.45	1313.23	674.59	921.88	1066.48	1923.14	1151.06	934.76	1015.93	1540.37
EPC2	79.45	198.47	195.72	229.72	249.73	248.0	289.02	205.5	232.94	161.02	563.18	571.05	497.0	273.37	376.41	363.56	612.11	463.65	612.11	633.73	327.56	277.2	376.41	305.55	432.53	373.81	447.82	403.5	429.54	733.19	279.14	265.87	346.29	493.56	518.15	387.02	279.14	395.18	339.14	463.65	336.79	291.04	316.37	470.14
ERAP1	121.79	166.73	146.03	134.3	151.22	185.11	237.86	237.86	145.02	191.67	579.04	435.55	373.81	228.13	172.65	441.64	460.44	358.54	379.04	486.75	283.05	323.03	256.78	325.29	239.52	202.66	507.46	279.14	262.2	521.76	197.09	217.27	358.54	366.09	551.56	318.57	217.27	237.86	329.84	441.64	239.52	201.25	281.09	358.54
ERCC6L2	96.68	132.44	137.14	134.3	126.12	137.14	208.38	130.6	151.22	87.03	567.1	753.83	536.45	176.29	395.18	199.85	371.22	460.44	409.15	595.34	215.77	201.25	351.14	368.65	283.05	241.19	514.56	336.79	417.77	529.06	170.25	107.38	309.83	483.38	660.68	463.65	131.51	255.0	271.48	543.96	486.75	229.72	218.79	616.37
EXOC6B	61.68	127.89	105.15	98.73	161.02	130.6	151.22	96.01	126.12	130.6	295.11	283.05	194.36	78.34	130.6	148.09	204.07	248.0	241.19	423.61	127.0	165.57	228.13	146.03	153.34	187.71	223.41	209.84	175.07	258.57	187.71	123.5	126.12	228.13	165.57	191.67	91.41	127.89	143.01	329.84	191.67	159.9	142.01	182.55
FAM73A	65.72	69.52	60.39	49.21	58.3	43.02	121.79	80.01	88.26	43.32	432.53	327.56	366.09	145.02	229.72	239.52	295.11	283.05	312.0	438.59	119.26	153.34	215.77	237.86	171.45	156.59	253.23	229.72	249.73	518.15	96.68	114.36	150.17	332.14	299.25	258.57	76.17	332.14	134.3	318.57	201.25	125.24	155.5	327.56
FCF1	226.54	463.65	414.87	432.53	483.38	460.44	638.15	460.44	486.75	426.57	1286.18	1208.34	1295.13	651.58	1135.2	947.83	1259.69	1378.57	1233.75	1950.0	688.78	921.88	872.1	1104.13	819.3	819.3	1119.56	1059.11	1175.27	1628.26	660.68	813.63	921.88	1001.93	1159.07	928.3	713.11	967.76	915.51	1119.56	1104.13	669.92	796.86	1199.98
FCHSD2	66.18	242.88	195.72	218.79	303.44	303.44	303.44	191.67	275.28	159.9	353.59	507.46	536.45	269.6	181.28	293.07	318.57	406.31	414.87	420.68	260.38	226.54	332.14	251.48	334.46	318.57	334.46	334.46	346.29	480.04	237.86	164.42	246.28	371.22	412.0	339.14	148.09	223.41	368.65	463.65	363.56	218.79	341.51	417.77
GCC2	108.9	177.53	194.36	180.02	214.27	177.53	287.01	155.5	224.97	182.55	669.92	651.58	651.58	249.73	301.33	392.44	647.07	547.75	555.41	688.78	253.23	260.38	343.89	476.71	460.44	599.49	432.53	470.14	309.83	934.76	262.2	181.28	269.6	400.71	603.67	454.09	208.38	356.05	221.86	769.69	389.72	429.54	305.55	490.14
GLTSCR1L	33.06	107.38	121.79	115.97	119.26	115.97	157.68	141.02	150.17	88.26	320.8	381.68	366.09	126.12	199.85	241.19	291.04	246.28	285.03	341.51	195.72	151.22	260.38	217.27	260.38	187.71	341.51	217.27	214.27	361.04	167.9	176.29	176.29	223.41	228.13	224.97	144.01	214.27	234.57	281.09	205.5	164.42	248.0	281.09
KAT6A	46.18	122.64	139.07	117.6	148.09	138.1	175.07	126.12	158.79	85.82	483.38	241.19	295.11	140.04	221.86	206.94	256.78	379.04	305.55	395.18	201.25	178.77	224.97	223.41	215.77	242.88	325.29	204.07	237.86	318.57	157.68	115.97	169.07	269.6	387.02	275.28	105.15	202.66	182.55	318.57	295.11	164.42	211.31	248.0
KIAA1430	71.5	180.02	178.77	223.41	211.31	180.02	348.71	217.27	221.86	166.73	759.08	629.35	954.43	269.6	457.25	457.25	521.76	511.0	785.88	896.64	277.2	358.54	460.44	384.34	341.51	366.09	483.38	435.55	460.44	1081.39	246.28	281.09	417.77	579.04	693.58	723.08	214.27	466.88	293.07	647.07	529.06	417.77	353.59	543.96
