	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.11ZTT.2326.SM.5EQLG	GTEX.S32W.2026.SM.4AD6E	GTEX.SE5C.2126.SM.4BRUJ	GTEX.YJ8O.2226.SM.5IFHW	GTEX.YB5K.1626.SM.5IFIN	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07
AL953854.2	40.36	194.36	143.01	38.67	55.89	81.14	77.79	105.15	87.03	214.27	198.47	90.77	392.44	214.27	82.29	115.97	142.01	120.94	137.14	135.24	172.65	124.37	56.68	55.49	98.73	107.38	52.82	363.56	211.31	241.19	18.56	69.03	100.13	43.94	52.08	728.11	151.22	15.68	3.44	30.34	3.82	3.41	1.64
BDP1	72.52	529.06	470.14	78.34	248.0	262.2	432.53	287.01	202.66	555.41	674.59	164.42	775.05	412.0	224.97	348.71	486.75	204.07	341.51	346.29	299.25	205.5	180.02	305.55	303.44	171.45	147.06	395.18	376.41	144.01	234.57	185.11	320.8	149.12	115.16	224.97	180.02	55.1	22.92	59.13	43.63	59.97	23.42
C11orf30	73.03	366.09	353.59	120.94	234.57	191.67	312.0	221.86	119.26	409.15	457.25	224.97	307.69	318.57	167.9	253.23	376.41	167.9	279.14	265.87	226.54	176.29	147.06	178.77	339.14	113.56	125.24	395.18	339.14	142.01	220.32	73.03	181.28	99.43	82.29	194.36	236.21	34.02	50.27	44.89	72.01	43.63	26.28
C1orf112	50.27	150.17	145.02	36.79	62.56	70.01	99.43	82.29	51.71	133.36	198.47	59.97	102.97	102.97	63.45	63.45	137.14	67.59	61.25	79.45	68.55	68.55	40.07	76.71	130.6	46.5	66.18	117.6	144.01	50.27	53.57	49.91	86.43	43.02	40.07	59.97	53.57	34.02	23.42	35.25	25.54	22.1	20.11
C4orf29	31.67	163.28	145.02	44.57	105.15	83.45	125.24	120.94	69.03	185.11	224.97	92.7	157.68	167.9	90.14	122.64	158.79	83.45	156.59	116.78	147.06	85.82	98.73	129.69	94.67	64.8	56.28	144.01	102.97	105.89	103.69	61.25	127.89	102.97	69.52	128.79	95.34	61.25	31.22	48.52	33.06	69.52	71.5
CAPN7	185.11	785.88	684.02	301.33	547.75	607.87	669.92	599.49	503.95	780.44	1059.11	490.14	753.83	698.41	540.19	642.59	796.86	521.76	743.43	579.04	575.03	486.75	583.07	507.46	511.0	426.57	332.14	647.07	616.37	476.71	265.87	279.14	444.72	466.88	295.11	532.74	323.03	165.57	87.03	186.4	161.02	162.14	133.36
CCNT1	81.71	426.57	400.71	127.0	291.04	253.23	368.65	332.14	178.77	412.0	595.34	208.38	423.61	403.5	251.48	295.11	432.53	218.79	314.17	297.17	332.14	232.94	193.01	291.04	229.72	232.94	163.28	381.68	363.56	170.25	175.07	194.36	265.87	159.9	147.06	214.27	202.66	63.0	41.22	72.52	140.04	55.89	38.67
CENPC	78.89	406.31	363.56	89.51	237.86	256.78	336.79	271.48	178.77	412.0	518.15	176.29	348.71	334.46	269.6	341.51	417.77	214.27	325.29	283.05	265.87	164.42	169.07	215.77	205.5	161.02	142.01	414.87	305.55	153.34	145.02	91.41	279.14	146.03	120.94	287.01	157.68	36.79	10.0	41.81	25.54	40.93	16.88
CHD1	191.67	808.0	753.83	199.85	518.15	454.09	616.37	571.05	334.46	802.41	1639.59	426.57	753.83	1037.29	450.94	543.96	733.19	387.02	540.19	559.28	486.75	392.44	341.51	389.72	624.99	454.09	318.57	500.46	728.11	194.36	500.46	295.11	525.39	239.52	283.05	507.46	457.25	106.63	31.45	121.79	85.22	123.5	48.87
CTDSPL2	71.5	480.04	567.1	121.79	339.14	332.14	486.75	329.84	211.31	595.34	808.0	314.17	490.14	493.56	285.03	406.31	563.18	305.55	371.22	371.22	343.89	241.19	220.32	303.44	314.17	183.82	148.09	555.41	483.38	187.71	237.86	144.01	412.0	214.27	169.07	309.83	269.6	81.14	24.46	73.54	71.5	43.63	37.59
