	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.L5.A4OF.11A.12R.A260.31	GTEX.11UD2.1526.SM.5EQLQ	GTEX.RU72.0726.SM.46MUW	GTEX.YFC4.1226.SM.5LU9R	GTEX.WQUQ.1626.SM.4OOSH	GTEX.UPK5.1226.SM.4IHL8	GTEX.13X6K.2126.SM.5O9D4	GTEX.QESD.0726.SM.4R1KQ	GTEX.SNOS.0726.SM.4DM5Z	GTEX.ZT9W.1226.SM.57WE4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13OVI.2526.SM.5KM4V	GTEX.ZP4G.1926.SM.57WDZ
AAGAB	660.68	629.35	599.49	457.25	624.99	703.28	567.1	503.95	493.56	457.25	397.93	493.56	441.64	387.02	854.13
ACTL10	44.25	40.07	35.25	9.93	63.0	69.03	68.07	63.89	33.54	7.75	28.86	17.13	12.55	22.59	91.41
ADPRHL2	1183.45	1208.34	454.09	361.04	796.86	947.83	974.5	688.78	551.56	713.11	395.18	312.0	438.59	303.44	1044.52
ALDH3A1	127486.83	110216.97	486.75	45.21	6840.04	25887.07	7589.61	11909.94	6935.54	22.26	830.75	10.47	40.93	19.97	381149.17
AMMECR1	460.44	348.71	139.07	25.91	262.2	293.07	212.78	153.34	204.07	29.48	46.84	26.47	54.33	38.95	420.68
ANXA2	107948.72	100719.65	20170.07	9606.86	30361.44	38697.77	52135.28	30999.42	36106.23	5041.77	9279.58	7642.41	9740.98	5041.77	74243.68
ANXA8L1	573724.06	2343119.96	33.3	0.0	785.88	2090.03	785.88	1781.89	122.64	0.0	39.5	0.0	0.0	2.66	3515.68
AP1B1	2417.67	1250.98	1111.82	708.18	1991.0	1685.71	2061.24	1594.73	1268.46	796.86	1073.91	748.61	941.27	665.29	3212.66
AP1S1	1437.15	1388.16	679.29	283.05	1151.06	1191.69	1259.69	1183.45	813.63	291.04	525.39	262.2	460.44	346.29	1870.53
ARF5	8598.28	9673.69	3212.66	2935.74	4836.35	8658.09	5831.91	5954.47	4836.35	2591.27	2976.74	2777.33	3081.75	2645.74	9088.59
ARPC4	4512.4	5555.65	3467.27	2224.63	3742.05	4123.49	4512.4	3168.41	3081.75	2090.03	2895.31	2895.31	2609.3	2468.49	6607.01
ASNA1	1697.45	2032.85	1242.34	450.94	1540.37	1467.37	1508.65	1397.83	1037.29	679.29	1191.69	1183.45	954.43	791.35	2796.65
ATOX1	5594.3	3716.2	2287.2	1857.6	2573.36	3540.14	3847.29	2555.58	2047.0	1127.35	2018.8	1662.49	2502.97	1639.59	4268.94
ATP5I	15180.22	20030.74	11745.96	10368.08	12853.63	15285.81	17078.76	11584.24	11745.96	8778.97	5041.77	7382.04	11909.94	5366.37	17558.94
ATP6AP1	5403.7	4152.18	1709.26	884.29	1519.15	2384.37	2451.44	2004.85	1794.29	934.76	2018.8	1477.58	1498.22	1277.29	2935.74
ATP6V0D1	2664.15	3039.3	2090.03	1378.57	1819.35	1991.0	2555.58	2047.0	1685.71	1551.09	1819.35	1950.0	2148.82	1477.58	4607.24
C10orf99	2247670.86	1221310.69	11.04	1.99	2335.28	3060.45	2609.3	2032.85	1081.39	0.0	156.59	2.63	0.96	1.62	63302.6
C11orf83	802.41	603.67	194.36	113.56	299.25	356.05	307.69	285.03	217.27	148.09	116.78	101.54	165.57	165.57	429.54
C12orf52	320.8	389.72	265.87	144.01	387.02	387.02	466.88	384.34	248.0	224.97	211.31	120.1	249.73	173.85	733.19
C19orf33	267651.2	623486.02	4836.35	232.94	7180.15	16843.62	14461.21	10733.74	11664.82	159.9	473.41	62.12	579.04	269.6	73221.53
CAPN1	15499.21	13033.07	3690.52	2287.2	8191.0	10368.08	10512.82	9540.5	8191.0	1757.34	2417.67	2075.59	2335.28	2271.4	15934.98
CCDC51	536.45	791.35	256.78	285.03	438.59	406.31	363.56	256.78	262.2	217.27	271.48	197.09	271.48	234.57	703.28
CCND1	6337.83	5995.9	1674.06	728.11	3639.7	3589.58	3168.41	2434.5	2451.44	638.15	307.69	412.0	1844.76	409.15	2018.8
CIAPIN1	1268.46	1605.83	866.07	848.22	915.51	947.83	1044.52	808.0	728.11	764.36	638.15	563.18	679.29	624.99	1832.01
COX6A1	21026.65	19214.73	15285.81	6381.92	15285.81	19754.96	18950.18	16727.26	13123.73	10225.32	10225.32	8305.36	7749.1	6840.04	18819.27
CSTF2	400.71	373.81	228.13	91.41	470.14	473.41	503.95	400.71	387.02	113.56	120.1	106.63	100.83	141.02	928.3
CTC-429P9.4	182.55	450.94	281.09	0.0	100.83	100.83	96.68	89.51	17.51	40.36	28.65	36.01	34.75	157.68	432.53
DBNL	7485.11	5954.47	1977.24	1340.84	3443.31	4836.35	4937.99	3349.13	3564.78	1175.27	1605.83	1605.83	1709.26	1388.16	8479.89
