	TCGA.E9.A22B.01A.11R.A157.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A1IK.01A.11R.A144.07	GTEX.11TT1.1026.SM.5PNW7	GTEX.144GN.0426.SM.5O9AP	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZA64.1726.SM.5CVMF	GTEX.ZQG8.2126.SM.4YCF1	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.11DYG.0826.SM.5N9GH	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.11DXX.0226.SM.5P9HL	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.YF7O.0726.SM.4W213	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.11TT1.1126.SM.5P9GV	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.13O1R.0826.SM.5J2MB	GTEX.1211K.0726.SM.5FQUW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
ADRM1	3928.15	4543.8	2303.12	6079.61	3081.75	4704.07	3982.99	4268.94	3928.15	2303.12	1397.83	1857.6	1216.75	1594.73	1950.0	1111.82	1709.26	1709.26	1806.78	1769.57	1594.73	2384.37	2351.53	1617.0	2255.7	1832.01	1477.58	1806.78	1806.78	1757.34	1605.83	1950.0	1369.04	2351.53	1896.65	1388.16	1561.89	2004.85	2133.97	2133.97	2061.24	2777.33	2032.85	1896.65	2148.82	2061.24	2240.11	2627.46	1651.0	1628.26	1427.22	1225.22	1594.73	1295.13	1977.24	1697.45	1721.16	1883.54	1350.18	1819.35	2701.35	1806.78	1572.76	1794.29	2209.26	1794.29	2591.27	1651.0	1359.57	1572.76	2047.0	2609.3	1769.57	1991.0	1674.06	2720.15	2875.3	1685.71	2119.22	1313.23	2384.37	1529.73	2163.77	1340.84	1857.6	2609.3	1781.89	2627.46	1991.0	1950.0	2758.13	2032.85	2701.35	2701.35	2335.28	967.76	1870.53	2701.35	2400.97	2287.2	1617.0	1769.57	1794.29	1477.58	1467.37	1806.78	1896.65	2224.63	1769.57	2502.97
ALYREF	2758.13	2061.24	1378.57	3146.52	2224.63	3190.46	2720.15	3515.68	1806.78	1477.58	872.1	1216.75	684.02	1008.9	1487.87	1073.91	1427.22	1208.34	1259.69	1225.22	1417.35	1437.15	1322.37	1277.29	1467.37	1498.22	934.76	1369.04	1073.91	1191.69	1073.91	1359.57	1127.35	1498.22	1407.55	1008.9	1051.79	1242.34	1250.98	1331.57	1508.65	1561.89	1467.37	1135.2	1427.22	1066.48	1407.55	1709.26	1135.2	1233.75	1008.9	1111.82	1233.75	1044.52	1572.76	1259.69	1208.34	1216.75	878.17	1407.55	1628.26	1277.29	1073.91	1216.75	1388.16	1295.13	1662.49	1159.07	1015.93	1175.27	1277.29	1268.46	1104.13	1331.57	988.12	1721.16	2090.03	1037.29	1369.04	1119.56	1427.22	1135.2	1277.29	1037.29	1259.69	1508.65	1208.34	1950.0	1397.83	1119.56	1304.15	1233.75	1447.15	1407.55	1561.89	674.59	1250.98	1923.14	1417.35	1313.23	842.36	1216.75	1304.15	947.83	1111.82	1322.37	1340.84	1369.04	1066.48	1617.0
APEX1	4066.71	3614.55	3768.09	3639.7	4066.71	5292.48	4328.55	4704.07	3847.29	3303.0	2720.15	2739.08	2520.38	3018.3	3280.18	2997.45	3146.52	3325.99	3614.55	2956.17	2976.74	3540.14	3372.43	2956.17	3742.05	3190.46	2485.67	3280.18	2645.74	2701.35	2777.33	2915.45	2032.85	3124.78	3212.66	2997.45	3018.3	2976.74	2956.17	2816.11	3395.89	4210.15	3039.3	2935.74	3589.58	3325.99	3515.68	3589.58	2591.27	2520.38	3018.3	3124.78	3081.75	2090.03	2609.3	2956.17	3018.3	2645.74	2193.99	2816.11	4152.18	2758.13	2855.44	2976.74	3124.78	3124.78	3564.78	2835.7	2875.3	4123.49	3303.0	3280.18	3018.3	3540.14	2956.17	3515.68	3901.01	2835.7	3564.78	2287.2	3515.68	2609.3	3235.01	2720.15	2956.17	3419.52	2895.31	3847.29	3081.75	3303.0	3372.43	3190.46	3515.68	3395.89	3491.39	2468.49	3491.39	3716.2	3443.31	3955.48	3124.78	2855.44	2502.97	2451.44	2255.7	3212.66	2895.31	3190.46	2855.44	4095.0
ARHGDIA	12160.22	8901.53	9409.14	21026.65	9088.59	16727.26	16269.83	11112.3	7280.4	7032.37	4937.99	5995.9	4639.29	5594.3	5672.41	3901.01	6792.79	5403.7	5555.65	5672.41	6426.31	7642.41	7433.4	5913.33	7081.29	6121.9	5292.48	5517.27	6471.02	5329.3	5711.87	7382.04	6745.86	8305.36	6471.02	4769.75	5441.3	7382.04	6250.56	7130.55	6294.04	9409.14	6561.36	6607.01	7485.11	5995.9	6037.61	8421.31	4869.99	5954.47	5479.15	4543.8	5076.84	6164.49	7032.37	5441.3	6471.02	6840.04	6607.01	5954.47	7180.15	6426.31	5517.27	5147.73	6935.54	5329.3	7537.18	6561.36	5441.3	4450.27	5672.41	9808.75	6207.38	6079.61	4481.23	9279.58	8134.41	6250.56	6037.61	5219.6	7081.29	5517.27	6561.36	5147.73	7331.05	7331.05	6121.9	7280.4	7180.15	5594.3	8078.22	6516.03	8134.41	6983.79	8305.36	3491.39	5995.9	10296.45	5995.9	6164.49	6079.61	5672.41	6840.04	5403.7	7081.29	5329.3	5872.48	6983.79	5366.37	7642.41
ARPC3	12329.98	14163.58	8840.04	11035.54	11827.67	11035.54	11267.44	17078.76	8658.09	6250.56	3540.14	4010.71	3742.05	4239.45	4239.45	4972.34	6337.83	5594.3	4512.4	4450.27	3614.55	5441.3	4575.41	4239.45	4607.24	5219.6	3419.52	4736.79	5995.9	5329.3	3564.78	4972.34	3589.58	5751.61	5791.62	3982.99	4836.35	4769.75	4066.71	5711.87	4671.57	5954.47	5555.65	4543.8	5219.6	4607.24	5041.77	5872.48	2997.45	3955.48	3742.05	3467.27	4298.64	3419.52	4607.24	4704.07	5292.48	4268.94	5872.48	4481.23	5219.6	4869.99	5441.3	5366.37	4836.35	5006.93	5147.73	5076.84	4836.35	7589.61	3928.15	6381.92	4972.34	4328.55	6887.62	4802.93	5112.16	5517.27	5255.91	3349.13	6250.56	3820.7	4639.29	3515.68	4181.07	6164.49	4481.23	6516.03	5672.41	4239.45	5751.61	5872.48	6792.79	7537.18	5255.91	4388.98	4704.07	6745.86	4181.07	4607.24	4152.18	5255.91	5441.3	6207.38	5183.54	4066.71	4358.66	5112.16	5006.93	5831.91
ARPC4	5219.6	6037.61	5041.77	7857.29	6652.97	6745.86	8305.36	11664.82	4450.27	5255.91	2739.08	3928.15	2976.74	3081.75	4066.71	3467.27	4239.45	3716.2	3515.68	3716.2	3614.55	4671.57	3901.01	3124.78	3901.01	3768.09	2573.36	3820.7	4239.45	3614.55	3039.3	3820.7	3124.78	4010.71	4512.4	2739.08	2895.31	3742.05	3614.55	3982.99	3212.66	4210.15	3742.05	3874.05	3847.29	3325.99	3768.09	4543.8	2976.74	3639.7	3124.78	2915.45	2976.74	2855.44	3540.14	3467.27	3443.31	3491.39	3467.27	4210.15	3847.29	3257.52	4095.0	4010.71	3665.02	3018.3	3690.52	3212.66	3124.78	4298.64	3212.66	4152.18	3443.31	3395.89	3982.99	4038.61	4937.99	3820.7	3742.05	2976.74	3794.3	2758.13	3372.43	2935.74	3614.55	4298.64	2816.11	4066.71	4937.99	3690.52	3955.48	4152.18	3874.05	4802.93	4328.55	3690.52	3395.89	4268.94	3639.7	3257.52	3589.58	3018.3	4181.07	3820.7	3768.09	2935.74	3146.52	3847.29	2997.45	4639.29
C1QBP	3928.15	3742.05	5555.65	8778.97	4607.24	6471.02	4575.41	11992.79	2555.58	2178.83	1304.15	1977.24	1259.69	1617.0	2367.9	1662.49	2384.37	1977.24	1721.16	1832.01	1909.85	2018.8	2090.03	1551.09	1963.57	1923.14	1340.84	1709.26	1769.57	2287.2	1340.84	1923.14	1388.16	2193.99	2240.11	1208.34	1605.83	1781.89	1487.87	1977.24	2090.03	3349.13	2061.24	1909.85	1819.35	2004.85	2335.28	2645.74	1467.37	1508.65	1397.83	1437.15	1540.37	1073.91	1709.26	1832.01	1277.29	1651.0	1540.37	2032.85	2468.49	1721.16	2047.0	2104.58	1617.0	1844.76	2645.74	1923.14	1529.73	3349.13	1477.58	2271.4	1733.13	1896.65	1417.35	2956.17	2537.92	1540.37	2240.11	1388.16	2701.35	1359.57	1662.49	1561.89	1769.57	2287.2	1594.73	2777.33	2119.22	1991.0	2240.11	2119.22	2855.44	2502.97	3018.3	1208.34	1605.83	2682.69	1883.54	2520.38	1540.37	1757.34	1733.13	1331.57	1674.06	1551.09	2047.0	2178.83	2061.24	3060.45
CDC123	1733.13	1477.58	1457.23	2573.36	2090.03	2104.58	1870.53	2875.3	1259.69	1242.34	785.88	934.76	872.1	995.0	995.0	1030.12	1119.56	1135.2	1023.0	988.12	915.51	1143.1	1037.29	785.88	1044.52	1096.5	785.88	1119.56	1088.92	1111.82	775.05	1037.29	780.44	1135.2	1059.11	941.27	934.76	961.07	947.83	1096.5	961.07	1208.34	1119.56	1066.48	1111.82	1066.48	1104.13	1331.57	830.75	1001.93	808.0	808.0	854.13	738.29	909.17	1104.13	764.36	1008.9	836.53	974.5	1208.34	954.43	1096.5	1104.13	1037.29	1023.0	1175.27	896.64	842.36	1216.75	915.51	1051.79	1037.29	1059.11	1066.48	1191.69	1051.79	941.27	1030.12	785.88	1008.9	791.35	961.07	947.83	1008.9	1233.75	836.53	1151.06	1135.2	954.43	1199.98	1051.79	1135.2	1295.13	1199.98	791.35	988.12	1295.13	954.43	1088.92	884.29	967.76	981.29	909.17	860.08	866.07	1030.12	1023.0	1008.9	1216.75
DDX1	2178.83	1977.24	1745.2	1857.6	1757.34	1781.89	1923.14	2956.17	1331.57	1594.73	1233.75	1605.83	1350.18	1175.27	1844.76	1819.35	1322.37	1639.59	1651.0	1745.2	1304.15	1794.29	1617.0	1167.14	1583.71	1457.23	1286.18	1674.06	1733.13	1427.22	1225.22	1340.84	1233.75	1733.13	1819.35	1437.15	1216.75	1551.09	1540.37	1857.6	1674.06	2032.85	1359.57	1769.57	1757.34	1733.13	1832.01	1883.54	1487.87	1242.34	1208.34	1427.22	1359.57	1487.87	1313.23	1369.04	1081.39	1208.34	1208.34	1594.73	2032.85	1331.57	1397.83	1697.45	1594.73	1487.87	1819.35	1639.59	1151.06	2193.99	1487.87	1508.65	1208.34	1685.71	1388.16	1745.2	1857.6	1519.15	1709.26	1457.23	1844.76	1359.57	1540.37	1540.37	1685.71	1857.6	1498.22	1745.2	1909.85	1733.13	1685.71	1781.89	1806.78	1674.06	1769.57	1388.16	1605.83	1733.13	1594.73	1963.57	1583.71	1572.76	1143.1	1277.29	1088.92	1583.71	1639.59	1844.76	1427.22	2061.24
DIABLO	2758.13	2875.3	2133.97	1662.49	1639.59	1857.6	1963.57	1508.65	1540.37	1721.16	1286.18	1662.49	1183.45	1208.34	1617.0	1540.37	1487.87	1551.09	1369.04	1605.83	1286.18	1819.35	1477.58	1350.18	1417.35	1477.58	1295.13	1685.71	1313.23	1378.57	1350.18	1427.22	1030.12	1697.45	1561.89	1350.18	1242.34	1519.15	1487.87	1662.49	1519.15	1757.34	1447.15	1628.26	1662.49	1519.15	1721.16	1909.85	1628.26	1457.23	1259.69	1378.57	1151.06	1081.39	1242.34	1340.84	1242.34	1322.37	1191.69	1540.37	2032.85	1313.23	1594.73	1639.59	1697.45	1378.57	1617.0	1397.83	1457.23	2255.7	1583.71	1477.58	1407.55	1594.73	1304.15	1628.26	1628.26	1529.73	1487.87	1268.46	1674.06	1242.34	1733.13	1340.84	1721.16	1540.37	1388.16	1896.65	1950.0	1427.22	1857.6	1757.34	1561.89	1909.85	1498.22	1111.82	1757.34	1844.76	2047.0	1551.09	1397.83	1487.87	1233.75	1350.18	1127.35	1277.29	1467.37	1583.71	1397.83	1909.85
