	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.OK.A5Q2.01A.11R.A27Q.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.A39Y.01A.11R.A213.07
ABHD3	172.65	281.09	1883.54	341.51	1259.69	1081.39	1066.48	693.58	1208.34	532.74	988.12	476.71	323.03	629.35	129.69	429.54	423.61
AC069547.1	11.64	21.16	58.71	31.0	49.21	17.38	57.08	19.11	22.43	11.47	35.0	16.63	19.25	22.26	20.71	12.0	9.85
AP4S1	118.43	80.01	161.02	108.14	138.1	141.02	158.79	72.01	130.6	90.77	118.43	119.26	119.26	100.83	43.94	69.52	61.25
AP5M1	221.86	231.32	703.28	642.59	624.99	595.34	674.59	432.53	480.04	307.69	713.11	381.68	379.04	376.41	121.79	244.57	108.9
AREL1	199.85	202.66	429.54	262.2	332.14	400.71	271.48	260.38	351.14	143.01	275.28	236.21	299.25	176.29	134.3	218.79	106.63
ARHGAP5	307.69	307.69	836.53	802.41	1295.13	961.07	1037.29	571.05	764.36	96.01	248.0	314.17	454.09	438.59	84.63	194.36	115.97
ATAD1	387.02	339.14	1096.5	825.0	934.76	808.0	836.53	587.13	802.41	346.29	825.0	463.65	733.19	624.99	187.71	255.0	195.72
ATXN7L3B	848.22	656.11	1857.6	1268.46	1508.65	1487.87	1685.71	1369.04	1350.18	638.15	1216.75	785.88	1119.56	1059.11	909.17	368.65	316.37
BAG5	215.77	248.0	595.34	371.22	684.02	583.07	559.28	420.68	493.56	273.37	480.04	336.79	444.72	297.17	253.23	113.56	98.73
BLOC1S2	1304.15	713.11	1617.0	1369.04	1111.82	1340.84	1295.13	748.61	1277.29	909.17	1175.27	854.13	1191.69	1088.92	878.17	915.51	780.44
BMPR1A	63.0	72.52	325.29	201.25	379.04	242.88	417.77	195.72	256.78	25.54	142.01	99.43	102.25	36.53	55.1	35.76	28.24
BTBD7	214.27	208.38	356.05	281.09	473.41	384.34	343.89	248.0	281.09	134.3	309.83	197.09	237.86	220.32	96.68	77.79	59.97
C16orf58	1369.04	1199.98	2609.3	1388.16	1175.27	1572.76	2400.97	1519.15	2384.37	1745.2	1594.73	1870.53	1936.53	1605.83	1437.15	1477.58	1001.93
C16orf62	507.46	571.05	890.44	497.0	866.07	1008.9	1081.39	743.43	669.92	466.88	703.28	974.5	529.06	616.37	409.15	167.9	41.52
C20orf96	406.31	173.85	591.22	134.3	279.14	417.77	483.38	289.02	476.71	392.44	483.38	444.72	197.09	356.05	244.57	102.97	107.38
C2orf69	65.72	74.06	293.07	214.27	239.52	287.01	305.55	173.85	197.09	87.03	208.38	140.04	182.55	194.36	45.85	105.15	60.39
C5orf15	1059.11	532.74	2555.58	1806.78	2555.58	1806.78	1857.6	1427.22	1498.22	896.64	1832.01	981.29	1216.75	1088.92	532.74	703.28	836.53
CEP44	94.01	80.57	143.01	144.01	301.33	217.27	186.4	120.94	150.17	51.35	80.57	142.01	208.38	155.5	45.53	61.25	38.12
CHAMP1	193.01	101.54	389.72	381.68	426.57	518.15	629.35	309.83	529.06	287.01	444.72	343.89	309.83	291.04	126.12	194.36	224.97
COG6	198.47	134.3	656.11	511.0	567.1	536.45	483.38	258.57	323.03	171.45	503.95	293.07	463.65	303.44	63.0	92.7	29.06
COL4A3BP	199.85	204.07	406.31	529.06	638.15	497.0	595.34	420.68	563.18	214.27	575.03	334.46	301.33	476.71	162.14	164.42	166.73
COX15	295.11	228.13	769.69	529.06	651.58	674.59	934.76	486.75	775.05	457.25	567.1	532.74	532.74	559.28	312.0	423.61	417.77
CPNE3	490.14	490.14	1519.15	1628.26	1936.53	1781.89	2451.44	1250.98	1628.26	733.19	1487.87	651.58	1044.52	1259.69	356.05	764.36	656.11
CPSF2	249.73	214.27	759.08	555.41	669.92	748.61	718.08	414.87	703.28	339.14	738.29	373.81	486.75	400.71	130.6	236.21	241.19
CYP20A1	186.4	166.73	303.44	277.2	412.0	384.34	426.57	271.48	403.5	253.23	312.0	190.34	285.03	269.6	84.63	112.77	150.17
DAAM1	140.04	198.47	674.59	529.06	896.64	514.56	733.19	503.95	389.72	186.4	651.58	343.89	320.8	295.11	204.07	62.56	52.08
DLST	780.44	921.88	1844.76	1037.29	1457.23	1277.29	1457.23	1242.34	1242.34	1023.0	1322.37	1081.39	1135.2	1088.92	988.12	1225.22	764.36
FAM188A	253.23	244.57	595.34	579.04	518.15	511.0	511.0	314.17	540.19	241.19	500.46	389.72	387.02	438.59	156.59	251.48	92.7
FBXL17	180.02	144.01	381.68	343.89	493.56	368.65	483.38	285.03	339.14	166.73	309.83	221.86	199.85	341.51	60.82	115.97	136.19
FBXO34	221.86	248.0	591.22	473.41	432.53	351.14	395.18	312.0	366.09	115.16	426.57	320.8	289.02	325.29	150.17	122.64	55.89
FBXW8	56.28	53.95	221.86	218.79	246.28	220.32	260.38	177.53	208.38	105.89	273.37	119.26	206.94	178.77	93.35	80.57	71.5
FYTTD1	460.44	327.56	1745.2	1397.83	1519.15	1286.18	1605.83	808.0	1369.04	507.46	1242.34	616.37	860.08	921.88	361.04	312.0	287.01
GATC	127.0	130.6	406.31	323.03	371.22	429.54	363.56	336.79	358.54	211.31	339.14	291.04	291.04	197.09	130.6	111.21	205.5
GDE1	1088.92	1923.14	2018.8	1572.76	2104.58	2502.97	2682.69	2148.82	1963.57	1519.15	1757.34	1757.34	1259.69	1551.09	808.0	769.69	327.56
GFM1	318.57	255.0	884.29	909.17	1051.79	1183.45	1350.18	660.68	708.18	723.08	954.43	521.76	665.29	733.19	220.32	748.61	543.96
GMCL1	137.14	144.01	432.53	329.84	507.46	432.53	400.71	236.21	381.68	206.94	397.93	236.21	239.52	392.44	83.45	69.03	77.79
GTF2A1	133.36	109.66	483.38	320.8	486.75	532.74	414.87	287.01	457.25	130.6	503.95	202.66	262.2	323.03	73.54	115.97	75.11
HEATR5A	105.89	148.09	435.55	295.11	387.02	379.04	470.14	265.87	389.72	143.01	295.11	186.4	271.48	287.01	72.52	130.6	111.99
HLCS	56.68	142.01	454.09	353.59	327.56	470.14	457.25	397.93	400.71	305.55	389.72	223.41	273.37	348.71	129.69	162.14	81.14
HN1L	813.63	1073.91	4123.49	1721.16	3372.43	3168.41	3372.43	2148.82	2645.74	2224.63	2090.03	2090.03	884.29	1551.09	1073.91	836.53	961.07
IDE	211.31	138.1	708.18	483.38	612.11	571.05	860.08	420.68	507.46	366.09	547.75	341.51	412.0	327.56	264.03	202.66	189.02
IFNAR1	503.95	660.68	947.83	1051.79	1135.2	1286.18	1437.15	902.89	1104.13	409.15	769.69	543.96	961.07	713.11	323.03	567.1	563.18
KIN	384.34	339.14	466.88	363.56	291.04	438.59	423.61	301.33	432.53	339.14	426.57	325.29	332.14	356.05	193.01	211.31	185.11
KLHDC2	921.88	1037.29	1685.71	1023.0	1662.49	1397.83	1628.26	1225.22	1498.22	981.29	1519.15	1242.34	1225.22	1216.75	733.19	1322.37	559.28
LANCL1	214.27	166.73	974.5	629.35	1225.22	698.41	884.29	571.05	638.15	255.0	703.28	507.46	633.73	575.03	358.54	178.77	106.63
LIN52	58.3	64.34	181.28	136.19	221.86	182.55	209.84	106.63	171.45	110.43	190.34	133.36	138.1	180.02	62.12	87.03	71.5
LMBR1	293.07	172.65	860.08	738.29	1030.12	363.56	620.67	599.49	595.34	249.73	587.13	583.07	693.58	624.99	206.94	237.86	176.29
LMBRD2	49.21	75.64	269.6	170.25	279.14	249.73	279.14	187.71	220.32	59.97	242.88	75.64	183.82	167.9	22.43	70.51	36.79
LRIF1	248.0	208.38	603.67	323.03	480.04	470.14	591.22	392.44	435.55	169.07	400.71	220.32	273.37	214.27	109.66	140.04	275.28
MAK	2.1	0.96	39.22	12.09	36.01	4.66	32.36	21.16	7.88	1.43	27.64	25.35	6.52	1.55	1.68	1.41	0.0
MAPK8	166.73	156.59	1015.93	713.11	825.0	785.88	1104.13	525.39	612.11	356.05	688.78	371.22	466.88	447.82	139.07	323.03	163.28
MARCH5	346.29	264.03	1628.26	1037.29	1417.35	1037.29	1369.04	836.53	808.0	1081.39	1388.16	665.29	872.1	665.29	249.73	314.17	316.37
MARCH7	536.45	403.5	1936.53	1628.26	2163.77	1950.0	1963.57	981.29	1167.14	567.1	1923.14	1167.14	1268.46	967.76	363.56	409.15	187.71
MCMBP	403.5	289.02	1066.48	872.1	866.07	967.76	1044.52	684.02	967.76	521.76	902.89	713.11	703.28	642.59	457.25	267.73	267.73
MED21	339.14	417.77	961.07	813.63	1135.2	813.63	842.36	748.61	624.99	555.41	796.86	486.75	679.29	616.37	169.07	186.4	96.68
MPP5	142.01	130.6	575.03	277.2	426.57	460.44	563.18	332.14	500.46	277.2	493.56	148.09	305.55	273.37	81.14	108.9	100.83
MRS2	279.14	279.14	842.36	567.1	647.07	476.71	796.86	476.71	457.25	441.64	633.73	444.72	633.73	397.93	164.42	189.02	397.93
MUT	191.67	195.72	633.73	400.71	674.59	503.95	748.61	612.11	780.44	361.04	514.56	389.72	426.57	507.46	127.89	397.93	267.73
NAA30	81.14	89.51	420.68	283.05	368.65	271.48	312.0	181.28	305.55	106.63	269.6	177.53	197.09	199.85	63.45	137.14	122.64
NECAP1	206.94	241.19	1340.84	656.11	688.78	764.36	802.41	559.28	651.58	529.06	718.08	441.64	633.73	587.13	299.25	267.73	102.97
NOD2	1.85	5.77	301.33	80.57	47.5	48.87	262.2	118.43	7.11	75.64	229.72	52.82	99.43	16.03	127.0	6.46	3.96
NRBP1	1216.75	1697.45	2075.59	1639.59	2148.82	1674.06	1806.78	1583.71	1594.73	1437.15	1757.34	1639.59	1508.65	1242.34	2133.97	1295.13	1313.23
OPHN1	11.13	7.63	115.97	66.65	134.3	105.89	111.21	91.41	77.25	52.08	117.6	55.49	48.52	72.52	17.0	1.81	1.95
PAPOLA	1477.58	1304.15	2591.27	2004.85	3349.13	2255.7	2609.3	1467.37	1923.14	1096.5	2224.63	1447.15	1674.06	1923.14	842.36	854.13	1388.16
PDXDC1	769.69	733.19	5292.48	3874.05	3467.27	3614.55	4543.8	2682.69	4869.99	2047.0	4066.71	3690.52	2777.33	3303.0	703.28	1378.57	587.13
PPIP5K2	281.09	202.66	679.29	651.58	1277.29	947.83	1008.9	447.82	665.29	236.21	836.53	379.04	507.46	397.93	131.51	218.79	246.28
PPM1A	409.15	559.28	1583.71	1135.2	1561.89	1369.04	1781.89	1250.98	1477.58	1059.11	1519.15	1127.35	860.08	954.43	336.79	718.08	591.22
PPP2R5C	1175.27	1757.34	2303.12	1697.45	2224.63	2209.26	2287.2	1477.58	1639.59	1322.37	1685.71	1685.71	1745.2	1651.0	1167.14	902.89	1104.13
PRPS1	412.0	152.28	988.12	743.43	1407.55	808.0	995.0	808.0	866.07	769.69	836.53	638.15	607.87	616.37	647.07	466.88	423.61
RCOR1	189.02	128.79	507.46	241.19	591.22	358.54	457.25	208.38	329.84	147.06	412.0	273.37	305.55	320.8	133.36	95.34	75.11
RNF139	346.29	406.31	1096.5	928.3	884.29	819.3	928.3	595.34	624.99	607.87	693.58	460.44	521.76	567.1	314.17	414.87	599.49
RNF8	309.83	251.48	371.22	295.11	358.54	307.69	397.93	384.34	348.71	186.4	301.33	267.73	368.65	339.14	271.48	162.14	287.01
SAR1B	447.82	567.1	2502.97	1199.98	1950.0	1794.29	2148.82	2032.85	1322.37	1628.26	2004.85	808.0	1662.49	1015.93	283.05	1745.2	1572.76
SCGB2A2	0.0	0.0	736332.6	1800541.22	262143.0	938500.81	1318073.06	1788103.97	1034138.94	1751305.3	2279047.19	887875.81	1600397.78	8805660.77	77934.88	0.0	0.0
SEC23IP	271.48	144.01	1369.04	759.08	836.53	1151.06	1457.23	854.13	1651.0	629.35	1073.91	698.41	830.75	769.69	182.55	171.45	134.3
SEPT2	2875.3	2319.15	6652.97	5954.47	9606.86	7280.4	8305.36	6294.04	4543.8	6121.9	6471.02	4543.8	4543.8	5517.27	1832.01	974.5	1073.91
SERINC5	62.56	55.1	420.68	141.02	470.14	258.57	202.66	149.12	197.09	31.22	281.09	110.43	193.01	94.01	61.25	105.15	106.63
SFXN2	80.57	111.21	1427.22	269.6	486.75	995.0	1397.83	473.41	748.61	802.41	941.27	463.65	470.14	348.71	156.59	183.82	113.56
SIRT1	118.43	146.03	457.25	389.72	409.15	486.75	525.39	223.41	595.34	199.85	500.46	267.73	246.28	376.41	94.67	90.77	59.97
SLC25A15	48.87	36.53	249.73	108.14	218.79	185.11	224.97	125.24	149.12	139.07	211.31	115.16	116.78	167.9	30.78	587.13	82.87
SLC35F5	493.56	480.04	1467.37	961.07	1519.15	1447.15	1304.15	764.36	2090.03	251.48	1295.13	915.51	759.08	1023.0	205.5	397.93	303.44
SLC39A9	780.44	718.08	2319.15	988.12	2209.26	1417.35	1674.06	1242.34	1628.26	842.36	1572.76	780.44	1295.13	928.3	447.82	915.51	503.95
STAU2	309.83	363.56	902.89	743.43	1191.69	791.35	866.07	708.18	796.86	379.04	961.07	490.14	521.76	642.59	158.79	536.45	764.36
TIAL1	1199.98	854.13	1540.37	1487.87	1721.16	1685.71	1662.49	1037.29	1745.2	1135.2	1561.89	1397.83	1487.87	1529.73	802.41	718.08	981.29
TMEM135	96.68	117.6	669.92	409.15	412.0	713.11	878.17	543.96	571.05	262.2	514.56	236.21	438.59	540.19	52.45	206.94	265.87
TMEM87B	305.55	400.71	1350.18	688.78	1008.9	1030.12	1059.11	521.76	915.51	255.0	1051.79	463.65	703.28	624.99	152.28	65.72	68.07
TMX1	490.14	432.53	1295.13	669.92	1001.93	941.27	1051.79	587.13	723.08	514.56	1015.93	373.81	587.13	684.02	183.82	356.05	291.04
TRUB1	170.25	76.17	860.08	417.77	480.04	432.53	536.45	285.03	387.02	201.25	476.71	285.03	323.03	303.44	77.25	114.36	76.71
UBR7	214.27	185.11	941.27	507.46	981.29	796.86	947.83	559.28	743.43	555.41	872.1	525.39	547.75	454.09	281.09	166.73	236.21
USP6NL	115.16	143.01	353.59	269.6	231.32	279.14	283.05	208.38	234.57	109.66	246.28	178.77	156.59	103.69	88.26	176.29	76.71
VKORC1L1	199.85	165.57	728.11	529.06	693.58	297.17	579.04	507.46	486.75	314.17	444.72	379.04	438.59	476.71	195.72	189.02	228.13
VWA8	205.5	139.07	341.51	273.37	417.77	281.09	587.13	195.72	158.79	121.79	303.44	156.59	182.55	231.32	51.71	147.06	41.22
WDPCP	33.78	24.46	113.56	82.87	138.1	116.78	93.35	68.55	98.04	71.0	94.67	74.58	98.04	98.04	37.85	31.45	22.43
WDR11	438.59	251.48	555.41	543.96	733.19	674.59	713.11	441.64	733.19	336.79	595.34	500.46	563.18	559.28	305.55	376.41	237.86
WDSUB1	99.43	153.34	320.8	193.01	237.86	244.57	293.07	239.52	277.2	155.5	234.57	297.17	223.41	265.87	133.36	52.08	62.12
YY1	854.13	842.36	1781.89	1378.57	2018.8	1583.71	1963.57	1225.22	1407.55	1037.29	1806.78	1015.93	1143.1	1242.34	476.71	708.18	547.75
ZADH2	265.87	316.37	764.36	476.71	872.1	698.41	647.07	341.51	616.37	406.31	518.15	607.87	583.07	514.56	291.04	366.09	58.3
ZBTB14	134.3	136.19	220.32	271.48	309.83	343.89	353.59	198.47	234.57	151.22	221.86	262.2	181.28	209.84	120.94	82.29	52.08
ZDHHC11	19.39	40.36	327.56	68.55	171.45	96.68	221.86	152.28	351.14	46.18	201.25	59.55	152.28	163.28	125.24	94.01	74.58
ZMYM5	183.82	108.14	297.17	262.2	260.38	231.32	305.55	121.79	329.84	101.54	271.48	199.85	223.41	248.0	47.5	73.03	76.17
ZNF410	563.18	571.05	1594.73	934.76	1427.22	1051.79	1437.15	1023.0	1104.13	1191.69	1540.37	941.27	848.22	764.36	583.07	356.05	379.04
ZNF664	748.61	624.99	2502.97	2645.74	2485.67	1819.35	2075.59	1685.71	2224.63	1088.92	2193.99	1268.46	1340.84	1447.15	473.41	507.46	674.59
