	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5766.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7797.01A.11R.2263.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.CH.5738.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07
AASDHPPT	536.45	529.06	525.39	248.0	559.28	547.75	376.41	616.37	341.51	283.05	299.25	309.83	656.11	348.71	473.41	332.14	368.65	441.64	190.34	412.0	361.04	432.53	587.13	336.79	325.29	218.79	540.19	343.89	323.03	256.78	287.01	283.05	366.09	441.64	376.41	358.54	441.64	346.29	529.06	273.37	346.29	444.72	187.71	208.38	493.56	403.5	244.57	607.87	148.09	368.65	291.04	312.0	307.69	420.68	397.93	432.53	466.88	373.81	540.19	441.64	473.41	412.0	400.71	285.03	293.07	466.88	281.09	323.03	384.34	679.29	547.75	226.54	366.09	540.19	346.29	438.59	275.28	343.89	620.67	403.5	536.45	406.31	503.95	251.48	387.02	500.46	291.04	395.18	287.01	265.87	384.34	291.04	241.19	303.44	351.14	291.04	343.89	463.65	460.44	438.59	454.09	379.04
ABCB7	432.53	318.57	299.25	223.41	384.34	381.68	229.72	400.71	248.0	193.01	246.28	228.13	381.68	217.27	327.56	177.53	244.57	409.15	242.88	303.44	212.78	351.14	379.04	214.27	248.0	223.41	327.56	258.57	262.2	228.13	366.09	231.32	228.13	332.14	161.02	236.21	244.57	242.88	295.11	127.0	329.84	273.37	211.31	217.27	379.04	258.57	228.13	339.14	194.36	255.0	281.09	214.27	251.48	242.88	190.34	392.44	341.51	291.04	356.05	242.88	281.09	277.2	279.14	249.73	264.03	316.37	237.86	205.5	269.6	389.72	303.44	255.0	221.86	356.05	262.2	334.46	201.25	244.57	299.25	309.83	379.04	277.2	334.46	186.4	224.97	303.44	255.0	229.72	239.52	173.85	281.09	212.78	166.73	262.2	194.36	237.86	267.73	269.6	251.48	343.89	246.28	237.86
ABHD13	148.09	145.02	204.07	69.03	191.67	170.25	101.54	211.31	85.22	106.63	145.02	131.51	166.73	118.43	152.28	139.07	121.79	164.42	46.5	141.02	68.55	136.19	186.4	145.02	107.38	94.01	151.22	96.01	92.7	88.26	246.28	105.15	108.14	176.29	128.79	100.13	163.28	116.78	157.68	111.99	92.05	81.71	49.91	87.65	130.6	122.64	88.26	181.28	82.29	112.77	115.16	105.15	99.43	111.99	144.01	150.17	180.02	112.77	171.45	141.02	139.07	52.08	99.43	69.52	111.99	158.79	98.73	100.83	102.25	173.85	198.47	98.73	120.1	152.28	114.36	122.64	76.71	98.04	199.85	91.41	228.13	98.04	141.02	90.14	126.12	137.14	103.69	132.44	89.51	85.22	137.14	95.34	70.01	93.35	115.97	120.1	90.14	146.03	137.14	132.44	139.07	131.51
ACAP2	307.69	325.29	358.54	82.87	395.18	406.31	147.06	392.44	123.5	67.59	191.67	154.42	397.93	161.02	320.8	145.02	190.34	285.03	77.25	217.27	144.01	244.57	356.05	199.85	144.01	130.6	214.27	175.07	163.28	182.55	353.59	133.36	131.51	285.03	187.71	145.02	420.68	183.82	295.11	161.02	211.31	229.72	62.56	88.88	325.29	199.85	110.43	387.02	124.37	236.21	176.29	182.55	146.03	163.28	157.68	269.6	277.2	204.07	320.8	148.09	271.48	176.29	161.02	120.1	137.14	267.73	140.04	142.01	139.07	366.09	351.14	117.6	155.5	253.23	220.32	291.04	108.14	159.9	255.0	135.24	395.18	236.21	249.73	102.97	143.01	260.38	150.17	214.27	117.6	96.01	258.57	142.01	151.22	180.02	124.37	144.01	141.02	267.73	265.87	232.94	267.73	191.67
ADO	351.14	316.37	356.05	229.72	356.05	514.56	271.48	376.41	226.54	281.09	248.0	248.0	366.09	256.78	334.46	283.05	253.23	363.56	239.52	255.0	299.25	265.87	368.65	283.05	271.48	212.78	329.84	275.28	249.73	120.94	343.89	231.32	325.29	297.17	256.78	253.23	258.57	271.48	323.03	229.72	295.11	202.66	201.25	239.52	361.04	228.13	181.28	381.68	256.78	253.23	248.0	234.57	251.48	281.09	275.28	316.37	334.46	262.2	334.46	299.25	339.14	264.03	251.48	204.07	269.6	314.17	249.73	273.37	269.6	400.71	353.59	224.97	135.24	325.29	273.37	348.71	229.72	269.6	356.05	301.33	363.56	312.0	307.69	215.77	218.79	339.14	214.27	262.2	241.19	269.6	275.28	241.19	226.54	283.05	199.85	264.03	231.32	291.04	281.09	244.57	281.09	271.48
AKAP11	316.37	327.56	329.84	38.4	373.81	400.71	70.51	325.29	73.03	66.18	133.36	103.69	316.37	125.24	341.51	140.04	130.6	239.52	56.68	194.36	142.01	198.47	341.51	159.9	98.04	68.07	249.73	180.02	120.1	93.35	358.54	102.97	121.79	241.19	183.82	82.87	271.48	122.64	277.2	145.02	199.85	124.37	43.94	68.55	305.55	167.9	62.12	361.04	80.01	115.16	112.77	92.05	108.14	129.69	157.68	241.19	251.48	158.79	228.13	141.02	255.0	118.43	172.65	92.7	127.89	314.17	105.89	136.19	94.01	339.14	305.55	82.29	143.01	361.04	170.25	262.2	85.22	149.12	320.8	141.02	376.41	195.72	202.66	73.03	121.79	202.66	115.16	241.19	105.89	53.95	199.85	122.64	83.45	151.22	118.43	115.16	108.14	223.41	267.73	214.27	248.0	171.45
ALG11	231.32	291.04	260.38	26.28	265.87	258.57	71.5	197.09	52.82	40.07	152.28	122.64	223.41	153.34	312.0	65.26	86.43	185.11	42.71	154.42	81.71	197.09	307.69	130.6	98.04	56.68	195.72	169.07	88.26	169.07	241.19	87.03	98.04	211.31	161.02	93.35	260.38	68.55	226.54	107.38	100.83	71.0	65.72	59.97	283.05	156.59	42.41	293.07	76.71	103.69	81.14	59.13	81.71	142.01	108.9	234.57	185.11	101.54	169.07	126.12	249.73	72.01	178.77	99.43	125.24	291.04	109.66	82.87	137.14	253.23	269.6	80.01	77.79	327.56	182.55	242.88	62.12	158.79	232.94	76.71	253.23	189.02	193.01	35.76	69.52	197.09	106.63	185.11	84.63	33.54	189.02	87.65	41.81	94.67	102.97	120.1	76.71	287.01	226.54	181.28	241.19	150.17
ALS2	226.54	214.27	217.27	70.51	248.0	237.86	135.24	223.41	105.15	121.79	150.17	187.71	262.2	158.79	256.78	133.36	162.14	224.97	88.88	187.71	115.16	195.72	246.28	132.44	145.02	69.52	212.78	158.79	139.07	128.79	305.55	105.89	102.25	182.55	190.34	142.01	212.78	140.04	195.72	153.34	87.03	202.66	76.71	90.14	197.09	167.9	105.89	229.72	130.6	162.14	158.79	148.09	146.03	137.14	124.37	217.27	208.38	164.42	220.32	178.77	176.29	145.02	148.09	127.0	147.06	201.25	133.36	127.0	135.24	209.84	211.31	126.12	136.19	246.28	143.01	214.27	85.22	155.5	229.72	141.02	206.94	177.53	159.9	92.05	125.24	172.65	145.02	166.73	132.44	118.43	191.67	119.26	133.36	163.28	153.34	132.44	132.44	177.53	182.55	152.28	199.85	169.07
ARHGAP5	896.64	988.12	974.5	198.47	1242.34	1286.18	341.51	1477.58	301.33	221.86	423.61	532.74	1359.57	447.82	854.13	473.41	457.25	723.08	157.68	679.29	420.68	629.35	1286.18	470.14	387.02	327.56	748.61	503.95	403.5	532.74	1081.39	371.22	438.59	693.58	543.96	400.71	669.92	387.02	860.08	323.03	759.08	473.41	137.14	211.31	1001.93	466.88	295.11	1216.75	318.57	460.44	400.71	387.02	325.29	493.56	470.14	921.88	848.22	633.73	915.51	629.35	633.73	813.63	559.28	325.29	371.22	872.1	339.14	395.18	343.89	1216.75	954.43	301.33	638.15	860.08	563.18	738.29	248.0	426.57	1044.52	389.72	1096.5	743.43	679.29	281.09	295.11	753.83	387.02	693.58	285.03	293.07	718.08	373.81	389.72	423.61	356.05	366.09	384.34	684.02	860.08	633.73	703.28	490.14
ARL14EP	718.08	412.0	591.22	283.05	713.11	684.02	343.89	651.58	283.05	301.33	373.81	450.94	693.58	480.04	559.28	376.41	529.06	620.67	239.52	587.13	353.59	503.95	728.11	392.44	403.5	309.83	624.99	435.55	426.57	343.89	616.37	285.03	435.55	738.29	447.82	389.72	536.45	435.55	612.11	256.78	368.65	435.55	264.03	273.37	563.18	348.71	332.14	759.08	325.29	395.18	403.5	432.53	353.59	400.71	409.15	511.0	540.19	403.5	713.11	444.72	532.74	463.65	450.94	320.8	423.61	532.74	320.8	397.93	368.65	728.11	698.41	435.55	358.54	624.99	483.38	497.0	199.85	435.55	759.08	426.57	764.36	521.76	599.49	253.23	395.18	559.28	384.34	454.09	198.47	353.59	463.65	387.02	336.79	366.09	403.5	363.56	409.15	567.1	447.82	660.68	764.36	511.0
ATRX	536.45	511.0	463.65	109.66	642.59	616.37	229.72	603.67	183.82	121.79	253.23	256.78	579.04	277.2	559.28	176.29	325.29	457.25	94.67	358.54	214.27	379.04	693.58	255.0	241.19	231.32	420.68	353.59	273.37	260.38	616.37	206.94	223.41	486.75	312.0	223.41	507.46	253.23	444.72	177.53	323.03	343.89	98.04	115.97	563.18	271.48	139.07	607.87	134.3	279.14	258.57	193.01	190.34	271.48	267.73	426.57	435.55	376.41	463.65	387.02	356.05	253.23	366.09	208.38	211.31	511.0	220.32	237.86	234.57	603.67	500.46	165.57	271.48	624.99	332.14	507.46	122.64	275.28	521.76	256.78	563.18	420.68	476.71	162.14	226.54	392.44	217.27	395.18	177.53	142.01	389.72	205.5	191.67	253.23	211.31	191.67	198.47	368.65	463.65	287.01	358.54	334.46
BAG5	497.0	435.55	429.54	244.57	466.88	607.87	334.46	532.74	262.2	218.79	353.59	356.05	633.73	343.89	483.38	297.17	339.14	420.68	232.94	395.18	289.02	426.57	521.76	316.37	289.02	295.11	420.68	334.46	307.69	305.55	409.15	205.5	299.25	343.89	327.56	297.17	351.14	279.14	441.64	253.23	316.37	295.11	228.13	205.5	400.71	289.02	226.54	460.44	275.28	301.33	316.37	256.78	318.57	358.54	323.03	454.09	400.71	346.29	441.64	400.71	387.02	309.83	363.56	295.11	343.89	395.18	307.69	260.38	305.55	579.04	486.75	277.2	291.04	607.87	356.05	476.71	228.13	312.0	587.13	299.25	607.87	361.04	400.71	246.28	314.17	414.87	299.25	395.18	299.25	287.01	376.41	293.07	258.57	307.69	260.38	265.87	323.03	435.55	397.93	387.02	423.61	343.89
C11orf57	480.04	368.65	438.59	258.57	490.14	547.75	289.02	426.57	303.44	244.57	246.28	318.57	532.74	312.0	384.34	246.28	314.17	486.75	229.72	420.68	332.14	432.53	536.45	327.56	346.29	351.14	490.14	305.55	295.11	265.87	339.14	241.19	353.59	463.65	334.46	353.59	346.29	301.33	406.31	285.03	293.07	273.37	251.48	231.32	450.94	299.25	303.44	497.0	165.57	373.81	224.97	279.14	269.6	318.57	320.8	450.94	351.14	318.57	466.88	334.46	417.77	327.56	381.68	293.07	303.44	334.46	312.0	279.14	341.51	497.0	397.93	246.28	341.51	473.41	327.56	441.64	265.87	376.41	447.82	414.87	450.94	403.5	547.75	314.17	293.07	435.55	303.44	307.69	307.69	303.44	351.14	327.56	289.02	361.04	244.57	314.17	379.04	379.04	363.56	379.04	327.56	336.79
C12orf29	387.02	423.61	363.56	204.07	486.75	450.94	283.05	432.53	255.0	187.71	241.19	289.02	457.25	248.0	379.04	287.01	353.59	486.75	136.19	305.55	251.48	271.48	426.57	373.81	249.73	181.28	336.79	312.0	253.23	221.86	460.44	249.73	305.55	392.44	258.57	239.52	363.56	297.17	366.09	215.77	371.22	389.72	191.67	229.72	351.14	271.48	297.17	435.55	221.86	291.04	253.23	341.51	226.54	267.73	277.2	277.2	341.51	265.87	423.61	295.11	392.44	346.29	262.2	241.19	234.57	432.53	183.82	253.23	279.14	473.41	438.59	224.97	371.22	392.44	295.11	316.37	234.57	244.57	392.44	432.53	409.15	327.56	395.18	218.79	269.6	444.72	226.54	279.14	194.36	226.54	295.11	297.17	248.0	256.78	204.07	275.28	221.86	358.54	309.83	387.02	334.46	312.0
