	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.GM.A2DM.01A.11R.A180.07	TCGA.C8.A133.01A.32R.A12D.07	GTEX.11EMC.2026.SM.5A5JV	GTEX.13FTY.2226.SM.5J1ND	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07
AASDH	118.43	277.2	162.14	156.59	186.4	134.3	343.89	376.41	62.12	60.82
AC006449.1	327.56	902.89	358.54	521.76	642.59	332.14	1572.76	1806.78	0.0	40.64
AC124890.1	1.28	5.59	5.77	3.99	2.53	1.38	15.34	10.63	0.99	0.0
AGO3	70.51	142.01	94.01	138.1	87.03	65.26	147.06	206.94	53.19	26.67
AGO4	137.14	256.78	125.24	214.27	191.67	101.54	209.84	384.34	37.85	38.95
ANKRD61	0.67	11.13	9.85	4.03	3.63	0.0	19.25	23.93	2.58	1.36
ATP2B1	154.42	633.73	343.89	536.45	361.04	121.79	620.67	738.29	106.63	50.27
ATP9B	255.0	441.64	397.93	329.84	379.04	275.28	525.39	743.43	159.9	191.67
ATXN1	92.7	409.15	339.14	199.85	249.73	88.88	341.51	679.29	69.52	59.55
ATXN7	98.04	273.37	153.34	164.42	140.04	61.68	466.88	629.35	63.45	52.82
BBS9	88.88	253.23	177.53	172.65	158.79	93.35	334.46	397.93	55.89	40.93
BOD1L1	248.0	854.13	316.37	511.0	463.65	189.02	733.19	836.53	88.26	31.9
BRD8	624.99	1191.69	1151.06	1104.13	1104.13	651.58	1529.73	1806.78	327.56	170.25
C10orf12	16.63	90.14	27.84	68.55	34.51	12.64	38.95	105.89	9.13	9.06
C19orf55	109.66	295.11	248.0	241.19	236.21	100.83	493.56	486.75	36.79	29.7
C4orf36	41.81	181.28	74.58	114.36	62.56	40.93	275.28	248.0	36.79	11.55
CEP135	45.21	85.22	57.89	84.04	57.08	24.28	143.01	128.79	3.41	1.58
CNTRL	107.38	177.53	202.66	202.66	152.28	63.45	289.02	397.93	36.01	14.45
CPB1	721179.07	906531.99	1715263.94	1055868.42	1163466.92	1026995.62	279.14	2.291835145E7	5.45	31.0
CREBRF	92.7	368.65	195.72	291.04	224.97	102.97	493.56	633.73	66.65	28.04
DCUN1D4	153.34	460.44	414.87	273.37	260.38	162.14	441.64	890.44	281.09	140.04
DHRS4-AS1	199.85	738.29	591.22	325.29	327.56	223.41	612.11	769.69	90.14	473.41
EP400	124.37	277.2	201.25	202.66	205.5	80.57	305.55	336.79	50.98	36.53
FAM13B	164.42	426.57	395.18	303.44	318.57	165.57	500.46	775.05	48.87	21.01
FAM161A	15.91	49.56	34.51	38.95	37.32	13.62	55.49	88.26	11.47	3.99
FAM21C	253.23	674.59	237.86	563.18	400.71	130.6	954.43	1081.39	82.29	46.5
FLJ00104	21.63	47.17	22.26	9.93	27.25	8.06	78.34	83.45	1.51	5.92
FPGT-TNNI3K	0.65	49.21	9.06	24.99	13.42	3.82	55.49	85.82	0.0	7.06
GOSR1	426.57	842.36	591.22	791.35	660.68	540.19	974.5	1119.56	332.14	287.01
HNRNPH3	1950.0	2855.44	2701.35	2384.37	2468.49	1447.15	3901.01	4769.75	698.41	802.41
INPP4B	41.22	896.64	117.6	995.0	521.76	104.42	1674.06	2855.44	19.53	4.1
INPP5B	124.37	323.03	193.01	236.21	167.9	62.12	403.5	444.72	100.83	118.43
JHDM1D	60.82	106.63	88.88	107.38	91.41	31.22	175.07	229.72	39.5	24.81
KLHL2	117.6	325.29	161.02	353.59	183.82	76.71	406.31	507.46	178.77	231.32
LENG8	866.07	1963.57	1119.56	555.41	1001.93	208.38	3039.3	5147.73	684.02	289.02
LINC00999	21.63	112.77	51.71	31.22	49.21	21.63	90.77	167.9	5.68	6.46
LRIG2	57.89	142.01	76.71	78.89	88.88	32.59	223.41	199.85	40.36	13.22
MAGI3	66.18	483.38	185.11	397.93	264.03	82.87	429.54	808.0	31.67	37.85
MAPK8	316.37	780.44	486.75	743.43	669.92	348.71	988.12	1487.87	161.02	246.28
MARCH5	507.46	1023.0	703.28	1111.82	909.17	624.99	1183.45	2004.85	253.23	417.77
MAU2	366.09	688.78	679.29	493.56	514.56	358.54	909.17	1030.12	171.45	170.25
MCC	32.36	336.79	246.28	237.86	115.16	48.52	426.57	429.54	16.63	75.11
MORC3	221.86	463.65	356.05	312.0	279.14	144.01	450.94	848.22	100.13	89.51
MYSM1	116.78	343.89	173.85	208.38	121.79	56.28	361.04	447.82	81.71	35.76
NAA25	162.14	218.79	180.02	193.01	178.77	126.12	279.14	320.8	53.95	29.06
NBPF15	249.73	703.28	647.07	460.44	511.0	220.32	909.17	1081.39	81.71	145.02
NBPF20	15.34	54.33	36.53	29.7	36.53	18.16	84.04	110.43	5.5	5.59
NEK9	693.58	1369.04	775.05	780.44	928.3	679.29	1340.84	1769.57	441.64	376.41
NFAT5	33.3	341.51	239.52	165.57	121.79	36.53	265.87	514.56	6.11	12.09
NHLRC2	52.45	169.07	91.41	148.09	112.77	52.45	151.22	309.83	18.7	34.75
