	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13QJ3.1926.SM.5QGQM	GTEX.YJ8O.0326.SM.5RQJW	GTEX.131XF.1126.SM.5HL8J	GTEX.ZYFC.2226.SM.5NQ96	GTEX.14E7W.1926.SM.5S2R9	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.Y111.1826.SM.4SOIR	GTEX.132NY.2026.SM.5L3FM	GTEX.12696.1526.SM.5EGL6	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.11OF3.2326.SM.5GU73	GTEX.ZAK1.1826.SM.5HL93	GTEX.11UD2.1526.SM.5EQLQ	GTEX.WFJO.0426.SM.4LVM7	GTEX.Y111.1726.SM.4SOIQ	GTEX.WH7G.1026.SM.4LVML	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.11DYG.1426.SM.5A5JR	GTEX.12WSD.1926.SM.5GCOV	GTEX.WFJO.0726.SM.4LVM8	GTEX.T6MN.1526.SM.4DM5P	GTEX.ZT9W.1226.SM.57WE4	GTEX.RU72.0826.SM.46MUS	GTEX.R55D.1226.SM.48FE9	GTEX.RM2N.0626.SM.48FD6	GTEX.RTLS.1226.SM.46MUP	GTEX.U4B1.0926.SM.4DXUV	GTEX.ZYVF.2326.SM.5E44Z	GTEX.P78B.1126.SM.3P615	GTEX.11ONC.1426.SM.5N9F4	GTEX.P4PP.0726.SM.3NM9S	GTEX.WRHK.0426.SM.4MVOG	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.ZAB4.1226.SM.5CVN5	GTEX.PLZ6.0626.SM.3P61B	GTEX.11P7K.1226.SM.5HL4X	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.11EQ9.0826.SM.5986Y	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.145MH.1226.SM.5RQJT	GTEX.ZYT6.1226.SM.5E44Q	GTEX.OHPM.0726.SM.3LK7A	GTEX.WZTO.1526.SM.4PQYQ	GTEX.T2IS.0926.SM.4DM5B	GTEX.RWSA.1326.SM.47JX9	GTEX.S95S.0326.SM.4B66U	TCGA.AG.3732.11A.01R.1660.07	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	TCGA.HU.A4G3.11A.11R.A24K.31
AFTPH	450.94	420.68	332.14	591.22	325.29	351.14	392.44	236.21	289.02	379.04	279.14	260.38	384.34	325.29	363.56	303.44	279.14	297.17	305.55	277.2	373.81	293.07	312.0	297.17	356.05	271.48	363.56	289.02	406.31	231.32	320.8	339.14	291.04	341.51	371.22	366.09	406.31	384.34	397.93	351.14	447.82	412.0	336.79	540.19	351.14	348.71	291.04	450.94	379.04	343.89	253.23	351.14	368.65	435.55	397.93	320.8	441.64	320.8	279.14	291.04	329.84	343.89	543.96	271.48	339.14	320.8	423.61	579.04	438.59	325.29	289.02	323.03	381.68
AHNAK	8963.45	8963.45	5041.77	11584.24	13123.73	5594.3	6745.86	10084.54	10659.59	9808.75	3589.58	5147.73	10440.2	4769.75	4512.4	4152.18	3874.05	5711.87	4066.71	3742.05	5366.37	4152.18	3794.3	3794.3	3982.99	3124.78	8963.45	5479.15	9474.59	3280.18	4388.98	3928.15	4543.8	6561.36	5219.6	6079.61	11345.82	4704.07	13033.07	4769.75	8658.09	9740.98	5329.3	16611.71	4095.0	7032.37	4328.55	8658.09	11745.96	5403.7	4095.0	5831.91	10659.59	12943.04	5006.93	4388.98	10440.2	3955.48	5006.93	5112.16	4298.64	5672.41	12764.83	3690.52	5112.16	5913.33	6887.62	12076.21	5183.54	8363.13	7433.4	8598.28	10368.08
AKT3	1183.45	1104.13	563.18	612.11	1096.5	595.34	1551.09	1447.15	1519.15	1051.79	397.93	363.56	934.76	438.59	420.68	403.5	463.65	417.77	329.84	379.04	460.44	336.79	346.29	327.56	423.61	432.53	629.35	379.04	660.68	316.37	507.46	426.57	361.04	493.56	521.76	555.41	813.63	486.75	1066.48	536.45	878.17	836.53	536.45	1199.98	361.04	540.19	414.87	518.15	890.44	450.94	403.5	612.11	647.07	890.44	651.58	525.39	738.29	371.22	373.81	363.56	441.64	400.71	896.64	423.61	450.94	480.04	728.11	1111.82	1066.48	1268.46	928.3	1037.29	1651.0
AMOTL1	1963.57	2193.99	1242.34	1519.15	2915.45	1051.79	1697.45	1447.15	2178.83	1806.78	575.03	1015.93	2104.58	599.49	1015.93	1313.23	1519.15	764.36	409.15	551.56	819.3	660.68	981.29	543.96	679.29	679.29	2537.92	728.11	2335.28	698.41	738.29	669.92	934.76	769.69	981.29	1030.12	2047.0	1199.98	2573.36	854.13	1508.65	2061.24	684.02	2758.13	555.41	1104.13	629.35	1583.71	1733.13	802.41	738.29	642.59	2537.92	1909.85	1331.57	1088.92	1745.2	896.64	693.58	723.08	934.76	1119.56	2335.28	830.75	848.22	1340.84	1857.6	2193.99	1286.18	1183.45	909.17	1322.37	1605.83
ANGPTL1	1819.35	854.13	679.29	1331.57	4066.71	656.11	1594.73	2758.13	3146.52	3467.27	753.83	444.72	2367.9	373.81	629.35	543.96	733.19	607.87	884.29	493.56	872.1	603.67	665.29	1119.56	723.08	334.46	1447.15	500.46	2104.58	713.11	603.67	400.71	447.82	974.5	872.1	1127.35	1757.34	693.58	2075.59	563.18	2032.85	2271.4	1044.52	1359.57	728.11	954.43	503.95	1447.15	3039.3	723.08	780.44	1127.35	1508.65	2537.92	1583.71	633.73	2032.85	587.13	651.58	363.56	1167.14	563.18	1909.85	651.58	954.43	836.53	1268.46	2209.26	2627.46	1883.54	2739.08	1561.89	3212.66
ANO6	1844.76	1819.35	1427.22	1167.14	2720.15	2956.17	2875.3	1977.24	5006.93	1709.26	669.92	612.11	1369.04	514.56	540.19	718.08	587.13	616.37	490.14	463.65	728.11	514.56	791.35	447.82	660.68	521.76	1369.04	507.46	1487.87	555.41	563.18	684.02	547.75	612.11	890.44	1015.93	1378.57	775.05	1662.49	764.36	1322.37	1135.2	688.78	1923.14	575.03	1088.92	514.56	1250.98	1639.59	738.29	591.22	718.08	1477.58	1498.22	1059.11	954.43	1540.37	665.29	587.13	555.41	775.05	890.44	1794.29	603.67	819.3	775.05	1359.57	2400.97	1059.11	1583.71	995.0	1359.57	1757.34
API5	1233.75	1268.46	1030.12	1119.56	1191.69	1417.35	1066.48	1096.5	1111.82	1030.12	688.78	579.04	1023.0	642.59	693.58	624.99	830.75	684.02	624.99	764.36	954.43	660.68	679.29	624.99	723.08	665.29	954.43	603.67	1073.91	612.11	743.43	802.41	579.04	733.19	890.44	934.76	1044.52	884.29	995.0	733.19	1051.79	1127.35	713.11	1286.18	830.75	967.76	579.04	1259.69	1159.07	660.68	713.11	813.63	1191.69	1208.34	780.44	785.88	1023.0	698.41	624.99	591.22	872.1	866.07	1233.75	660.68	830.75	941.27	1037.29	1388.16	1397.83	1250.98	995.0	1135.2	1322.37
ARMC9	563.18	624.99	2485.67	368.65	679.29	4152.18	4671.57	6079.61	4769.75	1143.1	718.08	236.21	1605.83	170.25	204.07	323.03	780.44	346.29	149.12	231.32	660.68	392.44	417.77	187.71	199.85	400.71	1030.12	406.31	1008.9	305.55	454.09	389.72	275.28	379.04	684.02	974.5	1487.87	406.31	2119.22	307.69	921.88	633.73	567.1	1437.15	348.71	603.67	316.37	688.78	1721.16	334.46	825.0	291.04	995.0	1407.55	423.61	684.02	1519.15	341.51	293.07	316.37	295.11	684.02	2163.77	271.48	234.57	379.04	708.18	361.04	244.57	878.17	273.37	2133.97	595.34
ARPP19	1733.13	1685.71	1175.27	1277.29	1844.76	1175.27	1628.26	1437.15	1832.01	1540.37	981.29	728.11	1340.84	698.41	961.07	915.51	995.0	947.83	674.59	830.75	1208.34	738.29	860.08	688.78	802.41	708.18	1407.55	813.63	1378.57	684.02	1037.29	921.88	728.11	854.13	1397.83	1561.89	1721.16	1059.11	1529.73	890.44	1417.35	1369.04	1044.52	2178.83	866.07	1159.07	679.29	1233.75	1991.0	830.75	1030.12	1008.9	1388.16	1709.26	1417.35	1216.75	1540.37	785.88	603.67	802.41	1059.11	1208.34	1832.01	796.86	1059.11	1143.1	1407.55	1757.34	1709.26	1794.29	1378.57	1709.26	2178.83
ATL1	392.44	532.74	170.25	211.31	426.57	156.59	220.32	400.71	361.04	223.41	140.04	143.01	447.82	166.73	164.42	181.28	155.5	152.28	221.86	191.67	218.79	131.51	193.01	142.01	171.45	92.7	363.56	164.42	426.57	151.22	253.23	186.4	173.85	190.34	256.78	297.17	281.09	170.25	303.44	183.82	323.03	329.84	204.07	234.57	156.59	260.38	162.14	417.77	271.48	164.42	206.94	232.94	262.2	536.45	231.32	198.47	224.97	139.07	199.85	117.6	193.01	217.27	186.4	197.09	241.19	271.48	336.79	373.81	221.86	242.88	181.28	237.86	221.86
