	GTEX.SNMC.0826.SM.4DM66	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.E7.A5KF.01A.11R.A28M.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.FT.A61P.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A8HG.01A.11R.A36F.07	TCGA.05.5715.01A.01R.1628.07	TCGA.05.5429.01A.01R.1628.07	TCGA.55.6984.01A.11R.1949.07	TCGA.78.7540.01A.11R.2066.07	GTEX.132NY.1226.SM.5PNVF	GTEX.14ABY.1126.SM.5Q5F8	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.11DXZ.0726.SM.5N9C4	GTEX.12584.1426.SM.5EGJ9	GTEX.OXRN.0526.SM.2I5EN	GTEX.11GSP.0726.SM.5986L	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.14DAR.0226.SM.5S2PR	GTEX.X4EP.0526.SM.3P5YW	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.ZVT3.0926.SM.5GICK	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3MZ.01A.11R.A21D.07
ABI3	400.71	165.57	114.36	46.5	27.64	51.35	70.51	19.97	43.32	61.68	108.14	155.5	57.08	48.18	77.79	239.52	214.27	116.78	25.35	66.18	167.9	78.89	104.42	146.03	73.54	124.37	76.71	95.34	62.12	25.54	332.14	62.56	105.15	119.26	733.19	836.53	511.0	599.49	536.45	258.57	229.72	890.44	1369.04	536.45	1127.35	733.19	819.3	718.08	703.28	211.31	329.84	176.29	161.02
ACVRL1	928.3	368.65	217.27	75.11	59.55	100.13	139.07	73.54	104.42	153.34	65.72	323.03	98.73	113.56	191.67	343.89	450.94	187.71	69.03	119.26	285.03	176.29	229.72	275.28	77.79	301.33	309.83	148.09	176.29	25.35	409.15	175.07	303.44	316.37	3018.3	1745.2	1030.12	890.44	1127.35	3515.68	1923.14	5183.54	3690.52	1781.89	1781.89	3515.68	3820.7	2163.77	2271.4	353.59	305.55	232.94	395.18
ADORA2A	96.01	74.06	21.32	16.27	8.38	14.45	18.84	14.35	16.03	21.01	31.22	52.45	22.75	27.44	25.91	775.05	94.67	36.27	12.27	16.88	46.5	25.72	43.02	55.89	26.28	29.91	33.54	27.44	30.34	5.92	71.5	30.34	128.79	127.0	684.02	525.39	246.28	209.84	242.88	785.88	253.23	151.22	547.75	423.61	151.22	518.15	241.19	400.71	283.05	46.5	89.51	33.3	45.85
AFAP1L1	108.14	108.14	77.79	59.97	54.72	25.35	118.43	30.34	35.25	32.36	98.04	87.65	57.08	66.65	153.34	46.84	68.55	55.49	21.47	115.97	139.07	74.06	108.14	67.12	108.9	98.73	84.04	30.56	68.55	81.14	74.58	49.56	117.6	67.59	293.07	470.14	642.59	417.77	167.9	103.69	277.2	316.37	1088.92	1806.78	267.73	244.57	417.77	902.89	343.89	120.94	87.65	90.14	187.71
AKAP2	327.56	152.28	90.14	42.41	22.26	29.27	159.9	56.68	32.82	42.11	135.24	209.84	67.12	34.26	244.57	224.97	285.03	100.83	21.78	55.89	366.09	120.1	183.82	312.0	65.26	89.51	343.89	42.71	42.41	13.52	209.84	177.53	236.21	303.44	3303.0	3742.05	1498.22	2739.08	536.45	11827.67	6250.56	8598.28	9673.69	4802.93	3146.52	5076.84	10883.59	5183.54	7695.57	486.75	183.82	267.73	400.71
ARHGAP24	197.09	49.91	27.05	40.93	9.56	20.56	38.67	2.01	11.55	17.51	14.03	54.72	16.75	6.57	27.05	59.97	34.02	37.05	11.73	21.47	108.9	34.02	66.65	45.53	5.54	25.54	161.02	21.94	20.26	5.54	127.89	182.55	162.14	138.1	358.54	1088.92	559.28	346.29	297.17	665.29	2090.03	1295.13	7130.55	1498.22	361.04	791.35	748.61	866.07	1104.13	129.69	81.14	102.97	95.34
ARHGAP31	86.43	40.93	23.76	7.63	9.2	11.64	57.89	8.19	29.7	13.22	15.8	34.02	10.96	10.88	66.65	41.22	86.43	92.7	6.62	16.51	69.03	48.52	42.41	53.57	14.78	43.94	75.64	13.03	17.9	9.41	100.13	34.75	59.55	64.34	264.03	480.04	299.25	256.78	312.0	353.59	514.56	665.29	921.88	775.05	1388.16	285.03	890.44	334.46	748.61	128.79	104.42	84.63	139.07
BCL6B	353.59	120.94	55.89	28.24	30.56	32.36	29.06	13.62	59.55	42.71	15.22	116.78	41.52	11.47	106.63	32.59	125.24	54.33	23.59	52.08	121.79	113.56	152.28	101.54	34.75	58.71	112.77	32.82	32.59	14.14	125.24	50.98	149.12	140.04	444.72	1066.48	1572.76	813.63	303.44	480.04	1030.12	748.61	2119.22	2739.08	473.41	244.57	1268.46	1322.37	1378.57	194.36	93.35	121.79	287.01
BTN2A2	305.55	133.36	115.16	47.5	52.82	102.25	111.21	19.53	161.02	95.34	167.9	105.15	139.07	80.01	115.16	134.3	129.69	133.36	76.71	145.02	212.78	91.41	106.63	146.03	152.28	50.27	73.03	205.5	69.52	145.02	226.54	75.64	137.14	128.79	591.22	954.43	607.87	1023.0	547.75	616.37	708.18	480.04	698.41	607.87	226.54	587.13	854.13	872.1	1015.93	229.72	214.27	158.79	185.11
CALCRL	297.17	169.07	68.07	40.64	28.86	22.26	55.89	14.35	33.06	49.56	11.64	159.9	50.27	68.07	167.9	33.3	77.25	108.9	26.86	54.72	92.05	109.66	141.02	131.51	27.64	79.45	239.52	42.11	26.28	7.11	234.57	212.78	125.24	187.71	1617.0	4038.61	1030.12	616.37	961.07	1175.27	1819.35	583.07	1870.53	5751.61	967.76	2627.46	3955.48	2384.37	3665.02	269.6	153.34	181.28	287.01
