	GTEX.13OVI.1126.SM.5KLZF	TCGA.AK.3429.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.CJ.5672.01A.11R.1541.07	TCGA.B8.5164.01A.01R.1420.07	TCGA.BP.4775.01A.01R.1289.07	TCGA.CJ.4903.01A.01R.1426.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.A3.3343.01A.01R.0864.07	TCGA.BP.5173.01A.01R.1426.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.CJ.6032.01A.11R.1672.07	TCGA.BP.5004.01A.01R.1334.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5712.01A.11R.1672.07	TCGA.CW.5587.01A.01R.1541.07	TCGA.BP.4340.01A.01R.1289.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.5713.01A.11R.1672.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.CJ.4640.01A.02R.1325.07	TCGA.CJ.5680.11A.01R.1541.07	GTEX.132NY.1226.SM.5PNVF	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.11UD2.0726.SM.5EQ69	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.11EI6.0826.SM.5985V	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.145LU.0526.SM.5O9AT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.148VJ.0826.SM.5LU8V	GTEX.VJYA.0326.SM.3GAEX	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
AC007390.5	647.07	665.29	688.78	1044.52	514.56	941.27	1159.07	1001.93	612.11	785.88	656.11	796.86	624.99	759.08	890.44	688.78	896.64	698.41	674.59	1001.93	759.08	669.92	1127.35	679.29	1088.92	555.41	665.29	764.36	842.36	743.43	363.56	307.69	529.06	703.28	366.09	466.88	480.04	669.92	638.15	896.64	915.51	297.17	620.67	483.38	403.5	318.57	353.59	693.58	420.68	995.0	748.61	249.73	500.46	575.03	125.24	457.25	441.64	454.09	529.06	336.79	234.57	579.04	603.67	460.44	679.29	417.77	444.72	961.07	339.14	363.56	414.87	253.23	518.15	327.56	387.02	444.72
AC106876.2	5.73	11.91	7.51	34.75	1.08	11.73	12.27	5.68	17.64	12.36	11.21	6.21	28.86	4.66	15.68	4.17	16.03	9.34	0.0	16.51	2.71	1.46	5.45	5.45	15.91	20.71	11.64	19.68	6.89	5.15	0.0	2.97	0.0	3.17	2.36	3.14	3.53	0.0	0.0	4.74	3.86	0.0	4.78	0.0	0.0	10.55	6.52	0.0	4.1	21.47	2.92	0.0	0.0	10.16	0.0	1.75	0.0	2.14	17.13	0.0	0.0	2.07	0.0	0.0	6.84	2.68	26.86	0.0	0.0	3.08	0.0	0.0	3.5	3.38	0.0	3.41
AC114783.1	5.06	3.41	2.14	17.64	0.0	2.76	0.0	2.48	1.99	8.65	0.0	2.76	0.0	12.36	0.0	0.0	20.26	3.11	2.25	7.06	1.14	2.16	2.05	16.15	30.56	2.76	7.69	0.0	2.41	0.0	0.0	0.0	0.0	0.0	1.64	0.0	0.0	0.0	0.0	0.0	0.0	4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACE2	633.73	583.07	497.0	1477.58	4268.94	733.19	3443.31	1923.14	2976.74	1757.34	490.14	1477.58	500.46	915.51	1594.73	941.27	4575.41	2367.9	134.3	2520.38	1183.45	1369.04	5329.3	1175.27	1794.29	860.08	2573.36	2997.45	1662.49	1008.9	14.67	28.86	9.34	42.41	21.78	40.07	31.45	21.01	10.63	15.0	5.06	6.62	40.07	17.64	5.19	56.68	32.82	30.34	10.71	2.34	17.9	3.76	1.58	16.15	1.5	2.86	41.22	16.88	8.32	13.12	10.08	13.52	71.5	31.0	30.78	11.21	41.52	5.15	3.17	10.63	50.63	13.62	229.72	11.38	11.91	27.05
ACMSD	1073.91	3018.3	974.5	2163.77	1498.22	1806.78	2520.38	3467.27	1745.2	4038.61	264.03	2032.85	1073.91	1950.0	1883.54	1066.48	5441.3	1111.82	493.56	5366.37	1857.6	1250.98	4419.52	4419.52	3901.01	1378.57	2609.3	2367.9	2895.31	1417.35	0.0	0.0	0.0	1.71	1.17	0.0	0.0	0.96	0.0	0.21	3.96	0.78	0.3	4.9	0.29	0.0	1.19	0.33	0.77	3.35	11.64	2.23	11.04	0.0	0.0	0.19	2.32	0.0	0.6	0.0	0.24	1.28	4.94	2.46	10.79	0.0	2.66	4.9	0.0	0.0	0.0	0.0	4.82	5.92	0.0	0.0
ACO2	3235.01	3395.89	2935.74	5255.91	4239.45	4903.87	4704.07	4769.75	3820.7	4802.93	2335.28	3212.66	5672.41	3419.52	3168.41	3303.0	4972.34	5076.84	1628.26	3901.01	3742.05	2701.35	8363.13	5366.37	6471.02	3235.01	3419.52	2796.65	2468.49	3280.18	1628.26	884.29	1407.55	1081.39	1923.14	769.69	1167.14	1936.53	1498.22	1191.69	1037.29	854.13	2319.15	1073.91	1051.79	842.36	1457.23	1313.23	1259.69	1277.29	1151.06	961.07	1322.37	1487.87	1183.45	1519.15	1583.71	1008.9	1135.2	928.3	848.22	2018.8	1883.54	1594.73	872.1	988.12	775.05	1733.13	2148.82	1508.65	1175.27	723.08	1498.22	1286.18	1313.23	1529.73
ADM2	153.34	208.38	305.55	417.77	444.72	684.02	579.04	567.1	414.87	473.41	234.57	351.14	444.72	376.41	559.28	312.0	547.75	366.09	312.0	403.5	420.68	387.02	493.56	403.5	693.58	713.11	518.15	361.04	336.79	325.29	11.91	1.87	9.63	14.56	12.45	8.85	5.45	11.82	17.25	21.16	7.88	9.7	14.14	12.74	3.86	7.82	6.31	15.8	8.85	2.48	2.61	16.39	18.97	20.11	16.75	11.55	10.39	7.51	10.71	34.26	9.13	5.45	22.1	8.71	10.63	7.17	11.04	59.97	7.88	5.68	17.64	15.8	9.93	5.23	6.94	17.77
AGXT2	836.53	1191.69	1733.13	947.83	988.12	2104.58	1159.07	884.29	928.3	1857.6	154.42	1340.84	2835.7	1295.13	974.5	1044.52	4152.18	2047.0	94.67	2335.28	2287.2	1605.83	1561.89	3589.58	2178.83	860.08	1857.6	1733.13	1286.18	884.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.01	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	2.05	0.43	0.0	0.0	0.0	0.0	1.5	0.0	1.5	0.0	0.0	2.12	1.07	0.0	1.03	0.0
AIFM1	1498.22	1407.55	1023.0	3039.3	2502.97	2209.26	2384.37	1059.11	2835.7	2271.4	1151.06	928.3	1119.56	1628.26	2209.26	2434.5	2367.9	1467.37	921.88	1977.24	2609.3	1457.23	4239.45	1457.23	2645.74	2090.03	1857.6	1540.37	1977.24	2591.27	409.15	267.73	361.04	503.95	376.41	232.94	392.44	429.54	450.94	368.65	403.5	246.28	571.05	376.41	314.17	258.57	277.2	532.74	228.13	339.14	392.44	232.94	376.41	346.29	182.55	414.87	348.71	212.78	329.84	269.6	194.36	420.68	490.14	293.07	514.56	277.2	295.11	748.61	264.03	229.72	295.11	218.79	486.75	307.69	289.02	277.2
AIMP2	796.86	629.35	651.58	518.15	563.18	551.56	575.03	291.04	559.28	603.67	384.34	316.37	764.36	358.54	555.41	595.34	441.64	825.0	429.54	595.34	684.02	551.56	738.29	423.61	463.65	507.46	543.96	432.53	547.75	575.03	403.5	151.22	175.07	348.71	363.56	291.04	275.28	417.77	271.48	255.0	303.44	159.9	389.72	460.44	145.02	166.73	116.78	305.55	217.27	343.89	316.37	116.78	301.33	119.26	147.06	253.23	162.14	275.28	173.85	228.13	156.59	223.41	387.02	281.09	323.03	123.5	244.57	733.19	156.59	212.78	217.27	178.77	208.38	269.6	205.5	162.14
