	TCGA.DK.A2I2.01A.11R.A180.07	TCGA.DS.A3LQ.01A.21R.A21T.07	TCGA.LN.A4A3.01A.11R.A260.31	TCGA.VR.A8ER.01A.11R.A36D.31	TCGA.LN.A7HW.01A.22R.A354.31	TCGA.IG.A3I8.01A.11R.A24K.31	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.L5.A8NH.01A.11R.A37I.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.JY.A93E.01A.11R.A37I.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.CN.6988.01A.11R.1915.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CN.A641.01A.11R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.38.4625.01A.01R.1206.07	GTEX.13CF3.0426.SM.5IJEU	TCGA.33.4589.01A.01R.1443.07	GTEX.12WSL.2126.SM.5GCNG
AC092811.1	0.35	1.46	19.25	18.16	23.42	40.07	29.48	48.87	12.36	30.34	36.79	96.01	17.38	6.57	3.08	2.84	1.43	0.62	2.34	0.0	2.61	0.0	5.06
ANGPTL1	4.24	0.64	6.11	15.56	6.06	38.95	656.11	16.39	11.13	318.57	56.68	24.28	10.31	379.04	1.17	1.16	2.76	0.91	2.53	0.0	112.77	1.41	10.31
ARHGEF7	234.57	181.28	543.96	642.59	718.08	703.28	642.59	866.07	607.87	921.88	848.22	633.73	490.14	536.45	232.94	297.17	490.14	293.07	273.37	0.0	353.59	88.88	454.09
ATG2B	52.08	64.34	177.53	117.6	202.66	260.38	220.32	191.67	199.85	234.57	312.0	316.37	172.65	147.06	89.51	84.04	114.36	75.11	77.25	0.0	101.54	17.77	145.02
BCOR	50.98	143.01	224.97	297.17	226.54	463.65	363.56	384.34	145.02	299.25	397.93	341.51	159.9	221.86	124.37	255.0	60.39	146.03	164.42	0.0	199.85	67.59	400.71
C12orf79	2.27	8.85	3.29	15.0	12.27	21.01	24.46	17.51	37.32	22.26	18.84	32.59	28.24	18.16	1.08	1.99	0.83	4.62	3.5	0.0	22.59	10.79	1.51
C2orf66	0.66	1.91	5.23	15.45	9.63	33.06	5.68	3.17	7.69	9.48	4.28	29.06	9.63	2.32	3.89	3.79	2.89	1.14	0.0	0.0	0.0	1.01	1.38
CCDC84	246.28	111.21	426.57	346.29	373.81	896.64	616.37	599.49	470.14	1037.29	1369.04	532.74	723.08	785.88	351.14	878.17	178.77	271.48	191.67	0.0	248.0	57.89	201.25
CCNL1	830.75	1015.93	3372.43	3874.05	1605.83	6983.79	4095.0	4181.07	3690.52	3690.52	5147.73	6840.04	4152.18	1605.83	2555.58	2682.69	934.76	1242.34	1037.29	909.17	1697.45	255.0	1651.0
CDK19	111.21	137.14	201.25	137.14	231.32	267.73	220.32	209.84	162.14	258.57	279.14	293.07	209.84	100.83	138.1	151.22	182.55	82.87	72.01	0.0	84.04	57.08	231.32
CHKB	555.41	403.5	1561.89	1295.13	1191.69	2400.97	1127.35	1540.37	1268.46	2303.12	1806.78	2303.12	1477.58	1250.98	708.18	902.89	642.59	551.56	540.19	0.0	961.07	909.17	1023.0
CPO	0.65	0.38	2.76	0.0	3.53	10.16	22.59	4.28	3.89	2.92	16.03	1.25	11.73	1.62	0.49	0.0	0.0	0.89	0.55	0.0	3.66	0.0	6.73
CPSF7	665.29	738.29	1437.15	1081.39	1639.59	1950.0	1977.24	1529.73	1350.18	2004.85	1508.65	2047.0	1709.26	1457.23	988.12	620.67	656.11	890.44	988.12	0.0	961.07	275.28	1151.06
CREBZF	269.6	392.44	466.88	638.15	808.0	1427.22	743.43	1001.93	928.3	1216.75	1268.46	934.76	981.29	587.13	412.0	366.09	258.57	353.59	260.38	0.0	262.2	129.69	351.14
DDX17	1685.71	2468.49	4671.57	5517.27	6337.83	10014.87	8363.13	5517.27	4671.57	8191.0	7230.1	9673.69	4450.27	3325.99	2777.33	3060.45	2047.0	2537.92	1909.85	2287.2	2796.65	1088.92	3124.78
DPH1	279.14	301.33	743.43	688.78	974.5	1322.37	1950.0	1015.93	543.96	1030.12	1167.14	1066.48	1167.14	941.27	366.09	229.72	547.75	186.4	521.76	0.0	325.29	220.32	480.04
FAM160B1	58.71	75.64	157.68	136.19	260.38	231.32	320.8	208.38	92.05	293.07	361.04	444.72	214.27	166.73	73.54	81.14	81.71	39.79	41.52	0.0	202.66	67.59	149.12
FLCN	242.88	301.33	909.17	409.15	878.17	1685.71	1322.37	1407.55	486.75	995.0	1242.34	607.87	1059.11	232.94	361.04	264.03	351.14	476.71	420.68	264.03	1151.06	297.17	289.02
FOXP1	130.6	100.83	209.84	336.79	289.02	848.22	995.0	435.55	325.29	733.19	483.38	693.58	87.65	555.41	209.84	260.38	201.25	120.1	69.52	167.9	267.73	55.49	346.29
GGA1	514.56	567.1	981.29	1015.93	1059.11	1457.23	1286.18	1259.69	1008.9	1551.09	1295.13	1529.73	872.1	981.29	872.1	1183.45	1175.27	723.08	587.13	0.0	1259.69	376.41	1127.35
HACE1	63.0	58.3	154.42	112.77	151.22	185.11	199.85	150.17	155.5	158.79	191.67	248.0	101.54	169.07	108.14	135.24	85.22	78.34	41.52	0.0	73.54	53.57	85.82
HP1BP3	808.0	1359.57	3146.52	2061.24	2976.74	3847.29	5517.27	2855.44	1697.45	3639.7	3794.3	5366.37	1950.0	2434.5	2148.82	1001.93	2148.82	1498.22	1322.37	1561.89	1044.52	591.22	3349.13
IFT88	99.43	61.25	193.01	118.43	265.87	305.55	215.77	260.38	165.57	181.28	297.17	173.85	211.31	97.36	45.85	46.84	63.89	47.5	36.27	0.0	204.07	41.81	106.63
IMPA1	181.28	191.67	473.41	316.37	289.02	466.88	371.22	409.15	435.55	441.64	616.37	476.71	232.94	283.05	303.44	133.36	228.13	159.9	226.54	0.0	223.41	514.56	242.88
IRGQ	155.5	220.32	251.48	297.17	356.05	457.25	327.56	301.33	123.5	309.83	334.46	373.81	353.59	314.17	283.05	144.01	165.57	93.35	156.59	47.5	170.25	35.25	183.82
KIAA0753	134.3	93.35	336.79	114.36	220.32	507.46	759.08	307.69	144.01	420.68	346.29	521.76	325.29	293.07	76.17	62.12	143.01	54.33	100.83	0.0	92.7	37.59	140.04
MDM4	133.36	41.22	283.05	206.94	265.87	343.89	346.29	361.04	269.6	376.41	373.81	603.67	299.25	201.25	186.4	99.43	54.33	36.53	124.37	136.19	145.02	37.85	166.73
MED23	100.13	171.45	287.01	287.01	277.2	387.02	348.71	412.0	348.71	389.72	483.38	497.0	299.25	246.28	201.25	166.73	155.5	115.16	127.0	0.0	161.02	127.89	265.87
MNT	132.44	182.55	532.74	438.59	607.87	728.11	703.28	713.11	571.05	551.56	563.18	988.12	1208.34	651.58	297.17	429.54	395.18	218.79	218.79	0.0	432.53	65.72	339.14
MON2	167.9	211.31	348.71	325.29	267.73	507.46	684.02	392.44	325.29	438.59	571.05	669.92	318.57	327.56	356.05	376.41	163.28	145.02	120.1	0.0	171.45	111.21	251.48
MSANTD2	67.12	26.1	111.21	74.06	118.43	273.37	127.0	183.82	122.64	279.14	226.54	157.68	197.09	146.03	80.57	50.98	67.12	99.43	71.0	0.0	48.18	29.48	63.0
MTMR10	95.34	127.0	181.28	158.79	291.04	320.8	305.55	325.29	217.27	249.73	400.71	341.51	171.45	301.33	76.71	114.36	104.42	76.17	74.58	0.0	314.17	56.28	212.78
MYH7B	3.89	9.2	35.5	10.39	16.63	41.22	44.89	26.86	16.27	77.79	99.43	66.65	34.75	11.21	4.98	1.43	0.4	5.11	9.06	0.0	1.57	0.0	20.11
NCAPD3	190.34	201.25	202.66	366.09	320.8	642.59	486.75	503.95	226.54	356.05	551.56	490.14	309.83	221.86	297.17	84.04	169.07	285.03	127.89	0.0	131.51	75.64	133.36
NEK9	341.51	426.57	802.41	486.75	866.07	1167.14	2319.15	954.43	551.56	909.17	1268.46	1015.93	785.88	612.11	514.56	265.87	454.09	438.59	303.44	0.0	567.1	242.88	616.37
NEURL4	253.23	217.27	575.03	293.07	591.22	848.22	1340.84	693.58	314.17	559.28	642.59	802.41	579.04	486.75	186.4	348.71	339.14	136.19	305.55	0.0	241.19	67.59	297.17
NOTCH1	258.57	647.07	884.29	941.27	1159.07	1617.0	1359.57	808.0	346.29	607.87	1015.93	1268.46	1037.29	518.15	224.97	236.21	152.28	297.17	85.82	0.0	363.56	19.53	532.74
NRF1	161.02	182.55	202.66	262.2	295.11	356.05	299.25	301.33	178.77	295.11	299.25	287.01	253.23	241.19	161.02	106.63	149.12	194.36	154.42	171.45	128.79	100.83	158.79
NUMA1	1844.76	1159.07	5076.84	2627.46	3564.78	4450.27	7911.95	4095.0	3515.68	9474.59	4328.55	11992.79	2855.44	3280.18	2645.74	2855.44	1794.29	1322.37	1051.79	0.0	1216.75	232.94	3901.01
PAN2	237.86	332.14	1183.45	791.35	718.08	1674.06	1697.45	1427.22	420.68	1369.04	1745.2	3124.78	995.0	529.06	728.11	142.01	277.2	334.46	199.85	0.0	189.02	84.63	314.17
PI3	581732.96	450134.56	1364554.84	443937.41	242898.5	284880.02	11.3	682276.92	2864793.06	143430.26	4802.93	55491.3	3454390.1	5272295.22	531605.79	1903204.61	619179.28	1070607.81	706337.4	0.0	2442622.37	97965.44	2326934.84
PIF1	57.89	48.18	551.56	341.51	336.79	518.15	279.14	438.59	94.67	525.39	303.44	603.67	312.0	83.45	100.83	46.84	85.82	88.26	100.83	0.0	31.45	40.07	13.72
PLA2G6	90.14	108.9	389.72	624.99	656.11	1081.39	825.0	693.58	447.82	890.44	974.5	1909.85	450.94	417.77	163.28	94.67	178.77	108.9	125.24	0.0	98.73	37.05	305.55
PLGLB1	17.51	28.45	55.49	35.25	33.3	127.0	76.17	64.34	111.99	164.42	166.73	139.07	65.26	27.64	30.56	35.5	6.52	30.12	19.97	0.0	13.03	23.93	20.56
PLSCR4	83.45	32.59	135.24	271.48	273.37	409.15	1008.9	226.54	45.85	521.76	738.29	808.0	43.02	163.28	37.32	61.25	110.43	164.42	25.91	130.6	209.84	74.58	211.31
POGZ	246.28	351.14	974.5	532.74	941.27	1295.13	1233.75	1388.16	555.41	2061.24	1378.57	1819.35	934.76	493.56	371.22	297.17	217.27	241.19	191.67	366.09	256.78	58.3	376.41
PRUNE2	26.47	17.9	47.84	95.34	21.16	258.57	6207.38	154.42	29.06	1417.35	525.39	75.64	80.01	1832.01	14.67	13.42	5.96	8.0	13.83	0.0	43.63	21.63	42.41
RB1	244.57	237.86	813.63	583.07	723.08	890.44	571.05	708.18	638.15	575.03	718.08	1151.06	583.07	591.22	457.25	444.72	414.87	138.1	307.69	0.0	236.21	536.45	738.29
RICTOR	89.51	75.11	237.86	146.03	281.09	314.17	305.55	289.02	223.41	395.18	414.87	426.57	159.9	121.79	122.64	115.16	83.45	52.08	63.89	0.0	100.83	65.26	145.02
SAFB	1143.1	1369.04	1963.57	1651.0	2018.8	2609.3	1977.24	2032.85	1896.65	2400.97	2047.0	2384.37	1977.24	1806.78	1487.87	669.92	1066.48	1208.34	1111.82	1250.98	1135.2	193.01	1467.37
SAFB2	713.11	583.07	961.07	830.75	878.17	1437.15	1167.14	1191.69	764.36	1794.29	1191.69	1295.13	902.89	974.5	665.29	412.0	432.53	624.99	748.61	0.0	536.45	161.02	825.0
SENP6	514.56	483.38	748.61	830.75	915.51	1104.13	1250.98	1259.69	1044.52	1037.29	1457.23	1397.83	1001.93	848.22	426.57	483.38	669.92	348.71	397.93	0.0	473.41	154.42	612.11
SF1	1844.76	2240.11	3665.02	3349.13	3955.48	6840.04	5954.47	5633.22	4388.98	5517.27	6121.9	5995.9	4450.27	5403.7	2796.65	1923.14	2351.53	2520.38	2104.58	2537.92	3372.43	748.61	3515.68
SF3B1	3419.52	2417.67	4769.75	5006.93	4450.27	7331.05	6561.36	5076.84	6037.61	6607.01	5913.33	6561.36	4181.07	3742.05	3103.19	3168.41	2664.15	3168.41	2209.26	0.0	2739.08	2468.49	2895.31
TAF6L	312.0	323.03	532.74	318.57	583.07	723.08	733.19	500.46	503.95	674.59	587.13	669.92	669.92	346.29	249.73	202.66	220.32	244.57	305.55	0.0	366.09	102.25	293.07
TCF12	267.73	258.57	638.15	563.18	1322.37	1407.55	896.64	1001.93	674.59	808.0	1167.14	902.89	381.68	447.82	432.53	249.73	368.65	49.91	249.73	0.0	194.36	162.14	476.71
TMEM259	1883.54	1781.89	4152.18	4802.93	4869.99	5633.22	4298.64	3168.41	4328.55	3419.52	3303.0	4152.18	5711.87	5751.61	2468.49	3589.58	1487.87	1551.09	2502.97	0.0	2434.5	769.69	1685.71
TSTD2	164.42	109.66	178.77	346.29	271.48	454.09	291.04	279.14	110.43	236.21	356.05	295.11	181.28	167.9	199.85	101.54	132.44	154.42	35.76	0.0	167.9	65.26	217.27
TUBE1	135.24	103.69	153.34	193.01	202.66	395.18	293.07	301.33	244.57	285.03	267.73	420.68	106.63	206.94	99.43	66.65	116.78	88.26	68.07	0.0	113.56	139.07	224.97
UCP3	4.54	9.93	25.35	26.28	17.9	50.98	31.9	28.86	15.22	124.37	102.25	32.13	16.88	19.11	16.51	5.63	2.92	8.32	3.11	0.0	21.63	0.0	45.53
VPS13B	132.44	153.34	314.17	287.01	348.71	351.14	403.5	246.28	277.2	291.04	376.41	318.57	246.28	253.23	206.94	173.85	182.55	101.54	145.02	0.0	162.14	87.03	136.19
WDR73	214.27	256.78	457.25	575.03	483.38	748.61	616.37	612.11	503.95	514.56	629.35	688.78	591.22	521.76	295.11	273.37	318.57	264.03	256.78	0.0	423.61	211.31	441.64
ZNF224	95.34	85.22	237.86	273.37	218.79	426.57	356.05	343.89	217.27	480.04	529.06	303.44	236.21	234.57	171.45	178.77	102.97	40.36	96.68	0.0	144.01	21.32	145.02
ZNF548	64.8	107.38	134.3	209.84	143.01	309.83	241.19	199.85	178.77	232.94	173.85	224.97	180.02	185.11	144.01	132.44	84.04	125.24	85.82	0.0	87.03	59.55	142.01
ZNF609	107.38	185.11	314.17	228.13	275.28	348.71	403.5	307.69	285.03	343.89	307.69	299.25	232.94	255.0	232.94	162.14	220.32	105.15	157.68	119.26	166.73	19.53	185.11
ZNF621	31.9	38.67	94.67	92.05	88.26	122.64	126.12	118.43	125.24	153.34	125.24	113.56	88.26	110.43	69.03	38.12	41.81	21.94	27.05	0.0	64.8	18.43	88.26
ZNF827	98.73	53.19	138.1	81.71	136.19	332.14	423.61	221.86	42.11	185.11	165.57	314.17	93.35	58.71	67.12	49.91	64.34	29.06	51.71	0.0	62.12	17.9	158.79
