	TCGA.CK.4948.01B.11R.1653.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13D11.0326.SM.5LZXX	GTEX.O5YW.0526.SM.2YUMX	GTEX.144GN.0426.SM.5O9AP	GTEX.QXCU.0626.SM.2TC69	GTEX.S4Z8.0426.SM.3K2AH	GTEX.WFG8.0926.SM.3GIKJ	GTEX.SNOS.0426.SM.32PMH	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.WFJO.0326.SM.3GIL3	GTEX.133LE.0526.SM.5N9EJ	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.147F3.0726.SM.5NQ9U	GTEX.13VXT.1426.SM.5LU4B	GTEX.WRHU.0226.SM.3MJFV	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.S7SF.0426.SM.3K2B7	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.ZYWO.0826.SM.5E45W	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.13OW8.1726.SM.5L3GO	GTEX.QEG5.1126.SM.33HC2	GTEX.13OVG.0326.SM.5KM57	TCGA.EO.A3B0.01A.12R.A19W.07
AARS2	183.82	0.11	110.43	102.97	165.57	164.42	112.77	175.07	36.01	173.85	120.94	183.82	170.25	129.69	104.42	152.28	106.63	187.71	47.84	94.01	154.42	39.79	81.71	102.97	138.1	139.07	50.27	101.54	151.22	198.47	181.28	119.26	133.36	66.18	44.57	92.7	57.49	273.37
ABCB6	525.39	0.92	175.07	125.24	1242.34	866.07	88.26	813.63	43.63	764.36	348.71	1081.39	536.45	194.36	267.73	642.59	214.27	525.39	68.07	246.28	463.65	95.34	146.03	529.06	967.76	1175.27	214.27	325.29	271.48	748.61	1832.01	559.28	395.18	226.54	187.71	258.57	214.27	2209.26
ABCB8	1104.13	0.36	373.81	454.09	1059.11	728.11	647.07	703.28	251.48	860.08	521.76	642.59	703.28	612.11	575.03	733.19	441.64	718.08	224.97	567.1	764.36	334.46	497.0	688.78	728.11	934.76	190.34	679.29	651.58	723.08	813.63	555.41	651.58	486.75	194.36	575.03	575.03	1259.69
ADRM1	6337.83	3491.39	3018.3	2400.97	3690.52	3303.0	2400.97	3081.75	2319.15	2119.22	2895.31	2816.11	2468.49	2090.03	2351.53	3372.43	2434.5	2627.46	2018.8	2701.35	2573.36	1457.23	2018.8	2701.35	2935.74	4937.99	743.43	1883.54	3124.78	4066.71	3820.7	3325.99	2485.67	2004.85	1628.26	1304.15	2573.36	4736.79
ANKRD54	444.72	0.16	307.69	420.68	665.29	444.72	293.07	607.87	187.71	435.55	336.79	373.81	423.61	301.33	339.14	525.39	379.04	486.75	185.11	301.33	612.11	244.57	246.28	397.93	381.68	450.94	236.21	441.64	358.54	429.54	363.56	351.14	273.37	327.56	153.34	371.22	412.0	813.63
BANF1	7130.55	0.62	2875.3	2104.58	6381.92	5555.65	2351.53	5041.77	1037.29	3018.3	3955.48	3639.7	3372.43	3372.43	3395.89	4639.29	2645.74	4038.61	3039.3	2502.97	4512.4	1936.53	1709.26	3742.05	5517.27	5831.91	2739.08	3280.18	4481.23	6381.92	4769.75	3820.7	3665.02	2319.15	1175.27	4066.71	1757.34	9945.68
BMS1	366.09	55.49	281.09	155.5	348.71	323.03	221.86	325.29	193.01	201.25	217.27	301.33	249.73	249.73	164.42	343.89	169.07	264.03	183.82	158.79	249.73	143.01	140.04	251.48	287.01	279.14	118.43	140.04	246.28	409.15	397.93	283.05	223.41	142.01	134.3	162.14	127.89	312.0
CAD	1437.15	0.37	332.14	289.02	802.41	599.49	279.14	571.05	129.69	435.55	420.68	728.11	547.75	314.17	353.59	785.88	341.51	470.14	299.25	279.14	327.56	171.45	336.79	387.02	713.11	733.19	129.69	265.87	423.61	759.08	1044.52	429.54	397.93	264.03	327.56	325.29	232.94	1216.75
CCT5	6337.83	0.65	3742.05	2032.85	6699.25	7130.55	2004.85	6381.92	1909.85	4010.71	3665.02	4903.87	4152.18	2895.31	2133.97	6426.31	2209.26	5292.48	1883.54	2335.28	3257.52	1066.48	1322.37	2835.7	6250.56	6840.04	1540.37	1467.37	3467.27	9808.75	7382.04	4358.66	3794.3	1427.22	934.76	1963.57	1111.82	8421.31
CCT7	7180.15	0.61	3168.41	2485.67	6983.79	4836.35	2367.9	4972.34	1529.73	4419.52	4038.61	4543.8	4123.49	3103.19	2502.97	5831.91	2485.67	4512.4	2271.4	1883.54	3540.14	1909.85	1936.53	3039.3	4038.61	6471.02	1662.49	2209.26	3443.31	7382.04	6792.79	4123.49	3212.66	1963.57	1963.57	3768.09	1709.26	7081.29
COA4	2119.22	0.43	1378.57	961.07	2209.26	1991.0	785.88	1651.0	555.41	1313.23	1088.92	1551.09	1208.34	1104.13	974.5	1674.06	1023.0	1104.13	1023.0	813.63	1304.15	470.14	660.68	1151.06	1806.78	2855.44	351.14	848.22	1594.73	2148.82	2384.37	1594.73	1313.23	941.27	529.06	723.08	718.08	2485.67
DRAP1	3257.52	0.83	2209.26	1697.45	3018.3	3768.09	1397.83	2335.28	1001.93	1832.01	1832.01	1697.45	2018.8	1407.55	1697.45	2367.9	1540.37	1963.57	2209.26	2119.22	1572.76	1477.58	1023.0	1745.2	3146.52	4038.61	934.76	1529.73	2104.58	3716.2	2664.15	2303.12	1769.57	1427.22	1508.65	1096.5	1437.15	4298.64
EBNA1BP2	2537.92	0.0	1417.35	981.29	2645.74	1991.0	909.17	1745.2	1167.14	1407.55	1529.73	1583.71	1407.55	1191.69	1023.0	1923.14	759.08	1359.57	866.07	1030.12	1437.15	603.67	842.36	1199.98	1685.71	2018.8	525.39	836.53	1417.35	2645.74	2434.5	1794.29	1417.35	848.22	551.56	961.07	872.1	2997.45
ECE2	318.57	0.09	148.09	58.71	181.28	159.9	66.18	167.9	31.0	147.06	117.6	140.04	112.77	73.54	85.82	169.07	96.01	142.01	49.56	59.97	80.01	25.91	36.79	119.26	175.07	273.37	12.0	57.08	140.04	201.25	334.46	187.71	102.97	57.89	21.94	88.26	46.5	384.34
