	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7183.01A.11R.2016.07	TCGA.CV.6955.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.ZG.A9L6.01A.11R.A41O.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.EL.A3T8.11A.11R.A22L.07	TCGA.FY.A3TY.11A.12R.A22U.07	TCGA.EM.A1CU.11A.11R.A13Y.07	GTEX.ZAB5.0726.SM.5P9JG	GTEX.SE5C.0726.SM.4BRWY	GTEX.RNOR.0926.SM.2TF56	GTEX.OXRK.0626.SM.2HMJ5	GTEX.13112.0326.SM.5P9IW
AC008267.1	0.67	3.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.56	0.47	1.06	0.0	2.34	1.0	0.97	3.5	1.27	1.03	2.41	0.71	2.29
AGAP5	81.14	100.13	76.71	69.03	8.58	15.8	18.03	0.0	0.83	111.99	12.83	25.35	15.0	18.29	6.84	102.25	108.9	237.86	91.41	197.09	128.79	147.06	109.66	202.66
ATP5L2	0.89	1.04	0.25	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.0	0.0	0.0	0.0	0.0	3.56	2.66	1.43	1.5	0.96	1.71	1.41	1.25	1.14
C3orf33	26.1	38.12	16.03	13.93	16.27	32.13	20.26	0.0	0.06	135.24	3.56	15.8	24.28	21.01	6.36	199.85	191.67	299.25	256.78	255.0	332.14	293.07	246.28	249.73
C9orf72	167.9	214.27	177.53	198.47	77.79	55.1	100.83	0.0	0.61	379.04	105.15	106.63	97.36	112.77	161.02	323.03	366.09	389.72	713.11	318.57	366.09	325.29	285.03	346.29
CARF	77.79	112.77	76.17	84.04	25.91	30.12	28.45	0.0	0.13	104.42	42.71	59.97	31.45	46.18	23.25	135.24	185.11	320.8	273.37	291.04	316.37	316.37	117.6	295.11
CCDC28A	226.54	363.56	312.0	244.57	148.09	186.4	137.14	0.0	0.18	753.83	136.19	293.07	260.38	269.6	217.27	961.07	1457.23	1044.52	1583.71	981.29	1208.34	1340.84	1096.5	1183.45
CCDC36	3.99	15.8	6.11	1.69	0.6	0.6	2.01	0.0	0.2	9.34	1.85	1.71	0.15	0.58	0.68	18.29	30.34	33.78	29.48	36.27	33.54	51.71	36.01	43.02
CEP95	507.46	733.19	500.46	503.95	99.43	139.07	111.99	0.0	0.78	703.28	177.53	187.71	137.14	144.01	157.68	723.08	981.29	1369.04	1151.06	921.88	1051.79	1457.23	825.0	1313.23
CETN2	1259.69	1733.13	1369.04	1104.13	1175.27	860.08	872.1	0.0	0.0	1519.15	1378.57	1066.48	1331.57	995.0	1159.07	1551.09	2075.59	2335.28	2835.7	1540.37	2104.58	2148.82	2004.85	1745.2
