	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.QV44.0326.SM.4R1KD	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.V1.A8WW.01A.11R.A37L.07	TCGA.YL.A9WH.01A.11R.A37L.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.VP.A872.01A.11R.A352.07	TCGA.HC.7232.01A.11R.2118.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.CH.5791.01A.11R.1580.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.D7.A6EZ.01A.11R.A31P.31
ABCA2	291.04	193.01	120.94	616.37	0.0	0.84	1119.56	2537.92	1051.79	1561.89	1216.75	866.07	928.3	928.3	1167.14
ABCA3	11.47	12.74	10.31	63.89	0.0	0.0	684.02	718.08	420.68	591.22	463.65	299.25	295.11	204.07	119.26
AC005779.2	0.0	2.46	0.0	0.0	0.0	0.06	6.52	7.75	4.86	6.41	0.0	5.15	2.25	0.93	0.0
AC005841.1	0.17	1.55	0.04	2.53	0.0	0.23	11.55	21.32	3.38	13.62	4.74	5.45	3.47	2.61	2.03
AC026740.1	3.47	5.36	6.31	7.63	0.0	0.23	26.67	41.52	17.64	23.93	8.51	16.03	12.83	7.51	24.28
ACAP3	144.01	138.1	107.38	162.14	0.0	1.31	947.83	854.13	366.09	796.86	180.02	309.83	202.66	258.57	309.83
AKAP8L	403.5	346.29	490.14	412.0	0.0	1.06	1733.13	1605.83	1794.29	1781.89	854.13	1119.56	884.29	688.78	764.36
ALKBH6	149.12	154.42	194.36	229.72	0.0	0.73	708.18	679.29	435.55	703.28	281.09	387.02	343.89	368.65	567.1
ANKZF1	164.42	162.14	190.34	348.71	0.0	0.88	1250.98	1277.29	967.76	1008.9	629.35	718.08	559.28	563.18	830.75
AP2A2	708.18	642.59	674.59	825.0	738.29	161.02	1350.18	1457.23	1277.29	1417.35	1331.57	1183.45	878.17	995.0	1268.46
ATP1A3	0.0	5.96	0.0	4.06	0.0	0.16	16.15	29.48	1.95	5.36	4.62	1.62	2.34	3.69	8.38
AVEN	209.84	323.03	450.94	275.28	0.0	0.37	547.75	583.07	267.73	376.41	212.78	305.55	320.8	316.37	309.83
B3GNT4	2.58	4.74	0.82	1.0	0.0	0.38	29.27	146.03	8.92	77.79	9.13	13.72	24.11	8.92	11.82
BOP1	529.06	395.18	361.04	346.29	0.0	0.85	808.0	1757.34	607.87	1008.9	575.03	775.05	409.15	660.68	733.19
BRICD5	16.51	10.79	2.07	15.68	0.0	1.2	209.84	334.46	146.03	224.97	38.67	81.14	59.13	36.01	88.88
