	TCGA.BL.A5ZZ.01A.31R.A30C.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.DD.A1EC.01A.21R.A131.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.5R.AA1D.01A.11R.A38B.07	TCGA.ED.A7PX.01A.51R.A352.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.55.8208.01A.11R.2241.07	TCGA.86.7701.01A.11R.2170.07	TCGA.50.5072.01A.21R.1858.07	GTEX.144GN.0426.SM.5O9AP	GTEX.UPK5.1126.SM.3GAEJ	TCGA.39.5022.01A.21R.1820.07	TCGA.21.1076.01A.01R.0692.07
AARS	1378.57	1639.59	1313.23	1447.15	2133.97	2178.83	1467.37	1519.15	1135.2	1388.16	1519.15	3794.3	1551.09	1242.34	1066.48	813.63	1008.9	1350.18	878.17	769.69	902.89	791.35	1572.76	808.0	1111.82	1519.15	1350.18	802.41	981.29	1143.1	1340.84	1135.2	1183.45	753.83	1909.85	1216.75	1183.45	1242.34	1059.11	961.07	921.88	830.75	1617.0	2835.7	2895.31	2351.53	1757.34	1806.78	1397.83
ACTR3	4095.0	3982.99	6164.49	1135.2	2303.12	1923.14	1268.46	1617.0	2018.8	1508.65	1561.89	3349.13	1175.27	1159.07	915.51	395.18	791.35	389.72	764.36	438.59	518.15	387.02	1023.0	486.75	748.61	587.13	612.11	376.41	525.39	780.44	647.07	607.87	825.0	325.29	890.44	703.28	693.58	633.73	934.76	723.08	591.22	629.35	4419.52	3349.13	4671.57	4639.29	4736.79	4358.66	4802.93
ADCK1	197.09	169.07	175.07	118.43	173.85	136.19	191.67	172.65	260.38	180.02	127.0	141.02	136.19	135.24	84.63	59.55	100.13	82.87	152.28	90.14	38.12	85.82	94.67	52.45	90.14	103.69	85.22	123.5	143.01	90.77	136.19	159.9	67.12	120.94	121.79	96.01	116.78	133.36	99.43	134.3	108.9	87.03	180.02	120.1	158.79	206.94	170.25	178.77	169.07
AGFG1	1331.57	1277.29	1583.71	665.29	1350.18	1331.57	665.29	934.76	902.89	796.86	866.07	947.83	540.19	543.96	381.68	264.03	379.04	220.32	438.59	223.41	287.01	186.4	587.13	209.84	262.2	409.15	323.03	224.97	291.04	361.04	368.65	361.04	244.57	218.79	438.59	460.44	412.0	463.65	363.56	339.14	256.78	320.8	1457.23	1923.14	2739.08	1159.07	1769.57	1733.13	1427.22
AGGF1	267.73	305.55	417.77	185.11	327.56	264.03	253.23	239.52	231.32	189.02	221.86	351.14	232.94	221.86	158.79	138.1	111.21	111.21	137.14	140.04	152.28	133.36	165.57	133.36	134.3	147.06	128.79	125.24	143.01	127.0	146.03	157.68	167.9	129.69	177.53	112.77	135.24	115.16	201.25	159.9	150.17	153.34	236.21	285.03	320.8	316.37	323.03	297.17	246.28
ANAPC13	2004.85	1628.26	1883.54	1397.83	1709.26	1340.84	1233.75	1628.26	1183.45	1001.93	1605.83	1781.89	1277.29	1594.73	1151.06	780.44	890.44	559.28	1015.93	830.75	1151.06	896.64	1183.45	854.13	1378.57	1015.93	1313.23	967.76	1135.2	1111.82	813.63	1268.46	1135.2	941.27	1950.0	941.27	860.08	698.41	1540.37	1250.98	775.05	981.29	1721.16	1407.55	1447.15	1639.59	2209.26	1819.35	1605.83
APOC1	2367.9	138544.47	38164.99	492579.5	434801.29	375901.76	535303.41	280957.98	23656.34	318292.9	334117.42	75803.72	585779.24	682276.92	2748093.15	1800541.22	1679964.3	1715263.94	2310861.52	1775752.63	2310861.52	2654482.97	3178687.03	2691538.19	3430528.88	4526610.31	2375828.71	3576208.94	2924988.47	5809569.18	1838374.44	2511293.86	6719860.18	2672946.37	1691649.38	2294899.22	2748093.15	2599854.48	2904784.09	3702323.71	3968052.37	3626130.97	31870.96	3614.55	9876.98	38164.99	20593.91	9673.69	82378.63
ARL1	1572.76	1883.54	2104.58	866.07	1340.84	1508.65	1467.37	1369.04	1594.73	1127.35	1322.37	3168.41	1286.18	1233.75	915.51	447.82	698.41	624.99	890.44	540.19	698.41	507.46	1059.11	473.41	1008.9	698.41	1037.29	791.35	674.59	796.86	764.36	703.28	723.08	486.75	981.29	860.08	954.43	825.0	1104.13	830.75	775.05	728.11	1697.45	2739.08	2855.44	2591.27	2287.2	1572.76	1447.15
ARMC10	830.75	961.07	872.1	547.75	669.92	559.28	571.05	785.88	878.17	532.74	791.35	629.35	674.59	633.73	500.46	343.89	420.68	232.94	432.53	361.04	540.19	373.81	567.1	384.34	708.18	525.39	518.15	438.59	518.15	490.14	483.38	438.59	551.56	490.14	703.28	457.25	525.39	547.75	842.36	444.72	460.44	738.29	518.15	1111.82	743.43	769.69	928.3	651.58	1143.1
ARPC2	10883.59	8778.97	11035.54	2739.08	5112.16	3742.05	2537.92	3982.99	4038.61	3955.48	3928.15	5006.93	2384.37	2855.44	2645.74	981.29	1417.35	967.76	1397.83	1359.57	1674.06	1477.58	1923.14	1259.69	1963.57	1313.23	1819.35	1304.15	1340.84	2417.67	1286.18	1794.29	1407.55	1159.07	2895.31	1794.29	1651.0	2075.59	2367.9	1769.57	1437.15	1407.55	8538.88	6561.36	6121.9	9474.59	12244.81	7589.61	9088.59
