	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.1128S.0726.SM.5N9D6	GTEX.13QJC.0526.SM.5RQKB	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.13PL7.1726.SM.5J2NX	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.1399U.0826.SM.5KM1P	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.13OW8.1726.SM.5L3GO	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.ET.A39P.01A.21R.A19O.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.FY.A40L.01A.11R.A23N.07
ACSL1	0.0	0.31	3443.31	4268.94	1417.35	2119.22	4239.45	2645.74	2758.13	5633.22	2209.26	2895.31	2468.49	2664.15	4419.52	2935.74	4607.24	2468.49	4575.41	6294.04	2178.83	902.89	10440.2	6887.62	3690.52	1628.26	2224.63	2018.8	3060.45	1896.65	3540.14	2133.97	6164.49	3103.19	3515.68	2682.69	8191.0	830.75	1059.11	426.57	954.43	902.89	684.02	866.07	1605.83	878.17	753.83	1313.23	941.27	921.88	1059.11
AMZ1	0.0	0.0	4.74	6.73	3.32	32.59	5.92	42.71	6.73	15.56	40.36	11.47	8.45	8.99	6.31	8.0	3.72	8.45	17.0	6.84	9.78	5.32	9.63	11.91	87.03	40.64	54.72	4.28	5.15	4.58	6.84	2.05	43.02	9.7	10.08	8.19	63.0	0.51	0.82	1.6	1.73	2.03	1.62	0.47	5.68	2.05	1.27	2.56	1.99	3.35	2.07
ANKRD9	0.0	0.52	96.68	45.21	94.01	129.69	143.01	118.43	161.02	314.17	120.1	142.01	208.38	154.42	65.72	63.0	206.94	136.19	128.79	373.81	85.22	136.19	226.54	387.02	251.48	256.78	267.73	111.99	48.52	172.65	67.12	45.85	205.5	127.0	91.41	111.99	575.03	87.65	69.52	43.02	124.37	62.56	36.79	53.19	44.25	48.18	70.01	23.25	59.55	49.91	62.56
ARID5A	0.0	0.0	1757.34	575.03	521.76	1378.57	1781.89	1208.34	525.39	2255.7	703.28	599.49	624.99	753.83	371.22	450.94	947.83	603.67	1340.84	1977.24	486.75	583.07	1697.45	1487.87	1073.91	1697.45	967.76	1674.06	587.13	780.44	723.08	470.14	1081.39	909.17	540.19	1023.0	1208.34	234.57	258.57	309.83	376.41	229.72	258.57	275.28	120.94	193.01	373.81	164.42	232.94	293.07	332.14
ASAP1	228.13	249.73	525.39	241.19	703.28	507.46	1008.9	423.61	423.61	1417.35	277.2	412.0	262.2	406.31	323.03	450.94	688.78	397.93	808.0	866.07	366.09	208.38	896.64	1369.04	693.58	476.71	612.11	525.39	343.89	507.46	483.38	194.36	269.6	536.45	514.56	336.79	703.28	301.33	248.0	277.2	242.88	265.87	400.71	178.77	167.9	307.69	228.13	218.79	218.79	329.84	283.05
ASTL	0.0	0.18	8.13	0.64	3.89	7.34	4.39	2.61	1.3	7.17	0.14	1.5	1.5	5.02	0.85	1.2	12.83	0.32	4.54	10.71	0.47	0.0	6.11	15.11	3.41	3.26	6.21	11.55	1.17	2.27	2.34	0.71	11.64	4.39	2.23	1.23	20.71	0.68	0.0	0.0	0.0	2.48	0.0	0.64	0.0	0.66	1.28	0.59	0.0	0.61	0.0
BCL6	423.61	902.89	1977.24	718.08	1044.52	1529.73	3190.46	2178.83	1208.34	3372.43	1023.0	1457.23	733.19	1286.18	1008.9	1551.09	1950.0	1175.27	4123.49	2434.5	1081.39	336.79	4575.41	2855.44	2104.58	1662.49	1685.71	1769.57	988.12	1572.76	1417.35	651.58	2032.85	1819.35	1037.29	1051.79	2609.3	507.46	432.53	406.31	555.41	395.18	775.05	332.14	135.24	493.56	303.44	447.82	395.18	775.05	559.28
BTG1	0.0	0.6	1832.01	3419.52	3349.13	3639.7	3639.7	6037.61	3768.09	4450.27	2485.67	4181.07	2835.7	2485.67	2777.33	2367.9	3589.58	2351.53	1628.26	4512.4	2287.2	1350.18	9474.59	11584.24	3690.52	2796.65	5954.47	2133.97	2720.15	2075.59	1651.0	2287.2	4239.45	2627.46	2627.46	3874.05	16496.96	1159.07	775.05	981.29	1111.82	665.29	825.0	791.35	503.95	718.08	896.64	1151.06	1073.91	915.51	967.76
CEBPB	1467.37	1277.29	2682.69	2032.85	1977.24	3901.01	2400.97	3018.3	3491.39	4671.57	3467.27	3081.75	4038.61	1697.45	1104.13	1498.22	3060.45	1991.0	2935.74	5441.3	698.41	802.41	11345.82	3039.3	1721.16	1883.54	1304.15	2573.36	1159.07	2502.97	2178.83	1104.13	3303.0	2915.45	1447.15	1487.87	6516.03	1001.93	775.05	1295.13	1250.98	738.29	679.29	1127.35	441.64	825.0	1407.55	988.12	728.11	934.76	995.0
CLMN	194.36	37.05	127.89	55.89	63.89	88.88	75.64	112.77	141.02	281.09	155.5	108.14	90.77	104.42	85.82	140.04	123.5	215.77	95.34	358.54	130.6	100.13	947.83	483.38	507.46	88.88	414.87	125.24	100.13	94.67	110.43	94.01	128.79	172.65	167.9	127.0	583.07	53.57	51.35	29.06	36.79	48.18	28.24	31.45	24.28	29.7	29.06	52.82	13.93	53.19	40.07
CLN8	0.0	0.4	384.34	279.14	275.28	567.1	438.59	258.57	170.25	403.5	356.05	264.03	253.23	255.0	220.32	237.86	206.94	279.14	312.0	500.46	215.77	301.33	325.29	1350.18	796.86	656.11	575.03	264.03	318.57	255.0	423.61	218.79	397.93	356.05	409.15	507.46	1037.29	166.73	115.16	138.1	141.02	132.44	157.68	120.94	127.0	154.42	145.02	176.29	133.36	127.89	144.01
CSF3	0.0	0.0	2976.74	325.29	102.97	808.0	1721.16	5112.16	83.45	36357.37	214.27	277.2	204.07	190.34	178.77	34.51	1104.13	170.25	4802.93	14867.79	62.56	90.77	4038.61	412.0	151.22	1037.29	387.02	759.08	56.28	473.41	187.71	74.58	5255.91	2303.12	149.12	193.01	1277.29	0.62	0.0	0.58	1.08	0.0	1.89	2.73	0.0	4.17	1.91	22.26	0.0	0.0	13.52
CSGALNACT2	0.0	0.64	376.41	376.41	417.77	209.84	490.14	379.04	277.2	748.61	295.11	417.77	406.31	246.28	356.05	329.84	599.49	325.29	825.0	665.29	303.44	146.03	819.3	825.0	246.28	392.44	423.61	336.79	426.57	341.51	444.72	265.87	414.87	748.61	708.18	183.82	1044.52	323.03	269.6	211.31	244.57	279.14	283.05	191.67	104.42	242.88	214.27	237.86	287.01	251.48	334.46
