	TCGA.KL.8342.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.DW.5561.01A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.38.4625.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07	TCGA.EM.A2OV.01A.11R.A206.07	TCGA.FY.A3TY.11A.12R.A22U.07	GTEX.W5X1.0426.SM.3GILB	GTEX.11NSD.0126.SM.5987F	GTEX.13U4I.0526.SM.5LU59	GTEX.12WSD.0926.SM.5GCNL	GTEX.13112.0326.SM.5P9IW
AARS2	153.34	198.47	132.44	106.63	165.57	113.56	66.65	128.79	197.09	21.32	244.57	79.45	0.0	16.75	153.34	164.42	191.67	186.4	181.28	182.55	212.78
AC092850.1	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.32	0.0	0.0	0.0	8.65	9.13	17.9	3.89	18.29	13.32	14.14
AC139426.2	2.39	5.23	5.11	0.0	7.22	2.43	1.87	0.77	3.53	0.0	33.06	0.0	0.0	0.0	21.47	106.63	117.6	60.82	45.53	37.85	59.97
AL627171.2	2.78	0.0	1.55	0.0	2.32	0.41	0.39	1.89	0.72	0.0	6.11	2.78	0.0	0.0	3.17	4.17	10.63	3.17	7.46	5.82	3.96
ANAPC7	555.41	575.03	555.41	363.56	679.29	651.58	591.22	595.34	703.28	447.82	1639.59	476.71	0.0	563.18	1167.14	1127.35	988.12	909.17	967.76	1023.0	1066.48
ARHGAP39	33.78	54.33	57.89	12.18	37.85	49.91	13.12	14.35	59.97	2.81	105.89	8.45	0.0	6.67	98.04	204.07	120.94	251.48	158.79	206.94	265.87
ARID4A	120.94	107.38	128.79	62.56	118.43	88.88	42.71	108.14	125.24	41.81	190.34	52.82	0.0	49.56	180.02	301.33	392.44	279.14	295.11	299.25	281.09
ATM	149.12	143.01	154.42	78.34	212.78	267.73	93.35	223.41	218.79	339.14	346.29	83.45	0.0	70.51	289.02	486.75	698.41	500.46	486.75	563.18	476.71
BANF2	7.34	0.0	8.85	50.98	0.0	2.36	0.0	0.0	0.0	0.0	5.96	0.0	0.0	0.0	4.7	35.0	88.88	59.13	56.28	18.29	255.0
BAZ2B	190.34	127.0	214.27	97.36	115.16	172.65	55.1	69.03	212.78	21.32	389.72	65.72	0.0	40.07	417.77	642.59	733.19	878.17	830.75	688.78	693.58
BIRC6	299.25	248.0	551.56	206.94	295.11	281.09	140.04	314.17	454.09	75.64	679.29	234.57	0.0	98.73	587.13	723.08	1008.9	674.59	674.59	733.19	674.59
BTRC	72.52	76.17	182.55	126.12	94.67	226.54	56.68	97.36	117.6	27.44	170.25	80.57	0.0	56.28	177.53	218.79	271.48	287.01	199.85	208.38	221.86
C9orf131	1.2	4.1	3.56	0.34	5.92	0.83	0.77	1.51	8.45	0.0	10.24	0.0	0.0	0.0	5.82	7.82	2.39	11.47	2.94	7.34	17.51
CARF	49.56	31.45	187.71	159.9	92.7	149.12	148.09	84.04	58.3	105.15	164.42	10.96	0.0	25.54	231.32	320.8	373.81	249.73	244.57	361.04	295.11
CBFA2T2	169.07	228.13	193.01	84.04	138.1	229.72	74.58	166.73	204.07	24.63	291.04	48.18	0.0	21.01	281.09	387.02	320.8	314.17	341.51	339.14	314.17
CCDC41	60.39	60.82	86.43	55.1	86.43	87.65	40.93	55.49	133.36	12.93	244.57	81.71	0.0	42.41	169.07	309.83	409.15	175.07	206.94	339.14	303.44
CCDC93	135.24	202.66	155.5	90.14	165.57	126.12	64.34	232.94	241.19	24.28	633.73	90.77	406.31	44.57	423.61	559.28	563.18	493.56	476.71	511.0	460.44
CLDN20	0.0	0.38	1.77	5.41	2.94	1.2	0.0	0.0	1.39	0.0	11.47	0.83	0.0	0.0	5.82	12.45	8.32	6.62	7.88	3.89	6.94
CNTF	5.11	6.62	6.21	6.57	2.94	14.67	1.85	9.63	5.87	0.78	17.38	2.81	0.0	2.23	10.96	10.96	10.96	9.27	11.3	9.27	16.63
COL4A3	117.6	110.43	329.84	62.56	234.57	656.11	114.36	190.34	417.77	45.53	612.11	34.51	0.0	0.0	642.59	1037.29	775.05	567.1	647.07	1359.57	813.63
DDX25	7.0	0.0	165.57	193.01	4.21	129.69	5.45	6.94	0.0	1.91	22.1	0.61	0.0	0.0	17.77	143.01	423.61	241.19	224.97	271.48	450.94
DGKD	65.26	62.56	28.04	27.64	59.55	52.08	35.0	55.49	117.6	9.63	373.81	115.97	0.0	13.52	373.81	414.87	305.55	387.02	387.02	466.88	397.93
DNAJC27	26.67	48.87	108.14	92.05	57.08	121.79	63.89	107.38	63.89	27.64	102.97	16.15	0.0	12.18	109.66	118.43	193.01	111.99	144.01	148.09	156.59
DST	1519.15	1651.0	1757.34	1135.2	1794.29	743.43	403.5	1733.13	2255.7	229.72	3303.0	480.04	0.0	351.14	708.18	1183.45	2502.97	1277.29	1757.34	3303.0	1733.13
EP400	126.12	150.17	154.42	61.25	108.14	104.42	17.9	96.01	106.63	7.88	228.13	50.63	121.79	16.51	181.28	305.55	346.29	267.73	297.17	239.52	312.0
FAM228B	71.0	19.82	463.65	500.46	114.36	202.66	371.22	30.12	260.38	70.51	607.87	65.72	0.0	82.29	368.65	395.18	551.56	438.59	454.09	514.56	441.64
FGF17	0.46	2.36	0.39	0.0	1.41	1.73	0.44	0.0	5.11	0.0	29.7	1.17	0.0	0.0	18.56	89.51	56.28	149.12	81.14	66.18	50.98
FXYD2	301123.38	284880.02	520665.48	851707.37	378516.38	482442.34	520665.48	331809.5	263966.36	627822.72	48982.22	593956.43	0.0	26.86	20.71	23.93	31.67	7.51	67.59	77.25	44.57
GGTLC1	0.0	0.0	39.22	4.86	0.0	0.0	0.0	0.0	4.13	0.0	12.36	3.79	0.0	0.0	13.32	123.5	35.5	67.12	39.5	48.87	35.5
GOLGA8B	164.42	351.14	66.65	8.0	559.28	122.64	48.87	187.71	460.44	20.26	2178.83	201.25	0.0	12.0	1268.46	7695.57	7749.1	5672.41	2875.3	5219.6	1628.26
GOLGA8K	1.97	1.11	0.0	0.0	8.19	5.23	0.0	3.35	15.68	0.0	27.44	2.23	0.0	0.0	19.39	54.33	49.21	39.22	54.33	61.25	25.35
GOLGA8T	2.78	1.51	2.39	0.0	5.28	3.66	2.25	4.5	14.67	0.0	26.28	0.0	0.0	0.0	17.9	59.55	77.25	25.17	47.5	44.57	33.78
GREB1L	0.0	3.26	41.81	1.6	0.96	0.39	2.89	0.0	7.82	0.0	54.72	9.27	0.0	0.0	39.22	108.9	94.01	66.65	44.25	137.14	82.87
HBE1	0.82	0.0	8.45	0.8	0.0	1.23	1.87	0.0	2.12	0.0	7.11	7.17	0.0	0.0	6.46	9.2	8.92	5.54	2.36	3.23	6.16
HEATR5B	74.58	52.82	157.68	79.45	91.41	120.1	52.45	60.82	145.02	13.93	244.57	54.33	0.0	23.25	248.0	277.2	323.03	283.05	275.28	277.2	285.03
HECTD4	379.04	444.72	525.39	147.06	287.01	301.33	84.63	291.04	406.31	70.01	848.22	208.38	0.0	32.59	693.58	890.44	884.29	738.29	738.29	878.17	884.29
ICA1L	11.47	17.51	78.89	17.64	25.17	39.79	55.89	6.78	52.08	1.2	217.27	8.06	47.5	13.62	100.13	208.38	164.42	141.02	127.0	215.77	199.85
ID4	70.01	118.43	13123.73	1331.57	78.89	1216.75	45.85	141.02	563.18	44.57	4769.75	74.06	0.0	11.21	3742.05	7331.05	9474.59	10084.54	4575.41	8778.97	10808.41
IGSF1	1.58	0.39	17.25	2.56	0.0	1.22	1.13	1.87	18.16	0.4	43.94	1.33	0.0	2.51	40.93	201.25	148.09	69.52	110.43	34.51	186.4
ITPR3	45.85	267.73	185.11	73.54	132.44	339.14	88.88	35.5	43.02	7.51	1066.48	126.12	0.0	105.89	1378.57	1304.15	708.18	733.19	607.87	642.59	1008.9
KIAA1009	37.59	33.3	158.79	63.0	69.03	68.55	53.95	40.36	67.12	7.46	412.0	28.86	0.0	6.94	129.69	208.38	291.04	187.71	175.07	209.84	224.97
KIAA1257	3.92	1.1	13.32	6.89	3.26	9.56	6.57	1.11	3.79	1.93	21.16	9.34	0.0	6.62	11.64	10.31	12.0	12.27	14.14	12.36	17.0
KIAA1731	69.03	87.03	92.7	68.55	105.89	69.03	55.89	47.5	77.79	17.64	185.11	35.25	0.0	19.53	182.55	239.52	323.03	173.85	195.72	236.21	204.07
KMT2E	253.23	244.57	400.71	353.59	265.87	314.17	142.01	273.37	186.4	33.3	521.76	144.01	246.28	301.33	480.04	775.05	718.08	651.58	738.29	642.59	674.59
LHX4	0.83	1.91	2.36	2.56	2.68	4.1	0.4	1.91	4.94	0.0	9.85	1.95	0.0	0.0	6.46	31.45	31.9	19.39	21.78	22.92	18.56
MDC1	134.3	186.4	314.17	162.14	301.33	295.11	120.1	148.09	409.15	22.26	551.56	146.03	0.0	105.15	470.14	928.3	693.58	688.78	728.11	941.27	902.89
MDN1	127.0	152.28	447.82	96.68	158.79	91.41	82.29	93.35	253.23	58.71	563.18	629.35	0.0	67.59	450.94	693.58	1104.13	669.92	583.07	679.29	674.59
MON2	346.29	329.84	409.15	105.89	403.5	221.86	81.14	384.34	262.2	66.65	674.59	180.02	0.0	111.21	444.72	775.05	1250.98	497.0	656.11	842.36	698.41
NAA25	77.79	66.65	102.25	42.41	124.37	84.63	42.11	84.63	94.01	31.9	212.78	31.67	0.0	70.51	149.12	242.88	287.01	172.65	193.01	275.28	205.5
NANOG	0.8	1.5	1.5	1.57	3.92	0.41	0.74	0.39	4.17	0.0	7.75	0.0	0.0	0.0	3.66	1.75	5.92	4.46	0.71	4.7	3.26
NBPF10	78.34	87.65	236.21	56.68	37.85	97.36	25.72	65.26	332.14	10.0	802.41	183.82	0.0	25.91	409.15	647.07	1088.92	638.15	665.29	780.44	616.37
NMBR	0.39	0.0	0.0	0.0	0.0	0.79	3.26	0.0	0.0	0.75	3.32	0.0	0.0	0.0	1.07	5.11	0.0	2.32	4.24	2.27	5.63
NR2C1	293.07	279.14	486.75	145.02	460.44	299.25	249.73	381.68	497.0	165.57	1001.93	339.14	0.0	215.77	629.35	1104.13	921.88	830.75	878.17	1015.93	954.43
OR2A7	148.09	37.85	84.04	147.06	64.34	176.29	31.22	41.81	36.79	5.41	226.54	1.38	0.0	8.13	105.15	226.54	221.86	260.38	85.22	303.44	295.11
OR51B4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68	0.0	0.0	0.0	1.53	0.92	2.76	0.91	2.12	0.0	3.56
ORC2	102.25	77.79	133.36	59.55	110.43	123.5	110.43	77.25	154.42	22.59	320.8	84.04	248.0	108.14	281.09	507.46	447.82	373.81	363.56	511.0	457.25
PCLO	66.18	37.85	157.68	127.0	65.26	208.38	15.91	108.14	43.63	2.73	228.13	0.45	0.0	0.41	116.78	175.07	226.54	208.38	89.51	253.23	255.0
PGAP3	406.31	660.68	941.27	305.55	660.68	426.57	612.11	353.59	708.18	490.14	934.76	497.0	0.0	271.48	764.36	884.29	902.89	915.51	941.27	1037.29	1111.82
PHIP	56.28	41.52	122.64	39.5	73.03	54.72	41.81	53.19	82.29	21.94	258.57	28.86	117.6	34.51	167.9	260.38	363.56	204.07	246.28	307.69	231.32
