	TCGA.D8.A145.01A.11R.A115.07	TCGA.AC.A2FK.01A.12R.A180.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07
ACTR3	2835.7	2935.74	3955.48	2701.35	665.29	753.83	785.88	612.11	466.88	2004.85	2520.38	961.07	1844.76	1331.57	1250.98	2351.53
AL357673.1	100.83	67.12	44.57	34.51	27.44	21.63	24.63	12.74	7.82	98.73	91.41	28.86	123.5	74.58	30.78	63.89
ALX4	52.45	132.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.55	49.21	1.75	7.0	15.45	0.67	13.22
ANKRD13A	547.75	902.89	2004.85	878.17	323.03	211.31	312.0	145.02	169.07	470.14	728.11	246.28	457.25	587.13	438.59	490.14
ANP32A	4575.41	3955.48	5255.91	2682.69	1745.2	2384.37	2104.58	1519.15	1359.57	4239.45	3443.31	2956.17	4769.75	3982.99	3491.39	3794.3
ARHGEF11	476.71	457.25	97.36	138.1	193.01	151.22	223.41	136.19	123.5	371.22	503.95	226.54	366.09	387.02	209.84	325.29
ARNT2	638.15	226.54	1.31	3.26	2.07	4.82	2.63	6.62	9.7	327.56	285.03	110.43	151.22	162.14	122.64	194.36
ASAP3	521.76	624.99	293.07	1175.27	348.71	429.54	514.56	183.82	95.34	1051.79	854.13	343.89	842.36	915.51	748.61	1191.69
BAG5	521.76	638.15	723.08	583.07	113.56	102.97	87.65	133.36	100.13	435.55	450.94	218.79	414.87	379.04	289.02	334.46
C14orf132	202.66	211.31	5.11	68.07	39.5	37.32	37.85	28.65	16.75	110.43	178.77	27.25	63.45	141.02	45.53	85.82
C2orf49	267.73	373.81	209.84	167.9	130.6	152.28	92.7	64.34	56.68	305.55	285.03	175.07	307.69	221.86	166.73	177.53
CCDC120	234.57	325.29	1104.13	967.76	146.03	241.19	76.71	75.64	46.18	220.32	325.29	166.73	271.48	273.37	204.07	237.86
CCDC23	769.69	866.07	279.14	1088.92	473.41	406.31	559.28	387.02	191.67	830.75	665.29	536.45	603.67	624.99	480.04	703.28
CCP110	339.14	295.11	108.9	74.06	35.5	17.77	23.93	33.54	10.24	186.4	295.11	100.83	206.94	163.28	74.58	79.45
CDC42BPB	1208.34	1119.56	1721.16	775.05	420.68	514.56	412.0	409.15	379.04	1044.52	1233.75	738.29	1111.82	1457.23	733.19	1127.35
CDH10	6.06	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.01	232.94	4.17	105.15	41.81	22.26	59.13
CDK2	638.15	633.73	1259.69	262.2	181.28	134.3	214.27	239.52	251.48	679.29	595.34	353.59	607.87	463.65	269.6	376.41
CDK4	3443.31	2468.49	1977.24	3303.0	1111.82	1662.49	1313.23	1388.16	1167.14	3491.39	2875.3	3060.45	3928.15	3443.31	2417.67	3257.52
CDR2	563.18	514.56	120.94	187.71	156.59	181.28	281.09	191.67	148.09	353.59	429.54	312.0	426.57	414.87	309.83	450.94
CELF1	1199.98	1167.14	620.67	500.46	412.0	323.03	395.18	567.1	591.22	1059.11	1199.98	483.38	878.17	723.08	507.46	693.58
CIC	1427.22	947.83	603.67	638.15	447.82	518.15	607.87	497.0	466.88	624.99	1030.12	497.0	511.0	764.36	543.96	748.61
CSDE1	7081.29	9088.59	4210.15	5147.73	1896.65	2090.03	2004.85	2075.59	1551.09	8078.22	7857.29	2976.74	6294.04	6294.04	4358.66	5633.22
CXorf56	379.04	432.53	220.32	429.54	132.44	145.02	170.25	127.0	127.89	271.48	293.07	218.79	314.17	366.09	248.0	273.37
DCAF5	947.83	785.88	490.14	444.72	373.81	253.23	194.36	332.14	232.94	660.68	854.13	299.25	629.35	591.22	406.31	476.71
DDX23	1617.0	1733.13	791.35	1051.79	733.19	866.07	559.28	616.37	633.73	1119.56	1467.37	921.88	1651.0	1340.84	872.1	1037.29
DIDO1	890.44	941.27	248.0	753.83	218.79	269.6	209.84	228.13	193.01	802.41	1096.5	269.6	860.08	780.44	624.99	954.43
