	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.T2IS.1526.SM.32QPR	GTEX.ZF29.1926.SM.5S2P1	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11NV4.1326.SM.5HL6V	GTEX.145LU.1326.SM.5LU9N	GTEX.SJXC.1226.SM.4DM78	TCGA.38.4625.01A.01R.1206.07.1
ACER2	45.85	77.79	134.3	41.81	79.45	95.34	87.03	25.72	42.71	80.01	131.51	15.91	120.94	37.85	190.34	108.9	181.28	59.97	111.99	48.87	50.98	100.83	122.64	206.94	11.91	301.33	47.84	497.0	4.7	1.91	9.27	3.72	8.65	12.74	2.46	3.44	8.13	4.28	0.03
ALG11	55.49	133.36	180.02	134.3	112.77	323.03	197.09	175.07	102.97	120.1	209.84	88.26	136.19	149.12	297.17	220.32	180.02	144.01	457.25	403.5	457.25	547.75	224.97	173.85	102.25	361.04	173.85	255.0	41.52	24.99	44.25	25.91	44.57	52.08	26.47	46.5	58.3	24.99	0.13
AP5B1	73.54	85.22	87.65	139.07	130.6	126.12	99.43	75.11	68.07	108.14	108.9	134.3	130.6	69.03	137.14	169.07	125.24	70.51	126.12	153.34	157.68	177.53	102.97	56.28	112.77	58.71	121.79	91.41	38.4	25.17	38.4	52.82	46.5	33.54	63.89	43.63	28.24	35.76	0.09
ARMCX5	173.85	249.73	262.2	162.14	205.5	493.56	181.28	291.04	195.72	271.48	351.14	173.85	228.13	101.54	348.71	316.37	267.73	332.14	397.93	423.61	303.44	395.18	258.57	256.78	218.79	366.09	275.28	332.14	81.14	83.45	85.82	82.87	97.36	78.34	49.56	108.14	86.43	94.01	0.32
ASXL2	62.56	111.21	153.34	82.87	78.89	249.73	186.4	281.09	98.73	91.41	137.14	94.01	138.1	88.26	346.29	234.57	191.67	197.09	447.82	244.57	144.01	395.18	138.1	122.64	53.19	218.79	96.68	281.09	42.41	30.12	30.78	26.1	27.44	38.12	18.84	19.11	45.21	31.9	0.34
ATXN1L	131.51	111.21	236.21	96.68	167.9	258.57	231.32	438.59	226.54	201.25	301.33	164.42	323.03	93.35	536.45	486.75	400.71	275.28	525.39	463.65	497.0	780.44	249.73	194.36	100.13	327.56	289.02	384.34	87.03	70.51	58.3	66.18	48.87	55.89	86.43	56.28	55.49	53.57	0.4
BAG5	281.09	454.09	441.64	193.01	348.71	616.37	429.54	327.56	376.41	329.84	536.45	271.48	476.71	191.67	708.18	693.58	674.59	429.54	674.59	796.86	607.87	813.63	379.04	409.15	412.0	607.87	490.14	599.49	163.28	122.64	136.19	133.36	119.26	134.3	151.22	132.44	146.03	129.69	0.43
BCLAF1	808.0	1159.07	1540.37	934.76	1015.93	2178.83	1551.09	2303.12	842.36	1111.82	1529.73	775.05	1487.87	1397.83	2915.45	2271.4	1529.73	2451.44	2434.5	2335.28	2895.31	2645.74	2133.97	1427.22	693.58	1963.57	1208.34	2591.27	543.96	343.89	363.56	309.83	325.29	348.71	226.54	529.06	438.59	260.38	0.74
C22orf29	406.31	320.8	176.29	159.9	275.28	293.07	239.52	204.07	231.32	199.85	141.02	299.25	454.09	293.07	409.15	271.48	379.04	339.14	356.05	343.89	426.57	323.03	246.28	124.37	271.48	159.9	244.57	206.94	43.94	63.45	59.97	46.84	52.82	126.12	90.14	51.35	44.25	48.52	0.34
CANX	3901.01	8901.53	15075.35	6471.02	3257.52	8247.98	7589.61	9673.69	5219.6	5517.27	11345.82	6381.92	6699.25	14765.09	10154.69	8134.41	7589.61	6121.9	9279.58	6381.92	6471.02	8421.31	3081.75	6935.54	4419.52	12764.83	5329.3	9945.68	3639.7	2720.15	2133.97	2451.44	4450.27	3280.18	2240.11	2133.97	2104.58	2255.7	1242.34
