	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.W5.AA2I.11A.11R.A41I.07	GTEX.XBEW.1926.SM.4SOJO	TCGA.CV.6939.11A.01R.1915.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.Y5V6.2026.SM.5IFHO	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.2Z.A9JO.01A.11R.A42S.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.MR.A520.01A.11R.A266.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.G3.A3CI.01A.11R.A213.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13N2G.0926.SM.5IFGJ	GTEX.11DXY.0526.SM.5EGGQ	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.D7.8578.01A.21R.2343.13	TCGA.R5.A805.01A.11R.A36D.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.HU.A4H6.01A.11R.A251.31	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.D7.A6F2.01A.12R.A31P.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.IN.8462.01A.11R.2343.13	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CD.8534.01A.11R.2343.13	TCGA.VQ.A8PM.01A.21R.A414.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.HU.8244.01A.11R.2343.13	TCGA.HU.8238.01A.11R.2343.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.13113.0726.SM.5LZUF	GTEX.VJYA.1026.SM.4KL21	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.ZVP2.1626.SM.5GU5D	GTEX.ZF2S.1426.SM.57WET	GTEX.1122O.1926.SM.5EGIQ	GTEX.ZXES.1426.SM.5NQ8S	GTEX.Y5V6.1326.SM.4VDTF	GTEX.13FH7.1026.SM.5IJGF	GTEX.Y8LW.0826.SM.4WWDO	GTEX.S4UY.1626.SM.4AD55	GTEX.V1D1.1726.SM.4JBHB	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.BJ.A45E.01A.11R.A32Y.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07
AAK1	29.48	19.25	20.26	148.09	102.97	39.22	59.97	52.08	239.52	153.34	52.08	94.67	5.77	162.14	181.28	182.55	76.17	58.3	82.29	75.64	149.12	115.16	133.36	74.06	151.22	94.67	26.86	30.34	24.99	64.8	39.22	41.52	24.28	23.08	22.43	13.32	31.0	14.35	63.89	7.75	20.56	5.32	12.09	68.07	27.64	27.25	18.7	13.22	22.26	7.22	12.27	19.39	21.47	379.04	334.46	275.28	473.41	529.06	303.44	409.15	320.8	118.43	275.28	884.29	205.5	134.3	412.0	343.89	244.57	316.37	327.56	307.69	223.41	217.27	376.41	361.04	231.32	265.87	316.37	217.27	217.27	128.79	320.8	244.57	303.44	297.17	438.59	332.14	190.34	104.42	69.52	61.68	157.68	54.72	50.27	115.16	180.02	47.84	90.77	133.36	81.14	70.01	124.37
ANKLE2	376.41	297.17	733.19	473.41	381.68	423.61	381.68	466.88	435.55	346.29	599.49	529.06	163.28	559.28	684.02	277.2	981.29	301.33	486.75	353.59	441.64	476.71	389.72	454.09	432.53	775.05	476.71	323.03	336.79	435.55	231.32	316.37	295.11	358.54	318.57	187.71	264.03	236.21	309.83	260.38	384.34	346.29	229.72	406.31	285.03	223.41	275.28	346.29	395.18	287.01	281.09	277.2	239.52	1233.75	1143.1	684.02	1073.91	684.02	1051.79	638.15	1001.93	470.14	909.17	791.35	651.58	1159.07	934.76	974.5	536.45	775.05	848.22	1844.76	493.56	780.44	309.83	529.06	473.41	669.92	426.57	563.18	866.07	579.04	679.29	1051.79	285.03	567.1	571.05	579.04	624.99	647.07	571.05	902.89	444.72	616.37	616.37	698.41	842.36	698.41	693.58	825.0	490.14	518.15	684.02
ARAP2	115.97	69.52	156.59	26.86	99.43	43.63	34.51	71.5	70.01	54.72	34.51	6.11	1.2	94.01	113.56	47.17	137.14	43.94	48.18	65.72	43.63	48.52	57.08	59.55	86.43	70.01	37.32	32.82	15.68	60.39	20.56	40.93	41.22	71.5	71.5	12.55	52.45	49.91	63.0	71.0	180.02	94.01	88.26	67.59	68.07	24.99	50.63	37.85	95.34	69.52	59.97	43.02	84.04	301.33	121.79	155.5	327.56	103.69	231.32	176.29	323.03	175.07	60.39	167.9	154.42	193.01	147.06	176.29	130.6	54.33	143.01	305.55	113.56	96.01	76.71	236.21	127.0	103.69	55.49	134.3	118.43	152.28	126.12	215.77	51.71	91.41	86.43	246.28	198.47	206.94	277.2	148.09	249.73	135.24	224.97	244.57	120.94	139.07	191.67	234.57	155.5	74.06	159.9
ARHGEF2	154.42	137.14	1963.57	718.08	348.71	684.02	559.28	460.44	1104.13	368.65	368.65	212.78	77.79	708.18	2627.46	156.59	2816.11	444.72	718.08	234.57	563.18	356.05	620.67	612.11	684.02	769.69	387.02	131.51	293.07	896.64	135.24	295.11	218.79	223.41	199.85	140.04	189.02	214.27	223.41	98.73	77.25	117.6	101.54	511.0	228.13	120.94	81.14	114.36	368.65	379.04	100.83	148.09	106.63	1572.76	1551.09	1745.2	2075.59	1250.98	2075.59	2090.03	1936.53	909.17	1208.34	1143.1	1295.13	967.76	1304.15	1001.93	796.86	1662.49	1359.57	1427.22	1561.89	1757.34	1427.22	1427.22	1066.48	1127.35	1015.93	1304.15	2627.46	1447.15	748.61	1628.26	718.08	684.02	1674.06	1225.22	1073.91	802.41	1477.58	780.44	854.13	2537.92	1977.24	1605.83	3039.3	1208.34	559.28	1437.15	1295.13	1322.37	1498.22
ARPC2	2047.0	1685.71	5633.22	4181.07	3589.58	2609.3	2061.24	2555.58	3928.15	3325.99	2609.3	3665.02	1674.06	3742.05	3639.7	2591.27	4239.45	3303.0	4512.4	3955.48	1950.0	3564.78	4152.18	3515.68	5831.91	4671.57	2645.74	2485.67	2701.35	3982.99	1883.54	2591.27	1529.73	2319.15	2193.99	1806.78	1844.76	2104.58	1950.0	981.29	1417.35	967.76	1397.83	1857.6	1359.57	1674.06	1313.23	1304.15	1340.84	1709.26	1286.18	1437.15	1407.55	6121.9	5831.91	7911.95	8305.36	10014.87	7331.05	3665.02	7857.29	3928.15	6381.92	10014.87	6471.02	6381.92	4388.98	5751.61	5633.22	6792.79	5594.3	6840.04	4239.45	7081.29	8305.36	6840.04	8840.04	7230.1	8479.89	6250.56	6652.97	7382.04	7537.18	7382.04	6337.83	6079.61	6699.25	8901.53	6607.01	3081.75	3491.39	2047.0	3564.78	3257.52	5555.65	4328.55	6164.49	2451.44	2664.15	2627.46	3639.7	3372.43	3146.52
ATXN7L3	339.14	332.14	813.63	373.81	371.22	607.87	503.95	343.89	525.39	384.34	384.34	540.19	71.0	532.74	1167.14	656.11	780.44	486.75	599.49	417.77	543.96	361.04	473.41	356.05	579.04	603.67	518.15	346.29	277.2	511.0	346.29	368.65	381.68	293.07	368.65	293.07	287.01	314.17	356.05	183.82	291.04	540.19	285.03	466.88	387.02	376.41	279.14	392.44	256.78	507.46	371.22	466.88	293.07	813.63	1151.06	1059.11	854.13	791.35	941.27	915.51	660.68	753.83	954.43	941.27	1135.2	780.44	928.3	1051.79	665.29	529.06	928.3	941.27	813.63	1051.79	651.58	718.08	738.29	463.65	728.11	669.92	884.29	629.35	738.29	660.68	493.56	872.1	842.36	780.44	1104.13	693.58	497.0	665.29	651.58	759.08	764.36	620.67	629.35	808.0	620.67	656.11	629.35	406.31	638.15
B3GNT5	24.63	52.08	426.57	381.68	163.28	72.52	157.68	199.85	84.04	40.07	176.29	31.67	113.56	89.51	231.32	82.87	197.09	57.49	55.49	53.95	136.19	111.99	125.24	105.89	87.03	236.21	53.19	20.41	49.56	131.51	7.69	45.85	7.06	20.26	16.39	3.99	8.65	24.11	19.25	6.31	16.15	11.13	8.19	173.85	10.08	6.11	5.11	2.92	16.03	29.91	10.47	6.94	5.92	303.44	514.56	486.75	223.41	341.51	429.54	379.04	265.87	256.78	299.25	563.18	221.86	356.05	414.87	543.96	198.47	191.67	341.51	460.44	180.02	309.83	201.25	314.17	387.02	303.44	397.93	371.22	830.75	323.03	191.67	215.77	151.22	123.5	395.18	277.2	327.56	38.4	36.53	43.32	38.12	34.02	46.18	55.89	155.5	47.84	101.54	43.63	74.06	53.19	119.26
BAG3	239.52	195.72	684.02	5441.3	1331.57	1427.22	1104.13	669.92	1407.55	1457.23	860.08	1143.1	483.38	780.44	483.38	1191.69	612.11	713.11	780.44	679.29	743.43	909.17	896.64	466.88	693.58	802.41	1030.12	271.48	232.94	769.69	231.32	241.19	336.79	366.09	205.5	256.78	346.29	329.84	417.77	269.6	198.47	295.11	224.97	239.52	183.82	185.11	323.03	167.9	190.34	336.79	182.55	178.77	251.48	896.64	967.76	1242.34	551.56	733.19	1073.91	723.08	532.74	878.17	318.57	1769.57	1508.65	454.09	974.5	551.56	909.17	1066.48	915.51	435.55	571.05	1605.83	547.75	1044.52	1119.56	896.64	954.43	1059.11	1015.93	890.44	1044.52	785.88	1183.45	1769.57	860.08	1268.46	947.83	1001.93	2018.8	351.14	633.73	703.28	511.0	476.71	1127.35	693.58	1870.53	934.76	688.78	954.43	591.22
BAZ2A	289.02	221.86	796.86	441.64	307.69	229.72	323.03	376.41	473.41	555.41	373.81	497.0	49.21	743.43	620.67	256.78	591.22	325.29	356.05	241.19	366.09	281.09	251.48	260.38	525.39	420.68	381.68	205.5	185.11	426.57	205.5	283.05	204.07	185.11	264.03	95.34	129.69	186.4	151.22	94.67	275.28	260.38	106.63	181.28	341.51	132.44	214.27	187.71	226.54	177.53	209.84	161.02	96.01	1457.23	1304.15	1051.79	1199.98	2400.97	872.1	967.76	1268.46	733.19	2796.65	1008.9	995.0	1191.69	1073.91	1331.57	813.63	1477.58	872.1	1583.71	813.63	1437.15	967.76	1001.93	674.59	902.89	470.14	902.89	1417.35	1044.52	860.08	1397.83	457.25	928.3	842.36	1008.9	802.41	547.75	353.59	529.06	624.99	764.36	679.29	813.63	647.07	486.75	426.57	647.07	466.88	351.14	607.87
BCL10	124.37	87.03	521.76	152.28	307.69	368.65	127.89	129.69	432.53	166.73	129.69	108.14	73.03	220.32	118.43	82.29	164.42	110.43	110.43	81.14	156.59	116.78	111.21	78.34	327.56	187.71	88.88	113.56	71.0	126.12	47.5	118.43	108.9	97.36	87.65	81.71	120.1	143.01	119.26	67.59	106.63	104.42	206.94	262.2	90.77	73.03	72.52	76.71	97.36	199.85	77.25	102.25	147.06	406.31	438.59	389.72	318.57	301.33	490.14	285.03	414.87	356.05	197.09	612.11	343.89	152.28	224.97	299.25	688.78	289.02	279.14	432.53	363.56	363.56	236.21	273.37	303.44	253.23	285.03	234.57	406.31	309.83	267.73	239.52	281.09	185.11	275.28	267.73	275.28	89.51	107.38	98.73	92.05	99.43	110.43	108.9	204.07	91.41	81.71	96.01	115.16	105.89	122.64
