	"OMIM:100070"	"OMIM:229310"	"OMIM:302900"	"OMIM:601992"
"HP:0001761"	0.0	1.0	1.0	1.0
"HP:0002495"	0.0	1.0	1.0	1.0
"HP:0010831"	0.0	0.0	1.0	0.0
"HP:0000639"	0.0	1.0	1.0	1.0
"HP:0000819"	0.0	0.0	1.0	0.0
"HP:0002650"	0.0	1.0	1.0	1.0
"HP:0001417"	0.0	0.0	1.0	0.0
"HP:0001251"	0.0	1.0	1.0	1.0
"HP:0003621"	0.0	1.0	1.0	1.0
"HP:0001260"	0.0	1.0	1.0	1.0
"HP:0001635"	0.0	1.0	1.0	1.0
"HP:0003487"	0.0	1.0	1.0	1.0
"HP:0001284"	0.0	0.0	1.0	0.0
"HP:0001765"	0.0	1.0	1.0	1.0
"HP:0002936"	0.0	0.0	1.0	0.0
"HP:0003376"	0.0	0.0	1.0	0.0
"HP:0009027"	0.0	0.0	1.0	0.0
"HP:0001315"	0.0	1.0	0.0	1.0
"HP:0002311"	0.0	0.0	0.0	1.0
"HP:0009005"	0.0	0.0	1.0	0.0
"HP:0007078"	0.0	1.0	0.0	0.0
"HP:0003115"	0.0	1.0	1.0	1.0
"HP:0001087"	0.0	1.0	0.0	0.0
"HP:0005157"	0.0	1.0	1.0	1.0
"HP:0002062"	0.0	1.0	1.0	1.0
"HP:0003116"	0.0	1.0	1.0	1.0
"HP:0003209"	0.0	1.0	1.0	1.0
"HP:0003232"	0.0	1.0	1.0	1.0
"HP:0001691"	0.0	1.0	1.0	1.0
"HP:0001953"	0.0	1.0	1.0	1.0
"HP:0003133"	0.0	1.0	1.0	1.0
"HP:0011397"	0.0	1.0	1.0	1.0
"HP:0011441"	0.0	1.0	1.0	1.0
"HP:0003134"	0.0	0.0	1.0	1.0
"HP:0008954"	0.0	0.0	1.0	0.0
"HP:0008963"	0.0	0.0	1.0	0.0
"HP:0011399"	0.0	0.0	1.0	0.0
