	"OMIM:600231"	"OMIM:615059"	"OMIM:615885"	"OMIM:615896"	"OMIM:617294"	"Orphanet:86918"	"Orphanet:86923"
"HP:0000232"	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000006"	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0002231"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000411"	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0007390"	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0001006"	0.0	1.0	1.0	1.0	0.0	0.0	0.0
"HP:0002221"	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0002224"	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0001810"	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0100840"	0.0	1.0	1.0	0.0	0.0	0.0	0.0
"HP:0007435"	1.0	0.0	0.0	0.0	1.0	1.0	1.0
"HP:0200102"	0.0	1.0	1.0	0.0	0.0	0.0	0.0
