	"OMIM:127550"	"OMIM:224230"	"OMIM:305000"	"OMIM:603467"	"OMIM:613989"	"OMIM:613990"	"Orphanet:1775"	"Orphanet:3322"
"HP:0004322"	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
"HP:0001263"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
"HP:0001508"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
"HP:0001394"	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
"HP:0005190"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000006"	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
"HP:0001596"	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0
"HP:0000365"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
"HP:0001251"	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0
"HP:0000670"	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0
"HP:0001511"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0
"HP:0001807"	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0006480"	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0001803"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000518"	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
"HP:0001873"	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
"HP:0002863"	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0000498"	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
"HP:0008404"	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
"HP:0002216"	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
"HP:0001276"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"HP:0008070"	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0000975"	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
"HP:0002514"	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
"HP:0001321"	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0
"HP:0002745"	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
"HP:0005528"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0010885"	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
"HP:0001928"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
"HP:0008661"	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
