	"OMIM:114200"	"OMIM:145350"	"OMIM:237400"	"OMIM:252150"	"OMIM:252160"	"OMIM:278300"	"OMIM:615501"	"Orphanet:1325"
"HP:0003166"	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"HP:0000804"	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0
"HP:0002932"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0003534"	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0003570"	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0
"HP:0003606"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0003643"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0010934"	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0
"HP:0011814"	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
"HP:0011935"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0011942"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0011943"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
