	"OMIM:236670"	"OMIM:253800"	"OMIM:613150"	"OMIM:613153"	"OMIM:613154"	"OMIM:614643"	"OMIM:615181"	"OMIM:615249"	"OMIM:615287"
"HP:0001631"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000486"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002650"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
"HP:0001371"	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
"HP:0001290"	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0001642"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002084"	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
"HP:0000648"	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"HP:0003202"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0003593"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000540"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0001324"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0001644"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0001284"	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
"HP:0001360"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0008981"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0002267"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0003306"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0001669"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0001685"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0007260"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HP:0007348"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
