	Ctgf_tdTpositive_cell_3	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_70	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700028D13Rik	0.0	0.0	0.0	0.14	0.11	0.17
1700036G14Rik	0.0	0.0	0.0	0.33	0.21	0.0
1700047I17Rik2	2.63	5.63	12.64	17.56	16.4	17.92
4930447K03Rik	0.0	0.0	0.0	0.2	0.28	0.2
Aff1	0.0	0.0	0.55	6.49	6.98	7.47
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Bcl2l13	0.11	0.13	0.12	22.49	21.08	23.5
Bmper	0.0	0.0	0.0	7.15	7.15	7.41
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Ccrl2	0.0	0.0	0.0	0.85	0.84	0.68
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chrm4	0.0	0.16	1.12	45.22	46.97	34.33
Cnksr2	0.0	0.0	0.0	114.68	103.4	116.88
Col20a1	0.0	0.0	0.0	3.0	2.56	3.07
Cox7b2	0.0	0.0	0.0	0.77	0.18	1.19
Dnttip1	0.0	0.0	0.64	38.55	38.59	37.63
E130012A19Rik	0.0	0.0	0.0	69.45	79.18	76.51
Epha6	0.0	0.0	0.0	21.54	15.15	21.49
Fam177a	2.63	5.63	12.64	17.56	16.4	17.92
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Frk	0.0	0.0	0.0	0.17	0.26	0.37
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gltscr1	0.0	0.0	0.0	10.13	11.66	11.79
Gm14872	0.0	0.0	0.0	7.05	6.23	6.99
Gm15997	0.0	0.0	0.0	1.0	1.2	0.48
Gna13	0.38	0.0	0.17	25.82	24.97	25.3
Gng4	0.0	0.0	1.83	39.85	46.87	35.07
Gpr107	0.0	0.0	0.0	30.55	31.1	30.62
Hdac7	0.0	0.0	0.0	23.81	23.78	28.06
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h2bq	0.0	0.0	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.0	0.38	0.28	0.38
Hmox1	0.0	0.0	0.0	5.5	4.89	5.34
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Itga11	0.0	0.0	0.0	1.29	1.24	1.05
Kcnk9	0.0	0.0	0.0	46.91	40.93	50.68
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kncn	0.0	0.0	0.0	0.21	0.3	0.22
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lingo4	0.11	0.0	0.0	0.6	0.58	0.62
Ly6g6e	0.0	0.0	0.0	3.01	4.42	2.56
Mapkbp1	0.72	0.13	0.12	28.61	27.57	30.3
Mbtd1	0.0	0.0	6.91	14.17	13.57	13.68
Me2	0.0	0.0	7.3	25.96	23.83	23.18
Mid1	0.0	0.0	0.2	12.92	22.49	31.82
Mnd1	0.0	0.0	0.0	0.58	1.1	1.2
Mocos	0.0	0.0	0.0	1.58	1.96	2.05
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Mtmr9	0.0	0.0	0.0	73.44	71.47	77.25
Myh14	0.0	0.0	0.0	13.36	14.87	15.9
Nckap5l	0.0	0.27	0.87	12.2	14.14	14.37
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
