	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_7	Gad2_tdTpositive_cell_43	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_9	Ndnf_tdTnegative_cell_10	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_47	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_73	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_21
0610011F06Rik	0.0	0.0	153.97	206.01	0.0	0.0	62.36	0.0	130.07	187.93	24.66	21.88	1.69	51.82	48.28	85.57	100.73	5.84	0.0	112.4	109.17	47.62	73.66	109.95	266.16	51.95	213.68	0.95	46.51	83.21	0.0	0.0
1110003E01Rik	0.0	0.0	7.96	66.59	0.0	0.0	28.35	52.66	55.41	9.3	20.23	46.92	7.21	0.0	64.94	38.0	32.75	0.39	37.09	3.86	12.2	30.49	57.84	39.98	130.37	22.22	88.92	0.18	0.39	6.2	0.0	0.0
2410002F23Rik	0.0	0.0	133.84	0.32	0.0	0.0	23.82	19.41	22.12	43.49	21.71	43.89	34.68	25.6	101.33	58.2	0.0	32.83	85.69	37.14	154.39	0.55	43.9	60.58	203.6	78.08	98.22	6.15	120.41	109.28	0.0	0.0
4932438A13Rik	0.0	0.0	2.47	12.72	2.91	0.03	13.02	9.3	10.4	3.43	12.41	13.45	11.81	14.58	20.33	11.73	7.39	18.5	6.81	14.44	2.96	1.0	5.56	1.99	38.26	10.47	62.29	9.44	29.33	8.44	0.0	0.0
Arf3	4.34	2.99	39.16	76.4	4.69	388.35	71.63	124.67	47.54	84.82	51.79	54.18	35.07	149.14	21.76	92.27	144.69	34.28	54.65	90.72	60.68	18.36	103.98	186.04	154.1	79.5	248.21	21.2	9.73	131.9	0.09	12.71
Arl6ip4	0.0	0.0	0.0	57.41	0.0	0.0	97.51	11.92	40.35	39.04	46.11	34.5	45.21	4.54	57.2	18.06	99.36	103.1	19.24	47.45	70.51	50.69	34.22	18.52	0.0	39.39	261.93	0.0	97.84	46.17	0.0	0.0
Atp11b	0.0	0.0	0.0	0.0	0.0	0.0	27.89	0.05	9.15	7.53	9.01	4.86	17.99	67.58	0.0	5.82	21.9	7.74	1.45	8.47	20.31	4.72	2.39	0.0	0.0	25.31	107.23	37.14	6.46	22.56	0.0	0.0
Bai3	0.0	0.0	11.01	10.29	0.0	0.0	24.64	0.0	3.51	41.68	45.0	2.82	52.46	2.0	10.94	28.18	8.36	11.64	20.2	6.54	8.35	10.44	1.05	29.58	61.25	28.06	53.43	0.0	25.15	29.84	0.0	0.0
Banf1	0.0	0.8	159.31	194.4	0.0	0.68	97.46	517.74	192.93	206.55	99.3	159.9	215.36	228.56	261.88	194.91	97.83	191.63	182.64	139.25	100.5	0.0	176.69	313.19	335.21	137.02	334.24	98.26	0.0	52.63	0.0	0.0
Bbs5	0.0	0.0	26.44	0.45	0.0	0.0	0.0	0.0	0.34	61.46	57.4	0.0	126.03	43.42	21.41	35.48	0.2	61.96	32.32	28.76	0.0	22.49	0.0	90.37	99.31	33.79	256.81	10.79	10.24	0.0	0.0	0.0
Bmyc	0.0	313.79	56.22	37.93	0.0	1.76	30.35	0.0	22.69	15.32	27.67	6.79	30.82	0.0	26.09	4.47	0.32	30.61	62.24	12.5	4.9	4.71	49.12	135.35	191.45	57.15	232.85	0.0	0.0	2.91	0.0	0.0
Cdc5l	0.0	0.0	87.75	0.1	0.0	0.0	51.79	51.56	155.71	53.7	71.4	103.84	53.05	154.91	58.48	67.72	32.62	53.44	62.7	40.69	46.18	2.34	42.79	97.74	99.05	27.76	179.24	0.0	201.55	19.33	0.0	0.0
Ceacam19	0.42	0.0	0.38	1.28	0.63	0.06	1.4	0.07	0.42	1.86	0.47	0.88	0.22	2.84	2.0	1.91	0.17	1.07	1.4	0.87	1.72	1.34	0.65	1.61	2.11	1.17	1.96	1.11	0.27	0.88	0.92	0.67
Chchd1	0.0	0.0	233.09	120.13	0.0	313.98	242.78	324.3	339.4	187.78	276.76	167.28	222.15	50.67	325.61	194.17	192.86	226.0	162.34	181.25	134.79	276.71	310.31	329.76	521.46	266.71	378.45	56.01	215.61	348.49	0.0	0.0
Col19a1	0.0	0.0	101.9	0.0	0.04	0.0	15.72	10.51	22.09	41.01	44.0	23.85	23.67	73.69	115.44	0.27	0.0	13.05	40.04	10.7	25.13	1.86	7.47	42.02	52.61	57.32	127.04	11.63	39.91	17.76	0.0	0.0
Cplx1	0.0	0.0	883.73	838.45	0.0	0.0	918.29	690.08	958.97	1014.15	1148.18	1678.45	1025.48	632.95	1585.92	878.94	910.66	1322.39	2098.74	1058.61	1330.63	767.51	1045.33	1722.48	1202.5	1760.34	1314.2	976.75	1158.12	1054.91	0.0	0.0
D16H22S680E	0.0	0.0	433.5	159.36	0.0	0.0	485.98	427.22	568.84	393.94	414.89	532.6	323.73	900.93	328.46	749.35	410.65	307.5	597.37	556.23	319.54	193.17	1231.74	565.46	640.86	498.15	776.67	433.54	239.2	501.11	0.0	0.0
D17Wsu92e	0.0	0.0	0.53	11.77	0.0	0.0	11.52	9.56	65.35	25.02	6.58	0.3	0.54	0.0	64.6	35.13	0.0	50.92	40.34	19.85	28.29	22.3	32.23	44.65	46.33	39.57	131.07	55.4	35.34	6.86	0.0	0.0
D4Bwg0951e	0.0	0.0	0.0	0.0	0.0	0.0	18.38	52.27	0.0	0.0	24.98	0.0	0.0	0.0	28.74	31.13	0.0	0.0	26.36	21.47	0.0	0.0	3.77	35.05	0.0	54.12	46.13	0.0	0.0	0.0	0.0	0.0
Dcaf11	0.0	0.0	0.25	14.42	0.0	0.0	0.71	49.38	60.35	91.84	76.04	0.22	38.02	28.22	196.48	186.4	96.94	61.8	75.7	26.64	47.43	0.0	127.19	76.22	142.21	0.58	156.92	0.0	3.73	80.4	0.0	0.0
Eea1	0.0	0.0	0.0	2.88	0.0	0.0	6.49	3.39	10.47	28.51	0.6	0.07	5.39	17.25	18.04	18.99	0.0	5.96	4.05	11.89	2.63	0.54	13.82	39.37	10.84	20.14	13.13	0.0	5.18	1.71	0.0	0.0
Epb4.9	0.55	1.09	36.57	61.33	1.1	2.95	26.21	19.53	3.53	55.37	23.6	43.75	11.26	55.6	80.06	26.69	6.47	8.15	76.54	19.84	24.59	9.29	58.34	40.88	61.46	54.37	71.51	1.73	10.37	19.58	0.0	2.93
Fmn2	261.57	25.65	9.72	13.87	0.0	2.08	5.82	0.0	7.25	13.07	0.0	0.17	2.89	0.0	14.96	4.71	1.96	0.0	0.11	13.88	7.11	2.32	18.56	20.87	24.1	5.25	26.61	0.0	0.0	7.63	0.0	0.0
Ikbkb	0.0	0.15	3.34	0.0	0.0	0.0	29.06	0.0	13.37	18.7	8.53	0.15	8.27	69.48	16.66	0.0	15.24	27.72	6.55	21.59	0.0	15.24	39.16	38.39	33.57	1.11	41.2	0.0	0.0	8.08	0.0	0.0
Inpp5j	0.0	0.0	35.07	1.17	0.0	0.0	20.05	2.14	1.23	3.09	8.6	8.22	2.79	28.31	5.19	10.04	17.12	50.61	14.38	3.73	6.86	8.31	24.5	64.5	66.87	4.16	96.87	0.84	21.1	59.42	0.0	0.0
Khdrbs1	0.13	0.0	10.43	23.65	0.0	0.0	9.12	0.0	14.34	14.9	23.88	27.33	81.92	20.61	47.04	20.67	21.14	0.0	1.39	24.8	7.28	1.0	36.9	26.66	3.29	44.88	92.25	0.68	0.0	12.89	0.0	0.0
Ldhb	7486.96	5404.32	9309.63	8550.52	1744.47	5600.23	8798.32	10118.08	10894.4	8892.3	9220.91	9343.6	10165.1	11261.44	10004.69	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	11010.48	10182.84	6003.71	7194.73	9082.37	7928.56	7322.67	7844.79	11746.38	5577.5	2538.41
Mfn2	0.0	0.0	43.84	4.52	0.0	0.0	12.9	27.87	22.74	25.32	59.36	109.54	88.5	6.76	85.55	51.04	40.36	2.04	42.44	44.88	0.59	15.37	44.95	58.12	66.25	27.03	46.59	2.57	13.46	101.05	0.0	0.14
Ndufs3	0.0	66.41	340.3	323.33	0.0	135.88	233.36	446.08	507.29	419.31	386.85	151.8	567.36	501.56	194.83	267.39	355.1	407.22	591.2	331.16	271.5	422.28	357.38	551.28	456.71	367.61	637.54	136.47	213.43	304.6	0.0	0.0
Nek7	0.0	66.63	333.04	154.14	0.17	0.52	168.74	147.41	114.89	170.47	152.55	171.67	93.04	72.1	144.99	90.32	43.33	184.58	103.03	251.71	56.63	41.61	109.41	330.35	209.53	232.95	316.74	78.13	70.6	60.65	1.16	2.07
Nsa2	0.0	0.0	3.07	16.45	0.0	0.0	18.84	66.63	32.99	5.58	41.2	36.17	3.14	26.58	33.14	9.41	16.76	2.31	27.59	0.93	0.81	9.04	3.7	42.78	52.76	76.13	40.96	1.77	14.99	21.85	0.0	0.0
Pigk	0.0	0.12	19.69	41.54	0.0	0.0	79.92	87.23	21.57	30.55	68.11	34.82	35.62	90.24	49.79	58.35	38.0	27.68	78.81	76.47	44.67	6.22	35.45	49.96	115.81	42.34	120.37	25.47	19.66	45.14	0.0	0.0
Pik3c3	0.0	0.0	1.43	37.06	0.0	0.0	48.79	28.02	39.8	35.17	6.35	21.63	39.25	73.48	64.64	69.61	53.15	27.85	68.17	4.5	41.17	48.04	48.23	31.46	153.92	20.43	78.12	4.47	0.39	50.54	0.0	0.0
Prpf40a	0.0	0.0	0.0	0.0	0.0	0.0	11.09	9.82	56.75	48.61	20.51	59.82	7.98	24.56	3.51	34.53	1.47	29.88	9.93	49.98	38.04	3.6	31.03	64.55	119.47	54.7	66.12	0.0	42.12	5.32	25.68	0.0
Psg17	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.19	0.42	0.0	0.0	0.0	0.0	0.19	0.2	0.0	0.65	0.14	0.48	0.33	0.71	0.0	0.0	0.1	0.0	0.0
Pvalb	0.0	0.0	2506.7	2914.72	0.0	0.0	1987.37	1319.97	2144.98	1711.38	1590.34	1199.86	1316.24	1740.57	1769.21	1815.89	1408.27	1731.8	1698.2	1628.71	1974.07	1295.74	1914.29	1437.81	1763.04	1681.17	2567.22	894.38	1415.72	3516.69	0.0	0.0
Rangap1	0.0	0.28	17.72	18.92	0.58	0.67	55.75	55.2	0.36	59.71	66.74	38.65	54.33	20.97	94.89	57.46	19.4	26.23	39.18	62.78	117.6	14.22	70.59	40.13	77.9	56.0	178.91	10.59	19.24	16.44	0.85	1.46
Rnd3	0.0	0.0	5.38	6.22	0.0	0.0	23.67	38.46	12.5	6.54	35.47	25.31	48.65	125.94	90.37	110.96	47.25	2.89	116.51	33.94	61.88	0.0	14.37	43.33	58.26	14.38	151.92	0.0	3.31	34.65	0.0	0.0
Sdccag8	0.0	0.0	17.93	3.24	0.0	0.0	26.05	0.0	15.78	0.0	17.51	61.38	0.74	38.75	38.71	15.85	15.18	33.72	45.09	30.19	26.46	3.92	0.52	39.31	131.57	31.05	60.81	10.64	8.7	4.31	0.0	0.0
Slc4a10	0.0	0.0	44.69	103.11	0.0	0.0	22.57	14.55	5.43	12.56	117.64	51.58	43.68	63.27	65.15	47.53	15.92	25.28	21.89	34.7	62.66	27.37	54.29	82.43	86.97	127.02	168.08	13.72	45.19	105.13	0.0	0.0
Snhg3	0.0	0.0	40.85	0.0	0.0	0.0	41.25	131.7	155.29	61.49	98.09	147.34	66.93	75.95	195.02	24.0	88.2	136.84	69.55	34.83	102.17	0.0	57.13	122.77	190.34	61.23	287.06	0.0	0.0	156.25	0.0	0.0
Strbp	63.78	203.66	197.9	213.84	0.25	74.04	125.4	43.8	72.63	257.77	264.65	254.63	232.74	280.47	224.49	104.84	104.21	103.23	193.37	175.87	175.9	235.54	160.8	173.72	224.87	91.13	259.22	118.65	209.43	192.03	2.97	0.07
Stxbp6	0.74	1.98	5.24	0.52	0.86	472.0	18.51	3.05	1.16	37.76	37.46	14.67	0.28	0.82	0.59	48.94	57.35	0.47	41.77	26.94	1.02	0.59	0.45	7.57	92.29	13.78	105.98	0.55	1.4	0.67	0.0	0.51
Thoc2	0.0	0.0	1.56	24.43	0.0	0.0	8.98	14.05	52.49	34.41	31.39	10.67	33.04	32.87	51.05	28.32	32.4	21.47	13.19	12.2	11.56	24.72	23.08	60.22	86.1	34.08	125.53	1.99	0.0	76.51	0.0	0.0
Tmem136	0.35	0.0	0.72	7.58	0.0	4.39	6.75	0.0	14.02	15.14	0.0	8.03	5.56	0.78	0.51	0.0	20.16	0.0	49.38	21.36	0.12	31.22	0.0	0.35	18.49	0.09	69.12	0.48	0.33	0.16	0.46	0.0
Tmem5	0.0	0.0	2.81	0.0	0.0	36.82	0.0	34.15	14.92	5.71	7.62	0.0	6.26	2.21	20.85	2.65	2.88	3.03	0.83	0.0	1.61	64.35	1.67	63.0	116.07	46.51	70.69	0.0	9.65	4.61	0.0	62.7
Tmem9b	0.0	0.0	83.89	0.0	0.0	0.0	4.99	0.0	133.38	0.0	0.0	25.14	0.78	1.12	2.77	10.32	7.35	31.45	0.0	47.8	0.0	45.09	13.59	70.48	91.35	16.84	65.11	0.0	0.0	14.5	0.0	0.0
Usp2	45.63	0.0	24.1	197.42	0.0	4.05	6.23	0.0	51.68	25.85	5.13	12.91	12.64	25.68	8.34	9.72	2.4	1.4	17.22	27.5	5.92	23.6	18.85	60.35	36.56	19.39	49.77	0.34	0.86	33.03	0.0	0.0
Zfp101	0.0	0.0	0.0	0.0	0.0	0.0	33.21	51.6	33.42	54.44	0.0	0.2	38.99	0.0	108.56	1.57	0.72	0.0	83.8	39.73	43.69	0.0	1.65	54.02	81.75	0.0	79.42	0.0	0.15	52.27	0.0	0.0
Zufsp	0.0	0.0	71.59	49.45	0.0	0.0	40.5	121.32	67.95	28.77	29.18	8.75	19.57	67.72	65.39	0.0	0.12	0.85	0.16	4.03	16.08	0.0	78.43	0.16	106.85	11.57	115.12	0.0	16.66	51.59	0.0	0.0
