	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_25	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_41	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_1	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_85	Rbp4_tdTpositive_cell_51
1500011H22Rik	0.0	122.89	0.0	0.0	0.0	13.41	0.0	20.81	96.54	14.41	2.37	53.58	75.83	29.4	54.27	39.91	38.75	41.58	38.33	118.98	129.62	45.45
2810422J05Rik	0.0	734.0	307.0	0.0	3.52	75.53	0.0	199.01	44.82	41.2	212.93	110.77	269.0	2.42	189.18	219.14	2.62	58.42	133.49	0.0	301.6	170.26
4922501C03Rik	0.0	63.17	0.0	0.0	0.0	33.42	0.0	0.0	0.0	2.18	0.56	0.11	0.16	2.82	2.31	0.41	1.97	1.35	1.21	0.0	0.07	0.04
6330439K17Rik	0.08	71.08	74.21	0.0	0.15	42.48	0.0	22.42	27.9	57.58	0.77	42.83	39.77	55.72	119.02	68.11	15.73	51.75	63.11	64.26	92.5	25.42
Abcb7	0.08	47.4	0.4	0.06	0.36	0.06	0.0	43.57	18.79	16.43	2.32	25.97	20.91	9.91	9.41	18.26	0.44	25.21	19.99	10.34	2.73	23.71
Amy2a2	0.05	0.63	0.0	0.0	0.0	0.2	0.0	0.0	0.14	0.18	0.07	0.14	0.14	0.7	0.24	0.16	0.08	0.41	0.0	0.23	0.12	0.09
Amy2a3	0.05	0.63	0.0	0.0	0.0	0.2	0.0	0.0	0.14	0.18	0.07	0.14	0.14	0.7	0.24	0.16	0.08	0.41	0.0	0.23	0.12	0.09
Amy2a4	0.05	0.63	0.0	0.0	0.0	0.2	0.0	0.0	0.14	0.18	0.07	0.14	0.14	0.7	0.24	0.16	0.08	0.41	0.0	0.23	0.12	0.09
Ap1g1	20.02	58.79	0.0	0.0	0.0	7.81	0.0	0.0	12.46	15.61	0.05	19.78	2.41	14.79	0.54	0.08	0.36	0.0	4.13	11.08	77.32	0.0
Atf2	0.12	128.59	1.47	0.0	0.2	50.49	0.18	4.74	23.96	65.18	40.71	103.47	40.45	26.17	116.85	83.16	3.26	23.44	71.49	100.59	101.03	91.43
Brd4	0.0	90.35	0.0	0.0	0.0	18.81	0.0	36.28	20.3	4.99	0.0	6.86	0.81	20.03	22.35	3.55	0.45	25.44	11.86	22.48	11.53	2.64
C8a	0.0	0.28	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.1	0.0	0.03
Camk2g	0.52	275.89	80.72	0.0	361.03	41.16	0.0	30.12	79.67	84.39	71.47	124.55	131.66	49.34	155.71	56.52	132.46	162.43	48.01	63.72	91.33	111.28
Cand1	0.0	60.73	0.03	2.06	0.0	27.03	0.0	4.25	21.06	48.27	15.04	25.28	39.93	36.7	6.07	5.96	46.32	45.36	66.8	45.1	61.56	26.2
Chn2	0.0	142.38	58.12	0.0	0.0	0.0	0.0	0.0	35.51	52.41	0.28	0.0	0.52	0.0	24.02	0.0	0.0	2.22	0.0	24.87	0.9	0.0
Dnm3	0.0	312.37	89.3	0.0	0.0	23.14	0.0	40.37	40.07	102.66	97.82	55.06	122.47	55.4	92.44	104.2	11.0	21.16	79.43	111.83	95.21	55.6
Ercc6	0.91	52.18	0.12	0.0	0.15	1.14	0.34	0.0	12.49	0.79	18.34	0.38	2.6	0.56	0.1	0.35	7.52	0.13	0.08	33.72	36.43	17.19
