	Cux2_tdTpositive_cell_94	Cux2_tdTnegative_cell_6	Nr5a1_tdTpositive_cell_49	Ntsr1_tdTnegative_cell_30	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_187	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTnegative_cell_21	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_4	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
1110058L19Rik	467.24	0.0	0.0	0.0	894.87	232.06	198.7	469.89	101.96	631.83	0.0	0.0	0.0	0.43	461.15	8.25	0.0	126.93	87.06	52.07	250.16	138.11	181.02
1500012F01Rik	512.98	0.0	173.86	3.84	383.51	163.7	26.93	86.14	52.61	161.03	0.0	0.0	0.0	119.22	5.07	143.73	0.0	24.82	19.8	56.59	34.18	12.41	140.58
1810030N24Rik	386.92	0.0	0.0	0.0	498.63	0.0	15.28	48.24	46.92	19.15	0.0	0.0	0.0	0.0	0.0	24.78	0.0	0.0	2.15	53.54	59.69	95.75	1.0
2310009A05Rik	376.18	197.56	0.0	0.0	253.08	150.24	96.16	154.52	232.04	58.66	944.77	0.0	51.9	55.88	3.96	0.66	0.0	0.66	128.07	109.72	25.41	93.4	0.0
2610017I09Rik	1462.13	0.0	0.0	48.15	1178.46	650.51	696.97	334.22	156.13	380.66	1.35	0.0	0.0	372.93	38.8	499.14	0.0	168.43	192.99	182.2	315.33	128.86	193.71
2900055J20Rik	896.64	0.0	785.39	0.0	674.01	647.46	192.69	685.13	175.92	486.94	0.0	0.0	0.0	280.43	826.42	1717.13	0.0	103.85	98.16	136.53	179.67	215.28	0.0
9230105E05Rik	1.06	0.0	2.52	0.0	0.61	0.9	0.0	0.46	0.64	0.24	0.3	0.28	0.21	0.48	0.0	0.16	0.0	0.33	0.0	0.54	0.24	0.25	0.0
AW495222	426.08	0.0	29.01	0.0	244.13	144.38	1.28	1.15	64.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.03	0.0	10.28
Alcam	347.45	0.0	2.08	0.0	97.27	57.96	12.43	80.05	120.47	136.19	0.14	0.13	0.0	1.74	61.02	0.76	0.0	70.89	82.1	64.73	48.38	28.94	30.36
Apip	545.78	0.0	0.0	0.0	0.0	278.57	6.11	154.04	83.99	194.5	0.0	15.98	0.0	15.88	0.0	0.66	0.0	2.83	166.21	0.16	54.69	0.0	51.01
