	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_1	Chrna2_tdTpositive_cell_8	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_60	Htr3a_tdTpositive_cell_7	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_92	Ndnf_tdTpositive_cell_20	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_171	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610010B08Rik	1.67	0.0	0.18	20.03	0.01	1.04	0.14	65.46	63.02	1.02	0.1	0.18	0.5	79.19	4.29	0.0	0.0	12.32	21.59	1.41	0.03	22.39	18.34	25.87
1700025K23Rik	0.0	0.0	234.85	0.0	0.0	0.0	0.0	251.37	530.47	0.0	0.0	0.0	115.24	0.0	0.0	0.0	0.0	76.43	58.98	0.6	0.0	18.12	17.44	16.82
5430411K18Rik	0.22	0.23	0.04	0.11	0.24	0.0	0.31	62.58	12.87	0.22	5.95	0.08	0.27	1.05	0.3	0.0	0.0	10.22	9.29	0.08	0.0	20.29	18.73	19.51
Aga	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	299.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	356.97	24.67	22.36	0.0	0.0	10.33	9.22	10.83
Ahr	0.0	0.0	0.0	0.12	0.15	0.0	0.08	0.55	0.14	0.08	0.29	0.07	0.14	0.12	0.0	0.0	0.0	9.33	0.15	0.07	0.0	7.35	6.28	6.43
Baz2b	0.02	0.0	0.0	0.0	14.06	0.0	0.0	0.0	39.15	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	8.24	18.41	0.0	0.0	13.01	11.77	14.03
C230024C17	0.05	0.0	1.37	0.36	0.41	0.6	0.1	0.08	1.24	0.39	0.24	0.23	0.0	0.0	0.21	0.0	0.0	0.22	0.25	0.0	0.0	0.65	0.81	0.87
Ccl27b	0.0	0.0	10.98	0.0	0.0	2.51	6.68	0.0	0.92	0.0	0.0	0.0	5.27	3.71	4.03	0.0	0.0	40.26	8.55	1.6	0.0	30.63	28.29	22.96
Cdk5r1	0.0	49.72	0.0	26.78	0.0	9.38	8.89	16.17	114.5	6.35	9.67	7.37	73.38	10.36	43.78	29.55	0.0	48.43	51.51	25.6	12.77	215.41	232.31	213.19
Dirc2	1.27	0.93	0.67	0.59	0.51	1.46	0.47	1.93	100.82	0.4	0.08	1.14	1.87	0.6	0.39	27.2	0.0	5.23	38.44	0.09	0.0	38.97	41.16	39.36
Gm13306	0.0	0.0	10.98	0.0	0.0	2.51	6.68	0.0	0.92	0.0	0.0	0.0	5.27	3.71	4.03	0.0	0.0	40.26	8.55	1.6	0.0	30.63	28.29	22.96
Gm14430	0.0	0.0	0.21	7.65	0.01	1.19	0.16	74.02	75.62	1.16	0.03	0.21	0.56	19.2	0.0	0.0	0.0	6.69	8.62	1.61	0.04	7.67	5.07	7.49
Gm14431	0.5	0.0	0.0	1.45	1.19	1.18	1.78	0.1	5.69	0.23	0.0	0.0	0.0	0.41	0.0	0.0	0.0	1.74	7.93	0.0	0.0	8.87	7.17	8.34
Gm14434	0.0	0.0	0.21	7.65	0.01	1.19	0.16	74.02	75.62	1.16	0.03	0.21	0.56	19.2	0.0	0.0	0.0	6.69	8.62	1.61	0.04	7.67	5.07	7.49
Gm2506	0.0	0.0	10.98	0.0	0.0	2.51	6.68	0.0	0.92	0.0	0.0	0.0	5.27	3.71	4.03	0.0	0.0	40.26	8.55	1.6	0.0	30.63	28.29	22.96
Gm4724	0.0	0.0	0.21	7.65	0.01	1.19	0.16	74.02	75.62	1.16	0.03	0.21	0.56	19.2	0.0	0.0	0.0	6.69	8.62	1.61	0.04	7.67	5.07	7.49
Gm8898	0.5	0.0	0.0	1.45	1.19	1.18	1.78	0.1	5.69	0.23	0.0	0.0	0.0	0.41	0.0	0.0	0.0	1.74	7.93	0.0	0.0	8.87	7.17	8.34
Grin1	16.69	0.83	2.15	55.95	3.87	50.96	5.63	29.47	35.07	2.18	0.65	23.19	9.43	4.26	4.79	3.88	0.0	25.24	27.2	2.03	0.23	389.58	403.6	404.44
Hilpda	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.75	299.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.45	42.35	0.0	0.0	9.75	7.83	9.75
Ipo5	0.03	0.0	73.43	0.0	0.0	86.74	0.23	46.24	286.41	0.09	0.0	0.0	0.0	1.27	0.0	0.4	0.0	27.11	66.56	0.09	0.0	95.05	97.56	91.69
Klhl2	0.25	0.0	184.98	0.0	0.0	163.48	0.0	0.1	193.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.4	98.37	0.0	0.0	186.83	191.01	181.66
Lhfpl4	0.48	1.11	2.96	49.25	1.21	39.11	0.73	76.67	62.6	1.33	2.13	0.92	1.11	34.73	0.62	2.42	0.0	6.91	8.1	5.59	0.0	70.47	72.39	74.47
Mtmr14	0.0	0.0	0.0	0.0	0.0	0.0	3.39	0.0	144.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.32	0.15	0.0	15.6	13.83	12.34
Ormdl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.28	22.36	0.0	0.0	3.92	3.12	4.08
Rap2b	6.84	0.0	0.0	10.24	28.2	0.12	12.8	8.38	24.72	7.9	0.0	0.0	0.82	24.58	0.0	0.0	0.0	106.56	83.45	0.1	0.0	40.22	41.06	42.79
Rfxap	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.73	88.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.34	37.96	0.0	0.0	27.62	31.63	26.29
Scn1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.21	9.07	0.3	0.0	0.0	1.75	1.32	0.0	0.0	0.0	9.55	5.68	0.0	0.0	508.98	541.93	555.14
Sema3a	0.16	0.49	0.07	0.11	0.0	0.34	0.0	0.63	64.64	0.0	0.0	0.0	0.14	0.11	0.17	0.0	0.0	12.57	95.4	0.06	0.0	10.14	9.95	10.44
Taok2	1.57	0.38	1.46	0.07	0.55	1.3	0.21	1.31	6.05	0.0	1.61	0.08	1.1	0.98	0.21	0.0	0.0	2.86	8.45	0.0	0.0	75.09	76.41	76.63
Tet3	0.65	0.0	0.0	1.92	0.0	3.91	0.0	0.07	10.03	0.0	0.04	0.0	0.04	46.88	0.0	0.0	0.0	3.46	14.55	0.0	0.0	21.31	19.17	20.01
Traf6	0.0	0.0	0.0	0.07	0.0	0.09	0.0	0.32	112.26	0.0	0.09	0.0	0.16	0.14	0.06	0.0	0.0	5.7	0.09	0.0	0.0	10.24	10.31	10.0
Tub	5.09	0.74	0.07	26.01	0.12	3.27	0.0	187.32	300.07	0.0	0.0	0.0	1.84	9.46	1.63	0.86	0.0	37.02	18.76	0.07	0.0	106.14	109.45	103.21
