	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Scnn1a.Tg3_tdTnegative_cell_11
0610010O12Rik	0.0	0.0	0.0	36.77	0.0	0.0	301.02	0.0	587.05	145.72	383.49	184.85	137.42	216.08	50.13	65.71	394.6	142.06	585.39	228.27	1.4	0.0	0.0	69.25	0.0
2900010M23Rik	0.0	0.0	0.0	425.93	1132.48	0.0	935.69	0.0	579.31	588.81	813.36	505.66	485.79	344.91	729.99	306.12	435.7	577.06	1094.43	404.46	0.0	0.0	0.0	824.82	799.22
2900011O08Rik	0.0	0.18	0.0	763.42	0.0	0.0	0.0	0.0	780.56	378.22	306.77	200.01	193.76	209.46	210.79	76.55	234.22	186.4	1136.23	365.64	0.0	117.82	0.0	246.38	0.0
3110035E14Rik	0.0	0.0	0.0	91.78	0.0	0.0	0.0	0.0	145.08	66.31	31.14	235.33	160.44	32.22	58.61	20.89	23.63	53.04	1015.31	165.43	37.9	19.62	0.0	51.27	25.48
4632415L05Rik	0.0	0.68	1.72	7.8	0.09	0.09	0.29	3.63	21.92	1.37	35.05	2.32	8.48	4.47	10.47	10.29	1.43	30.6	43.63	14.34	1.63	15.28	2.65	26.16	0.67
4732491K20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	8.46	0.0	0.0	0.0	452.52	0.0	0.0	0.0	0.0	0.0	0.0
4931428L18Rik	0.0	3.88	1.47	4.02	0.98	0.0	1.82	0.0	1.23	2.55	1.48	1.96	4.13	1.11	1.5	3.87	2.27	1.92	10.96	1.36	1.46	1.34	2.5	2.35	2.91
9830107B12Rik	0.0	0.0	0.0	2.04	0.49	0.0	0.0	0.0	0.71	0.38	0.25	1.12	0.6	1.0	1.17	0.26	2.63	1.18	4.87	2.44	0.69	0.83	0.0	0.85	1.18
Acap2	0.0	0.0	0.0	7.35	0.0	0.0	0.0	0.0	0.2	25.39	2.58	26.42	1.92	0.39	2.47	4.63	10.27	0.36	34.46	10.51	0.12	0.0	0.0	1.24	0.0
Acn9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.57	194.32	58.86	31.67	239.76	0.0	146.47	156.15	85.89	187.46	744.05	0.0	1.53	0.0	0.0	150.38	0.0
Anp32e	0.0	0.0	0.0	118.21	95.23	0.0	0.0	0.0	249.76	51.52	7.19	107.44	0.14	7.46	0.0	0.0	56.87	2.93	831.86	95.19	215.43	38.42	0.0	56.79	0.0
Aptx	0.0	288.94	0.0	0.06	0.0	0.0	0.0	0.0	111.6	0.06	6.85	23.07	24.38	15.62	24.97	4.49	0.34	3.2	413.67	46.04	283.43	0.0	0.0	0.0	0.0
Atp6v0a1	0.0	0.0	0.14	39.02	0.0	0.0	20.17	0.0	269.81	156.38	122.86	92.22	40.78	10.86	8.49	15.74	86.95	87.92	584.18	330.52	0.0	0.0	0.0	34.02	0.0
