	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.04	0.04
1700003L19Rik	0.0	0.0	0.0	0.14	0.14
1700009J07Rik	0.0	0.0	0.0	0.11	0.11
1700024P03Rik	0.0	0.0	0.0	0.21	0.21
1700061J05Rik	0.0	0.0	0.0	0.11	0.11
4930528F23Rik	0.0	0.0	0.0	0.06	0.06
4930544D05Rik	0.0	0.0	0.0	0.16	0.16
4930555B11Rik	0.0	0.0	0.0	0.07	0.07
9230104L09Rik	0.0	0.0	0.0	0.16	0.16
Adamdec1	0.0	0.0	0.0	0.04	0.04
Akr1c12	0.0	0.0	0.0	0.08	0.08
Ankrd52	0.0	0.0	0.0	39.4	40.22
Ap2a1	0.0	0.0	0.0	210.18	220.98
Camkk2	0.0	0.0	0.0	173.23	174.65
Capn13	0.0	0.0	0.0	0.04	0.04
Ccr3	0.0	0.0	0.0	0.03	0.03
Ceacam15	0.0	0.0	0.0	0.07	0.07
Clec12b	0.0	0.0	0.0	0.07	0.07
Cyp3a57	0.0	0.0	0.0	0.06	0.06
Dkk2	0.0	0.4	0.16	0.79	0.8
Dnajc5b	0.0	0.0	0.0	0.11	0.11
Egr3	0.0	0.0	0.0	112.58	94.2
Fmo4	0.0	0.0	0.0	0.06	0.06
Fndc3c1	0.0	0.0	0.0	0.02	0.02
Frmpd4	0.0	0.05	0.0	28.93	30.43
Gm12633	0.0	0.0	0.0	0.06	0.06
Gm1647	0.0	0.0	0.0	0.14	0.14
Gm4745	0.0	0.0	0.0	0.08	0.08
Gzma	0.0	0.0	0.0	0.12	0.12
Hal	0.0	0.0	0.0	0.04	0.04
Helb	0.26	1.64	0.81	3.44	3.72
Jph4	0.0	0.0	0.0	201.25	201.7
Kctd19	0.0	0.0	0.0	0.03	0.03
Kel	0.0	0.0	0.0	0.04	0.04
Klc2	0.0	0.0	0.0	196.16	205.42
Lect2	0.0	0.0	0.0	0.12	0.12
Ltf	0.0	0.0	0.0	0.04	0.04
Mapkbp1	0.0	0.72	0.05	28.61	30.3
Muc4	0.0	0.0	0.0	0.02	0.02
Ncr1	0.0	0.0	0.0	0.07	0.07
Nova2	0.0	0.0	0.0	30.97	32.68
Nox4	0.0	0.0	0.0	0.06	0.06
Olfr15	0.0	0.0	0.0	0.11	0.11
Otx2os1	0.0	0.0	0.0	0.14	0.14
Prps1l1	0.0	0.0	0.0	0.06	0.06
Psd	0.0	0.0	0.0	244.15	270.01
Raet1d	0.0	0.0	0.0	0.16	0.16
Shank1	0.0	6.62	0.0	148.7	181.16
Slc4a1	0.0	0.0	0.0	0.02	0.02
Slfnl1	0.0	0.0	0.0	0.06	0.06
Srcin1	0.0	0.0	0.0	138.51	150.57
Tac4	0.0	0.0	0.0	0.08	0.08
Tas1r2	0.0	0.0	0.0	0.03	0.03
Tbc1d8b	0.0	0.07	0.06	4.47	4.53
Tcstv1	0.0	0.0	0.0	0.12	0.12
Unc13a	0.0	0.0	0.0	173.28	184.32
Usp26	0.0	0.0	0.0	0.02	0.02
Vmn1r210	0.0	0.0	0.0	0.11	0.11
Vmn2r11	0.0	0.0	0.0	0.04	0.04
mt_AK131586	3491.17	6370.03	4908.34	25813.35	24561.45
