	Scnn1a.Tg2_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_9	Sst_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
2310043L19Rik	0.0	0.0	0.0	0.15	0.14	0.15
2310065F04Rik	0.0	0.0	0.0	0.07	0.14	0.07
4833403I15Rik	0.0	0.0	0.0	0.03	0.09	0.03
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930419G24Rik	0.0	0.0	0.0	0.19	0.18	0.2
4930562C15Rik	0.0	0.0	0.0	0.08	0.19	0.08
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
5830403M04Rik	0.0	0.0	0.0	0.16	0.31	0.16
6330503K22Rik	0.39	0.0	3.87	41.82	37.85	43.37
9230102K24Rik	0.0	0.0	0.0	0.15	0.14	0.16
9330111N05Rik	0.0	0.0	0.0	0.07	0.13	0.07
A4gnt	0.0	0.0	0.0	0.07	0.13	0.07
A930004D18Rik	0.0	0.0	0.0	3.04	3.56	3.04
A930041C12Rik	0.0	0.0	0.0	0.19	0.18	0.2
Abhd16b	0.0	0.0	0.0	0.06	0.05	0.06
Actn3	0.0	0.0	0.0	0.76	1.04	0.76
Adamts12	0.0	0.0	0.0	0.19	0.22	0.19
Anxa9	0.0	0.0	0.0	1.33	1.36	1.33
B230119M05Rik	0.0	0.0	0.0	0.21	0.19	0.21
Barhl1	0.0	0.0	0.0	0.03	0.08	0.03
Bhlhe23	0.0	0.0	0.0	0.08	0.18	0.08
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Ccdc154	0.0	0.0	0.0	0.04	0.08	0.04
Cd209b	0.0	0.0	0.0	0.11	0.41	0.11
Cd37	0.0	0.0	0.0	4.99	4.47	4.99
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Defb1	0.0	0.0	0.0	0.11	0.21	0.11
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
F630028O10Rik	0.0	0.0	0.0	0.07	0.17	0.07
Fam83b	0.0	0.0	0.0	0.06	0.18	0.06
Fam83g	0.0	0.0	0.0	0.02	0.08	0.02
Fgfr4	0.0	0.0	0.0	0.03	0.24	0.03
Foxp4	0.0	0.0	0.0	18.34	21.45	18.34
Gal	0.0	0.0	0.0	0.15	0.69	0.15
Galr3	0.0	0.0	0.0	0.25	0.32	0.25
Gm4598	0.0	0.0	0.0	0.19	0.18	0.19
Gm9961	0.0	0.0	0.0	0.19	0.18	0.2
Gpr44	0.0	0.0	0.0	0.08	0.11	0.08
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Il17c	0.0	0.0	0.0	0.16	0.15	0.16
Il18rap	0.0	0.0	0.0	0.04	0.08	0.04
Kctd7	0.0	0.0	0.0	9.0	9.62	9.0
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lrrc24	0.0	0.0	0.0	36.81	39.49	37.56
Mep1a	0.0	0.0	0.0	0.03	0.06	0.03
Musk	0.0	0.0	0.0	1.04	1.4	1.04
Myom2	0.0	0.0	0.0	0.08	0.07	0.08
Nr0b1	0.0	0.0	0.0	0.06	0.1	0.06
Obox5	0.0	0.0	0.0	0.15	0.14	0.16
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Otop3	0.0	0.0	0.0	0.04	0.12	0.04
Pfn3	0.0	0.0	0.0	0.19	0.18	0.2
Ptx3	0.0	0.0	0.0	0.21	0.58	0.21
Ptx4	0.0	0.0	0.0	0.07	0.18	0.07
Rab15	0.0	0.0	0.0	208.71	198.88	208.71
Rab44	0.0	0.0	0.0	0.12	0.18	0.12
Rnf126	0.0	0.0	0.0	70.12	80.08	77.08
Rnf133	0.0	0.0	0.0	0.08	0.14	0.08
Rtp1	0.0	0.0	0.0	0.16	0.33	0.16
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Tal2	0.0	0.0	0.0	0.18	0.33	0.18
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tktl1	0.0	0.0	0.0	0.08	0.11	0.08
Tmem54	0.0	0.0	0.0	0.19	0.35	0.19
Tsx	0.0	0.0	0.0	0.13	0.12	0.13
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tubb1	0.0	0.0	0.0	0.07	0.2	0.07
Txndc2	0.0	0.0	0.0	0.12	0.11	0.12
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vgll2	0.0	0.0	0.0	0.07	0.26	0.07
Vmo1	0.0	0.0	0.0	0.15	0.14	0.16
Vrk2	0.0	0.0	0.0	2.24	2.2	2.24
Zfp259	0.0	0.65	0.0	25.94	28.09	25.72
Zfp750	0.0	0.0	0.0	0.03	0.06	0.03
Zfp957	0.0	0.0	0.0	0.07	0.1	0.07
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
