	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3
1500031L02Rik	109.64	0.14	75.0	0.1	0.0	0.0	71.33	0.25	46.35	78.16	29.99	41.46	84.9	48.93	6.32	98.82	174.27	118.6	206.4	198.29	204.88	165.5	126.11
3110035E14Rik	0.0	0.07	0.04	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	538.93	438.16	560.43	520.77	500.56	558.26	506.56
A830018L16Rik	3.28	0.47	0.23	0.17	0.26	1.05	0.59	8.5	3.88	0.41	0.37	6.73	0.5	0.36	0.35	0.54	85.85	44.61	67.64	59.76	62.35	60.59	59.44
Actr10	306.94	381.34	352.93	350.37	182.16	216.86	264.66	316.67	381.42	248.49	334.66	240.29	286.57	294.57	457.31	318.22	489.95	451.17	565.22	532.21	522.65	951.83	659.18
Aldh3a1	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.39	10.95	120.56	72.62	20.91	36.85	45.78
Ano3	0.0	0.05	0.05	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	228.76	204.16	146.34	270.89	291.67	214.75	146.51
Anp32a	2.31	30.56	11.72	2.56	31.03	8.97	18.17	18.15	16.45	23.48	20.93	3.92	4.41	57.8	9.57	48.82	75.68	62.54	62.17	92.99	78.4	129.53	73.41
Arf1	140.14	522.71	465.33	772.23	443.48	491.41	368.49	314.58	478.78	311.13	393.46	320.91	321.65	405.02	582.39	150.77	763.51	758.58	875.81	863.6	941.69	818.85	788.08
Arhgap25	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	177.35	91.87	120.91	163.1	90.37	124.9	158.59
Atp2b1	28.72	71.3	26.12	16.23	14.53	15.12	21.72	17.57	13.63	4.97	13.39	16.66	38.78	45.26	39.84	3.36	549.86	524.22	564.19	435.72	450.35	532.17	376.73
B3galt2	0.0	2.93	0.0	0.07	5.01	0.0	38.56	24.22	33.16	20.69	5.93	72.45	0.06	6.99	0.0	23.69	108.74	105.41	158.83	185.99	124.23	180.73	140.09
