	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_18	Scnn1a.Tg3_tdTpositive_cell_49	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700026J04Rik	0.0	0.0	0.0	0.78	0.74	0.94
2510039O18Rik	0.0	0.0	0.0	24.71	26.72	25.18
3110062M04Rik	0.0	0.0	0.0	2.24	2.95	2.58
4930419G24Rik	0.0	0.0	0.0	0.19	0.18	0.2
4930538K18Rik	0.0	0.0	0.0	2.06	3.0	2.33
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
9130015A21Rik	0.0	0.0	0.0	0.29	0.18	0.34
9230115E21Rik	0.0	0.0	0.0	0.75	0.81	0.71
A930041C12Rik	0.0	0.0	0.0	0.19	0.18	0.2
Alms1	0.0	0.0	0.0	4.1	3.59	4.52
Ankdd1b	0.0	0.0	0.0	4.56	5.51	4.72
Arhgap27	0.0	0.0	0.0	10.7	13.15	11.66
Armc4	0.0	0.0	0.0	0.42	0.4	0.29
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Carm1	0.0	0.0	0.0	50.34	52.75	51.56
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Cldn1	0.0	0.0	0.0	1.67	1.75	1.98
Cyp4f18	0.0	0.0	0.0	0.35	0.28	0.24
Cyyr1	0.0	0.0	0.0	3.47	2.83	2.85
Dedd2	0.0	0.0	0.0	18.87	22.78	18.79
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Ehd4	0.0	0.0	0.0	10.78	11.61	10.71
Epn3	0.0	0.0	0.0	0.61	0.83	0.64
Fam43b	0.0	0.0	0.0	30.66	33.57	27.0
Fat1	0.0	0.0	0.0	12.35	11.48	14.61
Flt3l	0.0	0.0	0.0	4.41	4.42	5.52
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gm11981	0.0	0.0	0.0	0.42	0.29	0.14
Gm9961	0.0	0.0	0.0	0.19	0.18	0.2
Gpr126	0.0	0.0	0.0	1.81	2.34	2.18
Gpr146	0.0	0.0	0.0	12.46	13.66	12.08
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Irf3	0.0	0.0	0.0	17.09	18.3	15.62
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kifc3	0.0	0.0	0.0	38.63	41.59	38.76
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Mertk	0.0	0.0	0.0	25.29	21.03	26.02
Mios	0.0	0.0	0.0	18.47	15.78	17.51
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Msn	0.0	0.0	0.0	16.38	17.79	17.49
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
P2ry1	0.02	0.0	0.0	2.48	2.36	2.11
Pfn3	0.0	0.0	0.0	0.19	0.18	0.2
Pkmyt1	0.0	0.0	0.0	5.41	6.51	5.69
Pknox1	0.0	0.0	0.0	9.2	9.16	10.02
Prph	0.0	0.0	0.0	1.85	2.26	2.49
Rell2	0.0	0.0	0.0	132.63	150.46	147.42
Rxrg	0.0	0.0	0.0	24.34	26.63	23.94
Six3os1	0.0	0.0	0.0	2.5	2.83	2.72
Slc15a2	0.0	0.0	0.0	16.56	15.41	15.65
Slc25a15	0.0	0.0	0.0	9.06	8.61	8.41
Slc4a11	0.0	0.0	0.0	1.11	0.67	0.98
Spata13	0.0	0.0	0.0	5.93	6.29	6.39
Syk	0.0	0.0	0.0	2.33	2.35	2.39
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tmem39b	0.0	0.0	0.0	10.54	10.74	8.78
Ttc16	0.0	0.0	0.0	0.52	0.94	0.76
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ttc9	0.0	0.0	0.0	44.03	41.2	41.23
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wnt2b	0.0	0.0	0.0	4.79	4.2	4.04
Yeats4	0.0	0.0	0.0	43.51	49.02	47.64
Zfp418	0.0	0.0	0.0	2.49	2.75	2.68
Zfp783	0.0	0.0	0.0	4.18	4.26	4.66
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c5_5S	0.0	0.0	0.0	25.13	15.57	9.58
mt_AK131586	6370.03	0.0	0.0	25813.35	24091.17	24561.45
