	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTnegative_cell_19	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175	Rorb_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_86	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTnegative_cell_22
2700069I18Rik	1.82	0.0	10.8	17.1	5.12	5.26	12.12	0.0
4930474G06Rik	2.79	0.46	10.27	21.67	2.57	2.96	4.02	0.0
4930578E11Rik	1.56	0.0	3.04	6.25	0.3	0.0	1.54	0.0
Acsm2	0.85	0.09	4.71	18.5	0.72	1.06	4.52	0.0
Barhl2	0.42	0.0	3.25	3.2	0.08	2.65	1.28	0.0
C920009B18Rik	0.9	0.52	23.16	28.58	1.61	1.71	3.03	0.31
E330020D12Rik	11.95	0.0	83.27	131.14	1.69	1.87	12.06	0.0
Gdf3	1.21	0.33	7.31	9.16	0.55	0.78	3.13	0.0
Gm20187	2.02	0.29	40.84	155.82	0.4	2.75	21.96	0.0
Gm20597	3.78	0.0	21.45	21.98	0.68	2.9	7.33	0.0
Gm5136	116.63	0.0	664.01	458.44	168.12	282.41	378.17	0.0
Gm7337	0.44	0.0	3.78	12.59	0.16	0.97	4.0	0.0
Mir466f-2	12.14	0.0	120.32	161.55	6.6	0.0	10.87	0.0
Mrgpra4	0.29	0.0	5.75	7.97	0.11	0.0	0.8	0.0
Sh2d2a	0.71	0.25	4.45	15.96	0.45	0.88	4.07	0.0
Slc15a1	1.98	0.0	11.07	16.04	0.44	2.04	3.0	0.0
Slc28a3	1.54	0.26	19.92	20.89	1.04	3.15	3.12	0.0
Sprr2a1	0.55	0.0	0.71	5.39	0.04	0.56	0.98	0.0
Sprr2a2	0.55	0.0	0.71	5.39	0.04	0.56	0.98	0.0
Tbx20	0.48	0.09	1.19	1.34	0.16	0.41	0.58	0.05
