	Calb2_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_4	Cux2_tdTpositive_cell_64	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_2	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_141	Rbp4_tdTpositive_cell_144	Rbp4_tdTpositive_cell_147	Rbp4_tdTpositive_cell_156	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_168	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_1	Rorb_tdTpositive_cell_2	Rorb_tdTpositive_cell_6	Rorb_tdTpositive_cell_9	Rorb_tdTpositive_cell_12	Rorb_tdTpositive_cell_16	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_21	Rorb_tdTpositive_cell_22	Rorb_tdTpositive_cell_41	Rorb_tdTpositive_cell_42	Rorb_tdTpositive_cell_46	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_49	Rorb_tdTpositive_cell_51	Rorb_tdTpositive_cell_52	Rorb_tdTpositive_cell_53	Scnn1a.Tg2_tdTpositive_cell_7	Scnn1a.Tg2_tdTpositive_cell_8	Scnn1a.Tg2_tdTpositive_cell_12	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700051A21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.93	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	6.31	16.63	0.0	0.37	0.42	0.38
1700123O20Rik	0.0	0.0	0.0	0.0	0.0	0.0	134.84	0.0	0.0	0.1	4.18	10.87	0.0	0.0	31.73	0.0	114.69	0.0	38.08	46.21	0.0	37.46	37.93	134.36	13.6	36.71	0.0	0.0	2.62	0.0	0.0	1.21	0.0	0.0	87.54	111.35	52.99	153.92	186.76	52.33	0.0	79.15	24.96	0.13	63.79	0.44	127.84	0.17	23.71	61.28	0.0	0.25	0.0	580.41	16.09	15.13	13.52
2200002K05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.59	0.0	46.05	0.0	79.83	63.52	0.0	0.0	1.09	6.22	6.96	0.26	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.18	0.0	0.0	0.0	0.0	206.22	0.0	0.0	0.0	0.2	0.0	0.0	0.21	93.41	0.0	0.15	0.0	0.0	0.0	27.78	0.0	13.07	14.47	13.7
2310001A20Rik	39.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.83	0.59	0.23	147.38	42.12	129.49	107.33	0.0	136.53	154.93	49.11	129.43	16.71	0.96	115.78	0.0	28.27	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	428.72	0.0	0.0	0.0	189.32	185.74	0.0	0.0	0.14	0.44	105.2	0.12	0.0	0.0	369.26	0.0	59.4	62.01	57.4
2810429I04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.25	0.0	0.0	0.0	0.0	16.44	20.7	0.0	0.51	0.6	0.0	0.0	0.0	0.0	0.0	0.0	4.06	3.7	3.06
4833412C05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	88.62	0.0	0.0	0.0	0.0	0.0	15.32	33.88	0.0	47.19	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.41	0.0	0.0	0.0	0.0	0.0	150.46	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	1.14	1.69
5730455O13Rik	0.0	0.0	0.0	2.66	0.0	0.0	0.0	0.0	0.0	69.07	5.68	0.0	0.0	111.63	37.46	31.32	52.23	28.46	66.26	7.01	0.0	8.88	0.0	0.0	0.0	124.47	0.0	28.77	0.0	37.45	0.0	0.0	0.0	0.0	0.0	71.53	0.0	0.0	189.06	0.0	0.44	0.0	0.0	65.37	5.84	0.3	0.0	90.02	0.22	0.0	24.99	0.0	1.05	365.06	21.53	19.6	22.07
6430548M08Rik	246.84	0.0	0.0	96.91	2.52	0.0	0.0	0.0	0.0	16.27	0.46	52.44	3.62	6.97	0.23	13.09	0.23	6.14	0.1	0.06	120.49	10.04	93.99	9.23	22.67	0.55	0.09	0.26	0.21	0.0	0.0	0.0	0.0	0.0	0.04	44.43	6.93	9.0	166.98	28.78	82.27	8.73	36.86	8.02	8.9	0.3	7.9	36.58	7.26	92.67	70.71	23.73	22.16	0.0	138.81	137.15	144.03
6430706D22Rik	0.0	0.11	0.0	0.0	13.1	0.0	0.0	0.0	417.31	104.84	0.0	0.0	0.0	14.2	4.52	0.0	0.0	2.91	0.0	0.0	0.0	6.6	0.0	0.0	2.86	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	30.29	23.93	0.0	0.0	246.87	14.38	0.0	24.29	24.2	0.19	31.86	0.23	37.36	42.98	0.2	0.07	0.0	82.17	0.39	0.57	34.55	34.43	34.12
AW046200	0.0	0.28	0.0	0.0	0.27	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	44.77	0.0	0.34	0.0	0.0	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.0	0.22	0.0	0.57	0.0	0.42	0.42	0.0	0.0	0.0	0.0	0.37	0.0	156.97	0.18	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47	0.64	1.08
