	Calb2_tdTpositive_cell_41	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_59	Chrna2_tdTpositive_cell_1	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_14	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_41	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_79	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_54	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_87	Htr3a_tdTpositive_cell_104	Htr3a_tdTpositive_cell_122	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_15	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_44	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_10	Scnn1a.Tg2_tdTnegative_cell_18	Slc17a6_tdTpositive_cell_8	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_8	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_21	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_37	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_49
2210012G02Rik	0.18	34.24	9.98	0.35	0.22	0.08	0.0	0.0	0.59	0.1	0.98	2.73	0.0	0.19	0.49	0.0	0.27	2.46	0.13	0.27	0.64	0.69	32.29	0.0	0.2	20.27	0.46	1.0	26.82	16.51	86.54	18.66	0.0	30.76	0.0	0.1	0.07	0.0	0.1	2.61	0.95	0.0	0.34	3.65	43.4	0.33	29.44	0.49	0.21	1.64	0.25	42.03	1.0	0.13	26.36	0.36
2400003C14Rik	0.0	125.61	163.01	42.75	162.82	0.0	0.0	0.0	0.0	174.64	3.6	0.0	0.35	0.0	0.0	0.2	0.0	0.35	77.7	233.96	68.08	2.42	295.24	68.02	0.0	3.23	0.0	0.83	0.0	599.02	1090.89	173.43	0.0	112.23	0.0	0.26	54.13	0.0	0.0	0.14	0.0	26.31	314.99	2.06	0.0	3.39	618.16	190.73	0.21	162.51	46.86	34.07	1.17	0.22	124.65	398.04
Aasdhppt	1.97	2.29	0.1	0.52	314.48	0.21	1.28	0.0	0.33	91.9	2.01	1.34	0.58	3.5	2.08	0.89	55.03	38.99	19.64	1.66	22.76	73.13	0.64	3.25	0.0	9.2	143.03	0.87	112.19	0.0	394.85	125.04	1.12	36.14	0.0	0.0	0.5	1.12	1.4	0.91	1.52	0.26	81.93	103.9	1.58	1.46	1.41	132.09	2.1	3.05	194.25	0.58	130.29	3.01	0.32	3.34
Akap11	127.8	27.37	26.63	50.76	31.04	0.0	0.13	0.0	0.0	143.42	34.78	0.59	10.78	0.12	0.0	42.67	53.31	66.58	55.05	0.23	0.45	0.09	0.03	0.0	0.04	0.04	19.12	36.7	29.75	82.54	126.79	4.9	0.05	21.53	2.36	0.06	72.02	0.48	0.07	0.92	1.45	0.45	19.61	17.57	0.0	21.62	1.12	61.23	0.27	0.5	112.23	0.22	21.22	0.26	20.19	63.28
Ank3	208.39	353.2	111.51	35.87	93.21	3.6	0.0	0.0	0.16	79.31	157.56	0.16	8.19	68.15	0.0	5.77	64.78	216.9	247.6	77.26	128.29	135.08	37.78	74.08	269.5	85.56	6.95	122.84	13.93	45.49	112.81	120.69	0.0	35.54	0.0	0.09	0.34	0.0	16.83	0.28	0.0	0.54	45.34	184.09	214.3	95.28	108.12	119.95	104.25	283.05	154.09	86.2	193.88	15.91	144.92	45.88
Apc	79.64	2.34	0.0	1.43	7.61	45.52	0.0	0.0	0.0	53.21	0.95	35.28	0.0	0.03	0.0	85.45	43.21	1.79	1.73	1.73	3.09	45.07	27.45	6.5	22.49	121.22	53.95	8.68	1.13	5.4	240.31	5.45	0.0	23.89	0.0	0.0	0.0	0.0	66.05	27.97	0.0	0.0	29.69	0.0	0.85	62.27	27.88	0.0	44.86	0.0	0.0	127.85	0.11	0.04	12.93	2.28
Arhgdia	0.2	85.42	37.6	118.98	134.26	0.0	0.0	0.0	7.88	188.05	171.68	0.0	96.53	129.61	0.0	0.0	174.63	18.91	0.0	5.7	39.08	39.23	120.25	0.66	62.03	13.8	164.55	73.11	142.77	142.25	351.7	222.97	0.0	131.14	0.0	0.0	0.0	0.0	0.0	0.12	95.72	0.0	53.21	172.63	0.0	297.67	0.19	138.31	188.87	358.8	0.0	0.0	226.05	0.0	0.0	23.94
Blmh	176.12	322.14	0.0	152.05	0.0	0.0	0.0	0.0	3.99	618.14	99.03	0.21	194.53	181.82	0.0	0.19	273.77	107.77	0.0	356.76	204.59	147.96	19.32	132.97	0.0	0.0	0.0	120.1	195.4	524.43	548.21	194.34	0.0	60.64	0.0	0.0	0.0	43.77	0.0	0.0	338.36	0.31	52.44	267.9	0.0	187.63	0.22	0.0	122.42	163.69	245.69	0.0	0.0	0.0	182.76	0.0
Ctxn2	0.0	151.92	0.0	0.0	265.22	0.0	0.0	0.0	0.0	197.05	0.0	0.0	0.0	109.61	0.0	94.01	0.0	442.38	0.0	20.38	0.51	80.98	86.26	0.36	65.03	0.0	0.0	87.07	155.31	9.02	548.71	0.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.56	89.57	0.0	82.22	0.0	0.0	232.09	91.53	283.91	99.85	151.5	292.32	186.0	130.92
Disp2	36.81	1.1	27.16	155.12	11.57	0.0	0.0	0.0	0.0	332.51	151.04	0.0	6.63	48.59	0.0	79.8	61.22	126.9	141.76	4.45	20.08	128.3	51.6	144.69	100.04	102.03	155.94	90.05	7.98	19.52	152.12	100.92	0.0	223.66	0.0	0.0	0.0	0.12	0.0	0.1	0.0	0.0	25.22	135.15	23.2	130.69	38.54	163.14	28.48	66.37	58.17	101.73	0.0	101.01	80.78	18.88
Faim2	115.24	55.97	13.58	0.24	94.64	0.15	0.06	0.0	0.0	72.41	0.27	0.0	86.56	68.43	0.0	10.94	84.83	15.89	258.02	32.82	113.96	13.0	98.02	41.22	154.06	1.91	45.01	89.07	107.18	146.56	373.1	56.35	0.0	10.09	0.0	0.0	0.36	0.18	0.0	0.07	0.0	0.32	81.35	520.65	0.53	26.75	6.51	51.17	272.04	32.21	12.15	83.77	11.51	149.19	98.34	208.85
Fto	109.87	0.0	204.97	180.28	78.54	0.0	0.0	0.0	0.0	391.12	359.28	0.14	101.87	207.74	0.0	455.48	225.85	0.23	0.11	27.46	4.77	61.01	0.0	166.21	1.67	28.09	0.11	40.35	0.0	418.13	486.3	441.23	0.0	202.48	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.4	14.55	370.08	0.0	0.0	139.07	471.46	58.17	584.68	181.31	246.91	0.0	146.18	3.58	118.78
Gm14430	0.41	0.0	7.65	6.46	0.01	0.0	0.0	0.0	0.0	113.24	0.22	0.0	32.53	0.16	0.0	0.0	0.35	0.32	0.03	0.0	0.62	0.56	0.94	0.0	0.23	1.74	0.11	0.0	0.0	34.74	0.0	17.3	0.12	6.37	0.0	0.0	0.06	0.0	0.04	0.04	0.0	0.07	4.65	86.85	0.0	0.14	28.74	0.23	0.0	0.66	0.0	0.0	0.0	0.0	30.86	16.12
Gm14434	0.41	0.0	7.65	6.46	0.01	0.0	0.0	0.0	0.0	113.24	0.22	0.0	32.53	0.16	0.0	0.0	0.35	0.32	0.03	0.0	0.62	0.56	0.94	0.0	0.23	1.74	0.11	0.0	0.0	34.74	0.0	17.3	0.12	6.37	0.0	0.0	0.06	0.0	0.04	0.04	0.0	0.07	4.65	86.85	0.0	0.14	28.74	0.23	0.0	0.66	0.0	0.0	0.0	0.0	30.86	16.12
Gm4724	0.41	0.0	7.65	6.46	0.01	0.0	0.0	0.0	0.0	113.24	0.22	0.0	32.53	0.16	0.0	0.0	0.35	0.32	0.03	0.0	0.62	0.56	0.94	0.0	0.23	1.74	0.11	0.0	0.0	34.74	0.0	17.3	0.12	6.37	0.0	0.0	0.06	0.0	0.04	0.04	0.0	0.07	4.65	86.85	0.0	0.14	28.74	0.23	0.0	0.66	0.0	0.0	0.0	0.0	30.86	16.12
Gprasp1	122.96	234.97	213.46	115.29	109.93	0.0	0.07	0.0	0.0	455.59	333.0	0.0	362.3	97.06	0.0	144.34	655.8	37.95	124.71	385.16	478.41	22.22	198.99	120.5	234.38	163.69	194.58	473.85	228.78	134.12	257.99	326.24	0.0	169.08	0.0	1.58	0.05	0.29	0.07	0.06	0.21	0.0	114.5	373.86	270.36	88.81	373.03	326.71	0.34	252.56	196.77	367.85	377.12	178.91	267.35	364.97
Ilf2	395.02	402.5	493.6	237.27	193.27	0.0	0.0	615.76	0.0	565.04	20.55	0.0	0.43	185.41	0.0	213.52	530.59	277.1	196.51	1.86	480.53	318.0	569.06	416.31	598.11	358.79	508.87	163.42	424.82	798.63	1506.13	145.0	39.86	427.31	0.0	0.0	0.0	0.85	0.0	0.16	0.0	0.37	144.36	427.55	290.69	370.34	206.9	5.9	0.0	553.0	687.23	0.0	210.61	376.85	41.1	258.13
Isca1	702.58	395.6	305.86	4.04	305.12	0.0	0.0	0.0	0.0	516.0	349.07	0.0	925.78	355.88	0.0	185.7	519.32	924.95	292.15	69.93	703.25	261.47	6.77	990.43	867.19	11.56	604.76	288.14	730.93	248.5	1186.47	527.74	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.17	0.0	0.76	1.31	102.47	602.39	258.72	1153.95	142.53	723.92	271.66	238.95	250.6	113.91	150.77	0.42	365.02
Kif5a	0.25	77.34	0.15	3.35	0.0	0.0	0.0	0.0	0.0	43.71	146.59	0.08	0.0	107.65	0.0	22.92	39.94	78.7	65.49	0.99	106.54	66.74	26.71	34.4	40.79	12.34	134.41	84.9	220.08	169.1	177.96	63.49	0.0	208.78	0.0	0.14	0.02	2.2	0.0	0.11	0.0	0.11	3.49	112.61	3.16	82.89	38.15	0.24	0.61	0.68	16.9	0.0	1.07	3.69	48.17	103.49
Kpna3	10.29	93.23	38.81	41.67	0.0	0.0	0.0	0.0	0.0	103.76	59.23	0.0	0.0	92.1	0.0	1.42	57.53	4.24	0.0	7.11	16.82	82.72	0.0	0.0	96.7	122.03	0.18	0.0	0.0	130.7	411.44	60.65	0.0	108.42	0.0	0.0	0.0	0.2	0.0	0.15	0.0	0.0	21.25	214.67	0.14	0.0	0.0	0.0	0.35	0.0	67.8	0.0	2.61	0.12	9.34	47.21
Mcfd2	223.77	411.24	3.42	42.82	0.0	0.0	0.0	0.0	0.0	290.5	0.59	0.0	198.33	620.51	0.0	0.22	191.11	43.27	483.24	0.0	426.23	405.37	200.26	399.47	197.87	4.04	0.0	0.0	219.65	443.53	529.08	252.96	0.0	366.86	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.71	206.56	297.23	0.0	232.12	409.75	0.25	606.51	199.77	1.97	0.0	0.0	0.25	0.0	305.29
Myt1l	49.26	43.86	48.36	70.4	48.73	0.0	0.0	0.0	0.0	84.15	129.57	0.0	93.44	0.05	0.0	13.79	0.12	11.32	16.83	215.87	170.18	80.99	13.06	0.0	27.51	65.89	73.51	155.31	108.86	163.89	319.11	74.33	0.0	16.68	0.0	0.0	0.04	0.12	0.0	0.04	0.0	0.0	40.73	86.04	14.95	39.07	161.11	50.24	42.94	0.0	199.95	134.24	2.32	5.41	93.56	23.98
