	Ctgf_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_12	Nkx2.1_tdTpositive_cell_15	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_58	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_30	Rbp4_tdTpositive_cell_51
1700110I01Rik	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.42	0.39	0.32	0.0
4932438A13Rik	0.0	25.48	25.13	9.3	10.4	11.52	0.0	11.81	3.9	14.58	13.29	11.73	7.39	18.5	24.46	6.81	3.87	1.0	8.44
6430548G04	0.0	27.25	1.43	0.0	10.31	4.23	2.21	6.9	0.0	1.95	19.42	4.98	1.26	2.33	4.17	4.97	6.56	0.52	4.0
A730017C20Rik	0.0	128.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.23	25.64	0.16	0.0	0.0	0.0	39.36	0.0	0.0
Abhd14b	0.0	89.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.04	150.27	8.4	7.87	0.0	3.53	94.41	41.61	29.79	0.0
Adk	8.6	289.88	0.0	240.97	211.77	273.59	55.61	209.05	179.24	109.63	469.23	233.97	298.93	152.41	128.75	118.22	164.26	346.53	349.59
Arsb	0.0	39.81	0.0	0.0	0.0	27.12	0.8	0.0	1.09	41.03	47.63	8.01	3.18	3.97	0.0	6.62	0.0	0.0	0.0
Bzrap1	0.0	18.12	0.88	0.0	0.06	0.54	0.0	6.31	0.21	0.63	13.88	5.83	0.0	1.75	0.94	0.1	4.84	4.33	2.37
Ciao1	0.0	140.96	56.85	0.0	22.48	27.78	76.44	75.2	0.07	100.38	108.13	36.65	59.85	62.42	59.46	57.11	79.65	55.64	74.48
Fign	0.0	0.1	0.1	0.0	0.0	0.09	0.0	0.07	0.03	0.12	0.19	15.13	0.03	0.14	0.07	6.64	0.07	0.0	0.02
Gm10857	0.0	0.52	0.46	0.0	0.68	1.21	0.0	0.24	0.08	0.35	1.54	0.81	0.44	0.47	0.15	0.26	0.26	0.35	0.29
Gtl3	0.0	62.16	0.0	0.0	0.0	5.29	3.04	27.24	0.0	32.17	62.46	6.79	47.29	19.72	87.31	32.62	15.83	5.12	10.91
Katnal1	0.0	38.19	0.07	0.0	17.25	0.13	3.6	32.48	8.98	19.14	36.99	15.6	9.45	31.6	72.69	30.78	7.84	4.5	0.0
Ldhb	0.0	6706.03	5553.03	10118.08	10894.4	8583.06	8620.64	10165.1	5751.11	11261.44	7834.03	9074.03	13571.31	12546.17	7218.63	9106.97	7095.61	11010.48	11746.38
Mff	0.0	210.87	0.0	8.63	74.25	109.87	2.43	46.41	32.67	2.44	201.93	62.75	91.83	57.3	59.62	98.38	30.0	37.15	36.43
Pik3r5	0.0	8.1	1.53	0.06	0.9	0.95	4.06	1.1	1.22	7.54	4.04	2.55	2.22	2.27	1.18	2.54	0.9	2.35	1.78
Ranbp3	0.0	87.76	7.98	0.0	56.06	24.55	0.0	0.0	0.0	7.16	72.68	31.12	29.15	37.64	38.0	0.8	13.43	89.52	14.28
Rpp40	0.0	46.68	0.1	0.0	2.44	0.64	0.27	2.32	1.03	1.27	1.57	1.18	0.85	1.1	1.61	1.33	24.51	0.81	1.52
Rtn4ip1	0.0	113.89	0.0	10.92	38.41	39.53	0.0	33.92	0.0	0.0	64.75	0.24	0.0	0.14	0.0	73.75	0.0	0.0	2.99
Serpina1a	0.08	9.69	3.12	0.17	1.42	3.23	2.48	2.9	1.43	2.83	2.9	2.23	2.82	3.02	1.78	3.94	1.89	2.11	3.13
Sh3bgrl3	0.0	435.83	173.71	155.38	316.9	106.51	70.45	81.19	230.54	300.01	517.36	175.76	233.72	286.14	263.1	351.11	323.25	101.53	178.66
Sirt3	0.0	461.49	241.49	146.54	384.06	305.48	265.73	332.62	411.23	514.4	550.5	536.23	323.6	388.7	147.8	419.67	394.85	37.11	594.29
Sort1	0.05	55.42	0.0	27.84	2.17	3.16	0.0	15.38	12.04	5.57	20.6	25.71	26.52	13.26	24.13	19.22	38.23	7.02	0.0
Srek1	8.38	99.65	36.59	21.99	51.98	49.99	49.22	65.61	32.96	83.5	110.14	36.87	38.11	90.55	60.88	99.54	98.77	155.42	87.1
Stk3	0.0	46.88	0.0	0.0	0.0	5.99	0.0	0.0	0.0	0.0	52.71	0.0	0.0	14.04	0.78	5.27	13.93	0.0	0.0
Stx16	0.06	39.26	0.12	0.07	9.04	1.35	1.05	24.61	8.45	47.99	50.4	5.61	2.48	19.02	0.77	4.87	20.59	0.15	2.11
Sugp1	0.0	56.78	0.0	0.0	0.0	65.35	0.0	5.42	0.0	11.78	106.53	21.98	22.93	22.42	39.11	26.64	99.6	0.71	0.17
Sv2a	0.0	255.02	247.15	133.12	242.72	239.56	139.25	250.66	148.45	188.06	291.81	195.68	135.33	130.07	278.8	312.55	140.98	103.85	99.77
Tnfrsf11a	0.0	9.39	0.89	0.13	2.15	2.72	2.53	0.67	1.3	5.58	2.14	0.57	1.48	1.26	1.35	2.0	0.62	1.62	2.4
Trim3	0.0	25.72	0.0	0.0	0.0	0.0	0.0	23.47	1.01	4.18	70.61	23.43	46.05	0.83	0.58	10.63	4.32	0.0	1.91
Ttc9	0.0	66.8	0.0	0.0	19.09	4.92	11.37	32.35	0.0	4.41	67.46	8.11	0.0	0.0	0.0	0.0	0.0	0.0	19.18
U2af2	0.0	8.63	0.0	0.0	7.46	5.34	0.0	0.3	0.0	0.0	14.23	3.61	1.84	1.69	8.33	2.06	4.21	0.5	0.0
Zbtb16	0.07	64.27	0.0	3.16	0.09	11.9	0.0	26.12	1.69	2.53	23.05	2.49	9.04	11.72	19.55	11.21	6.28	0.1	0.0
Zc3h14	0.0	51.72	14.2	21.73	0.0	0.0	2.65	30.06	20.54	55.99	37.04	0.0	15.44	27.25	34.78	5.66	7.19	48.97	0.0
Zfp445	0.0	114.19	12.09	14.98	45.02	10.88	0.0	23.53	19.82	0.0	67.93	16.11	9.82	19.76	16.4	20.51	20.77	34.79	30.58
Zfp704	0.1	9.19	0.15	0.86	0.31	0.0	0.31	1.48	0.16	2.36	4.92	1.28	2.45	8.73	2.38	4.76	3.05	5.44	1.03
