	Cux2_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_29	Scnn1a.Tg2_tdTpositive_cell_17	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.04	0.0	0.04
1700003L19Rik	0.0	0.0	0.0	0.14	0.0	0.14
1700009J07Rik	0.0	0.0	0.0	0.11	0.0	0.11
1700024P03Rik	0.0	0.0	0.0	0.21	0.0	0.21
1700026J04Rik	0.0	0.0	0.0	0.78	0.74	0.94
1700061J05Rik	0.0	0.0	0.0	0.11	0.0	0.11
4930455B14Rik	0.0	0.0	0.0	0.09	0.0	0.09
4930544D05Rik	0.0	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.0	0.07	0.0	0.07
9230104L09Rik	0.0	0.0	0.0	0.16	0.0	0.16
9230116N13Rik	0.0	0.0	0.0	0.29	0.42	0.53
Abcc10	0.0	0.0	0.0	7.25	8.35	8.26
Adamdec1	0.0	0.0	0.0	0.04	0.0	0.04
Akr1c12	0.0	0.0	0.0	0.08	0.0	0.08
Amy2a2	0.13	0.15	0.0	0.26	0.19	0.21
Amy2a3	0.13	0.15	0.0	0.26	0.19	0.21
Amy2a4	0.13	0.15	0.0	0.26	0.19	0.21
Apob	0.0	0.0	0.0	0.01	0.0	0.01
Capn13	0.0	0.0	0.0	0.04	0.0	0.04
Ccl28	0.0	0.09	0.0	0.87	2.26	2.26
Ccr3	0.0	0.0	0.0	0.03	0.0	0.03
Cd4	0.0	0.0	0.0	8.68	8.33	8.41
Ceacam15	0.0	0.0	0.0	0.07	0.0	0.07
Clec12b	0.0	0.0	0.0	0.07	0.0	0.07
Creb5	0.0	0.0	0.0	2.5	1.75	3.12
Cyp3a57	0.0	0.0	0.0	0.06	0.0	0.06
Dgat1	4.02	0.0	0.0	21.45	24.76	22.93
Dnajc5b	0.0	0.0	0.0	0.11	0.0	0.11
Ephb2	0.6	1.14	0.54	10.98	10.79	12.45
Fmo4	0.0	0.0	0.0	0.06	0.0	0.06
Fndc3c1	0.0	0.0	0.0	0.02	0.0	0.02
Gjc1	0.0	0.0	0.0	5.73	5.12	4.5
Gm12633	0.0	0.0	0.0	0.06	0.0	0.06
Gm4745	0.0	0.0	0.0	0.08	0.0	0.08
Gzma	0.0	0.0	0.0	0.12	0.0	0.12
Hal	0.0	0.0	0.0	0.04	0.0	0.04
Haus3	0.0	0.0	0.0	5.94	5.02	6.08
Iffo1	0.0	0.0	0.0	49.34	54.98	48.1
Itgb8	0.0	0.14	0.0	21.22	18.52	23.65
Kbtbd2	2.9	4.1	0.42	39.61	38.27	32.53
Kctd19	0.0	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.0	0.04	0.0	0.04
Kif14	0.0	0.1	0.0	0.36	0.25	0.35
Lect2	0.0	0.0	0.0	0.12	0.0	0.12
Ltf	0.0	0.0	0.0	0.04	0.0	0.04
Lyar	0.0	0.0	0.0	13.31	14.35	12.21
Mbd3	0.0	21.55	20.66	113.1	126.54	122.32
Msl2	0.0	8.22	0.0	32.92	32.23	29.12
Muc4	0.0	0.0	0.0	0.02	0.0	0.02
Myog	0.0	0.0	0.0	0.07	0.0	0.07
Ncr1	0.0	0.0	0.0	0.07	0.0	0.07
Nox4	0.0	0.0	0.0	0.06	0.0	0.06
Nwd1	0.0	0.06	0.0	27.35	24.23	32.18
Olfr15	0.0	0.0	0.0	0.11	0.0	0.11
Pgpep1	0.0	0.0	0.0	5.75	5.95	5.56
Prps1l1	0.0	0.0	0.0	0.06	0.0	0.06
Psmc3ip	0.0	0.0	0.0	4.48	4.22	4.51
Raet1d	0.0	0.0	0.0	0.16	0.0	0.16
Rnase13	0.0	0.0	0.0	0.17	0.0	0.17
Slc4a1	0.0	0.0	0.0	0.02	0.0	0.02
Slfnl1	0.0	0.0	0.0	0.06	0.0	0.06
Tac4	0.0	0.0	0.0	0.08	0.0	0.08
Tas1r2	0.0	0.0	0.0	0.03	0.0	0.03
Tcstv1	0.0	0.0	0.0	0.12	0.0	0.12
Tmeff1	0.0	33.86	0.0	93.01	86.83	88.78
Topors	0.0	0.0	0.0	16.78	16.92	15.24
Uggt2	0.08	3.7	1.05	17.95	14.99	18.88
Usp26	0.0	0.0	0.0	0.02	0.0	0.02
Vmn1r210	0.0	0.0	0.0	0.11	0.0	0.11
Vmn2r11	0.0	0.0	0.0	0.04	0.0	0.04
Wnk2	3.45	12.32	0.0	49.56	48.86	56.38
Zfp52	0.15	0.0	0.0	2.67	2.66	3.14
Zfp704	0.28	0.3	0.2	20.21	18.49	20.35
Zfp869	2.02	0.14	0.0	22.33	22.06	20.49
mt_AK131586	771.16	62.12	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
