	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_47	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_49	Nos1_tdTpositive_cell_59	Nr5a1_tdTpositive_cell_31	Nr5a1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_98	Rbp4_tdTpositive_cell_112	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_167	Rbp4_tdTpositive_cell_173	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_7	Rorb_tdTpositive_cell_13	Rorb_tdTpositive_cell_29	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_46	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTpositive_cell_71	Scnn1a.Tg3_tdTpositive_cell_83	Scnn1a.Tg3_tdTpositive_cell_87	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_39	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_43
9130024F11Rik	0.0	0.0	179.83	87.64	434.43	185.61	0.0	235.11	7.07	0.0	356.89	0.0	6.57	0.0	184.76	0.0	62.76	0.0	0.0	0.0	135.47	0.0	0.0	279.16	448.82	0.0	214.16	79.89	82.43	0.0	126.26	117.11	242.04	0.32	75.38	81.23	0.0	0.0	157.97	4.12	109.08	105.06	115.52	174.95	0.0	466.75	83.63	147.63	0.0	0.0	0.0	0.0	179.27	0.0	0.0	63.11	0.0	33.2	0.4	0.0	1.01	0.0	0.0
Ak5	0.0	0.0	0.0	86.11	165.37	12.71	0.0	124.04	2.75	40.1	0.0	212.81	125.43	0.0	47.49	101.77	1.81	0.0	0.0	0.0	0.53	0.0	0.0	156.4	4.45	24.71	180.71	50.45	1.02	0.0	0.0	0.0	14.28	0.0	0.14	0.18	0.0	0.0	288.92	0.28	253.17	101.69	188.88	53.69	0.0	295.51	151.85	268.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.06	0.0	0.09	42.98	0.0	0.0	0.23	0.0
Amy2a2	0.0	0.0	0.15	0.19	0.48	0.4	0.41	0.17	0.3	0.7	0.09	0.07	0.45	0.28	0.12	0.08	0.07	0.81	0.11	0.06	0.72	0.03	0.31	0.2	0.31	0.45	0.43	0.75	0.27	0.08	0.12	0.54	0.55	0.13	0.17	0.09	0.1	0.0	0.16	0.29	0.5	0.71	0.32	0.09	0.03	4.31	0.24	2.04	0.0	0.28	0.04	0.04	0.29	1.35	0.0	0.13	0.03	0.14	0.05	0.28	0.1	0.08	0.08
Amy2a3	0.0	0.0	0.15	0.19	0.48	0.4	0.41	0.17	0.3	0.7	0.09	0.07	0.45	0.28	0.12	0.08	0.07	0.81	0.11	0.06	0.72	0.03	0.31	0.2	0.31	0.45	0.43	0.75	0.27	0.08	0.12	0.54	0.55	0.13	0.17	0.09	0.1	0.0	0.16	0.29	0.5	0.71	0.32	0.09	0.03	4.31	0.24	2.04	0.0	0.28	0.04	0.04	0.29	1.35	0.0	0.13	0.03	0.14	0.05	0.28	0.1	0.08	0.08
Amy2a4	0.0	0.0	0.15	0.19	0.48	0.4	0.41	0.17	0.3	0.7	0.09	0.07	0.45	0.28	0.12	0.08	0.07	0.81	0.11	0.06	0.72	0.03	0.31	0.2	0.31	0.45	0.43	0.75	0.27	0.08	0.12	0.54	0.55	0.13	0.17	0.09	0.1	0.0	0.16	0.29	0.5	0.71	0.32	0.09	0.03	4.31	0.24	2.04	0.0	0.28	0.04	0.04	0.29	1.35	0.0	0.13	0.03	0.14	0.05	0.28	0.1	0.08	0.08
Arhgap32	0.0	52.55	24.33	9.52	23.85	34.03	4.98	1.4	22.53	21.11	13.61	37.15	80.05	8.2	48.26	17.74	16.02	0.0	0.0	0.17	32.75	0.0	0.04	20.49	1.23	35.34	5.19	54.66	47.85	51.05	38.86	0.11	33.75	5.66	59.62	15.74	0.0	0.0	96.76	204.51	144.52	65.99	47.19	42.94	0.06	60.66	79.66	65.23	0.0	0.0	0.0	0.0	1.89	9.57	0.93	7.54	5.39	22.76	15.64	12.77	23.0	0.66	0.14
B3galt1	160.42	0.0	29.22	71.31	51.6	97.15	68.16	106.2	79.64	78.37	126.39	241.69	21.07	129.02	30.93	0.0	0.0	0.0	0.0	177.7	59.03	0.0	0.0	32.92	1.93	205.07	0.16	110.89	66.36	22.89	39.81	0.0	84.88	0.15	51.24	116.1	0.05	0.0	133.2	30.55	54.34	143.61	150.13	84.28	0.06	38.18	22.82	177.63	0.0	0.0	0.0	0.0	30.92	194.2	38.77	194.44	80.72	27.73	6.31	79.62	0.0	8.17	0.0
Camk2a	0.31	26.83	55.52	45.56	154.17	31.56	1.31	135.26	78.0	87.14	123.82	106.21	55.41	0.32	28.67	0.28	11.91	0.1	0.21	1.09	0.45	0.0	0.05	66.67	64.46	36.93	57.56	119.89	2.57	0.91	43.36	11.5	13.0	1.02	75.41	17.06	0.0	1.11	326.7	269.25	124.28	179.78	82.82	33.56	0.23	280.99	79.81	221.63	0.0	0.0	0.0	0.18	0.43	63.57	18.67	58.13	66.83	7.58	23.24	40.82	49.74	2.74	0.0
Camk2b	12.58	11.42	161.7	83.14	117.24	152.97	6.32	59.12	174.36	66.9	60.55	158.51	22.34	61.71	51.22	145.0	174.61	0.0	0.0	0.79	254.35	0.0	0.1	186.54	8.16	49.18	127.79	203.92	12.95	128.48	53.92	58.15	249.52	153.07	75.22	99.83	0.0	0.0	200.83	275.06	100.81	317.37	194.66	96.57	0.07	226.76	154.0	188.37	0.0	0.0	0.0	0.0	37.56	63.4	41.64	23.42	87.25	138.39	0.42	31.11	4.98	70.64	145.39
Camk4	2.11	48.32	6.46	34.89	208.48	3.46	2.72	34.51	25.44	31.41	1.23	53.51	212.24	1.72	57.1	8.64	50.53	2.52	0.62	1.29	47.69	1.38	2.33	17.32	35.55	137.26	68.21	118.07	80.94	20.57	1.09	11.66	130.12	14.28	55.8	55.6	0.48	1.43	149.64	254.9	105.04	194.28	149.65	54.1	1.18	279.75	85.02	151.01	0.94	1.18	0.72	0.45	1.72	2.07	0.86	5.19	79.62	9.73	24.92	30.44	23.72	7.3	223.95
