	Calb2_tdTpositive_cell_58	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_12	Gad2_tdTpositive_cell_31	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_44	Gad2_tdTpositive_cell_77	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_1	Ntsr1_tdTnegative_cell_2	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_38	Ntsr1_tdTnegative_cell_39	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_42	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_57	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_94	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_11	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_20	Rbp4_tdTnegative_cell_21	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_9	Scnn1a.Tg2_tdTnegative_cell_11	Scnn1a.Tg2_tdTnegative_cell_12	Scnn1a.Tg2_tdTnegative_cell_14	Scnn1a.Tg2_tdTnegative_cell_15	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_7	Scnn1a.Tg3_tdTnegative_cell_9	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_19	Sst_tdTpositive_cell_23	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610007P08Rik	2.12	0.0	0.0	0.0	2.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	29.01	0.0	0.0	0.0	0.0	0.0	0.0	9.5	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.12	0.04	1.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.86	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.35	395.07	0.0	0.0	0.0	0.0	0.0	0.0	212.53	181.81	0.0	0.0	0.0	4.51	1.85	5.16	2.76	2.93	2.89	3.86	4.77	2.81	2.79	0.0	10.93	10.13	11.71
1600014C10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	305.4	0.0	0.0	0.0	0.0	0.0	67.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	503.02	0.49	0.13	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.43	10.61	0.07	13.26	0.0	0.1	0.0	0.26	0.0	0.0	0.45	0.0	0.0	0.0	0.14	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.23	0.18	0.0	0.0	701.07	0.16	0.0	0.0	730.5	0.0	0.0	0.0	0.0	0.0	7.92	19.24	16.91	27.8	19.42	26.03	19.97	29.96	28.08	46.06	32.95	36.11	17.38	21.99	22.96	19.59
1600027N09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.22	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.0	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.14	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	371.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6	3.48	3.5	2.07	1.28	0.0	2.32	1.19	0.3	0.0	16.77	13.65	12.96
1700109H08Rik	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.0	0.0	54.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.42	0.0	0.0	0.0	0.0	0.0	3.47	0.0	0.0	0.35	0.0	0.0	35.9	0.0	0.0	0.0	0.0	0.0	0.55	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	293.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1	0.55	0.0	1.0	0.43	3.53	2.68	1.84	0.0	1.78	0.0	0.52	0.2	1.91	2.56	2.62
1810034E14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	636.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.39	0.0	0.0	0.44	0.36	0.34
2310005A03Rik	9.33	0.77	0.0	0.0	0.03	0.0	0.0	0.0	0.0	39.76	0.97	0.0	0.0	0.0	0.0	0.64	1.43	0.0	0.0	0.57	7.31	0.37	0.0	1.94	0.0	0.91	0.0	0.0	2.46	0.64	0.94	0.0	1.41	0.0	0.47	0.46	0.0	0.0	2.67	0.0	1.0	9.96	0.33	0.0	1.15	1.13	4.05	0.0	0.63	0.29	0.0	0.0	0.0	0.0	0.27	0.67	1.61	1.13	3.95	0.49	6.08	13.67	0.36	0.0	1.54	0.0	0.0	7.69	42.38	0.0	0.0	0.2	0.41	0.0	0.0	0.0	0.0	0.52	0.27	1.06	1.29	0.8	0.0	0.5	0.0	1.09	0.58	0.48	0.78	0.26	0.19	0.81	0.41	1.28
2500003M10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	306.97	4.22	0.0	0.0	0.0	18.52	0.0	0.0	0.0	0.0	0.0	0.05	24.48	7.59	0.0	0.0	0.0	0.0	207.49	2.89	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.41	11.83	22.61	0.42	0.0	0.0	496.18	1.01	0.23	0.0	0.0	0.0	0.0	0.0	0.23	28.98	0.0	4.3	0.39	0.2	0.09	486.6	0.0	55.67	0.0	0.0	640.64	8.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.59	0.0	12.09	10.66	11.3	2.38	5.81	6.44	5.61	1.64	8.61	12.15	10.87	0.08	118.96	120.09	114.18
3110057O12Rik	0.0	0.0	0.0	414.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.35	0.0	0.0	0.0	95.5	187.24	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	188.41	53.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.93	0.09	20.73	0.27	0.0	0.1	0.0	0.0	0.14	904.5	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1024.3	0.0	0.0	4.85	0.0	0.0	2.36	0.0	0.0	0.0	0.0	25.27	13.54	5.78	9.48	9.95	18.49	25.24	13.96	8.83	19.1	13.98	0.35	13.29	11.41	10.56
3200001D21Rik	0.0	0.16	0.18	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.27	0.0	0.0	0.04	0.0	0.28	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.8	0.0	0.39	0.36	0.66	0.6	0.0	0.22	1.66	0.16	44.77	0.48	0.4	0.37	0.57	0.0	0.67	0.0	0.0	0.0	0.26	0.38	0.0	0.0	0.0	0.0	0.69	0.0	147.75	0.47	0.0	0.25	0.0	0.0	0.0	0.14	0.0	0.0	9.64	0.16	0.16	0.15	0.0	1.04	1.32	0.09	1.31	0.39	0.91	0.0	0.21	1.31	0.91	0.76
4930405A21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	271.18	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.05	0.0	0.0	0.0	0.0	0.0	0.0	3.23	1.09	0.0	0.61	0.7	0.84
