	Calb2_tdTpositive_cell_3	Chrna2_tdTpositive_cell_63	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_83	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_31	Nr5a1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_9	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_79	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_63	Scnn1a.Tg3_tdTpositive_cell_97	Slc17a6_tdTpositive_cell_20	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
2810029C07Rik	0.0	113.7	0.0	0.0	0.0	0.89	0.0	0.0	0.52	0.0	0.0	123.03	29.71	0.0	0.0	0.83	0.0	0.0	0.0	2.05	201.87	0.0	0.0	76.06	90.25	0.84	0.0	49.71	29.03	27.65	42.98	25.94	33.7
A830082N09Rik	0.37	40.88	4.76	21.11	0.43	1.33	1.3	0.76	0.41	1.31	1.91	0.79	0.87	0.28	0.9	0.5	0.59	1.63	0.41	30.6	0.86	0.29	0.66	0.48	72.23	0.24	24.33	1.48	2.89	3.86	3.14	3.23	3.5
Aamp	220.81	601.69	323.29	448.14	556.94	264.25	156.77	301.45	236.92	644.23	470.7	423.43	460.72	112.3	247.9	112.72	407.57	136.31	243.05	258.23	182.76	254.64	109.29	333.21	890.31	286.97	210.42	303.11	410.55	350.02	315.65	317.42	282.66
Abat	0.0	103.65	0.0	0.05	0.0	0.0	0.0	103.67	0.04	0.0	0.0	0.09	0.0	0.0	0.09	14.08	0.0	8.19	40.84	0.88	0.0	0.0	17.89	69.01	71.26	0.3	0.0	19.24	22.29	8.13	16.75	8.71	13.65
Ap2b1	20.49	58.38	12.28	39.01	73.61	32.65	8.97	85.7	22.59	19.93	4.9	33.34	0.92	20.95	13.61	23.3	123.83	43.88	6.66	29.82	14.43	0.7	37.93	93.31	77.69	12.34	62.58	22.65	47.27	14.08	12.65	21.34	23.31
Arl6ip4	0.0	7.39	0.09	154.2	0.0	3.76	0.0	8.43	5.24	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.3	0.0	20.01	39.7	55.54	1.65	0.78	107.09	86.29	0.0	0.0	0.26	49.99	25.38	11.7	25.47	36.89
Cbl	0.0	30.1	0.0	1.97	0.0	0.08	0.0	0.07	1.14	6.87	3.75	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	4.94	0.0	0.0	0.0	35.74	0.08	0.0	0.24	4.36	0.1	1.68	1.88	1.56
Ccdc97	128.07	65.31	1.9	62.58	0.0	0.0	0.0	29.99	30.17	66.85	0.0	0.0	0.16	0.0	0.0	0.86	0.0	24.86	0.0	22.0	2.54	0.0	35.45	0.0	74.62	0.05	0.0	9.93	7.38	9.24	13.26	10.12	9.52
Crnkl1	0.0	51.16	33.04	116.62	0.0	53.9	0.0	186.89	0.0	1.65	5.56	8.11	0.0	0.0	0.0	169.81	0.0	0.0	4.21	44.56	0.0	42.84	0.0	167.83	88.21	0.0	20.93	14.14	14.16	17.25	29.46	21.4	34.96
Dand5	0.0	109.41	0.17	0.0	0.0	0.0	0.0	164.36	9.38	0.0	0.0	0.0	0.0	0.0	163.1	0.0	0.0	0.0	0.0	1.54	120.11	0.0	0.0	98.43	118.12	0.0	0.0	16.36	16.37	28.79	21.53	14.14	27.08
Dclre1c	54.16	63.73	76.74	20.21	208.12	43.87	46.68	59.72	26.78	56.45	33.42	26.91	17.73	78.2	55.56	32.92	22.96	52.16	58.02	76.01	24.13	22.45	20.35	175.79	131.99	17.38	56.33	44.93	77.93	41.9	50.02	62.69	48.55
Diras2	0.87	98.64	11.16	44.59	30.23	0.29	0.0	87.22	6.95	36.54	28.12	44.22	50.48	0.19	51.59	23.41	11.2	55.35	23.97	73.94	88.19	0.44	7.48	8.4	53.95	0.27	22.5	38.91	28.71	42.89	55.35	53.06	59.52
Duxbl	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0
Eif3a	5.43	129.2	65.52	12.89	129.27	117.14	104.64	4.58	51.91	89.98	0.0	77.98	58.72	159.4	2.12	65.02	42.51	0.06	120.63	55.75	110.73	22.64	150.21	56.47	183.13	46.97	19.26	66.76	83.0	112.05	82.78	57.27	62.49
Ept1	113.78	95.82	0.04	53.53	1.44	81.72	0.0	163.12	78.64	0.54	2.53	2.54	104.63	0.46	0.0	64.99	74.51	53.01	19.17	66.08	120.4	0.0	0.02	0.0	99.95	5.1	0.0	24.68	29.2	28.04	33.71	25.7	31.86
Fez2	0.0	59.85	0.0	0.0	0.0	27.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	6.94	54.28	9.38	0.0	0.0	1.48	98.35	0.07	0.0	25.04	6.52	30.25	10.09	7.82	11.0
Gas6	0.0	40.98	0.0	0.88	0.42	0.17	0.0	50.18	0.45	0.0	0.0	0.0	4.18	0.15	0.0	0.0	0.53	0.0	64.68	29.79	5.71	0.0	0.22	26.39	36.86	0.05	0.53	7.88	15.38	9.34	8.52	12.09	6.17
Gm3264	0.0	98.69	0.0	0.0	0.0	0.0	11.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.86	1.14	0.0	27.77	8.23	6.09	4.39	2.27	0.0
Gm3317	0.0	15.14	0.0	0.0	2.07	0.0	0.0	0.0	0.0	0.0	0.16	0.0	2.05	0.0	0.0	0.09	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	17.11	0.0	0.0	2.59	0.89	0.0	2.65	0.88	0.92
Gm3494	0.0	15.14	0.0	0.0	2.07	0.0	0.0	0.0	0.0	0.0	0.16	0.0	2.05	0.0	0.0	0.09	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	17.11	0.0	0.0	2.59	0.89	0.0	2.65	0.88	0.92
Hdgfrp3	0.39	59.16	58.48	7.96	1.75	36.05	6.09	83.11	29.81	25.4	1.83	0.0	22.67	10.69	6.18	44.72	55.84	94.09	11.44	0.1	0.22	0.32	5.28	20.98	52.49	0.27	27.37	26.67	27.53	33.85	23.42	16.92	10.9
Hpcal4	95.27	180.68	0.0	101.26	0.0	3.59	140.24	0.04	4.31	3.13	0.0	0.17	0.0	47.15	0.09	25.52	145.27	57.05	159.59	81.7	33.01	6.06	53.61	41.83	236.04	0.73	29.13	135.43	115.99	85.6	152.55	113.48	132.8
Itpr1	1.45	70.58	0.58	60.11	0.67	22.58	15.56	10.42	82.93	57.12	41.17	51.6	24.72	27.4	62.53	40.26	39.13	0.34	29.48	58.56	86.9	0.0	37.11	102.47	106.56	39.57	34.58	44.4	47.97	32.96	64.04	43.81	49.96
Ldhd	0.0	0.22	0.05	0.4	0.0	0.22	0.0	0.15	3.25	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	63.91	0.18	0.36	0.0	0.25	0.0	0.15	0.16	0.0	2.58	0.0	0.11	1.22	0.0	4.87
Lrrc39	1.01	6.53	2.21	3.29	0.0	5.35	0.0	1.55	1.11	1.24	2.21	1.14	0.55	0.54	0.0	1.55	0.89	1.44	0.0	2.66	4.59	0.94	0.92	7.02	29.51	0.57	1.04	2.65	2.65	3.14	3.97	2.32	4.48
Mad2l2	0.0	37.76	0.08	0.0	196.26	0.0	0.0	0.16	0.42	0.0	0.0	0.0	0.0	0.33	0.36	0.0	0.58	0.0	0.0	54.71	0.0	0.0	25.91	0.0	87.44	0.23	0.0	9.57	7.71	3.11	7.77	15.88	14.57
Map2k4	0.0	176.85	0.9	38.96	0.0	16.43	12.7	88.2	73.35	0.0	63.04	58.45	0.13	23.83	0.0	114.5	14.16	68.04	79.59	0.0	69.91	0.0	41.6	118.24	128.1	10.3	68.29	106.01	108.45	95.28	124.07	124.33	96.47
Mipep	0.0	3.23	0.0	0.0	0.0	0.0	0.0	33.6	0.21	0.0	56.5	7.42	0.0	0.0	0.0	0.0	0.0	0.0	53.4	0.0	0.0	0.0	0.0	8.2	2.61	0.0	0.0	0.0	4.43	0.1	9.58	6.03	2.61
Mir297a-4	0.0	24.29	0.0	0.0	0.0	0.0	0.0	0.0	4.68	0.0	0.0	22.94	68.83	0.0	0.0	0.0	0.0	0.0	0.0	8.69	11.05	36.02	6.81	0.0	31.77	0.0	0.0	8.83	8.43	0.0	0.0	0.0	9.04
Mpp1	0.0	115.62	135.7	0.09	0.0	0.0	0.0	27.27	0.07	144.21	0.22	0.0	0.0	4.79	113.52	41.5	9.03	0.12	53.58	34.83	8.8	0.0	0.05	0.0	62.32	0.39	0.0	14.8	67.22	36.14	39.06	51.93	48.15
Nek9	0.0	0.23	0.02	0.0	0.0	58.92	0.0	0.0	2.73	0.0	0.0	0.29	0.0	0.0	1.17	0.0	0.0	0.0	16.9	2.31	41.58	0.0	9.48	0.11	75.29	4.8	0.0	1.8	19.23	1.81	3.4	5.06	5.87
Papd5	0.0	75.95	0.0	0.0	53.74	0.1	1.46	0.0	4.71	0.0	0.0	0.0	0.0	8.03	5.15	0.0	2.75	12.24	0.0	31.66	0.47	0.0	0.02	77.54	64.22	2.46	0.15	8.47	20.94	5.21	12.8	7.29	10.42
Pitpnm2	5.37	12.51	15.46	4.31	7.84	11.99	4.07	15.65	1.47	11.19	0.0	9.85	0.0	11.98	1.33	0.05	0.0	2.36	17.64	10.05	6.06	0.14	0.02	1.96	18.46	0.28	0.0	0.13	1.75	1.8	1.11	1.03	0.93
Rassf5	0.0	45.55	0.0	0.0	0.0	15.39	0.22	0.06	0.0	9.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.9	0.0	0.0	0.0	0.0	43.95	0.4	8.95	6.49	4.53	0.0	12.13	11.47	5.69
Rnf115	0.0	77.36	0.0	0.0	0.0	0.0	0.0	0.08	0.44	0.0	0.0	199.41	0.0	5.39	0.0	0.43	0.31	0.13	0.0	41.14	82.31	0.0	0.0	2.49	79.84	8.87	0.0	3.5	12.85	1.53	16.94	11.14	15.25
Samd4b	15.92	3.36	14.58	0.0	0.0	4.1	0.0	0.0	28.28	0.0	0.0	0.0	0.0	0.0	16.56	0.0	0.0	0.0	5.19	6.57	8.02	0.0	23.86	0.0	10.25	0.03	0.77	3.39	8.16	0.22	5.66	3.58	4.39
Sept8	0.0	35.49	40.08	55.09	0.0	0.0	0.0	22.38	6.16	0.0	49.51	56.87	0.0	0.35	10.59	18.05	23.01	0.13	14.67	15.65	21.2	0.0	20.99	35.14	68.56	0.24	11.08	13.8	11.59	12.41	20.97	19.05	15.97
Serpine3	0.0	1.85	0.0	6.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	7.88	0.0	0.0	0.0	0.0	0.0	2.39	0.0	0.0	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.0	1.08	1.3	0.25	0.25
Slc38a7	0.0	53.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.64	0.0	1.4	0.0	1.3	0.9	0.0	0.0	67.29	14.64	0.0	0.0	0.64	1.31	5.17	7.7	5.31	8.86
Snap25	26182.83	16312.84	24880.43	23752.44	25194.29	21404.94	14180.03	24000.2	21827.11	22188.29	20741.69	24648.02	19552.31	17940.49	22891.51	21685.06	22470.57	21046.1	19454.91	19534.15	22039.64	25542.47	22725.47	20576.26	14435.41	20516.03	17327.53	17485.78	15823.69	16180.38	20846.74	19146.26	18964.09
Snx12	0.64	80.11	0.52	0.49	0.8	0.52	0.34	1.96	0.0	1.37	0.0	0.99	1.54	1.04	0.81	15.06	69.13	0.48	44.75	58.84	6.73	0.46	13.8	11.35	98.51	1.02	0.56	33.14	24.37	49.75	43.22	38.42	38.77
Snx30	67.42	32.96	0.1	0.15	0.08	0.11	0.0	0.13	0.12	9.58	0.24	0.0	0.0	0.0	50.98	0.16	0.05	0.12	0.43	0.12	12.67	0.26	2.2	1.19	24.69	1.65	1.97	5.72	7.36	3.11	4.38	3.92	5.99
Sppl3	16.86	97.06	13.1	56.03	0.0	67.39	10.2	0.0	80.65	1.83	0.0	0.0	0.0	0.14	99.35	0.11	103.62	47.96	93.23	47.46	41.4	0.67	46.73	34.0	201.27	0.72	52.79	24.26	16.79	27.41	18.72	19.66	12.81
Srf	0.0	6.69	0.0	0.0	0.0	0.31	0.0	0.32	0.0	0.0	0.0	0.19	0.36	0.0	0.0	0.0	0.0	0.07	0.0	0.0	1.64	0.0	0.03	0.0	2.82	0.53	0.66	4.44	5.15	1.92	4.49	2.5	3.62
Supt7l	61.83	49.96	1.46	0.85	0.55	13.42	0.56	0.49	90.02	1.81	0.67	1.12	0.33	0.15	1.33	13.72	0.0	0.77	2.36	144.28	38.79	3.83	118.48	1.4	112.16	0.57	1.95	2.62	31.47	32.42	17.82	21.42	30.39
Sypl	91.75	101.65	5.96	7.5	0.0	51.37	0.0	53.9	199.34	84.54	0.0	0.2	0.0	0.0	109.05	0.0	39.79	0.0	0.0	27.35	1.75	103.62	86.78	0.07	89.28	0.06	0.15	25.51	26.77	44.26	20.87	22.32	26.67
Syt12	1.4	81.56	1.9	1.53	4.76	41.94	0.46	2.91	3.28	4.05	2.15	31.22	1.1	1.89	10.31	1.97	100.08	2.76	3.0	32.49	35.53	26.65	1.9	59.89	45.38	25.26	17.68	19.64	21.34	43.5	38.65	42.91	36.44
Tmem178	0.0	251.05	18.88	0.0	0.0	1.29	30.4	23.18	78.68	0.0	0.0	0.24	0.0	0.0	0.0	32.72	38.46	15.33	49.06	0.0	98.5	0.0	0.0	61.18	101.94	0.16	0.41	32.45	38.24	35.55	49.21	38.66	51.05
Ubr4	0.0	37.44	25.02	4.35	0.03	9.85	0.09	5.91	4.19	2.78	1.61	0.0	0.0	0.05	0.03	1.24	0.13	0.02	6.3	15.41	10.22	0.47	0.02	0.29	6.49	1.48	0.0	7.76	9.35	7.99	6.85	4.92	4.99
Unc50	0.0	88.92	0.73	7.05	37.21	129.94	0.0	128.2	38.36	0.0	0.0	0.0	209.1	0.0	0.0	0.0	102.06	0.0	47.47	110.84	58.33	0.0	0.08	0.23	124.38	0.1	0.0	42.3	48.55	46.06	44.62	47.51	37.9
Yrdc	0.0	47.76	28.22	0.0	11.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.21	0.0	0.0	5.51	32.26	45.12	0.56	0.0	3.14	2.07	7.11	4.49	4.95	8.48
Zfp874a	0.0	104.01	1.6	0.0	2.19	0.66	0.0	0.66	129.12	0.45	2.33	0.13	0.0	0.0	0.66	0.0	0.0	0.0	1.01	0.19	74.19	0.62	0.38	0.79	125.43	0.0	0.0	27.29	9.41	13.72	82.22	29.02	24.75
