	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_96	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Rbp4_tdTpositive_cell_44	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Scnn1a.Tg2_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTpositive_cell_70	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_36
1110067D22Rik	32.71	10.22	156.39	12.65	2.8	82.03	0.0	81.29	0.0	42.12	0.0	4.26	10.69	26.15	0.0	23.58	39.84	113.54	0.0	123.18	24.09	6.59	37.55	44.43	0.0	330.37	86.76	2.79	141.43	248.56	38.0	69.1	43.68	72.73	51.68	53.33	46.23	19.2	0.08	0.0	45.08	38.76	270.29	0.61	62.82
1500011B03Rik	236.47	14.04	1.2	289.2	249.22	113.28	0.0	34.83	0.27	0.25	598.11	196.22	89.3	384.19	236.6	0.0	189.01	317.19	104.53	70.52	221.81	370.93	86.06	319.9	0.0	1109.56	131.75	204.79	374.47	0.0	265.86	288.49	295.97	168.69	186.76	256.75	24.84	80.33	275.21	1.47	1.92	217.28	239.33	107.23	344.07
4833439L19Rik	184.47	83.66	94.48	0.35	0.0	74.66	0.0	236.85	88.94	131.67	158.07	128.05	0.11	0.0	92.23	656.83	185.76	218.14	114.01	0.0	85.0	173.28	91.41	86.8	0.0	573.68	212.14	225.91	294.85	278.7	105.09	257.72	112.74	282.99	272.65	14.37	128.43	78.03	68.75	7.43	22.8	0.28	244.88	22.93	0.0
4933434E20Rik	433.22	123.25	361.12	1012.26	462.25	147.83	0.0	594.76	0.45	476.85	374.21	62.58	361.44	319.76	124.86	325.88	158.43	421.89	329.11	77.15	485.82	213.96	455.01	171.83	0.0	1364.24	436.04	455.93	393.71	410.99	648.3	587.75	394.62	966.42	790.94	501.63	165.54	281.11	273.18	83.7	235.17	47.96	605.24	333.53	467.46
5730469M10Rik	0.42	0.0	21.06	0.4	0.0	0.0	0.0	198.53	0.0	0.0	122.6	103.99	0.33	0.82	18.59	0.0	62.03	49.64	4.43	7.4	40.53	2.16	46.6	104.29	2.33	738.54	44.47	93.3	0.0	50.57	84.5	51.4	151.92	57.52	60.91	189.31	0.0	295.15	44.71	0.05	0.0	7.79	158.42	62.06	108.24
A130010J15Rik	0.75	0.31	1.32	1.53	0.23	0.26	0.0	0.65	0.14	0.09	0.49	0.96	4.83	0.21	0.8	0.0	20.45	0.92	1.61	0.82	2.5	2.49	1.27	0.43	1.95	87.06	0.91	1.24	0.54	1.23	4.41	5.1	1.04	3.68	6.81	4.2	2.86	0.14	0.16	0.45	0.09	0.08	0.57	1.48	8.23
A230072C01Rik	182.75	18.36	41.7	29.61	35.14	8.43	0.0	81.07	47.6	15.74	79.67	135.41	9.75	60.66	57.98	1.14	44.47	87.54	28.33	50.6	103.06	36.51	28.02	24.34	36.92	410.97	115.44	27.18	128.97	39.28	28.78	36.74	62.89	69.69	40.67	132.75	5.56	73.32	130.75	14.97	35.22	94.65	116.31	119.42	60.31
Abcg1	38.62	36.11	144.67	95.2	0.0	27.34	37.02	98.66	100.58	61.03	117.6	25.17	73.02	123.52	86.6	56.23	120.18	120.21	2.74	22.37	79.79	59.7	46.44	66.63	238.26	331.75	102.84	126.91	174.05	18.47	93.25	94.13	95.42	167.01	140.92	86.05	132.16	5.56	7.6	62.67	32.91	84.94	121.42	60.85	81.54
Abhd16a	140.49	0.11	0.19	0.0	157.37	13.71	0.0	0.0	0.0	39.93	9.01	69.85	180.19	34.61	9.59	4.14	10.27	56.69	0.0	70.02	44.58	63.95	0.0	11.62	0.0	471.35	0.0	0.0	0.0	5.24	31.32	35.25	15.28	16.1	14.77	81.28	0.0	83.26	0.0	0.0	0.0	38.99	0.0	1.03	25.08
Amy2a2	0.27	0.15	0.08	0.44	1.33	0.23	0.0	0.09	0.12	0.18	0.24	0.18	0.08	0.12	0.02	0.0	0.58	0.12	0.06	0.49	0.25	0.11	0.1	0.36	0.14	2.29	0.44	0.2	0.15	0.15	0.28	0.33	0.27	0.24	0.21	0.03	0.14	0.05	0.28	0.05	0.1	0.08	0.63	0.03	0.08
