	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_74	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_15	Cux2_tdTpositive_cell_16	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Gad2_tdTpositive_cell_66	Ndnf_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_18	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_154	Rorb_tdTpositive_cell_2	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_49	Scnn1a.Tg2_tdTnegative_cell_10	Scnn1a.Tg3_tdTpositive_cell_58	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_88	Scnn1a.Tg3_tdTpositive_cell_91	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_97	Scnn1a.Tg3_tdTpositive_cell_98	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_18	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_12	CAV_LP_Ipsi_tdTpos_cell_40	CAV_VISp_Contra_tdTpos_cell_4
4921531C22Rik	0.0	0.0	0.0	0.0	0.11	84.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	98.38	0.0	91.63	0.0	0.0	0.0	0.11	19.59	0.0	0.06	0.06	0.26	8.24	0.0	0.86	0.0	0.0	0.0	194.13	0.5	0.0	0.0	0.0	3.01	22.58	17.21	1.22	11.46	19.56	34.21	4.79	17.14	13.71	8.54	18.78	9.2	0.25	0.0	3.79
5031426D15Rik	113.94	76.73	67.19	14.39	94.08	3.95	26.17	3.22	2.49	129.96	25.72	5.48	88.12	1.64	14.89	52.64	39.07	2.95	127.76	121.59	52.0	2.57	75.17	122.44	1.74	30.65	78.37	105.01	26.3	8.61	56.67	36.12	82.57	21.1	11.94	108.65	51.45	26.44	11.44	4.07	0.01	72.14	3.55	17.95	109.73	12.58	35.17	2.06	3.54	11.82	15.56	15.2	20.2	15.11	24.29	26.45	17.94	21.43	19.01	15.12	15.35	14.1	134.22	36.78	37.22
6330416G13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.21	0.0	0.0	0.0	21.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	77.66	36.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.58	0.0	0.0	0.0	0.0	0.0	0.0	96.05	0.3	34.12	0.0	0.0	0.0	0.0	0.46	0.0	0.09	0.41	8.72	4.17	1.62	0.27	1.8	1.6	3.14	0.0	0.0	0.0
9130023H24Rik	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	36.08	0.0	0.0	0.0	0.0	0.0	57.9	0.0	92.18	0.0	0.11	0.24	75.69	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	64.66	0.0	0.0	0.0	0.0	0.0	0.03	0.95	0.43	0.12	78.87	0.0	0.0	0.0	112.83	0.26	0.0	0.0	0.0	4.54	16.91	21.75	13.34	13.33	9.83	5.66	8.39	12.07	11.31	4.31	9.66	8.49	21.51	114.3	0.0
9330182L06Rik	12.8	0.0	0.0	3.98	0.02	0.0	0.0	0.21	37.41	0.0	0.0	37.32	0.1	0.0	0.0	16.17	4.83	50.67	0.32	58.03	231.6	0.0	0.09	0.19	5.15	5.8	44.63	0.0	0.06	20.94	30.2	0.0	22.82	33.14	0.0	38.34	0.02	8.18	10.01	0.0	86.62	40.78	0.0	0.0	52.66	11.58	37.14	0.0	0.0	17.64	10.2	7.95	10.65	8.47	14.78	11.18	16.47	11.37	7.79	12.14	8.63	9.89	27.09	0.32	14.22
Adck1	0.0	246.64	0.0	76.09	322.67	0.0	183.87	0.0	0.0	123.73	0.0	0.76	46.09	0.0	157.01	0.0	12.32	91.71	0.0	0.0	38.05	0.0	0.0	89.18	300.32	0.0	117.62	3.55	92.64	4.21	0.0	70.59	0.0	0.0	65.33	0.14	52.88	0.0	101.26	0.0	18.22	0.0	0.0	0.0	190.62	0.66	0.77	0.0	0.0	32.89	44.33	47.47	26.26	41.24	59.41	39.18	66.73	38.7	35.76	41.01	45.33	32.94	0.0	11.53	88.99
Ano10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.71	0.0	0.0	0.0	32.96	0.0	0.54	53.62	0.07	2.25	0.15	0.0	64.89	0.0	0.51	0.0	90.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168.67	0.0	15.65	129.61	0.0	0.0	25.31	0.1	0.0	0.0	1.65	147.36	0.26	1.15	0.0	0.0	7.25	0.0	0.0	0.0	0.0	0.0	7.18	0.5	0.0	0.0	1.84	2.12	1.47	5.0	0.0	0.0
Apoo	278.75	244.92	250.92	351.8	206.81	195.62	47.2	234.45	183.49	367.06	377.78	370.68	282.79	0.0	102.26	0.85	153.79	380.71	265.5	173.82	0.0	472.93	598.77	432.87	0.0	0.0	137.96	275.37	157.01	254.11	234.97	289.46	0.0	157.0	0.0	4.08	465.37	240.46	116.14	489.32	52.57	0.0	218.91	0.0	1196.76	296.91	292.74	0.0	0.0	228.3	267.89	180.1	329.0	273.53	329.62	366.98	402.99	303.76	333.62	296.07	307.39	276.75	265.94	113.67	109.29
Arhgap44	192.04	310.27	224.75	266.75	127.04	309.74	126.92	83.53	202.92	115.86	36.91	135.87	188.33	4.74	190.03	192.22	146.85	213.9	0.0	134.17	155.25	323.71	149.11	261.61	252.28	44.48	139.43	130.99	353.41	190.53	164.16	69.9	148.91	215.03	111.87	48.99	82.92	233.94	223.16	115.54	204.24	154.9	123.86	328.26	112.75	59.25	139.73	0.0	0.0	559.0	523.67	419.64	470.51	491.4	445.6	427.8	337.39	377.8	284.47	492.83	399.35	425.14	93.91	182.57	261.68
Atxn7l1	0.0	0.0	177.83	49.1	0.06	0.0	119.86	103.99	157.87	0.0	0.0	26.57	0.0	0.0	0.17	265.8	128.04	31.27	154.51	162.75	0.76	0.0	12.3	20.4	13.95	0.15	0.27	30.62	0.0	70.63	0.82	0.0	0.0	0.81	0.0	0.0	0.0	0.0	96.68	51.72	129.05	25.19	194.91	0.0	175.45	44.93	0.18	0.0	0.0	49.89	22.47	23.95	36.58	10.0	45.64	55.9	42.63	42.71	32.2	33.19	43.93	40.18	84.25	6.32	0.0
