	Cux2_tdTpositive_cell_10	Cux2_tdTpositive_cell_11	Cux2_tdTpositive_cell_17	Htr3a_tdTpositive_cell_105	Nr5a1_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_7	Ntsr1_tdTpositive_cell_58	Ntsr1_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_tdTpositive_cell_145	Rbp4_tdTpositive_cell_186	Rorb_tdTpositive_cell_23	Rorb_tdTpositive_cell_46	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_1	Scnn1a.Tg3_tdTpositive_cell_21	Scnn1a.Tg3_tdTpositive_cell_35	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Slc17a6_tdTpositive_cell_1	CAV_LP_Ipsi_tdTpos_cell_25	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_4	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110050K14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	1.49	1.46
1600015I10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
1700003L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
1700009J07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
1700016L21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700061J05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
2810029C07Rik	82.31	0.0	0.58	0.34	0.24	2.43	0.28	110.98	0.09	0.0	0.0	18.51	0.34	0.0	0.91	62.44	0.0	0.0	2.94	5.47	0.98	0.42	0.94	0.0	0.0	0.0	54.69	0.0	11.32	11.24	12.58
2810047C21Rik1	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.37	25.06	0.0	0.0	0.31	0.41	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.14	6.81	0.0	0.0	0.0	0.0	0.34	0.0	1.25	0.98	2.12
4930412F15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	1.33	1.4
